date,open,high,low,close,adjusted_close,volume
2010-01-04,36.41,36.41,36.06,36.3,13.8466,979814
2010-01-05,36.22,36.32,36.06,36.2,13.8085,1097304
2010-01-06,36.18,36.38,36.01,36.34,13.8619,1175672
2010-01-07,36.43,36.65,36.18,36.62,13.9687,1399680
2010-01-08,36.61,36.72,36.22,36.72,14.0068,1332460
2010-01-11,36.7,37.165,36.68,37.02,14.1213,1019734
2010-01-12,36.86,37.37,36.82,37.36,14.251,997752
2010-01-13,37.45,37.96,37.45,37.7,14.3806,1558952
2010-01-14,37.46,37.69,37.41,37.66,14.3654,870124
2010-01-15,37.65,37.96,37.29,37.59,14.3387,1680308
2010-01-19,37.58,37.79,37.43,37.74,14.3959,926736
2010-01-20,37.68,37.68,37.1,37.29,14.2243,874354
2010-01-21,37.37,37.74,36.92,37.04,14.1289,1438364
2010-01-22,37.04,37.35,36.76,36.77,14.0259,891736
2010-01-25,36.92,37.24,36.72,37.22,14.1976,1084810
2010-01-26,37.05,37.15,36.82,37.09,14.148,1256470
2010-01-27,37.13,37.63,36.95,37.54,14.3196,2097008
2010-01-28,37.75,37.75,36.29,36.45,13.9038,3146142
2010-01-29,36.64,37.0,36.1,36.3,13.8466,2236780
2010-02-01,36.42,36.64,36.21,36.58,13.9534,835076
2010-02-02,36.71,37.01,36.52,37.0,14.1136,1043354
2010-02-03,36.83,36.83,36.41,36.49,13.9191,1174718
2010-02-04,36.36,36.36,35.69,35.76,13.6406,1514244
2010-02-05,35.71,35.86,35.53,35.77,13.6444,2483368
2010-02-08,35.74,35.9593,35.46,35.56,13.5643,1246030
2010-02-09,35.71,35.98,35.4,35.85,13.675,1413476
2010-02-10,35.9,36.0,35.62,35.92,13.7017,1509916
2010-02-11,35.95,35.98,35.4,35.96,13.7169,1362248
2010-02-12,35.8,36.19,35.71,36.08,13.7627,1549518
2010-02-16,36.25,36.58,35.95,36.58,13.9534,1226470
2010-02-17,36.6,37.29,36.6,37.12,14.1594,1371240
2010-02-18,37.11,37.66,37.11,37.61,14.3463,1000182
2010-02-19,37.56,37.87,37.43,37.76,14.4035,1083216
2010-02-22,37.77,37.86,37.37,37.47,14.2929,1014026
2010-02-23,37.47,37.64,37.1,37.15,14.1708,1344062
2010-02-24,37.26,37.36,36.91,37.26,14.2128,1122876
2010-02-25,36.92,37.11,36.7,37.1,14.1518,1467492
2010-02-26,37.19,37.22,36.85,37.11,14.1556,1029884
2010-03-01,37.25,37.345,36.98,37.33,14.2395,811102
2010-03-02,37.44,37.855,37.4,37.72,14.3883,1297102
2010-03-03,37.81,37.96,37.62,37.82,14.4264,731318
2010-03-04,37.96,37.99,37.652,37.9,14.4569,1550936
2010-03-05,38.0,38.0,37.655,38.0,14.4951,1833822
2010-03-08,37.91,38.0,37.61,37.76,14.4035,1128014
2010-03-09,37.62,38.0,37.61,37.97,14.4836,1422342
2010-03-10,37.91,38.15,37.87,38.1,14.5332,1625650
2010-03-11,37.96,38.3,37.9301,38.3,14.6095,966702
2010-03-12,38.29,38.42,38.17,38.31,14.6133,961120
2010-03-15,38.32,38.7285,38.32,38.66,14.7468,1577894
2010-03-16,38.69,38.69,38.5165,38.63,14.7354,1714270
2010-03-17,38.69,38.89,38.53,38.89,14.8346,1049582
2010-03-18,38.82,39.07,38.808,38.85,14.8193,975146
2010-03-19,39.09,39.19,38.815,39.11,14.9185,1979986
2010-03-22,39.06,39.4,38.84,39.4,15.0291,1601496
2010-03-23,39.37,39.71,39.2,39.71,15.1474,1178554
2010-03-24,39.58,39.6075,39.19,39.37,15.0177,2076926
2010-03-25,39.19,39.4,37.95,38.03,14.5065,5214972
2010-03-26,37.99,38.37,37.55,37.63,14.3539,1929880
2010-03-29,37.78,37.98,37.61,37.85,14.4379,1701614
2010-03-30,37.97,38.29,37.97,38.29,14.6057,1525220
2010-03-31,38.27,38.54,38.11,38.36,14.6324,1466784
2010-04-01,38.53,38.67,38.4,38.58,14.7163,991244
2010-04-05,38.63,38.65,38.05,38.14,14.5485,1151662
2010-04-06,38.0,38.38,38.0,38.37,14.6362,1159594
2010-04-07,38.22,38.325,38.04,38.17,14.5599,1245746
2010-04-08,38.0,38.25,37.88,38.15,14.6521,1268448
2010-04-09,38.25,38.43,38.09,38.43,14.7596,758992
2010-04-12,38.49,38.56,38.285,38.37,14.7366,913844
2010-04-13,38.23,38.5,38.13,38.41,14.752,803516
2010-04-14,38.43,38.474,38.15,38.26,14.6944,1244680
2010-04-15,38.26,38.62,37.99,38.62,14.8326,1468120
2010-04-16,38.58,38.74,38.5,38.64,14.8403,2071914
2010-04-19,38.47,38.76,38.32,38.76,14.8864,1008630
2010-04-20,38.82,39.05,38.67,39.03,14.9901,1342720
2010-04-21,39.05,39.3802,38.98,39.17,15.0439,1606108
2010-04-22,39.09,39.45,38.92,39.45,15.1514,1752706
2010-04-23,39.35,39.49,38.99,39.49,15.1668,1217068
2010-04-26,39.63,39.84,39.49,39.54,15.186,1182630
2010-04-27,39.46,39.58,38.98,39.0,14.9786,1968448
2010-04-28,39.09,39.29,38.76,39.08,15.0093,1074704
2010-04-29,39.19,39.85,39.11,39.77,15.2743,982754
2010-04-30,39.9,40.19,39.54,39.57,15.1975,1595360
2010-05-03,39.6,39.77,39.5,39.61,15.2128,1946492
2010-05-04,39.3,39.56,39.14,39.4,15.1322,1571790
2010-05-05,39.15,39.56,39.15,39.44,15.1475,1115936
2010-05-06,39.44,39.51,37.74,38.6,14.8249,2711966
2010-05-07,38.52,38.69,37.9,37.95,14.5753,3046346
2010-05-10,38.78,39.43,38.78,39.3,15.0938,1473522
2010-05-11,39.0,39.65,39.0,39.33,15.1053,1085404
2010-05-12,39.44,39.63,39.2,39.58,15.2013,1124654
2010-05-13,39.48,39.96,39.47,39.52,15.1783,1217932
2010-05-14,39.45,39.62,39.19,39.28,15.0861,1914714
2010-05-17,39.36,39.73,39.2,39.62,15.2167,1597954
2010-05-18,39.73,39.85,39.03,39.12,15.0246,1837816
2010-05-19,38.88,39.4,38.73,39.16,15.04,1946934
2010-05-20,38.6,38.82,38.34,38.5,14.7865,2654530
2010-05-21,38.11,38.77,37.69,38.75,14.8825,2581174
2010-05-24,38.54,38.78,38.32,38.51,14.7904,1712796
2010-05-25,37.88,37.92,37.18,37.9,14.5561,2860974
2010-05-26,38.14,38.56,37.79,38.08,14.6252,2958456
2010-05-27,38.55,38.79,38.2,38.79,14.8979,1533182
2010-05-28,38.7,38.78,38.37,38.57,14.8134,1666554
2010-06-01,38.28,38.88,38.25,38.42,14.7558,1266962
2010-06-02,38.47,39.33,38.43,39.33,15.1053,1397854
2010-06-03,39.35,39.71,39.29,39.7,15.2474,1524332
2010-06-04,39.18,39.33,38.62,38.71,14.8672,1947062
2010-06-07,38.82,39.07,38.57,38.6,14.8249,1065428
2010-06-08,38.6,39.06,38.45,39.02,14.9862,1806480
2010-06-09,39.3,39.33,38.83,38.99,14.9747,1684614
2010-06-10,39.4,39.85,39.33,39.83,15.2973,1719758
2010-06-11,39.62,39.89,39.19,39.68,15.2397,1424434
2010-06-14,39.8,39.97,39.57,39.61,15.2128,2269762
2010-06-15,39.83,40.27,39.64,40.25,15.4586,1774158
2010-06-16,39.97,40.34,39.83,40.22,15.4471,1656420
2010-06-17,40.12,40.77,40.11,40.77,15.6584,1831154
2010-06-18,40.64,40.73,40.4,40.54,15.57,1657208
2010-06-21,40.34,40.71,39.7,39.9,15.3242,2156306
2010-06-22,39.85,40.05,39.54,39.55,15.1898,1756772
2010-06-23,39.64,39.72,39.11,39.17,15.0439,3137604
2010-06-24,39.32,40.34,38.84,38.96,14.9632,6765512
2010-06-25,39.61,39.61,38.76,38.97,14.967,4831432
2010-06-28,39.1,39.39,38.85,39.27,15.0823,1744354
2010-06-29,38.93,39.08,38.42,38.58,14.8173,1736782
2010-06-30,38.44,38.5,37.95,37.96,14.5791,1606306
2010-07-01,37.85,37.8575,37.39,37.76,14.6023,2764816
2010-07-02,37.76,37.815,37.37,37.53,14.5134,2050960
2010-07-06,37.87,38.135,37.66,37.93,14.6681,1430044
2010-07-07,37.94,38.56,37.85,38.56,14.9117,2364064
2010-07-08,38.67,38.67,38.16,38.23,14.7841,2123486
2010-07-09,38.23,38.39,38.11,38.29,14.8073,1383960
2010-07-12,38.13,38.49,38.08,38.46,14.873,1681546
2010-07-13,38.79,38.94,38.62,38.69,14.962,1909644
2010-07-14,38.67,39.07,38.63,39.07,15.1089,1762940
2010-07-15,39.03,39.2075,38.7,38.99,15.078,1186510
2010-07-16,38.88,38.95,38.35,38.42,14.8576,1347722
2010-07-19,38.42,38.63,38.3,38.41,14.8537,685426
2010-07-20,38.19,38.91,38.1,38.9,15.0432,1131428
2010-07-21,39.0,39.14,38.58,38.68,14.9581,1612904
2010-07-22,38.88,39.06,38.68,38.87,15.0316,1968304
2010-07-23,38.88,39.05,38.75,38.98,15.0741,1437606
2010-07-26,39.08,39.42,39.07,39.42,15.2443,1257828
2010-07-27,39.53,39.91,39.37,39.91,15.4338,2037946
2010-07-28,39.92,39.92,39.41,39.51,15.2791,1201458
2010-07-29,39.59,39.61,38.78,38.9,15.0432,1097832
2010-07-30,38.54,39.38,38.54,39.33,15.2095,1463994
2010-08-02,39.7,39.82,39.43,39.71,15.3564,1824382
2010-08-03,39.57,39.95,39.48,39.82,15.399,1486762
2010-08-04,39.8,40.36,39.77,40.3,15.5846,1316752
2010-08-05,40.18,40.18,39.5,39.62,15.3216,1124780
2010-08-06,39.35,39.61,38.89,39.32,15.2056,1584062
2010-08-09,39.5,39.81,39.35,39.59,15.31,870188
2010-08-10,39.39,40.02,39.35,39.83,15.4028,904032
2010-08-11,39.35,39.68,39.14,39.52,15.283,1452546
2010-08-12,39.26,39.89,39.15,39.86,15.4144,1353724
