date,open,high,low,close,adjusted_close,volume
2010-01-04,14.13,14.4,14.07,14.19,11.8363,68760
2010-01-05,14.1,14.15,13.61,13.68,11.4109,66091
2010-01-06,13.7,14.07,13.05,14.02,11.6945,226374
2010-01-07,14.04,14.26,13.8,14.12,11.7779,74672
2010-01-08,14.02,14.67,14.02,14.58,12.1616,187505
2010-01-11,14.65,14.69,14.47,14.52,12.1115,32897
2010-01-12,14.5,14.7,14.42,14.54,12.1282,58329
2010-01-13,14.58,14.94,14.47,14.49,12.0865,142487
2010-01-14,14.46,14.7,14.38,14.53,12.1199,55942
2010-01-15,14.59,14.59,13.89,14.29,11.9197,145274
2010-01-19,14.34,14.98,14.34,14.71,12.27,97110
2010-01-20,14.54,14.8,14.07,14.72,12.2784,107920
2010-01-21,14.76,14.89,13.88,14.26,11.8947,107693
2010-01-22,14.2,14.65,14.08,14.11,11.7696,64742
2010-01-25,14.26,14.59,14.08,14.39,12.0031,65572
2010-01-26,14.28,14.28,13.52,13.6,11.3441,92447
2010-01-27,13.52,13.86,13.52,13.84,11.5443,119171
2010-01-28,13.89,13.89,13.51,13.63,11.3692,89153
2010-01-29,13.67,13.81,13.43,13.63,11.3692,106135
2010-02-01,13.64,13.8199,13.26,13.795,11.5068,190183
2010-02-02,13.77,13.92,13.62,13.83,11.536,106101
2010-02-03,13.71,14.88,13.71,14.16,11.8113,197107
2010-02-04,14.06,14.38,13.2,13.25,11.0522,144831
2010-02-05,13.32,13.73,13.09,13.64,11.3775,118663
2010-02-08,13.56,13.61,13.26,13.36,11.144,70764
2010-02-09,13.55,13.65,13.23,13.52,11.2774,65305
2010-02-10,13.44,13.95,13.28,13.82,11.5277,72097
2010-02-11,13.74,14.54,13.54,14.52,12.1115,138907
2010-02-12,14.28,14.71,14.22,14.71,12.3271,114011
2010-02-16,14.82,14.91,14.59,14.89,12.4779,49418
2010-02-17,15.0,15.0,14.73,15.0,12.5701,61533
2010-02-18,15.0,15.34,14.795,15.27,12.7964,267249
2010-02-19,15.26,15.57,15.18,15.36,12.8718,99190
2010-02-22,15.47,15.81,15.42,15.53,13.0142,193000
2010-02-23,15.53,15.63,15.29,15.34,12.855,76164
2010-02-24,15.44,15.67,15.29,15.39,12.8969,45200
2010-02-25,15.1,15.23,15.0,15.02,12.5869,78353
2010-02-26,15.08,15.08,14.69,14.94,12.5198,193464
2010-03-01,14.92,15.37,14.59,14.97,12.545,145242
2010-03-02,14.74,15.17,14.74,14.99,12.5617,193620
2010-03-03,15.05,15.32,14.87,15.01,12.5785,71400
2010-03-04,15.07,15.24,14.5,15.18,12.7209,44854
2010-03-05,15.25,15.52,15.09,15.47,12.964,78693
2010-03-08,15.29,15.37,15.01,15.07,12.6288,67795
2010-03-09,15.04,15.17,14.97,15.1,12.6539,71495
2010-03-10,15.07,15.23,14.88,14.97,12.545,71450
2010-03-11,14.84,15.07,14.8,14.92,12.5031,69924
2010-03-12,14.96,15.0,14.77,14.91,12.4947,77950
2010-03-15,14.92,14.94,14.53,14.92,12.5031,97151
2010-03-16,15.0,15.27,14.91,15.27,12.7964,61983
2010-03-17,15.34,15.73,15.21,15.68,13.14,189840
2010-03-18,15.76,16.0,15.6,15.68,13.14,175467
2010-03-19,15.8,15.91,15.49,15.87,13.2992,180140
2010-03-22,15.6,16.09,15.5855,15.98,13.3914,82452
2010-03-23,16.03,16.2,15.83,16.14,13.5254,70736
2010-03-24,16.04,16.28,16.0,16.05,13.45,83585
2010-03-25,16.21,16.54,15.97,16.01,13.4165,77188
2010-03-26,16.11,16.6,16.005,16.2,13.5757,48934
2010-03-29,16.31,16.49,15.98,15.99,13.3997,70372
2010-03-30,15.98,16.4125,15.494,15.91,13.3327,167626
2010-03-31,15.78,16.1,15.65,15.73,13.1819,118729
2010-04-01,15.81,16.04,15.38,15.57,13.0478,62509
2010-04-05,15.65,16.01,15.61,16.0,13.4081,66779
2010-04-06,16.0,16.005,15.62,15.91,13.3327,39149
2010-04-07,15.85,16.0,15.65,15.92,13.3411,324869
2010-04-08,15.8,16.11,15.46,16.01,13.4165,140248
2010-04-09,15.99,16.34,15.72,16.21,13.5841,108192
2010-04-12,16.18,16.49,15.97,16.48,13.8104,100078
2010-04-13,16.41,16.82,16.25,16.79,14.0701,174512
2010-04-14,16.87,17.26,16.84,17.26,14.464,127181
2010-04-15,17.19,17.44,17.19,17.4,14.5813,39550
2010-04-16,17.42,17.42,16.96,17.13,14.3551,164169
2010-04-19,17.0,17.05,16.65,16.76,14.045,161748
2010-04-20,16.82,17.19,16.72,17.13,14.3551,80117
2010-04-21,17.1,17.3,16.71,17.03,14.2713,88341
2010-04-22,16.77,17.41,16.67,17.3,14.4975,80302
2010-04-23,17.27,17.27,16.9,17.0,14.2461,92896
2010-04-26,16.97,17.08,16.87,16.88,14.1456,43023
2010-04-27,16.84,16.92,16.09,16.16,13.5422,61953
2010-04-28,16.24,16.41,15.68,16.02,13.4249,155578
2010-04-29,16.1,16.25,15.54,16.23,13.6009,149142
2010-04-30,16.22,16.22,15.6,15.77,13.2154,131273
2010-05-03,15.92,16.42,15.71,16.4,13.7433,197640
2010-05-04,16.09,16.1,15.37,16.01,13.4165,213938
2010-05-05,15.81,16.15,15.68,16.0,13.4081,260232
2010-05-06,15.92,16.2,13.0,15.74,13.1902,134384
2010-05-07,15.65,15.75,14.98,15.14,12.6874,142114
2010-05-10,15.93,16.0,15.45,15.87,13.3585,119585
2010-05-11,15.69,16.35,15.44,16.03,13.4931,115082
2010-05-12,16.04,17.19,15.87,17.16,14.4443,138593
2010-05-13,17.01,17.09,16.67,16.91,14.2339,92079
2010-05-14,16.72,16.72,16.39,16.61,13.9814,108816
2010-05-17,16.72,16.85,16.15,16.68,14.0403,204128
2010-05-18,16.91,16.91,15.56,15.77,13.2743,231219
2010-05-19,15.75,15.83,15.18,15.54,13.0807,79178
2010-05-20,15.1,15.3,14.17,14.23,11.978,231554
2010-05-21,14.0,14.66,13.96,14.58,12.2726,225087
2010-05-24,14.55,14.8,14.14,14.17,11.9275,75135
2010-05-25,13.78,14.2,13.64,14.14,11.9022,83226
2010-05-26,14.24,14.52,13.95,14.16,11.9191,387972
2010-05-27,14.52,15.11,14.42,15.08,12.6935,168709
2010-05-28,15.06,15.06,14.65,14.76,12.4241,112466
2010-06-01,14.55,14.797,14.06,14.09,11.8602,118679
2010-06-02,14.14,14.23,13.93,14.09,11.8602,166720
2010-06-03,14.25,14.49,13.83,14.37,12.0958,168288
2010-06-04,14.18,14.25,13.85,13.94,11.7339,231620
2010-06-07,13.99,14.1,13.51,13.525,11.3846,125787
2010-06-08,13.63,13.65,13.16,13.45,11.3214,148342
2010-06-09,13.63,13.85,13.33,13.46,11.3299,120003
2010-06-10,13.75,13.98,13.5,13.97,11.7592,84056
2010-06-11,13.71,13.94,13.47,13.9,11.7002,106921
2010-06-14,14.12,14.36,13.99,14.05,11.8265,103848
2010-06-15,14.23,14.51,13.93,14.44,12.1548,102872
2010-06-16,14.28,14.53,14.22,14.36,12.0874,85868
2010-06-17,14.48,14.6,14.27,14.58,12.2726,93276
2010-06-18,14.69,14.87,14.34,14.64,12.3231,189038
2010-06-21,14.9,14.9,14.25,14.28,12.0201,59719
2010-06-22,14.38,14.53,14.0,14.0,11.7844,56254
2010-06-23,13.94,14.16,13.71,13.95,11.7423,63223
2010-06-24,13.81,14.11,13.69,13.91,11.7086,84303
2010-06-25,14.03,14.67,14.03,14.3,12.0369,603319
2010-06-28,14.32,14.61,14.21,14.22,11.9696,77871
2010-06-29,13.95,14.19,13.79,13.94,11.7339,112677
2010-06-30,13.97,14.27,13.75,13.79,11.6076,84316
2010-07-01,13.265,13.93,13.265,13.87,11.675,147214
2010-07-02,14.02,14.04,13.6,13.74,11.5656,77837
2010-07-06,14.02,14.21,13.67,13.76,11.5824,139020
2010-07-07,13.87,14.37,13.77,14.34,12.0706,109927
2010-07-08,14.55,14.88,14.19,14.86,12.5083,214871
2010-07-09,14.87,15.03,14.75,15.0,12.6261,90388
2010-07-12,15.01,15.03,14.76,14.9,12.542,129549
2010-07-13,13.92,14.04,13.41,13.56,11.414,676616
2010-07-14,13.42,13.5,13.01,13.18,11.0942,157455
2010-07-15,13.16,13.2,12.54,13.05,10.9847,199833
