date,open,high,low,close,adjusted_close,volume
2010-01-04,90.055,91.79,90.055,91.67,77.6733,456145
2010-01-05,91.28,91.83,90.08,90.43,76.6226,434952
2010-01-06,93.43,93.43,92.09,92.68,78.5291,676583
2010-01-07,92.68,92.68,90.72,91.85,77.8258,488716
2010-01-08,91.74,92.51,89.87,90.33,76.5379,655498
2010-01-11,90.68,90.95,88.66,88.93,75.3516,734782
2010-01-12,88.33,89.03,88.13,88.63,75.0975,578150
2010-01-13,89.14,89.23,87.39,88.7,75.1568,611969
2010-01-14,88.61,88.81,88.01,88.32,74.8348,245644
2010-01-15,88.45,88.45,86.22,86.45,73.2503,541988
2010-01-19,86.33,88.16,86.16,88.16,74.6992,456263
2010-01-20,87.25,87.5,85.91,87.34,74.0044,463771
2010-01-21,87.51,87.71,83.76,84.66,71.7336,803783
2010-01-22,84.64,85.39,81.96,82.07,69.5391,707561
2010-01-25,82.88,83.31,81.85,81.95,69.4374,832148
2010-01-26,81.65,82.61,80.63,81.4,68.9714,629726
2010-01-27,81.22,81.22,79.16,80.79,68.4545,1171236
2010-01-28,80.93,81.1,78.13,79.78,67.5987,691778
2010-01-29,80.12,81.35,78.95,79.18,67.0903,652390
2010-02-01,79.66,80.96,79.35,80.96,68.5986,573991
2010-02-02,81.18,82.45,80.95,82.1,69.5645,424985
2010-02-03,81.77,82.58,80.73,80.97,68.607,342313
2010-02-04,80.03,80.03,78.43,78.5,66.5142,505783
2010-02-05,78.32,78.85,76.26,78.62,66.6158,531683
2010-02-08,78.49,80.09,77.39,79.61,67.4547,710876
2010-02-09,76.98,77.93,74.66,75.95,64.3535,2723667
2010-02-10,75.94,77.98,74.0,77.41,65.5906,1366704
2010-02-11,77.08,78.11,76.05,78.05,66.1329,412542
2010-02-12,77.37,78.26,76.48,78.25,66.3023,447028
2010-02-16,78.6,79.66,78.15,79.57,67.4208,313059
2010-02-17,79.88,80.16,79.17,79.67,67.5055,219873
2010-02-18,79.76,80.81,79.43,80.67,68.3528,342848
2010-02-19,80.33,81.77,80.1701,81.51,69.0646,417195
2010-02-22,81.62,82.46,80.86,81.99,69.4713,496757
2010-02-23,81.56,82.13,80.66,81.49,69.0476,532201
2010-02-24,81.76,82.1,80.99,81.87,69.3696,498528
2010-02-25,80.66,81.18,79.8,80.96,68.9354,313335
2010-02-26,81.29,81.52,78.59,79.22,67.4538,850960
2010-03-01,79.44,79.44,77.81,78.17,66.5597,539900
2010-03-02,78.22,78.89,77.38,77.63,66.0999,537650
2010-03-03,77.99,79.98,77.88,79.38,67.59,646964
2010-03-04,79.89,80.79,79.74,80.53,68.5692,531399
2010-03-05,81.15,82.33,81.15,82.14,69.9401,443817
2010-03-08,82.16,82.99,82.03,82.53,70.2722,657300
2010-03-09,82.0,82.39,81.53,81.88,69.7187,914807
2010-03-10,82.0,82.5,81.39,82.0,69.8209,360829
2010-03-11,81.64,82.5799,81.0925,82.38,70.1444,527288
2010-03-12,82.49,82.63,81.47,82.06,69.872,431353
2010-03-15,82.14,82.14,80.73,81.33,69.2504,357520
2010-03-16,81.5,82.86,81.25,82.81,70.5106,598798
2010-03-17,82.85,89.67,82.85,89.2,75.9515,2083806
2010-03-18,88.98,89.56,86.65,87.45,74.4614,610273
2010-03-19,86.2,87.54,85.51,87.41,74.4274,1323260
2010-03-22,86.65,90.22,85.98,88.98,75.7642,1138007
2010-03-23,89.75,89.75,87.98,88.94,75.7301,511174
2010-03-24,88.84,89.36,87.77,87.9,74.8446,412356
2010-03-25,88.25,89.17,84.1,84.27,71.7537,1514977
2010-03-26,84.35,84.43,82.5,83.37,70.9874,1038099
2010-03-29,83.82,84.91,83.52,84.9,72.2902,314665
2010-03-30,85.15,85.82,83.98,84.27,71.7537,409355
2010-03-31,84.03,84.4,83.14,83.55,71.1407,359876
2010-04-01,83.9,86.86,83.9,86.5,73.6525,765780
2010-04-05,86.59,87.79,86.05,86.92,74.0101,290069
2010-04-06,86.35,86.35,85.37,85.62,72.9032,463382
2010-04-07,85.32,86.05,84.9,85.59,72.8777,691756
2010-04-08,85.58,87.38,84.61,87.25,74.2911,567554
2010-04-09,85.35,88.32,83.53,87.51,74.5125,830415
2010-04-12,87.61,88.02,86.68,87.08,74.1464,936557
2010-04-13,87.1,87.66,86.36,86.5,73.6525,677965
2010-04-14,86.75,87.39,86.33,87.29,74.3252,1509679
2010-04-15,87.27,89.34,86.34,88.9,75.6961,2733720
2010-04-16,88.64,91.43,87.19,90.83,77.3394,1888953
2010-04-19,90.24,90.48,88.11,89.79,76.4539,1021424
2010-04-20,90.33,92.53,89.61,92.28,78.574,881176
2010-04-21,92.59,94.27,92.21,93.41,79.5362,655522
2010-04-22,92.21,96.33,91.84,95.94,81.6904,999388
2010-04-23,94.95,97.48,94.91,96.56,82.2184,755952
2010-04-26,96.71,99.24,96.28,97.03,82.6185,886447
2010-04-27,96.91,97.68,93.34,93.73,79.8087,917043
2010-04-28,93.78,94.81,93.06,93.43,79.5532,724878
2010-04-29,93.85,96.47,93.85,96.38,82.0651,734117
2010-04-30,96.64,97.88,95.09,95.88,81.6394,732692
2010-05-03,92.71,100.33,92.71,99.81,84.9856,2065545
2010-05-04,98.16,98.16,91.28,92.41,78.6847,1579935
2010-05-05,93.15,93.15,87.98,89.74,76.4113,1674515
2010-05-06,89.01,93.0,83.78,87.86,74.8105,1632170
2010-05-07,87.15,90.225,86.36,88.14,75.0489,1562907
2010-05-10,91.13,94.0125,91.13,93.66,79.7491,936333
2010-05-11,92.5,93.83,91.12,91.23,77.68,1031770
2010-05-12,91.81,93.94,91.81,93.83,79.8938,564008
2010-05-13,93.74,94.16,92.54,93.23,79.3829,492033
2010-05-14,92.3,92.76,91.3,92.03,78.3612,614382
2010-05-17,92.26,93.73,90.59,93.55,79.6554,944913
2010-05-18,94.39,95.06,92.53,92.84,79.0509,1043689
2010-05-19,92.57,94.3,91.78,92.87,79.0764,1082338
2010-05-20,90.37,91.39,88.69,89.0,75.7812,1480075
2010-05-21,87.4,90.4,87.24,90.03,76.6582,1005093
2010-05-24,90.38,91.515,89.5,90.77,77.2883,859738
2010-05-25,88.04,92.26,87.585,92.08,78.4037,884756
2010-05-26,92.69,95.45,92.69,93.98,80.0216,1276053
2010-05-27,96.13,96.26,94.23,95.27,81.12,812909
2010-05-28,95.32,95.32,93.0,93.23,79.3829,901824
2010-06-01,92.74,94.66,91.75,91.83,78.1909,655034
2010-06-02,92.13,93.91,91.99,93.91,79.9619,527681
2010-06-03,94.29,95.3,93.54,94.99,80.8815,587399
2010-06-04,92.3,93.56,88.9,89.18,76.2556,1016107
2010-06-07,89.13,89.41,87.17,87.81,75.0841,1538182
2010-06-08,87.56,88.44,87.0,88.27,75.4775,830803
2010-06-09,88.72,89.93,87.66,87.98,75.2295,634116
2010-06-10,90.59,92.1,89.27,91.4,78.1539,705831
2010-06-11,90.97,92.34,90.77,91.98,78.6498,386496
2010-06-14,92.6,93.98,91.66,91.92,78.5985,400082
2010-06-15,92.6,93.23,91.78,93.02,79.5391,512961
2010-06-16,92.68,93.78,91.45,92.86,79.4023,607508
2010-06-17,93.25,93.61,90.76,92.05,78.7096,426094
2010-06-18,92.12,93.0,91.95,92.17,78.8123,222722
2010-06-21,94.0,94.65,92.01,92.61,79.1885,326142
2010-06-22,92.31,92.77,89.081,89.34,76.3924,421427
2010-06-23,89.26,90.9,88.01,90.14,77.0765,490595
2010-06-24,89.65,89.85,87.83,88.0,75.2466,399038
2010-06-25,88.11,88.9399,86.7,88.62,75.7767,949634
2010-06-28,88.23,89.235,87.88,87.95,75.2038,335081
2010-06-29,86.33,86.33,83.54,85.4,73.0234,1027891
2010-06-30,85.04,86.08,84.12,84.81,72.5189,1225527
2010-07-01,84.65,86.14,83.39,85.29,72.9293,1307257
2010-07-02,85.78,86.6,84.85,85.9,73.4509,512698
2010-07-06,87.66,88.89,86.05,87.12,74.4941,962258
2010-07-07,87.07,87.07,85.19,85.75,73.3227,1422069
2010-07-08,86.21,86.77,84.43,85.09,72.7583,951571
2010-07-09,85.22,87.07,85.09,86.64,74.0837,416023
2010-07-12,86.22,86.47,84.17,84.56,72.3051,449123
2010-07-13,85.61,87.15,85.45,86.78,74.2034,687409
2010-07-14,86.72,86.72,85.25,86.23,73.7331,429384
2010-07-15,86.05,86.07,84.17,85.81,73.374,353609
2010-07-16,85.07,85.33,81.81,82.36,70.424,1016023
2010-07-19,83.01,83.11,81.4999,82.29,70.3641,709248
2010-07-20,81.49,84.91,80.81,84.57,72.3137,642061
2010-07-21,84.82,85.5,83.24,83.93,71.7664,620624
2010-07-22,85.29,86.31,84.83,85.7,73.2799,452328
2010-07-23,85.32,87.29,85.0,87.11,74.4856,309246
2010-07-26,87.41,88.6385,86.88,88.4,75.5886,307033
2010-07-27,88.72,88.77,86.25,86.34,73.8272,440170
2010-07-28,85.95,86.27,84.83,85.43,73.0491,388047
2010-07-29,85.85,86.13,83.46,84.41,72.1769,419668
2010-07-30,83.49,85.87,82.84,85.4,73.0234,542825
2010-08-02,87.08,88.72,86.26,87.38,74.7164,796007
2010-08-03,85.02,87.38,82.05,82.41,70.4667,1562071
2010-08-04,82.12,82.97,79.94,81.59,69.7656,980956
2010-08-05,81.17,82.44,80.84,82.19,70.2786,675558
2010-08-06,81.44,82.81,81.21,82.61,70.6377,427217
2010-08-09,82.84,83.26,82.06,82.86,70.8515,276915
2010-08-10,81.72,82.3,80.84,81.83,69.9708,526201
2010-08-11,80.08,80.57,78.42,79.03,67.5766,776666
2010-08-12,78.41,78.81,77.35,78.07,66.7557,882513
2010-08-13,77.94,78.82,77.75,77.78,66.5077,464319
2010-08-16,77.21,78.1,76.1,76.61,65.5073,759557
2010-08-17,77.64,79.14,77.23,78.64,67.2431,774505
2010-08-18,78.44,79.82,78.0572,78.91,67.474,401634
2010-08-19,79.0378,79.0378,76.54,76.95,65.798,468991
2010-08-20,76.51,77.87,76.01,77.76,66.4906,375708
2010-08-23,78.38,78.73,76.7,76.8,65.6698,464302
2010-08-24,75.6,75.6,72.3699,72.61,62.087,1587390
2010-08-25,72.18,73.51,71.5,73.05,62.4632,843100
2010-08-26,73.3,74.24,72.66,73.12,62.5231,355859
2010-08-27,73.72,75.329,72.63,75.16,64.2674,338214
2010-08-30,74.67,74.67,73.0,73.12,62.8576,309235
2010-08-31,72.9,73.56,72.46,73.2,62.9264,514490
2010-09-01,74.1,75.87,74.02,75.65,65.0325,596171
2010-09-02,75.74,77.24,75.5,77.15,66.322,273540
2010-09-03,78.34,79.7,76.84,77.28,66.4338,413783
2010-09-07,77.89,80.68,77.89,78.79,67.7318,1229244
2010-09-08,78.88,79.1,76.85,77.01,66.2016,672780
2010-09-09,78.08,78.22,76.53,77.18,66.3478,389170
2010-09-10,77.18,77.83,76.98,77.35,66.4939,250672
2010-09-13,78.34,79.25,77.56,78.55,67.5255,310846
2010-09-14,79.22,79.59,77.56,77.65,66.7518,280965
2010-09-15,77.14,77.77,76.63,76.87,66.0813,329955
2010-09-16,76.8,77.22,75.61,76.37,65.6515,290864
2010-09-17,75.41,75.86,74.83,75.3,64.7316,585312
2010-09-20,75.71,75.97,74.78,75.43,64.8434,491796
2010-09-21,75.89,77.87,75.89,76.35,65.6343,694662
2010-09-22,76.31,76.97,75.259,75.49,64.895,313570
2010-09-23,74.72,75.32,73.98,74.34,63.9064,365015
2010-09-24,75.63,76.81,74.89,76.44,65.7116,418135
2010-09-27,76.61,76.6499,75.55,75.93,65.2732,162547
2010-09-28,76.0,76.34,74.78,76.12,65.4366,417052
2010-09-29,75.91,77.06,75.63,77.0,66.193,416813
2010-09-30,77.64,78.18,76.94,76.97,66.1673,424955
2010-10-01,77.88,78.4981,77.27,78.18,67.2074,518705
2010-10-04,77.9,78.17,76.94,77.59,66.7002,426301
2010-10-05,78.48,79.24,77.97,78.58,67.5513,369236
2010-10-06,77.68,79.5589,77.49,79.23,68.1101,349314
2010-10-07,79.86,79.86,77.81,78.37,67.3708,464630
2010-10-08,78.39,79.26,77.5799,78.96,67.878,616636
2010-10-11,79.13,79.65,78.9,79.25,68.1273,545451
2010-10-12,78.82,79.01,77.39,78.1,67.1387,372579
2010-10-13,78.9,79.08,77.77,78.38,67.3794,404677
2010-10-14,78.44,79.57,78.19,78.75,67.6974,349007
2010-10-15,80.21,80.21,78.459,79.54,68.3766,465961
2010-10-18,79.88,79.88,78.37,78.66,67.6201,285047
2010-10-19,77.08,79.16,77.0,77.84,66.9152,548590
2010-10-20,77.93,78.89,77.53,78.54,67.5169,354573
2010-10-21,79.07,79.35,77.98,78.86,67.792,336577
2010-10-22,78.89,79.16,78.25,78.91,67.835,240221
2010-10-25,79.91,80.81,79.62,79.91,68.6946,359924
2010-10-26,79.64,81.71,79.46,80.41,69.1245,435462
2010-10-27,80.18,80.25,78.43,80.17,68.9181,330738
2010-10-28,81.36,81.36,79.42,79.87,68.6602,242090
2010-10-29,79.84,80.87,79.13,80.48,69.1846,311813
2010-11-01,81.47,81.47,79.66,80.26,68.9955,413920
2010-11-02,79.54,83.89,79.54,82.69,71.0845,844007
2010-11-03,82.42,82.8,81.16,82.28,70.732,553959
2010-11-04,83.73,85.87,83.14,85.65,73.629,479000
2010-11-05,85.63,88.31,85.41,86.96,74.7552,421219
2010-11-08,86.93,89.26,86.45,89.07,76.569,621486
2010-11-09,89.1,89.88,88.3637,89.16,76.6464,526082
2010-11-10,89.0,89.06,86.7,88.59,76.1564,412318
2010-11-11,87.87,88.37,87.47,88.0,75.6492,274448
2010-11-12,87.23,88.37,85.96,86.16,74.0674,346487
2010-11-15,86.87,87.14,85.58,85.65,73.629,266117
2010-11-16,85.16,85.97,83.5,84.02,72.2278,449141
2010-11-17,84.21,85.33,83.67,84.91,72.9929,228691
2010-11-18,86.37,86.62,85.06,85.17,73.2164,221223
2010-11-19,84.98,85.47,84.68,85.12,73.1734,142353
2010-11-22,84.7,85.96,84.51,85.77,73.7322,205623
2010-11-23,85.44,85.78,84.35,85.48,73.4829,265831
2010-11-24,85.95,87.16,85.95,86.97,74.7638,219036
2010-11-26,86.41,86.41,84.97,85.14,73.1906,135427
2010-11-29,84.84,85.37,83.76,85.09,73.4929,148197
2010-11-30,84.13,85.27,84.0,84.54,73.0179,278579
2010-12-01,85.62,88.66,85.62,88.39,76.3431,368083
2010-12-02,88.64,91.14,88.41,90.15,77.8633,427937
2010-12-03,89.68,90.37,88.51,89.61,77.3969,351535
2010-12-06,89.56,89.56,88.4,88.9,76.7836,177102
2010-12-07,90.38,90.38,88.94,89.03,76.8959,266330
2010-12-08,89.35,89.52,88.14,88.99,76.8614,167408
2010-12-09,89.59,89.85,88.91,89.51,77.3105,253195
2010-12-10,89.91,90.95,89.6,90.5,78.1656,179532
2010-12-13,90.65,92.23,90.65,91.75,79.2452,313761
2010-12-14,91.67,93.61,91.67,93.59,80.8344,568409
2010-12-15,93.42,94.82,93.18,93.54,80.7912,536187
2010-12-16,93.82,94.99,93.42,94.8,81.8795,252453
2010-12-17,94.89,95.0,93.73,93.74,80.964,398775
2010-12-20,93.79,94.0,92.84,93.08,80.3939,373753
2010-12-21,93.35,94.51,93.35,93.92,81.1194,287684
2010-12-22,94.08,94.3699,93.32,93.75,80.9726,206343
2010-12-23,93.765,93.9,92.47,92.68,80.0484,187204
2010-12-27,92.46,93.71,92.18,93.4,80.6703,135918
2010-12-28,93.49,93.57,92.78,93.14,80.4457,203164
2010-12-29,93.23,94.04,93.23,94.0,81.1885,189431
2010-12-30,93.62,94.37,92.88,92.98,80.3076,231817
2010-12-31,93.01,94.0,92.19,92.24,79.6684,288316
2011-01-03,92.97,93.91,92.67,93.0,80.3248,344881
2011-01-04,90.41,90.41,85.95,86.98,75.1253,989633
2011-01-05,86.48,86.48,84.58,84.73,73.182,1000944
2011-01-06,84.5,84.6,81.8,82.85,71.5582,1167893
2011-01-07,83.1,84.04,81.25,81.62,70.4958,927021
2011-01-10,81.47,83.3,80.38,82.67,71.4027,572630
2011-01-11,82.8,83.54,82.41,82.97,71.6618,223266
2011-01-12,82.93,84.49,82.93,83.6,72.206,426463
2011-01-13,83.375,83.68,82.9,83.14,71.8087,312057
2011-01-14,82.87,84.1,82.47,83.89,72.4564,620784
2011-01-18,83.88,84.11,83.04,83.98,72.5342,428785
2011-01-19,83.79,84.13,83.15,83.5,72.1196,614160
2011-01-20,83.08,84.62,83.08,83.35,71.99,530666
2011-01-21,84.07,84.49,82.6,83.53,72.1455,417125
2011-01-24,83.48,86.16,83.48,84.92,73.3461,671359
2011-01-25,84.31,85.62,83.51,84.54,73.0179,382188
2011-01-26,84.9,85.06,83.38,84.4,72.8969,469503
2011-01-27,84.14,85.05,83.73,84.71,73.1647,272115
2011-01-28,84.7,84.92,81.8,82.29,71.0745,501789
2011-01-31,82.51,83.82,82.0,83.5,72.1196,575959
2011-02-01,83.67,85.05,83.12,83.83,72.4046,673383
2011-02-02,83.9,85.08,83.42,84.22,72.7415,284253
2011-02-03,83.95,86.599,82.22,86.21,74.4603,746121
2011-02-04,86.4,86.95,84.99,86.0,74.2789,386122
2011-02-07,86.21,89.07,86.21,88.62,76.5418,548197
2011-02-08,91.41,94.31,90.34,90.65,78.2951,673712
2011-02-09,88.69,89.289,86.06,88.13,76.1186,611807
2011-02-10,87.91,89.21,87.8,88.77,76.6713,213976
2011-02-11,88.35,89.62,87.65,89.54,77.3364,292250
2011-02-14,89.34,91.14,88.84,90.8,78.4247,501487
2011-02-15,90.97,91.75,89.32,89.5,77.3018,379133
2011-02-16,89.96,92.25,89.73,91.59,79.107,659948
2011-02-17,91.37,92.45,90.76,92.08,79.5302,487337
2011-02-18,92.23,93.05,90.93,92.14,79.582,359685
2011-02-22,90.91,94.2,88.28,88.39,76.3431,301605
2011-02-23,88.63,89.07,85.46,86.78,74.9526,320204
2011-02-24,86.72,88.31,85.84,87.04,75.1771,275004
2011-02-25,87.07,88.33,86.7,88.08,76.4266,228594
2011-02-28,88.6,89.63,88.43,88.86,77.1034,339887
2011-03-01,89.46,89.7,86.0,86.25,74.8387,304522
2011-03-02,86.26,87.38,85.69,86.12,74.7259,354567
2011-03-03,87.19,87.85,85.77,86.82,75.3333,333318
2011-03-04,86.94,87.63,85.44,86.45,75.0123,229842
2011-03-07,86.72,86.95,84.95,85.15,73.8843,278731
2011-03-08,85.53,86.94,85.01,86.06,74.6739,325207
2011-03-09,85.98,86.3,84.89,85.58,74.2574,234197
2011-03-10,84.42,84.69,83.62,84.25,73.1033,328971
2011-03-11,83.73,85.5,83.73,84.92,73.6847,126766
2011-03-14,84.67,85.67,83.81,84.78,73.5632,178990
2011-03-15,82.27,86.54,82.0,85.65,74.3181,483636
2011-03-16,85.29,85.46,83.49,83.86,72.7649,306140
2011-03-17,85.47,85.689,84.05,84.33,73.1728,204434
2011-03-18,85.4,85.99,84.14,84.83,73.6066,356263
2011-03-21,86.14,86.31,85.03,85.57,74.2487,290872
2011-03-22,85.37,85.89,83.72,84.27,73.1207,340339
2011-03-23,84.07,84.72,83.37,84.39,73.2248,431570
2011-03-24,84.96,87.4,84.58,87.29,75.7411,403165
2011-03-25,87.7,88.69,87.22,88.19,76.5221,211354
2011-03-28,88.6,88.6,87.68,87.84,76.2184,207823
2011-03-29,87.54,89.03,87.13,88.33,76.6435,233973
2011-03-30,88.73,89.82,88.06,89.35,77.5286,148702
2011-03-31,89.08,90.02,88.72,89.67,77.8062,162466
2011-04-01,90.38,91.605,90.1918,91.19,79.1251,505623
2011-04-04,91.17,91.17,88.73,89.28,77.4678,268906
2011-04-05,89.73,90.54,89.01,90.45,78.483,201923
2011-04-06,90.99,91.52,90.52,91.17,79.1078,183730
2011-04-07,91.02,92.32,90.8,90.93,78.8995,249282
2011-04-08,91.58,91.8,89.65,90.11,78.188,315734
2011-04-11,90.02,90.02,88.0,88.45,76.7477,267601
2011-04-12,87.7,88.89,87.58,88.0,76.3572,324094
2011-04-13,88.71,88.91,87.6,88.71,76.9733,337965
2011-04-14,88.09,88.85,87.62,88.72,76.9819,236227
2011-04-15,88.77,89.72,88.21,89.01,77.2336,127692
2011-04-18,87.61,87.8,86.35,86.56,75.1077,479200
2011-04-19,86.88,87.0899,85.64,86.56,75.1077,248716
2011-04-20,87.79,88.33,87.09,87.99,76.3485,247728
2011-04-21,88.65,90.35,88.57,90.21,78.2748,304607
2011-04-25,90.24,91.05,89.79,90.93,78.8995,346698
2011-04-26,91.73,92.05,91.4515,91.67,79.5416,399894
2011-04-27,91.67,92.22,91.31,92.06,79.88,631090
2011-04-28,91.75,92.37,91.11,91.52,79.4115,237479
2011-04-29,91.45,92.2,91.0,91.19,79.1251,317241
2011-05-02,91.57,92.0,90.89,90.92,78.8909,448716
2011-05-03,90.79,90.98,88.16,89.11,77.3203,677636
2011-05-04,89.01,89.66,86.87,87.97,76.3312,428483
2011-05-05,87.32,88.7,86.61,86.98,75.4721,338338
2011-05-06,88.04,88.53,86.91,87.19,75.6544,233425
2011-05-09,87.03,87.36,86.25,86.68,75.2118,219199
2011-05-10,87.2,88.47,86.77,88.36,76.6696,440270
2011-05-11,88.29,88.31,86.01,87.57,75.9841,425886
2011-05-12,87.31,87.66,86.0,86.9,75.4027,169948
2011-05-13,87.14,87.14,85.86,86.47,75.0296,186625
2011-05-16,85.93,87.2,85.93,86.75,75.2726,255143
2011-05-17,86.37,87.32,86.34,86.53,75.0817,292750
2011-05-18,86.66,86.97,85.76,86.65,75.1858,238471
2011-05-19,86.97,87.38,85.91,86.85,75.3593,118738
2011-05-20,86.54,86.89,85.87,86.28,74.8648,207810
2011-05-23,84.7,85.89,84.5,85.2,73.9276,181977
2011-05-24,85.42,85.51,84.44,84.93,73.6934,313418
2011-05-25,84.65,84.65,83.21,83.56,72.5046,762890
2011-05-26,83.15,83.28,81.98,83.22,72.2096,833964
2011-05-27,82.54,84.68,82.54,84.14,73.3605,520329
2011-05-31,84.77,85.75,84.5,85.66,74.6858,344348
2011-06-01,85.66,85.66,84.16,84.23,73.439,484584
2011-06-02,84.17,84.57,83.37,83.68,72.9594,138987
2011-06-03,82.54,82.99,81.78,82.01,71.5034,278904
2011-06-06,81.76,81.84,80.67,81.05,70.6664,233423
2011-06-07,81.82,81.85,80.52,81.01,70.6315,192186
2011-06-08,80.75,81.13,80.28,80.46,70.152,171972
2011-06-09,80.55,81.06,80.16,80.65,70.3176,251376
2011-06-10,80.24,80.4,78.75,79.07,68.94,206966
2011-06-13,79.16,79.93,78.95,79.37,69.2016,194916
2011-06-14,80.26,82.9,80.26,82.38,71.826,692260
2011-06-15,81.24,81.65,79.17,79.76,69.5416,481150
2011-06-16,79.8,81.04,79.13,79.99,69.7422,325245
2011-06-17,80.49,81.11,79.93,80.86,70.5007,303964
2011-06-20,80.44,82.0,79.99,81.3,70.8843,251726
2011-06-21,81.76,82.64,81.37,82.37,71.8173,178195
2011-06-22,81.86,81.99,81.1425,81.24,70.832,188962
2011-06-23,80.07,81.24,79.31,81.11,70.7187,354932
2011-06-24,81.36,81.46,78.9431,79.46,69.2801,690224
2011-06-27,79.65,80.31,78.95,79.36,69.1929,195179
2011-06-28,79.77,80.74,79.48,80.34,70.0473,230873
2011-06-29,80.8,81.17,79.66,80.05,69.7945,294095
2011-06-30,80.16,80.55,79.8205,79.97,69.7247,484476
2011-07-01,80.07,82.015,79.58,81.11,70.7187,413875
2011-07-05,81.18,81.72,79.89,81.37,70.9454,388051
2011-07-06,81.18,82.65,80.461,80.56,70.2391,442654
2011-07-07,81.46,81.68,80.2,80.84,70.4833,447742
2011-07-08,79.95,80.39,78.9,79.75,69.5329,619611
2011-07-11,78.71,78.77,77.12,77.66,67.7107,588247
2011-07-12,78.26,78.84,77.6,78.4,68.3559,763979
2011-07-13,78.83,79.91,78.72,78.96,68.8441,547574
2011-07-14,79.5,79.72,77.24,77.51,67.5799,494449
2011-07-15,77.67,77.87,76.73,77.75,67.7891,381098
2011-07-18,77.35,77.59,75.96,76.23,66.4639,296274
2011-07-19,76.64,77.74,76.64,77.14,67.2573,373572
2011-07-20,77.18,77.89,77.01,77.76,67.7979,309321
2011-07-21,78.07,79.43,78.07,79.08,68.9488,271800
2011-07-22,78.76,79.71,77.58,79.16,69.0185,422929
2011-07-25,78.05,79.69,78.05,78.82,68.7221,161235
2011-07-26,78.52,78.69,77.78,78.35,68.3123,258520
2011-07-27,78.18,78.469,76.728,76.92,67.0655,414915
2011-07-28,76.98,77.21,75.59,75.81,66.0977,388024
2011-07-29,74.65,76.19,74.61,75.62,65.932,485571
2011-08-01,76.44,76.64,73.94,74.41,64.877,521616
2011-08-02,73.36,73.37,69.87,69.98,61.0146,1369213
2011-08-03,70.9,72.19,69.06,70.52,61.4854,2079876
2011-08-04,69.5,70.54,68.54,68.56,59.7765,1153014
2011-08-05,69.35,69.72,66.85,67.63,58.9657,1903001
2011-08-08,63.78,67.7,63.77,66.91,58.3379,1461517
2011-08-09,68.2,68.66,62.63,66.6,58.0676,1768532
2011-08-10,65.04,65.14,62.47,62.49,54.4842,1224808
2011-08-11,62.84,65.67,62.15,65.43,57.0475,970375
2011-08-12,65.79,66.42,64.7,64.99,56.6639,490271
2011-08-15,65.6,68.3,65.6,68.25,59.5062,724899
2011-08-16,67.55,68.63,67.4719,68.18,59.4452,683455
2011-08-17,68.46,69.07,66.57,66.92,58.3466,389682
2011-08-18,65.24,65.25,61.55,62.0,54.0569,795174
2011-08-19,61.08,62.8935,60.92,61.89,53.961,523247
2011-08-22,63.36,63.52,61.37,62.73,54.6934,479932
2011-08-23,63.0,65.85,62.22,65.85,57.4137,488741
2011-08-24,65.41,67.76,65.32,67.49,58.8436,414089
2011-08-25,67.7,67.95,65.57,65.73,57.3091,341374
2011-08-26,65.25,67.06,63.81,66.48,57.963,396887
2011-08-29,67.33,70.4,67.33,70.37,61.3546,533089
2011-08-30,70.41,71.68,68.9,70.95,62.214,545715
2011-08-31,71.52,72.66,70.31,70.83,62.1087,574595
2011-09-01,70.8,71.95,69.48,69.64,61.0653,432282
2011-09-02,68.31,68.63,65.72,66.14,57.9962,440080
2011-09-06,64.54,70.97,64.42,69.59,61.0214,1456403
2011-09-07,70.46,71.12,68.93,70.53,61.8457,1026109
2011-09-08,70.08,70.55,68.87,69.38,60.8373,553199
2011-09-09,68.72,68.72,65.56,66.1,57.9611,707618
2011-09-12,65.19,66.84,64.95,66.77,58.5486,505993
2011-09-13,66.06,68.2,66.03,67.91,59.5483,596650
2011-09-14,68.12,69.14,66.32,67.94,59.5746,661953
2011-09-15,68.87,69.33,68.09,68.83,60.355,328049
2011-09-16,68.9,69.86,67.67,68.24,59.8376,397919
2011-09-19,67.19,67.29,65.24,66.1,57.9611,442340
2011-09-20,66.5,67.09,64.32,64.4,56.4705,433800
2011-09-21,64.1,64.34,62.94,62.94,55.1902,427127
2011-09-22,61.42,62.56,60.8,62.25,54.5852,866962
2011-09-23,62.14,63.94,61.87,62.87,55.1288,617008
2011-09-26,64.12,65.86,63.16,65.67,57.5841,539394
2011-09-27,67.04,68.45,65.52,65.83,57.7244,437708
2011-09-28,66.24,66.38,64.32,64.66,56.6984,351840
2011-09-29,66.28,66.48,64.85,65.82,57.7156,610334
2011-09-30,64.63,64.79,62.88,63.22,55.4358,443505
2011-10-03,62.89,63.78,60.33,61.62,54.0328,922970
