date,open,high,low,close,adjusted_close,volume
2010-01-04,83.0899,83.4499,82.67,83.02,40.835,3640265
2010-01-05,82.8,83.23,81.7,82.5,40.5792,3405012
2010-01-06,83.88,84.6,83.51,83.67,41.1548,6301126
2010-01-07,83.3201,83.7599,82.12,83.73,41.1843,5346240
2010-01-08,83.69,84.32,83.3,84.32,41.4745,4073337
2010-01-11,84.38,84.6,83.41,83.98,41.3072,3500812
2010-01-12,83.5799,84.18,83.3,84.05,41.3416,3626033
2010-01-13,84.11,84.11,83.2,83.78,41.2089,3709992
2010-01-14,83.74,83.93,83.42,83.5001,41.0712,3150384
2010-01-15,83.52,84.09,82.87,83.3701,41.0072,4730180
2010-01-19,83.82,85.17,83.5001,85.12,41.868,5382478
2010-01-20,84.83,85.13,83.59,84.72,41.6712,4390755
2010-01-21,84.6,84.6,82.57,82.7001,40.6777,5720707
2010-01-22,82.4,82.8301,81.3,81.48,40.0776,5751564
2010-01-25,82.33,82.89,81.48,81.83,40.2497,4050374
2010-01-26,81.46,82.73,81.04,81.63,40.1513,3753048
2010-01-27,81.33,82.84,81.01,82.3,40.4809,6060012
2010-01-28,82.62,82.64,79.11,80.75,39.7185,8157557
2010-01-29,81.35,81.88,80.18,80.49,39.5906,5199012
2010-02-01,80.84,80.89,79.94,80.44,39.566,4344709
2010-02-02,80.7,80.94,79.7,80.43,39.5611,5609240
2010-02-03,79.83,81.68,79.83,81.5,40.0874,4067955
2010-02-04,81.1299,81.1299,78.83,79.21,38.961,6353870
2010-02-05,79.16,79.5,77.26,78.54,38.6315,6467968
2010-02-08,78.48,78.48,77.25,77.53,38.1347,5271131
2010-02-09,78.28,79.41,77.9,78.72,38.72,5085990
2010-02-10,78.8,79.29,78.0,78.62,38.6708,2924459
2010-02-11,79.2201,80.39,78.84,80.27,39.4824,6607302
2010-02-12,79.14,79.23,78.07,79.18,38.9462,6509828
2010-02-16,80.08,80.6401,79.34,80.47,39.5808,4328444
2010-02-17,80.42,80.6901,79.74,80.14,39.7285,3701859
2010-02-18,80.06,81.1801,80.06,81.11,40.2093,3232070
2010-02-19,81.14,81.74,80.61,81.52,40.4125,3848608
2010-02-22,81.71,81.76,80.55,80.68,39.9961,3618378
2010-02-23,80.41,81.09,79.67,79.7101,39.5153,4762352
2010-02-24,80.0,80.6,79.5,80.07,39.6938,4222717
2010-02-25,79.16,79.77,78.64,79.74,39.5301,4911135
2010-02-26,79.74,80.3301,79.1,80.1501,39.7334,3856382
2010-03-01,80.57,80.9499,80.35,80.58,39.9466,3043940
2010-03-02,80.74,81.38,80.58,81.1299,40.2192,4025258
2010-03-03,81.16,81.68,80.86,81.0001,40.1548,3411351
2010-03-04,81.21,81.3601,80.57,81.02,40.1647,3133879
2010-03-05,81.35,82.5,81.23,82.44,40.8687,3758550
2010-03-08,82.4199,82.53,81.23,81.3099,40.3084,4338968
2010-03-09,81.15,82.13,80.74,81.99,40.6456,5082761
2010-03-10,81.92,82.06,81.25,81.56,40.4324,4287182
2010-03-11,81.2599,81.5401,80.5101,81.2599,40.2836,4841528
2010-03-12,81.57,81.6699,80.92,81.38,40.3432,3523296
2010-03-15,81.16,81.66,80.78,81.2599,40.2836,3136271
2010-03-16,81.2599,81.66,80.53,81.66,40.482,5073671
2010-03-17,81.9299,82.41,81.65,82.18,40.7398,4771681
2010-03-18,82.3,83.75,82.0,83.67,41.4784,5907642
2010-03-19,81.96,84.0,81.51,81.96,40.6307,8223935
2010-03-22,81.5,82.2,81.5,81.84,40.5712,3895013
2010-03-23,82.1,82.41,81.16,82.35,40.824,4967108
2010-03-24,81.86,82.3,81.43,81.61,40.4572,3710590
2010-03-25,82.01,82.25,80.84,80.93,40.1201,5911230
2010-03-26,81.1,81.3601,80.75,81.0001,40.1548,4563099
2010-03-29,81.24,81.69,81.03,81.3601,40.3333,3710710
2010-03-30,82.36,84.5,82.24,84.28,41.7808,10410702
2010-03-31,84.05,84.46,83.35,83.57,41.4288,5186693
2010-04-01,83.87,84.23,83.4,83.85,41.5676,3547097
2010-04-05,84.22,84.4801,83.5799,84.19,41.7362,3110557
2010-04-06,83.9,84.47,83.55,84.3501,41.8155,3837366
2010-04-07,84.11,84.63,83.2,83.66,41.4734,5338346
2010-04-08,83.41,83.6,82.77,82.95,41.1215,4494209
2010-04-09,82.97,83.67,82.79,83.49,41.3892,3449144
2010-04-12,83.7599,83.7599,83.0899,83.28,41.2851,3140816
2010-04-13,83.04,84.24,82.69,83.9399,41.6122,5090176
2010-04-14,83.91,84.47,83.48,84.39,41.8353,4343992
2010-04-15,84.14,85.0,83.93,85.0,42.1377,5424458
2010-04-16,84.7,84.95,83.2,83.7599,41.523,6389391
2010-04-19,83.61,84.13,83.1401,83.9,41.5924,4250823
2010-04-20,84.41,85.85,84.32,85.27,42.2716,6859060
2010-04-21,85.44,85.85,85.07,85.7,42.4847,5409388
2010-04-22,85.0999,86.14,84.47,86.05,42.6583,5534729
2010-04-23,86.1801,87.09,85.93,86.58,42.921,4772758
2010-04-26,86.82,87.79,86.74,87.44,43.3474,7521524
2010-04-27,89.9199,90.25,87.77,87.97,43.6101,13321885
2010-04-28,88.8899,89.08,87.6499,88.24,43.7439,6853798
2010-04-29,88.9399,90.0,88.64,89.33,44.2843,6319903
2010-04-30,88.7,89.7,88.3999,88.67,43.9571,6293352
2010-05-03,89.19,90.0,88.62,89.81,44.5223,5558290
2010-05-04,89.22,89.22,87.01,87.68,43.4663,6525854
2010-05-05,87.04,87.22,86.0799,86.59,42.926,5836480
2010-05-06,86.06,90.52,68.96,84.24,41.761,10950576
2010-05-07,83.66,84.31,81.2599,82.63,40.9628,10009085
2010-05-10,85.6,87.04,84.9,85.97,42.6186,7500834
2010-05-11,85.18,85.97,84.87,85.04,42.1576,5693917
2010-05-12,85.39,86.6201,85.21,86.4399,42.8516,4103476
2010-05-13,86.06,87.0,85.42,85.5899,42.4302,3963903
2010-05-14,85.06,85.55,83.95,84.68,41.9791,4949526
2010-05-17,84.88,85.14,83.02,84.68,41.9791,3817273
2010-05-18,85.09,86.2,83.85,84.02,41.6519,6243000
2010-05-19,83.34,83.34,81.95,82.54,41.2263,7660619
2010-05-20,81.17,81.47,79.5,79.58,39.7479,10468229
2010-05-21,78.42,80.7699,78.1399,80.7,40.3073,7761681
2010-05-24,80.73,80.74,79.44,79.59,39.7529,4336576
2010-05-25,78.7,79.55,77.31,79.47,39.6929,6823419
2010-05-26,80.0,80.6901,79.03,79.1699,39.5431,5646196
2010-05-27,80.41,81.53,80.04,81.43,40.6719,5447660
2010-05-28,81.53,81.69,78.7599,79.31,39.613,7753429
2010-06-01,78.72,79.87,77.97,78.07,38.9937,5190879
2010-06-02,78.6,78.89,77.51,78.74,39.3283,6905226
2010-06-03,79.29,79.76,77.66,78.34,39.1286,9425556
2010-06-04,77.2899,77.2899,75.8,76.1,38.0097,9750749
2010-06-07,76.16,76.86,74.69,74.74,37.3304,7113569
2010-06-08,74.74,75.1499,72.72,74.92,37.4203,8646482
2010-06-09,75.47,76.1,74.5,74.7899,37.3554,5744508
2010-06-10,75.78,77.59,75.62,77.43,38.674,7420582
2010-06-11,76.66,78.39,76.6199,78.3,39.1085,5534729
2010-06-14,78.9901,79.33,78.06,78.1399,39.0286,4319952
2010-06-15,79.09,79.86,78.74,79.77,39.8428,3866907
2010-06-16,79.28,81.0001,78.9901,80.88,40.3972,6410321
2010-06-17,81.34,81.37,79.9,81.03,40.4721,4755774
2010-06-18,80.84,81.38,80.3801,81.1801,40.5471,6285937
2010-06-21,81.96,83.0,81.07,81.47,40.6919,4860544
2010-06-22,81.71,81.87,79.88,80.03,39.9726,3727693
