date,open,high,low,close,adjusted_close,volume
2010-01-04,24.35,24.5,23.85,24.0,20.8207,232586
2010-01-05,23.82,24.07,23.55,23.9,20.734,208374
2010-01-06,23.6,23.67,22.72,23.1,20.04,663615
2010-01-07,23.15,23.28,22.74,22.75,19.7363,639327
2010-01-08,22.74,23.07,22.74,23.01,19.9619,171054
2010-01-11,23.05,23.19,22.56,22.77,19.7537,251203
2010-01-12,22.68,22.88,21.86,22.06,19.1377,335998
2010-01-13,22.14,22.4,21.48,22.02,19.103,546729
2010-01-14,22.01,22.5,21.95,22.24,19.2939,232142
2010-01-15,22.31,22.31,21.48,21.79,18.9035,338995
2010-01-19,21.97,22.15,21.75,22.12,19.1898,357473
2010-01-20,22.01,22.07,21.79,22.01,19.0944,485289
2010-01-21,22.11,22.47,21.98,22.0,19.0857,354910
2010-01-22,21.92,22.08,21.33,21.43,18.5912,603822
2010-01-25,21.66,22.04,21.11,21.46,18.6172,366809
2010-01-26,21.33,21.48,21.08,21.15,18.3483,210406
2010-01-27,21.09,21.705,20.88,21.66,18.7907,269725
2010-01-28,21.65,21.9,20.69,20.9,18.1314,312845
2010-01-29,20.98,21.05,20.39,20.62,17.8885,757398
2010-02-01,20.76,21.31,20.54,21.01,18.2268,374264
2010-02-02,20.8,21.63,20.71,21.5,18.6519,597239
2010-02-03,19.9,20.28,19.28,19.87,17.2378,1882752
2010-02-04,19.67,19.7,18.9419,18.98,16.4657,860942
2010-02-05,18.8,20.25,18.4,19.44,16.8648,1480241
2010-02-08,19.52,19.94,19.05,19.52,16.9342,524882
2010-02-09,20.25,20.62,19.64,20.2,17.5241,509493
2010-02-10,20.19,20.67,19.85,20.49,17.7757,469693
2010-02-11,21.19,21.45,20.39,21.25,18.435,754568
2010-02-12,20.89,21.85,20.89,21.5,18.6519,477384
2010-02-16,21.7,21.81,21.45,21.66,18.7907,157185
2010-02-17,21.79,21.79,21.27,21.53,18.6779,235741
2010-02-18,21.45,21.63,21.19,21.62,18.756,242629
2010-02-19,21.57,21.57,21.13,21.19,18.383,313446
2010-02-22,21.2,21.22,20.89,20.94,18.1661,503051
2010-02-23,20.97,21.01,20.39,20.55,17.8278,396398
2010-02-24,20.55,20.91,20.55,20.83,18.0707,275055
2010-02-25,20.52,20.74,20.27,20.73,17.9839,152741
2010-02-26,20.68,20.72,20.25,20.31,17.6196,150538
2010-03-01,20.4,21.01,20.225,20.85,18.088,620386
2010-03-02,20.94,21.5,20.69,21.16,18.357,626152
2010-03-03,21.23,21.42,20.75,20.92,18.1487,207074
2010-03-04,20.9,21.0,20.59,20.94,18.1661,134431
2010-03-05,21.06,21.1,20.7,20.85,18.088,288169
2010-03-08,20.91,21.25,20.41,21.19,18.383,784031
2010-03-09,21.06,21.18,20.57,20.86,18.0967,241090
2010-03-10,20.78,21.14,20.74,20.91,18.1401,398419
2010-03-11,20.76,20.76,20.43,20.67,17.9319,381709
2010-03-12,20.8,20.98,20.25,20.36,17.6629,349556
