date,open,high,low,close,adjusted_close,volume
2010-01-04,36.82,37.25,36.55,37.01,21.8385,14563532
2010-01-05,37.3,37.45,36.9299,37.16,21.927,15452550
2010-01-06,37.21,37.73,36.9,37.66,22.222,15971415
2010-01-07,37.47,37.9,37.4,37.72,22.2575,12488597
2010-01-08,37.87,37.89,37.4299,37.7,22.2457,11283921
2010-01-11,37.88,37.92,37.5,37.85,22.3342,10041726
2010-01-12,37.82,37.99,37.32,37.55,22.1572,11445942
2010-01-13,38.31,39.37,38.1,38.93,22.9714,26593419
2010-01-14,39.2399,40.12,39.1,39.99,23.5969,23081466
2010-01-15,39.98,40.27,39.01,39.47,23.2901,21854258
2010-01-19,39.5499,40.84,39.44,40.62,23.9686,20908334
2010-01-20,40.64,41.15,39.97,41.03,24.2106,21843150
2010-01-21,41.08,41.56,40.0499,40.08,23.65,26803019
2010-01-22,39.9,40.29,38.77,38.87,22.936,18301853
2010-01-25,39.28,39.74,38.72,38.76,22.8711,16116039
2010-01-26,38.5,38.95,38.16,38.58,22.7649,20817158
2010-01-27,38.49,38.78,37.96,38.64,22.8003,18322289
2010-01-28,38.7399,38.94,37.94,37.97,22.405,14008197
2010-01-29,38.26,39.01,37.66,38.18,22.5289,16893655
2010-02-01,38.56,38.63,38.07,38.3,22.5997,9666647
2010-02-02,38.36,39.72,38.1,39.54,23.3314,15857288
2010-02-03,39.4,39.42,38.47,38.72,22.8475,18305311
2010-02-04,38.39,38.51,36.82,37.1,21.8916,26547307
2010-02-05,37.05,37.08,35.82,36.73,21.6733,24074970
2010-02-08,36.58,37.08,36.22,36.59,21.5907,10705949
2010-02-09,36.9299,37.17,36.32,36.47,21.5199,17965864
2010-02-10,36.5,36.69,35.76,36.2,21.3606,17627884
2010-02-11,36.22,37.0,35.87,36.88,21.7618,15123478
2010-02-12,36.63,37.15,36.09,36.92,21.7854,18766955
2010-02-16,37.72,38.18,37.26,37.66,22.222,21768951
2010-02-17,37.73,37.92,37.16,37.34,22.0332,12534918
2010-02-18,37.28,37.5,37.03,37.29,22.0037,12942590
2010-02-19,37.23,37.63,37.15,37.49,22.1217,13004003
2010-02-22,37.86,37.86,36.6,37.12,21.9034,18421115
2010-02-23,36.9,37.14,36.4,36.51,21.5435,16699670
2010-02-24,36.7,37.04,36.27,36.9299,21.7913,17913988
2010-02-25,36.44,36.66,36.05,36.57,21.5788,17854252
2010-02-26,36.7,37.06,36.44,36.88,21.7618,13800483
2010-03-01,37.03,37.4299,37.03,37.27,21.9919,12373107
2010-03-02,37.58,37.69,37.32,37.39,22.0627,12842402
2010-03-03,37.69,37.85,37.1,37.21,21.9565,13186879
2010-03-04,37.29,37.38,36.88,37.14,21.9152,12421839
2010-03-05,37.22,37.56,36.9299,37.49,22.1217,10342502
2010-03-08,37.49,37.54,37.11,37.35,22.0391,12625570
2010-03-09,37.21,37.3,36.83,37.04,21.8562,15401198
2010-03-10,36.95,37.08,36.5,36.67,21.6379,20357505
2010-03-11,36.35,36.95,36.1,36.88,21.9895,16049177
2010-03-12,37.05,37.2,36.73,37.16,22.1564,17172738
2010-03-15,37.04,37.8,37.0,37.75,22.5082,18251863
