date,open,high,low,close,adjusted_close,volume
2010-01-04,31.75,32.17,31.63,32.11,14.6837,9214250
2010-01-05,32.2401,32.34,32.03,32.14,14.6975,9483319
2010-01-06,32.11,32.8999,32.0101,32.85,15.0221,15233864
2010-01-07,32.75,32.75,32.2199,32.65,14.9307,7803018
2010-01-08,32.48,32.8,32.35,32.7001,14.9536,7585247
2010-01-11,32.97,33.05,32.4401,32.7001,14.9536,10013076
2010-01-12,32.3299,32.48,32.1299,32.25,14.7477,9018106
2010-01-13,32.23,32.28,31.63,32.14,14.6975,9795977
2010-01-14,32.2701,32.2701,31.77,31.97,14.6197,8469573
2010-01-15,31.91,31.91,31.0101,31.6401,14.4688,14417100
2010-01-19,31.4701,32.17,31.4199,32.1299,14.6929,11069740
2010-01-20,31.89,32.28,31.6101,32.1899,14.7203,12105951
2010-01-21,32.23,32.37,31.4101,31.4999,14.4048,12399329
2010-01-22,31.2101,31.4999,30.54,30.5801,13.9841,11845767
2010-01-25,30.75,31.15,30.6701,30.71,14.0435,7210729
2010-01-26,30.51,30.8701,30.17,30.4,13.9018,9124560
2010-01-27,30.3899,31.8,29.9599,30.37,13.888,10633697
2010-01-28,30.4401,30.65,29.92,30.17,13.7966,12324225
2010-01-29,30.54,30.7599,29.6199,29.8101,13.632,11986421
2010-02-01,30.17,30.66,30.0,30.65,14.0161,9755574
2010-02-02,30.0,30.91,29.9899,30.9001,14.1305,17208550
2010-02-03,30.83,30.86,30.14,30.37,13.888,10842079
2010-02-04,30.1001,30.1599,28.8199,28.86,13.1975,16487343
2010-02-05,28.7001,28.8199,27.6401,28.46,13.0146,20335960
2010-02-08,28.5599,28.5801,28.0,28.0401,12.8226,14588265
2010-02-09,28.4401,28.95,28.23,28.6199,13.0878,11879799
2010-02-10,28.54,28.6,27.94,28.3899,12.9826,10912825
2010-02-11,28.3001,28.97,28.1599,28.83,13.1838,9453814
2010-02-12,28.34,28.85,28.14,28.6101,13.195,15203018
2010-02-16,29.45,29.7801,29.25,29.69,13.6931,12352054
2010-02-17,29.8,29.92,29.5001,29.63,13.6654,10593127
2010-02-18,29.6101,29.97,29.51,29.95,13.813,7325231
2010-02-19,29.89,30.14,29.6701,29.97,13.8222,8888852
2010-02-22,30.15,30.2,29.3899,29.51,13.6101,10973680
2010-02-23,29.4199,29.4199,28.77,28.8701,13.315,11364795
2010-02-24,28.9899,29.2401,28.69,29.17,13.4533,8167645
2010-02-25,28.75,29.0,28.4101,28.94,13.3472,8107460
2010-02-26,29.06,29.17,28.6701,28.95,13.3518,9610226
2010-03-01,29.15,29.32,28.9899,29.1599,13.4486,7777368
2010-03-02,29.3299,29.55,29.2101,29.3599,13.5409,9523051
2010-03-03,29.49,29.86,29.37,29.4701,13.5917,11756077
2010-03-04,29.52,29.66,29.28,29.5801,13.6424,10755407
2010-03-05,29.97,30.6701,29.8401,30.6101,14.1174,13035373
2010-03-08,30.6999,30.92,30.65,30.8,14.205,10321710
2010-03-09,30.52,31.09,30.52,30.88,14.2419,9741827
2010-03-10,30.97,31.4999,30.9001,31.49,14.5233,14411232
2010-03-11,31.4401,31.9001,31.3899,31.6701,14.6063,12716178
2010-03-12,31.8,31.88,31.37,31.48,14.5186,8925733
2010-03-15,31.3899,31.3899,30.88,31.23,14.4034,8566471
2010-03-16,31.4,31.74,31.1599,31.71,14.6247,9930260
2010-03-17,31.94,32.37,31.7899,32.3299,14.9106,11200503
2010-03-18,32.3001,32.4401,31.8401,32.0999,14.8046,7991785
2010-03-19,31.9801,32.3001,31.43,31.9801,14.7493,14576027
2010-03-22,31.37,31.8101,31.23,31.66,14.6017,10004023
2010-03-23,31.6999,31.8,31.49,31.74,14.6386,8036714
2010-03-24,31.32,31.74,31.1801,31.3801,14.4726,11269573
2010-03-25,31.63,31.77,31.0701,31.0999,14.3434,11358089
2010-03-26,31.29,31.3801,30.7299,30.8401,14.2235,9847443
2010-03-29,31.0401,31.55,31.0401,31.46,14.5094,8640402
2010-03-30,31.54,31.5599,31.28,31.4,14.4818,7406035
2010-03-31,31.4,32.0101,31.3801,31.6401,14.5925,11941492
2010-04-01,31.9299,32.31,31.8101,32.09,14.8,10133780
2010-04-05,32.3001,32.5599,32.0999,32.4199,14.9522,8234199
2010-04-06,32.29,32.85,32.1599,32.5801,15.026,8234702
2010-04-07,32.4999,32.4999,31.72,31.95,14.7354,12830344
2010-04-08,31.43,32.0,31.25,31.8701,14.6986,14872087
2010-04-09,32.14,32.2101,31.71,32.1899,14.8461,11756412
2010-04-12,32.11,32.3899,32.0401,32.2,14.8507,9995809
2010-04-13,32.23,32.43,31.92,32.2101,14.8554,10963453
2010-04-14,32.3801,32.8401,32.3001,32.8199,15.1366,10775524
2010-04-15,32.72,33.03,32.6,32.7001,15.0814,12140654
2010-04-16,32.4701,32.57,31.7599,32.0199,14.7677,12714501
2010-04-19,31.6401,32.1299,31.46,32.05,14.7815,8549707
2010-04-20,32.26,32.7299,32.17,32.6,15.0352,8206706
2010-04-21,32.77,32.8999,32.2701,32.54,15.0075,8882146
2010-04-22,32.17,32.52,31.9299,32.48,14.9798,7662364
2010-04-23,32.3599,33.08,32.28,33.08,15.2566,9614417
2010-04-26,33.05,33.2,32.83,33.0401,15.2382,9077955
2010-04-27,32.8101,32.9899,31.92,31.9801,14.7493,11096731
2010-04-28,32.2,32.31,31.6701,32.2101,14.8554,11305113
2010-04-29,32.4,32.71,32.2401,32.4,14.943,8421961
2010-04-30,32.51,32.6701,32.06,32.15,14.8277,11216262
2010-05-03,32.23,32.63,32.11,32.2701,14.883,11300922
2010-05-04,32.68,32.88,31.65,32.15,14.8277,19181391
2010-05-05,31.6701,32.11,31.37,31.77,14.6524,11113495
2010-05-06,31.6199,31.7599,28.97,30.66,14.1405,19679966
2010-05-07,30.51,31.28,30.0199,30.4401,14.039,19759430
2010-05-10,31.5299,31.7801,31.06,31.5801,14.5648,16742666
2010-05-11,31.08,31.5299,30.97,31.0701,14.3296,12152054
2010-05-12,31.1299,31.8,30.92,31.71,14.6247,10147192
2010-05-13,31.57,32.0999,31.34,31.68,14.6109,11835708
2010-05-14,31.52,31.6101,31.0199,31.29,14.431,15407879
2010-05-17,31.28,31.66,30.63,31.6101,14.6982,19431685
2010-05-18,32.2401,32.8101,32.05,32.25,14.9957,23993294
2010-05-19,32.0701,32.7801,31.94,32.5299,15.1259,23217435
2010-05-20,31.72,32.17,31.34,31.4101,14.6052,24905616
2010-05-21,30.29,31.45,30.2,31.4199,14.6098,28063202
2010-05-24,31.3299,32.09,31.06,31.6,14.6935,16922716
2010-05-25,30.6,30.7599,29.91,30.6199,14.2378,24928416
2010-05-26,31.11,31.23,30.23,30.37,14.1216,18210562
2010-05-27,30.9899,31.68,30.95,31.6401,14.7121,16442582
2010-05-28,31.63,31.74,30.88,31.09,14.4564,14387259
2010-06-01,30.71,31.4401,30.1599,30.1899,14.0378,16636547
2010-06-02,30.49,31.35,30.4,31.3299,14.5679,12000168
2010-06-03,31.5599,31.7599,31.0101,31.74,14.7586,7848114
2010-06-04,30.9801,31.6199,30.5299,30.6999,14.275,14243420
2010-06-07,30.9001,31.57,30.77,31.0401,14.4331,16686002
2010-06-08,31.1899,31.5899,30.75,31.51,14.6516,14086002
2010-06-09,31.74,31.86,30.77,30.92,14.3773,15948868
2010-06-10,31.6101,32.23,31.4999,32.1899,14.9678,12919698
2010-06-11,31.91,32.3801,31.7599,32.37,15.0515,8533613
2010-06-14,32.69,32.9899,32.48,32.5599,15.1399,10957586
2010-06-15,32.9801,33.4999,32.86,33.4,15.5305,14134451
2010-06-16,33.14,33.45,32.97,33.2199,15.4468,10297402
2010-06-17,32.94,33.48,32.92,33.3899,15.5258,10437217
2010-06-18,33.4,33.8199,33.3599,33.7899,15.7118,9788600
2010-06-21,34.11,34.4,33.9599,34.11,15.8606,17711484
2010-06-22,33.8401,34.1801,33.05,33.11,15.3956,11424308
2010-06-23,33.06,33.4401,32.8999,33.25,15.4607,8523219
2010-06-24,33.0401,33.43,32.72,32.85,15.2747,14114669
2010-06-25,33.09,33.26,32.3599,32.75,15.2283,17271584
2010-06-28,32.86,33.0,32.29,32.29,15.0144,10126907
2010-06-29,31.9001,31.95,31.2101,31.37,14.5866,11666723
2010-06-30,31.5299,31.86,31.0401,31.09,14.4564,10220285
2010-07-01,31.2101,31.35,30.5001,30.85,14.3447,15682313
2010-07-02,30.9801,31.34,30.57,30.83,14.3355,7859011
2010-07-06,31.15,31.6,30.68,31.0101,14.4192,8231014
2010-07-07,31.1599,32.0401,31.12,32.0401,14.8981,11036044
2010-07-08,32.46,32.4999,31.72,32.08,14.9167,16469573
2010-07-09,32.09,32.15,31.83,32.08,14.9167,8948701
2010-07-12,32.06,32.2401,31.88,32.0999,14.926,5951383
2010-07-13,32.49,33.1299,32.4701,32.97,15.3305,9838726
2010-07-14,32.8101,32.9299,32.2199,32.54,15.1306,10215926
2010-07-15,32.5599,32.65,31.9899,32.52,15.1213,6926907
2010-07-16,32.2701,32.5299,31.55,31.6999,14.74,12043252
2010-07-19,31.92,32.14,31.5599,31.7899,14.7818,8869070
2010-07-20,31.37,32.7299,31.08,32.68,15.1957,9404023
2010-07-21,32.7801,32.8401,31.92,32.2199,14.9818,9716848
2010-07-22,32.6,33.15,32.5299,32.7001,15.205,10945180
2010-07-23,32.55,32.9299,32.3001,32.88,15.2887,7208047
2010-07-26,32.83,33.37,32.83,33.37,15.5165,5733277
2010-07-27,33.54,33.74,33.11,33.23,15.4514,8189606
2010-07-28,33.09,33.28,33.0101,33.1801,15.4282,7015256
2010-07-29,33.34,33.63,32.95,33.3599,15.5118,8540989
2010-07-30,33.1001,33.6701,32.8701,33.45,15.5537,9111651
2010-08-02,33.9599,34.35,33.9299,34.28,15.9396,12227494
2010-08-03,34.06,34.5801,33.8,34.15,15.8792,8535289
2010-08-04,34.12,34.77,33.7899,34.6999,16.1349,10308969
2010-08-05,34.5599,34.9801,34.2999,34.9801,16.2652,6919028
2010-08-06,34.5801,34.8701,33.8,34.3899,15.9908,12286337
2010-08-09,34.5599,34.72,34.2,34.48,16.0326,5662196
2010-08-10,34.2,34.37,34.0,34.1801,15.8932,9273261
2010-08-11,33.63,33.7299,33.12,33.25,15.4607,8347360
2010-08-12,32.95,33.14,32.8,32.97,15.3305,7245096
2010-08-13,32.94,33.25,32.74,32.7599,15.2329,6006203
2010-08-16,32.35,32.66,32.1801,32.5299,15.2443,5937972
2010-08-17,33.0,33.0,32.5299,32.63,15.2912,8790277
2010-08-18,32.54,32.66,32.12,32.54,15.249,7288516
2010-08-19,32.4101,32.4701,31.92,32.0,14.996,7817938
2010-08-20,31.7899,31.89,31.2,31.52,14.7711,8051132
2010-08-23,31.51,31.92,31.51,31.66,14.8367,7794300
2010-08-24,31.3001,31.6,31.14,31.23,14.6352,10322213
2010-08-25,31.0401,31.05,30.29,30.77,14.4196,12404862
2010-08-26,30.9599,31.0101,30.0701,30.2101,14.1572,10411903
2010-08-27,30.3801,31.0199,30.0401,30.94,14.4992,8420117
2010-08-30,30.9001,31.08,30.55,30.55,14.3165,6342666
2010-08-31,30.4199,30.65,30.2,30.49,14.2884,9045767
2010-09-01,30.86,31.57,30.7299,31.55,14.7851,9120369
2010-09-02,31.57,31.88,31.43,31.8701,14.9351,7879128
2010-09-03,32.0,32.3001,31.9299,32.1599,15.0709,6912992
2010-09-07,31.8101,31.9899,31.52,31.74,14.8741,6270578
2010-09-08,31.75,32.11,31.65,31.74,14.8741,6786253
2010-09-09,32.2401,32.5599,31.54,31.77,14.8882,6566303
2010-09-10,31.9599,32.55,31.91,32.32,15.146,9778541
2010-09-13,32.63,32.68,32.05,32.25,15.1131,7933445
2010-09-14,32.25,32.5299,31.9001,32.0401,15.0148,10127242
2010-09-15,31.85,32.15,31.6701,32.11,15.0475,8062364
2010-09-16,31.9001,32.05,31.75,32.0,14.996,5555909
2010-09-17,32.2401,32.25,31.5801,31.6101,14.8133,9133445
2010-09-20,31.6401,32.4199,31.6199,32.34,15.1553,6550880
2010-09-21,32.65,32.66,32.0101,32.26,15.1178,8690193
2010-09-22,32.31,32.5899,31.91,31.9899,14.9913,6259681
2010-09-23,31.7299,31.8101,31.32,31.46,14.7429,9491031
2010-09-24,31.83,32.34,31.71,32.2101,15.0944,7458843
2010-09-27,32.3599,32.49,32.1801,32.1899,15.085,6358592
2010-09-28,32.35,32.55,32.0101,32.49,15.2256,7813244
2010-09-29,32.3899,33.26,32.26,33.0101,15.4693,10494887
2010-09-30,33.23,33.63,32.75,33.1001,15.5115,9988265
2010-10-01,33.43,33.8999,33.3299,33.8101,15.8442,10448114
2010-10-04,33.5899,33.74,33.09,33.37,15.638,8260184
2010-10-05,33.7599,34.5001,33.6101,34.32,16.0832,13587762
2010-10-06,34.2101,35.1299,34.08,35.0999,16.4487,16449958
2010-10-07,35.28,35.28,34.5299,34.85,16.3316,7455490
2010-10-08,34.49,35.5299,34.4701,35.48,16.6268,8136463
2010-10-11,35.31,35.52,35.12,35.26,16.5237,6853479
2010-10-12,35.09,35.4401,34.74,35.28,16.5331,6160939
2010-10-13,35.43,35.95,35.37,35.69,16.7252,7670075
2010-10-14,35.69,35.94,35.23,35.51,16.6409,7411065
2010-10-15,35.7299,35.9299,35.34,35.75,16.7534,9684158
2010-10-18,35.85,36.0,35.65,35.8701,16.8096,7228164
2010-10-19,35.4,35.4199,34.77,35.0999,16.4487,11949874
2010-10-20,35.2701,35.8401,35.1899,35.68,16.7205,6178877
2010-10-21,35.6,35.85,35.1801,35.55,16.6596,7821626
2010-10-22,35.65,35.77,35.4199,35.6101,16.6878,4640402
2010-10-25,36.0701,36.43,35.8401,35.89,16.819,8028835
2010-10-26,35.7899,35.88,35.49,35.6,16.683,9984409
2010-10-27,35.29,35.5001,34.9899,35.29,16.5378,8075440
2010-10-28,35.5899,35.71,35.12,35.2701,16.5284,11072087
2010-10-29,35.09,35.63,35.09,35.57,16.669,6702766
2010-11-01,35.9001,36.11,35.2999,35.49,16.6315,7195809
2010-11-02,34.1899,34.72,33.52,33.6101,15.7505,30087175
2010-11-03,33.71,33.7299,32.45,33.0701,15.4975,24354233
2010-11-04,33.35,34.0,33.15,33.83,15.8536,17372171
2010-11-05,33.77,33.9801,33.4199,33.92,15.8958,14844426
2010-11-08,33.8701,34.23,33.72,33.9299,15.9004,14853982
2010-11-09,34.2101,34.3299,33.46,33.6101,15.7505,10516513
2010-11-10,33.6,34.03,33.29,34.03,15.9473,8339983
2010-11-11,33.91,34.26,33.8,34.14,15.9988,8537301
2010-11-12,33.95,34.05,33.4999,33.74,15.8114,9568315
2010-11-15,33.7801,34.1599,33.6,33.6701,15.8985,7651635
