date,open,high,low,close,adjusted_close,volume
2010-01-04,30.7,31.97,30.63,30.91,23.0678,20371000
2010-01-05,31.01,32.13,30.93,32.04,23.9111,22523400
2010-01-06,31.97,32.59,31.79,32.45,24.2171,17028500
2010-01-07,32.46,33.27,32.27,32.92,24.5679,18693000
2010-01-08,32.6,32.82,31.98,32.25,24.0679,15993400
2010-01-11,32.39,32.46,31.76,32.04,23.9111,10088500
2010-01-12,31.63,31.86,30.99,31.13,23.232,14813400
2010-01-13,31.09,32.0,30.71,31.26,23.329,18715500
2010-01-14,31.1,31.3,30.35,31.2,23.2842,24690000
2010-01-15,30.97,31.09,29.98,30.38,22.6723,27908700
2010-01-19,30.48,31.26,30.33,31.16,23.2544,16979500
2010-01-20,30.76,31.24,30.35,30.63,22.8589,21198800
2010-01-21,30.29,30.55,28.24,29.34,21.8961,56774400
2010-01-22,28.65,29.18,27.42,27.8,20.7469,46713700
2010-01-25,28.22,28.52,27.36,27.74,20.7021,21100900
2010-01-26,27.68,28.29,27.21,27.33,20.3961,24376400
2010-01-27,27.34,28.11,26.91,27.95,20.897,31041900
2010-01-28,28.2,28.25,27.12,27.49,20.5531,25480700
2010-01-29,27.83,27.85,26.65,26.78,20.0223,21166100
2010-02-01,26.95,28.0,26.92,27.56,20.6054,19559900
2010-02-02,27.6,28.21,27.51,28.06,20.9793,20992500
2010-02-03,28.16,28.43,27.69,27.89,20.8522,18498800
2010-02-04,27.61,27.65,26.5,26.63,19.9101,29785300
2010-02-05,26.58,27.29,26.15,27.26,20.3812,25551300
2010-02-08,27.09,27.54,26.39,26.6,19.8877,14517500
2010-02-09,26.86,27.3,26.59,27.13,20.284,19517300
2010-02-10,27.08,27.75,27.03,27.51,20.5681,13858300
2010-02-11,27.4,27.53,26.88,27.12,20.2765,18823500
2010-02-12,26.61,27.3,26.45,27.16,20.3064,16628700
2010-02-16,27.45,27.93,27.36,27.82,20.7998,15765300
2010-02-17,27.87,27.96,27.23,27.39,20.4783,16590200
2010-02-18,27.23,27.49,27.0,27.26,20.3812,12147400
2010-02-19,27.1,27.5,26.92,27.41,20.4933,12358500
2010-02-22,27.52,27.87,27.31,27.71,20.7176,14503100
2010-02-23,27.64,28.42,27.1,27.15,20.2989,20896400
2010-02-24,27.27,27.98,27.09,27.83,20.8073,17933600
