date,open,high,low,close,adjusted_close,volume
2010-01-04,31.96,32.3438,31.8,31.98,28.8113,470837
2010-01-05,31.91,32.45,31.72,32.1,28.9194,1330354
2010-01-06,32.02,32.27,31.06,31.23,28.1356,1901890
2010-01-07,31.55,34.6,31.32,33.38,30.0726,2247826
2010-01-08,33.39,35.1,33.39,34.5,31.0816,1648025
2010-01-11,34.46,34.77,33.65,34.21,30.8203,1458579
2010-01-12,33.8,33.8,33.08,33.23,29.9374,692887
2010-01-13,33.22,33.5696,33.22,33.35,30.0456,603622
2010-01-14,33.47,33.6,33.08,33.1,29.8203,473352
2010-01-15,33.0,33.14,32.07,32.14,28.9554,750212
2010-01-19,32.08,32.74,32.08,32.5,29.2798,410721
2010-01-20,32.4,32.49,32.08,32.08,28.9014,531406
2010-01-21,32.25,32.48,30.96,31.07,27.9915,532219
2010-01-22,30.97,31.33,30.27,30.45,27.4329,548842
2010-01-25,30.7,30.87,29.87,30.39,27.3788,374803
2010-01-26,30.26,30.49,29.4,29.47,26.55,788970
2010-01-27,29.5,29.99,29.2,29.9,26.9374,801861
2010-01-28,29.9,29.9,29.33,29.69,26.7482,615085
2010-01-29,29.87,29.9,29.55,29.56,26.6311,651453
2010-02-01,29.62,30.075,29.56,29.91,26.9464,1482807
2010-02-02,29.86,30.02,29.45,29.74,26.7932,808537
2010-02-03,29.48,29.6825,29.23,29.45,26.532,517982
2010-02-04,29.09,29.22,28.53,28.59,25.7572,791995
2010-02-05,28.51,28.84,28.01,28.78,25.9284,714408
2010-02-08,28.73,28.74,27.87,27.88,25.1175,632246
2010-02-09,28.21,29.05,28.02,28.36,25.55,634917
2010-02-10,28.21,28.55,27.96,28.53,25.7031,399855
2010-02-11,28.52,29.51,27.98,29.2,26.3068,749446
2010-02-12,28.81,29.21,28.6,29.17,26.2797,795572
2010-02-16,29.42,29.58,28.9,29.58,26.6491,250555
2010-02-17,29.71,29.79,29.02,29.08,26.1986,619867
2010-02-18,29.17,29.3,28.61,28.7,25.8563,768794
2010-02-19,28.71,29.36,28.6,29.29,26.3878,728314
2010-02-22,29.31,29.68,29.09,29.36,26.4509,646175
2010-02-23,29.39,29.67,29.3,29.46,26.541,661661
2010-02-24,29.49,30.01,29.41,29.96,26.9914,343750
2010-02-25,29.54,29.89,29.38,29.84,26.8833,301772
2010-02-26,29.95,30.04,29.52,29.98,27.0095,367756
2010-03-01,28.09,29.49,27.9,28.59,25.7572,5746835
2010-03-02,29.74,32.73,29.47,32.61,29.3789,4981441
2010-03-03,32.56,32.71,31.96,32.12,28.9374,1290233
2010-03-04,32.03,33.212,31.97,32.87,29.6131,1332496
2010-03-05,33.04,35.17,32.86,33.62,30.2888,2729858
2010-03-08,33.69,34.8,33.5,34.01,30.6402,2221259
2010-03-09,33.9,34.03,33.51,33.58,30.2528,896540
2010-03-10,33.52,33.745,33.33,33.58,30.2528,895976
2010-03-11,33.35,34.34,33.14,34.32,30.9194,729699
2010-03-12,34.32,35.47,34.07,34.86,31.4059,1573368
2010-03-15,34.75,34.75,34.0,34.55,31.1267,869775
2010-03-16,34.52,34.97,34.44,34.92,31.46,626423
2010-03-17,35.02,35.4,34.75,35.37,31.8654,1122581
2010-03-18,35.17,35.6,35.05,35.22,31.7303,600092
2010-03-19,35.27,35.49,34.79,35.07,31.5951,1364140
2010-03-22,35.01,35.81,34.25,35.72,32.1807,576561
2010-03-23,35.77,36.19,35.545,36.19,32.6042,724210
2010-03-24,36.09,36.25,35.72,35.93,32.3699,437964
2010-03-25,36.28,36.58,35.82,35.84,32.2888,595639
2010-03-26,35.88,36.0,35.16,35.76,32.2168,643041
2010-03-29,35.87,35.93,35.43,35.79,32.2438,358128
2010-03-30,35.75,36.62,35.56,36.15,32.5681,490227
2010-03-31,36.07,36.36,35.9,36.1,32.5231,397036
2010-04-01,36.32,36.47,36.07,36.47,32.8564,237986
2010-04-05,36.49,36.99,36.44,36.98,33.3159,353854
2010-04-06,36.85,37.45,36.39,37.37,33.6672,605000
2010-04-07,37.07,37.78,37.07,37.31,33.6132,942643
2010-04-08,36.46,36.93,35.79,36.19,32.6042,1133615
2010-04-09,36.39,36.65,35.79,36.62,32.9915,613981
2010-04-12,36.77,37.14,35.62,37.1,33.424,848659
2010-04-13,37.0,37.2725,36.825,37.02,33.3519,447827
2010-04-14,37.29,37.32,36.99,37.11,33.433,512771
2010-04-15,37.11,38.02,37.053,37.96,34.1988,451952
2010-04-16,37.72,38.61,36.95,37.25,33.5591,814251
2010-04-19,36.97,37.06,36.17,36.49,32.8744,590911
2010-04-20,36.71,37.46,36.4,37.39,33.6853,349730
2010-04-21,37.49,37.49,35.54,35.99,32.424,1384273
2010-04-22,35.64,36.49,35.57,36.44,32.8294,739608
2010-04-23,36.56,36.72,36.31,36.7,33.0636,324624
2010-04-26,36.56,37.04,36.27,36.96,33.2979,362332
2010-04-27,36.7,36.82,35.93,35.96,32.3969,626426
2010-04-28,36.2,36.45,35.18,35.41,31.9014,952829
2010-04-29,35.56,35.63,34.63,35.46,31.9465,779530
