date,open,high,low,close,adjusted_close,volume
2010-01-04,4.5507,4.6315,4.5449,4.6027,25.6446,7511713
2010-01-05,4.5911,4.7701,4.4583,4.5391,25.2906,18863970
2010-01-06,4.62,4.6431,4.5507,4.6027,25.6446,12137069
2010-01-07,4.6258,4.7297,4.6027,4.6951,26.1594,13517526
2010-01-08,4.672,4.6893,4.4641,4.4814,24.9689,18596092
2010-01-11,4.5507,4.5507,4.4294,4.4352,24.7115,10368856
2010-01-12,4.4121,4.4179,4.2388,4.2735,23.8105,10715498
2010-01-13,4.2793,4.4179,4.2793,4.389,24.454,8125690
2010-01-14,4.3659,4.5161,4.3601,4.4525,24.808,11342560
2010-01-15,4.4468,4.4641,4.3486,4.3775,24.3897,9741126
2010-01-19,4.3775,4.441,4.3024,4.4121,24.5828,6744168
2010-01-20,4.3659,4.3659,4.2677,4.3197,24.0679,7053531
2010-01-21,4.3486,4.3775,4.2273,4.2562,23.714,9960989
2010-01-22,4.2158,4.2966,4.1349,4.1638,23.1992,10517477
2010-01-25,4.2446,4.2966,4.1407,4.1465,23.1027,8891948
2010-01-26,4.1638,4.2215,4.1233,4.1522,23.1348,7430006
2010-01-27,4.158,4.2966,4.1407,4.2735,23.8105,11567644
2010-01-28,3.8404,3.9386,3.6556,3.7422,20.8503,32895708
2010-01-29,3.7133,3.7191,3.4881,3.5516,19.7885,25815609
2010-02-01,3.5978,3.6671,3.5574,3.6556,20.3676,16983723
2010-02-02,3.6787,3.8115,3.6151,3.7826,21.0755,15761732
2010-02-03,3.7769,3.9386,3.7538,3.8635,21.526,18683389
2010-02-04,3.8057,3.8115,3.6325,3.6498,20.3355,17730142
2010-02-05,3.748,3.7538,3.6556,3.696,20.5929,15581274
2010-02-08,3.8231,3.8692,3.7595,3.7942,21.1399,11028448
2010-02-09,3.8404,3.8808,3.748,3.7769,21.0434,8672183
2010-02-10,3.7826,3.8635,3.7711,3.8288,21.333,8172863
2010-02-11,3.8115,3.8519,3.7942,3.8404,21.3973,7431268
2010-02-12,3.9328,4.21,3.8981,4.1291,23.0061,22203612
2010-02-16,4.21,4.2388,4.1291,4.1927,23.3601,9826395
2010-02-17,4.2042,4.2158,4.0367,4.106,22.8774,9358194
2010-02-18,4.0945,4.106,4.031,4.0483,22.5556,6442078
2010-02-19,4.0367,4.0829,4.0136,4.0483,22.5556,4358268
2010-02-22,4.0598,4.0714,3.9501,3.9674,22.1052,7112356
2010-02-23,3.9617,3.9674,3.8981,3.9154,21.8155,5608905
2010-02-24,3.9328,3.9501,3.8924,3.9212,21.8478,5046432
2010-02-25,3.8635,3.9674,3.8173,3.9559,22.0408,6598466
2010-02-26,3.8981,3.9559,3.8692,3.9039,21.7512,6343030
2010-03-01,3.9154,3.9328,3.8173,3.8924,21.6869,4802028
2010-03-02,3.9097,3.9386,3.8461,3.9328,21.9121,6342288
2010-03-03,3.9386,4.0425,3.9386,3.9674,22.1052,5289870
2010-03-04,3.9847,3.9847,3.8866,3.927,21.8799,4526432
2010-03-05,3.9559,4.0425,3.9328,4.0136,22.3626,5401657
2010-03-08,4.031,4.031,3.9617,3.9905,22.2339,4038392
2010-03-09,3.9443,4.0598,3.9328,4.0252,22.4269,6739740
2010-03-10,4.0079,4.1522,4.0079,4.106,22.8774,5265158
2010-03-11,4.0887,4.1349,4.0483,4.0598,22.62,4799357
2010-03-12,4.054,4.1002,4.0136,4.0483,22.5556,3679802
2010-03-15,4.031,4.0714,3.9617,4.0598,22.62,5430872
2010-03-16,4.054,4.2793,4.054,4.262,23.7462,9864440
2010-03-17,4.2793,4.285,4.1638,4.1984,23.3922,5569870
2010-03-18,4.1869,4.2735,4.1695,4.2446,23.6497,3944490
2010-03-19,4.1465,4.285,4.1002,4.1465,23.1027,5803562
2010-03-22,4.1118,4.2331,4.106,4.1927,23.3601,3685318
2010-03-23,4.2215,4.2793,4.1984,4.2446,23.6497,4263006
2010-03-24,4.2331,4.2504,4.1811,4.1869,23.3279,3234805
2010-03-25,4.2446,4.337,4.1753,4.1811,23.2957,7510946
2010-03-26,4.1638,4.2446,4.1291,4.1407,23.0704,6480124
2010-03-29,4.1695,4.21,4.1465,4.1753,23.2635,3114137
2010-03-30,4.1753,4.2158,4.1176,4.158,23.167,3279159
2010-03-31,4.1233,4.1638,4.0483,4.054,22.5878,4562548
2010-04-01,4.1002,4.1522,4.0425,4.0772,22.7166,6154533
2010-04-05,4.0829,4.1465,4.031,4.1349,23.0383,5553395
2010-04-06,4.0945,4.2562,4.0887,4.2042,23.4244,6600297
2010-04-07,4.1811,4.2158,4.158,4.1753,23.2635,3832059
2010-04-08,4.158,4.3024,4.1291,4.2908,23.9071,6909635
2010-04-09,4.285,4.2908,4.2388,4.2677,23.7784,3692195
2010-04-12,4.2562,4.337,4.2388,4.285,23.8748,7050860
2010-04-13,4.2735,4.3313,4.2331,4.2793,23.8427,5797328
2010-04-14,4.3197,4.4756,4.3081,4.4294,24.6793,7744292
2010-04-15,4.3948,4.4756,4.3717,4.3832,24.4219,6791268
2010-04-16,4.3486,4.3543,4.1465,4.2215,23.521,10536970
2010-04-19,4.1984,4.2966,4.1869,4.2677,23.7784,4394261
2010-04-20,4.2793,4.3081,4.2158,4.285,23.8748,4943995
2010-04-21,4.2677,4.2735,4.1984,4.2388,23.6174,4268126
2010-04-22,4.1522,4.158,4.031,4.0887,22.7809,12277502
2010-04-23,4.1002,4.21,4.0772,4.0945,22.813,8342709
2010-04-26,4.1233,4.158,4.0598,4.1349,23.0383,5204725
2010-04-27,4.0945,4.1233,3.9732,3.9905,22.2339,7524972
2010-04-28,3.9443,4.0194,3.8924,3.9963,22.2661,12738701
2010-04-29,4.2908,4.337,4.0945,4.1349,23.0383,14307706
2010-04-30,4.1349,4.1695,4.031,4.0829,22.7487,8985801
2010-05-03,4.1407,4.1522,4.0194,4.1002,22.8452,6539122
2010-05-04,4.0714,4.106,3.9905,4.0194,22.3948,7679579
2010-05-05,4.0079,4.0483,3.927,3.9674,22.1052,7926555
2010-05-06,3.9559,4.0367,3.6094,3.8577,21.4938,11433741
2010-05-07,3.8346,3.9039,3.7422,3.8115,21.2364,11715201
2010-05-10,3.9674,4.0252,3.9328,4.0079,22.3304,6915473
2010-05-11,3.979,4.1118,3.9674,4.0367,22.4913,9079654
2010-05-12,4.0367,4.1002,4.0194,4.031,22.4592,6863377
2010-05-13,4.0021,4.0194,3.9328,3.9501,22.0086,7832084
2010-05-14,3.9386,3.9443,3.8635,3.9212,21.8478,8622263
2010-05-17,3.8981,3.9674,3.8866,3.9559,22.0408,5734471
2010-05-18,4.0021,4.0252,3.8981,3.9154,21.8155,6882845
2010-05-19,3.9097,3.9847,3.875,3.9328,21.9121,7682622
2010-05-20,3.8519,3.9674,3.8173,3.8692,21.5581,10468695
2010-05-21,3.8173,3.9847,3.7942,3.9501,22.0086,8051528
2010-05-24,3.8924,3.9559,3.875,3.8866,21.6547,4170959
2010-05-25,3.8173,3.9039,3.7595,3.8981,21.7191,6381991
2010-05-26,3.8808,4.0194,3.8692,3.9039,21.7512,7150996
2010-05-27,3.979,4.0021,3.9501,3.9963,22.2661,4696376
2010-05-28,3.9905,4.0079,3.9212,3.9559,22.0408,4255411
2010-06-01,3.9097,3.9905,3.8635,3.8692,21.5581,3796834
2010-06-02,3.9039,3.9674,3.8866,3.9559,22.0408,3990105
2010-06-03,3.9443,3.9732,3.8981,3.9674,22.1052,4220730
2010-06-04,3.9154,3.9386,3.8346,3.8692,21.5581,7165863
2010-06-07,3.8692,3.8924,3.7769,3.7942,21.1399,6482523
2010-06-08,3.7711,3.8577,3.7653,3.8461,21.4294,5775733
2010-06-09,3.8519,3.9328,3.8346,3.8577,21.4938,5935584
2010-06-10,3.9154,4.0598,3.8808,3.9501,22.0086,5256994
2010-06-11,3.9501,4.1522,3.9039,4.106,22.8774,7615560
2010-06-14,4.1407,4.1522,4.0136,4.0194,22.3948,4639011
2010-06-15,4.0483,4.1407,4.0367,4.0772,22.7166,7605739
2010-06-16,4.0079,4.1407,4.0079,4.106,22.8774,5671218
2010-06-17,4.1002,4.1522,4.0367,4.1522,23.1348,5730983
2010-06-18,4.1407,4.1927,4.1118,4.1927,23.3601,6651404
2010-06-21,4.2215,4.262,4.1176,4.1407,23.0704,3765788
2010-06-22,4.1291,4.2273,4.1176,4.158,23.167,5287075
2010-06-23,4.1465,4.2504,4.0772,4.2158,23.4888,6645665
2010-06-24,4.1753,4.1811,4.0194,4.0367,22.4913,5186815
2010-06-25,4.054,4.1407,4.0136,4.0829,22.7487,6232084
2010-06-28,4.1176,4.1522,4.0714,4.0829,22.7487,4539617
2010-06-29,4.0483,4.0483,3.8866,3.927,21.8799,7313247
2010-06-30,3.9212,3.9674,3.7538,3.7653,20.979,11106024
2010-07-01,3.7769,3.7999,3.6729,3.7653,20.979,8795696
2010-07-02,3.7711,3.7826,3.696,3.7422,20.8503,7831614
2010-07-06,3.8057,3.8577,3.748,3.7769,21.0434,6148942
2010-07-07,3.7826,3.9386,3.7826,3.9212,21.8478,4546939
2010-07-08,3.9501,3.979,3.8981,3.9559,22.0408,3544119
2010-07-09,3.9501,3.9559,3.8692,3.9039,21.7512,5123438
2010-07-12,3.8866,4.0714,3.8866,4.0367,22.4913,7078367
2010-07-13,4.0887,4.2042,4.0483,4.1638,23.1992,8291255
2010-07-14,4.1984,4.3659,4.1927,4.3081,24.0035,11791639
2010-07-15,4.389,4.4756,4.3081,4.4583,24.8402,12742536
2010-07-16,4.4352,4.5045,4.2908,4.3313,24.1323,8618677
2010-07-19,4.4121,4.6373,4.337,4.5738,25.4837,12691082
2010-07-20,4.5218,4.6778,4.4121,4.62,25.7411,15248633
2010-07-21,4.6085,4.6258,4.4929,4.568,25.4515,10062239
2010-07-22,4.6027,4.62,4.4468,4.4987,25.0654,9530612
2010-07-23,4.4756,4.5507,4.3832,4.4756,24.9367,10177563
2010-07-26,4.4756,4.568,4.4352,4.5391,25.2906,9148745
2010-07-27,4.5738,4.6085,4.4583,4.4698,24.9045,7668324
2010-07-28,4.4583,4.4814,4.4006,4.4352,24.7115,8641732
2010-07-29,4.441,4.6373,4.3948,4.3948,24.4862,19276611
2010-07-30,4.389,4.4121,4.3024,4.3255,24.1001,13104910
2010-08-02,4.389,4.441,4.3428,4.4006,24.5184,7615015
2010-08-03,4.3601,4.4352,4.3197,4.4006,24.5184,8459344
2010-08-04,4.5334,4.7239,4.4872,4.6547,25.9342,18302832
2010-08-05,4.6373,4.7239,4.5334,4.6315,25.8054,8626766
2010-08-06,4.5911,4.6315,4.5218,4.62,25.7411,5263896
2010-08-09,4.6489,4.6893,4.5969,4.6085,25.6768,4165071
2010-08-10,4.568,4.6662,4.5276,4.6431,25.8698,7271293
2010-08-11,4.5565,4.5565,4.4236,4.4468,24.7759,6052047
2010-08-12,4.3948,4.6778,4.3775,4.6315,25.8054,13283884
2010-08-13,4.6085,4.6315,4.4006,4.4121,24.5828,10691899
2010-08-16,4.3948,4.5391,4.3775,4.5103,25.1297,6415411
2010-08-17,4.5391,4.5622,4.4756,4.5045,25.0976,4127297
2010-08-18,4.4987,4.5507,4.4814,4.4987,25.0654,4000346
2010-08-19,4.5103,4.5103,4.3139,4.3543,24.261,8259493
2010-08-20,4.337,4.4063,4.2908,4.3197,24.0679,8723908
2010-08-23,4.3428,4.389,4.2793,4.2966,23.9392,7037477
2010-08-24,4.2331,4.3659,4.21,4.3081,24.0035,5294867
2010-08-25,4.262,4.3543,4.262,4.3313,24.1323,4696920
2010-08-26,4.3428,4.3659,4.3024,4.3313,24.1323,5950056
2010-08-27,4.4006,4.4756,4.3197,4.4352,24.7115,6947087
2010-08-30,4.4121,4.4294,4.3313,4.3428,24.1966,5115399
2010-08-31,4.3428,4.389,4.3255,4.3428,24.1966,6467656
2010-09-01,4.4179,4.5276,4.4179,4.4641,24.8723,6712777
2010-09-02,4.4641,4.5622,4.4236,4.5391,25.2906,5043983
2010-09-03,4.5854,4.6258,4.5334,4.5854,25.5481,4501620
2010-09-07,4.5796,4.5796,4.4698,4.5218,25.1941,3877081
2010-09-08,4.5276,4.6373,4.4987,4.6085,25.6768,5852665
2010-09-09,4.6373,4.7008,4.5738,4.6085,25.6768,4212542
2010-09-10,4.5854,4.6662,4.5449,4.5738,25.4837,5931033
2010-09-13,4.62,4.7932,4.6027,4.7817,26.642,7679283
2010-09-14,4.7528,4.8048,4.6893,4.7644,26.5455,4696648
2010-09-15,4.7644,4.8394,4.6893,4.8279,26.8995,6709907
2010-09-16,4.8279,4.8625,4.7586,4.8568,27.0603,5165665
2010-09-17,4.8799,4.903,4.7644,4.8394,26.9638,6438169
2010-09-20,4.851,4.8799,4.7932,4.8799,27.189,5069314
2010-09-21,4.851,4.8857,4.7875,4.8106,26.8029,4657118
2010-09-22,4.7932,4.8337,4.7471,4.7875,26.6742,3558169
2010-09-23,4.7297,4.8568,4.7124,4.8394,26.9638,5192134
2010-09-24,4.8799,5.0474,4.8568,5.0127,27.9291,8178256
2010-09-27,4.9838,5.0069,4.9318,4.955,27.6074,4403983
2010-09-28,4.9492,4.9665,4.851,4.955,27.6074,5338924
2010-09-29,4.9088,4.9607,4.8799,4.9434,27.543,3678417
2010-09-30,4.9434,5.0127,4.8394,4.9261,27.4464,4195127
2010-10-01,4.9434,4.9954,4.903,4.9434,27.543,3941670
2010-10-04,4.9203,4.9781,4.8164,4.8857,27.2213,5255238
2010-10-05,4.8625,4.9954,4.8625,4.9896,27.8004,5759208
2010-10-06,4.9261,5.0358,4.8741,4.9434,27.543,6823401
2010-10-07,4.9665,5.0011,4.8683,4.9607,27.6395,5041459
2010-10-08,4.8857,4.8857,4.7471,4.7932,26.7064,10637625
2010-10-11,4.7817,4.8394,4.7586,4.7875,26.6742,6051973
2010-10-12,4.7644,4.7932,4.6431,4.6951,26.1594,11937984
2010-10-13,4.7124,4.7413,4.6662,4.6893,26.1272,8477477
2010-10-14,4.672,4.7008,4.5507,4.5969,25.6124,8487669
2010-10-15,4.6489,4.6662,4.5622,4.5911,25.5802,8254150
2010-10-18,4.5449,4.5796,4.4641,4.5565,25.3871,8935090
2010-10-19,4.5103,4.6258,4.4756,4.5565,25.3871,8517254
2010-10-20,4.5911,4.6315,4.568,4.5969,25.6124,5196710
2010-10-21,4.6027,4.62,4.4468,4.4814,24.9689,7995770
2010-10-22,4.4756,4.5738,4.4698,4.5218,25.1941,4804725
2010-10-25,4.5391,4.62,4.5276,4.5796,25.5158,3911837
2010-10-26,4.5507,4.6373,4.5391,4.5391,25.2906,5380458
2010-10-27,4.5854,4.6951,4.5565,4.672,26.0307,12323463
2010-10-28,4.9203,5.03,4.672,4.6951,26.1594,22604032
2010-10-29,4.672,4.7471,4.6373,4.7124,26.2559,6123810
2010-11-01,4.7008,4.7644,4.6027,4.6315,25.8054,6076042
2010-11-02,4.6604,4.672,4.5449,4.62,25.7411,14025826
2010-11-03,4.6835,4.6835,4.5622,4.6489,25.902,7236735
2010-11-04,4.6835,4.6951,4.6315,4.6778,26.0629,5803290
2010-11-05,4.672,4.7413,4.6489,4.7355,26.3846,4015090
2010-11-08,4.7124,4.7817,4.6604,4.7066,26.2238,4395968
2010-11-09,4.7124,4.7817,4.6778,4.7413,26.4168,6265603
2010-11-10,4.7182,4.7413,4.6547,4.7355,26.3846,4376277
2010-11-11,4.6431,4.7066,4.5218,4.6778,26.0629,10772690
2010-11-12,4.6489,4.672,4.5738,4.6142,25.7089,4734075
2010-11-15,4.7124,4.7355,4.5796,4.5854,25.5481,5972517
2010-11-16,4.6373,4.6431,4.4987,4.5103,25.1297,6135510
2010-11-17,4.5218,4.6085,4.5103,4.568,25.4515,5391070
2010-11-18,4.6315,4.7124,4.6085,4.7008,26.1915,5482301
2010-11-19,4.672,4.7297,4.6373,4.6893,26.1272,5695510
2010-11-22,4.6489,4.7008,4.5911,4.672,26.0307,4738800
2010-11-23,4.6085,4.6258,4.5103,4.5391,25.2906,7189957
2010-11-24,4.5622,4.62,4.5276,4.5796,25.5158,5388077
2010-11-26,4.5218,4.5507,4.5103,4.5161,25.162,1834286
2010-11-29,4.4987,4.5334,4.4468,4.4872,25.001,5486407
2010-11-30,4.4525,4.5045,4.4179,4.4236,24.6471,7474286
2010-12-01,4.5449,4.7355,4.5161,4.6258,25.7733,14118986
2010-12-02,4.5565,4.6258,4.5449,4.6027,25.6446,12972418
2010-12-03,4.5796,4.7701,4.5334,4.7586,26.5133,15729821
2010-12-06,4.7066,4.7875,4.7066,4.7297,26.3525,8428423
2010-12-07,4.7355,4.7644,4.6662,4.672,26.0307,5884329
2010-12-08,4.672,4.7759,4.6604,4.7528,26.4812,6480074
2010-12-09,4.7355,4.851,4.7008,4.8164,26.8351,6174026
2010-12-10,4.8106,5.0185,4.8048,4.9896,27.8004,16579419
2010-12-13,4.9954,5.0474,4.8683,4.8857,27.2213,9971899
2010-12-14,4.8452,4.9261,4.8394,4.8857,27.2213,5425356
2010-12-15,4.8452,4.9318,4.8221,4.8914,27.2534,7405912
2010-12-16,4.8972,5.1686,4.8972,5.1282,28.5726,21320569
2010-12-17,5.1167,5.1455,5.0531,5.1282,28.5726,9365516
2010-12-20,5.1282,5.1686,5.03,5.1282,28.5726,7319085
2010-12-21,5.1397,5.2899,5.0993,5.1975,28.9587,7528782
2010-12-22,5.1744,5.3014,5.1628,5.2495,29.2483,7314434
2010-12-23,5.2495,5.2899,5.1975,5.2264,29.1196,5411800
2010-12-27,5.2437,5.2495,5.1282,5.1917,28.9266,3100507
2010-12-28,5.1744,5.2264,5.1571,5.1744,28.83,2419048
2010-12-29,5.1686,5.209,5.1571,5.1802,28.8622,1933457
2010-12-30,5.1744,5.209,5.1513,5.1513,28.7013,2779790
2010-12-31,5.1455,5.2495,5.1397,5.2379,29.184,3136574
2011-01-03,5.2553,5.3303,5.2437,5.261,29.3127,1119035
2011-01-04,37.3,39.99,37.12,39.77,31.655,12818600
2011-01-05,39.09,40.37,39.0,39.83,31.7028,7825500
2011-01-06,39.92,40.09,39.02,39.68,31.5834,6588800
2011-01-07,39.54,39.65,38.53,38.9,30.9626,5385000
2011-01-10,38.63,39.31,38.35,38.53,30.6681,5551900
2011-01-11,38.61,38.95,38.17,38.38,30.5487,4992700
2011-01-12,38.32,38.6,37.84,37.96,30.2144,5618700
2011-01-13,37.77,38.17,37.77,37.85,30.1268,4711100
2011-01-14,37.68,38.29,37.56,38.28,30.4691,4145000
2011-01-18,37.93,38.19,37.6,37.71,30.0154,2717200
2011-01-19,37.55,37.62,37.12,37.34,29.7209,3626900
2011-01-20,37.19,37.34,36.52,37.04,29.4821,3609700
2011-01-21,37.26,37.66,37.07,37.15,29.5696,3233400
2011-01-24,37.13,38.68,37.13,38.66,30.7715,7372400
2011-01-25,37.95,38.74,37.73,38.7,30.8034,5569600
2011-01-26,38.62,39.4,38.6,39.24,31.2332,5959000
2011-01-27,38.39,39.22,38.3,38.58,30.7078,4044100
2011-01-28,38.79,39.04,37.87,37.96,30.2144,2917500
2011-01-31,37.99,38.92,37.86,38.77,30.8591,3561000
2011-02-01,38.91,39.23,38.83,39.02,31.0581,4397000
2011-02-02,38.67,39.11,38.35,38.61,30.7317,4227700
2011-02-03,38.51,39.03,38.38,38.79,30.875,3450500
2011-02-04,38.66,39.33,38.43,39.31,31.2889,4723700
2011-02-07,39.4,40.51,39.35,40.41,32.1644,5092200
2011-02-08,40.39,40.45,39.84,39.86,31.7267,3618700
2011-02-09,39.79,39.98,39.47,39.55,31.4799,2107900
2011-02-10,39.28,39.7,38.93,39.38,31.3446,3197800
2011-02-11,39.21,39.83,39.13,39.34,31.3128,3523600
