date,open,high,low,close,adjusted_close,volume
2010-01-04,10.82,11.04,10.78,10.85,10.6561,34422273
2010-01-05,10.86,11.29,10.63,11.17,10.9704,60664738
2010-01-06,11.08,11.34,10.99,11.22,11.0195,32060391
2010-01-07,11.23,11.25,10.56,10.84,10.6463,46466180
2010-01-08,10.75,11.17,10.62,11.1,10.9016,32433359
2010-01-11,11.25,11.315,10.82,10.9,10.7052,29135131
2010-01-12,10.65,10.66,10.14,10.26,10.0766,46115941
2010-01-13,10.31,10.56,9.97,10.46,10.2731,33524160
2010-01-14,10.43,10.95,10.43,10.73,10.5382,33867953
2010-01-15,10.7,10.7,10.04,10.13,9.949,31003811
2010-01-19,10.14,10.3,10.04,10.28,10.0963,18545340
2010-01-20,10.0,10.07,9.73,9.98,9.8016,42202992
2010-01-21,10.07,10.24,9.76,9.8,9.6249,38274422
2010-01-22,9.7,9.7111,9.09,9.13,8.9668,44448910
2010-01-25,9.28,9.42,9.17,9.33,9.1633,23999000
2010-01-26,9.356,9.74,9.27,9.44,9.2713,25159510
2010-01-27,9.48,9.74,9.35,9.72,9.5463,21637369
2010-01-28,9.73,9.75,9.1,9.4,9.232,32249820
2010-01-29,9.45,9.5,8.57,8.72,8.5642,42658340
2010-02-01,8.88,9.2,8.84,9.17,9.0061,19407510
2010-02-02,9.265,9.5,9.25,9.35,9.1829,21667689
2010-02-03,9.16,9.32,8.93,9.02,8.8588,25368990
2010-02-04,9.11,9.18,8.55,8.61,8.4561,26695949
2010-02-05,8.626,8.71,8.27,8.7,8.5445,36414406
2010-02-08,8.77,9.05,8.59,8.91,8.7508,20272930
2010-02-09,9.17,9.28,8.84,9.08,8.9177,20847740
2010-02-10,8.61,8.73,8.18,8.54,8.3874,70629953
2010-02-11,8.565,8.78,8.42,8.53,8.3776,50942047
2010-02-12,8.42,8.74,8.32,8.44,8.2892,44235281
2010-02-16,8.64,8.71,8.49,8.63,8.4758,25229230
2010-02-17,8.79,8.79,8.56,8.73,8.574,18429480
2010-02-18,8.65,8.77,8.59,8.76,8.6034,22490609
2010-02-19,8.765,9.14,8.66,8.9,8.7409,28673301
2010-02-22,9.07,9.11,8.91,8.94,8.7802,16124500
2010-02-23,8.83,8.83,8.42,8.61,8.4561,28626061
2010-02-24,8.7,9.23,8.64,9.09,8.9275,34307559
2010-02-25,8.87,9.09,8.72,9.07,8.9079,20925350
2010-02-26,9.08,9.15,8.87,9.06,8.8981,20385961
2010-03-01,9.24,9.79,9.2,9.77,9.5954,39163039
2010-03-02,9.54,9.74,9.51,9.57,9.399,40227621
2010-03-03,9.578,9.7,9.39,9.45,9.2811,25133770
2010-03-04,9.41,9.43,9.17,9.41,9.2418,19760000
2010-03-05,9.56,9.58,9.32,9.46,9.2909,15692710
