date,open,high,low,close,adjusted_close,volume
2010-01-04,53.04,53.74,52.87,53.25,8.7779,10408564
2010-01-05,53.3,53.42,52.26,52.73,8.6921,11187236
2010-01-06,52.64,53.34,52.63,53.25,8.7779,13493380
2010-01-07,53.19,53.195,52.65,53.1,8.7531,9768444
2010-01-08,52.98,53.18,52.45,52.64,8.6773,9074180
2010-01-11,52.77,53.75,51.9,52.6,8.6707,24574004
2010-01-12,52.2,52.2,51.02,51.32,8.4597,22504840
2010-01-13,51.19,51.75,50.58,51.5,8.4894,23432492
2010-01-14,50.5,50.64,49.65,50.01,8.2438,32322876
2010-01-15,49.71,50.63,49.41,50.55,8.3328,24167272
2010-01-19,50.24,50.9,50.13,50.89,8.3888,14181524
2010-01-20,50.58,50.58,49.38,49.98,8.2388,15854804
2010-01-21,49.93,50.31,48.9,49.03,8.0822,18664024
2010-01-22,49.02,49.11,48.12,48.14,7.9355,14229668
2010-01-25,48.41,48.54,47.68,47.75,7.8712,21732396
2010-01-26,48.5,49.57,48.11,49.22,8.1135,25259616
2010-01-27,49.15,49.77,48.78,49.76,8.2026,17494340
2010-01-28,49.82,49.82,48.87,49.01,8.0789,13257688
2010-01-29,48.99,49.2,48.69,48.76,8.0377,23266328
2010-02-01,48.65,49.29,48.54,49.23,8.1152,11109584
2010-02-02,49.21,49.59,48.7,49.58,8.1729,10453316
2010-02-03,49.3,49.48,49.09,49.4,8.1432,15056408
2010-02-04,49.03,49.13,47.97,48.02,7.9157,18499524
2010-02-05,47.93,48.0,46.74,47.4,7.8135,25319684
2010-02-08,47.39,49.3,46.87,46.89,7.7295,9213064
2010-02-09,47.18,47.33,46.32,46.46,7.6586,29608540
2010-02-10,46.48,46.48,45.785,45.92,7.5696,18621144
2010-02-11,45.99,46.09,45.47,45.96,7.5762,17408932
2010-02-12,45.61,45.83,45.29,45.57,7.5119,13015876
2010-02-16,45.82,46.39,45.82,46.38,7.6454,11662156
2010-02-17,46.48,46.6,45.7,45.77,7.5448,11451004
2010-02-18,45.85,45.9,45.57,45.74,7.5399,11795904
2010-02-19,45.83,47.08,45.7,46.88,7.7278,16754308
2010-02-22,47.16,47.24,46.75,46.82,7.7179,13580992
2010-02-23,46.81,47.02,46.64,46.8,7.7146,14850268
2010-02-24,47.04,47.29,46.8,47.06,7.8413,23348116
2010-02-25,46.7,46.96,46.25,46.88,7.8113,12075700
2010-02-26,46.99,47.07,46.37,46.37,7.7263,13329864
2010-03-01,46.96,47.705,46.8,47.38,7.8946,14041168
2010-03-02,47.44,48.0,47.18,47.19,7.8629,12073080
2010-03-03,47.17,47.46,46.75,46.93,7.8196,12189532
2010-03-04,46.94,47.33,46.78,47.25,7.8729,9306216
2010-03-05,47.46,47.7,47.26,47.65,7.9396,9364740
2010-03-08,47.75,47.85,47.55,47.75,7.9562,7573292
2010-03-09,47.6,47.66,46.93,47.02,7.8346,11987472
2010-03-10,46.98,47.19,46.74,46.97,7.8263,7936204
2010-03-11,46.89,47.44,46.7,47.37,7.8929,11965916
2010-03-12,47.58,47.6,46.95,47.07,7.8429,10051820
2010-03-15,47.14,47.31,46.82,47.31,7.8829,6086924
2010-03-16,47.34,47.92,47.1,47.85,7.9729,6905780
2010-03-17,48.09,48.09,47.84,48.02,8.0012,9468652
2010-03-18,48.07,48.18,47.79,47.97,7.9929,11520952
2010-03-19,48.02,48.56,47.805,48.16,8.0245,13207152
2010-03-22,48.09,48.17,47.65,47.84,7.9712,8699988
2010-03-23,47.87,48.13,47.65,47.82,7.9679,9041128
2010-03-24,47.79,47.89,47.1,47.27,7.8762,10956940
2010-03-25,47.49,47.6,47.11,47.45,7.9062,10774636
2010-03-26,47.61,47.92,47.41,47.81,7.9662,10839960
2010-03-29,47.85,48.585,47.75,48.58,8.0945,11158240
2010-03-30,48.72,48.72,47.53,47.66,7.9412,17424012
2010-03-31,47.6,48.7,47.42,48.33,8.0529,15154876
2010-04-01,48.55,48.94,48.5,48.84,8.1378,10013216
2010-04-05,48.9,49.01,48.58,48.97,8.1595,9531628
2010-04-06,48.7,49.31,48.57,49.19,8.1962,8435068
2010-04-07,49.19,49.21,48.595,49.1,8.1812,11228500
2010-04-08,49.04,49.18,48.58,49.04,8.1712,13638320
2010-04-09,49.1,49.72,48.66,49.71,8.2828,13893148
2010-04-12,49.72,49.9,49.5,49.74,8.2878,10430500
2010-04-13,49.61,49.61,48.95,49.49,8.2461,12832892
2010-04-14,49.34,49.52,48.4,48.6,8.0979,17202696
2010-04-15,48.63,48.9,48.44,48.83,8.1362,10932132
2010-04-16,48.78,49.24,48.14,48.43,8.0695,10651624
2010-04-19,48.32,48.61,48.27,48.41,8.0662,7950432
2010-04-20,48.92,50.05,48.84,50.05,8.3395,15976340
2010-04-21,50.0,50.5,49.9,50.37,8.3928,14417548
2010-04-22,50.2,50.97,49.9,50.9,8.4811,17557108
2010-04-23,50.84,51.32,50.47,51.3,8.5477,11968372
2010-04-26,51.4,51.42,50.62,51.06,8.5077,12186636
2010-04-27,50.79,51.22,49.99,50.02,8.3345,14654936
2010-04-28,50.18,51.06,49.97,50.75,8.4561,14355608
2010-04-29,50.88,51.1,50.5,50.69,8.4461,7656400
2010-04-30,50.88,52.22,50.84,52.05,8.6727,18967072
2010-05-03,52.28,53.09,51.894,52.66,8.7743,16930936
2010-05-04,52.3,52.3,51.19,51.45,8.5727,15582676
2010-05-05,50.96,51.99,50.7,50.94,8.4877,18458092
2010-05-06,50.77,52.0,49.0,51.07,8.5094,33872956
2010-05-07,51.0,51.97,50.26,51.22,8.5344,21738816
2010-05-10,52.07,53.0,52.0401,52.62,8.7677,13365776
2010-05-11,52.24,53.27,51.99,52.66,8.7743,12203476
2010-05-12,52.75,52.9,52.19,52.87,8.8093,9180336
2010-05-13,52.87,53.5,52.43,52.85,8.806,7179196
2010-05-14,52.76,53.43,52.41,52.71,8.7827,10629044
2010-05-17,52.78,52.87,51.63,52.62,8.7677,9324280
2010-05-18,52.59,53.1,52.272,52.33,8.7194,8081900
2010-05-19,52.22,52.45,51.5,52.02,8.6677,8022056
2010-05-20,51.42,51.42,50.15,50.15,8.3561,13035944
2010-05-21,49.55,50.59,49.26,50.59,8.4294,16489140
2010-05-24,50.49,51.158,50.13,50.3,8.3811,8224164
2010-05-25,49.59,49.62,48.52,49.53,8.2528,18599208
2010-05-26,49.42,49.7,48.45,48.45,8.0729,22308832
2010-05-27,49.08,49.84,49.0,49.78,8.2945,15008240
2010-05-28,49.72,50.48,49.71,49.93,8.3195,9625460
2010-06-01,49.46,50.01,48.91,48.94,8.1545,11116948
2010-06-02,49.01,49.93,48.63,49.66,8.3599,9710372
2010-06-03,50.04,50.32,49.67,50.19,8.4491,6009904
2010-06-04,49.82,49.82,48.47,48.63,8.1865,8415996
2010-06-07,48.77,49.56,48.57,49.03,8.2538,8116976
2010-06-08,48.99,49.17,48.59,48.9275,8.2366,18177088
2010-06-09,49.08,49.26,48.31,48.4,8.1478,9823560
2010-06-10,49.14,50.3,48.88,50.3,8.4676,9816612
2010-06-11,49.86,50.09,49.49,50.0,8.4171,7825544
2010-06-14,50.51,50.96,50.15,50.5,8.5013,7473512
2010-06-15,50.9,51.31,50.71,51.31,8.6376,8121188
2010-06-16,50.98,51.99,50.98,51.68,8.6999,8106400
2010-06-17,51.85,52.45,51.25,52.37,8.8161,8105080
2010-06-18,52.35,52.738,52.1006,52.51,8.8397,9016084
2010-06-21,52.99,52.99,51.61,51.93,8.742,6652452
2010-06-22,51.86,51.89,50.54,50.71,8.5366,7922060
2010-06-23,48.0,51.08,48.0,50.2,8.4508,5679576
2010-06-24,49.99,50.72,49.48,49.58,8.3464,6574488
2010-06-25,49.81,49.81,49.03,49.22,8.2858,10078400
2010-06-28,49.28,49.45,48.91,49.19,8.2808,7355180
