date,open,high,low,close,adjusted_close,volume
2010-01-04,48.9,49.18,48.19,48.45,35.4859,5626515
2010-01-05,48.48,49.13,47.77,48.58,35.5812,7190443
2010-01-06,49.17,50.09,49.12,49.61,36.3356,8019170
2010-01-07,49.51,49.51,48.69,49.29,36.1012,7622878
2010-01-08,49.51,49.79,48.56,49.62,36.3429,5954003
2010-01-11,50.99,51.25,49.9199,50.18,36.753,6423134
2010-01-12,49.65,49.82,47.93,48.52,35.5372,8458633
2010-01-13,48.79,48.99,47.72,48.75,35.7057,5555123
2010-01-14,48.8,48.94,47.8621,48.42,35.464,5054943
2010-01-15,47.94,48.07,47.14,47.61,34.8707,9045212
2010-01-19,47.54,48.49,47.48,48.44,35.4786,6408356
2010-01-20,47.14,47.33,45.22,46.41,33.9918,12143010
2010-01-21,46.04,46.2,44.35,44.44,32.5489,15472000
2010-01-22,44.06,45.69,43.86,44.43,32.5416,13060090
2010-01-25,45.06,45.06,44.02,44.13,32.3219,8406513
2010-01-26,43.71,45.04,43.62,44.24,32.4024,8377188
2010-01-27,44.25,44.55,43.41,44.19,32.3658,8942994
2010-01-28,44.69,44.87,43.01,43.99,32.2193,10200020
2010-01-29,43.87,44.44,42.8,42.86,31.3917,8932085
2010-02-01,43.48,45.54,43.4,45.54,33.3546,11549130
2010-02-02,45.9,46.05,45.0,45.27,33.1568,8717878
2010-02-03,45.26,46.28,45.25,45.87,33.5963,10952320
2010-02-04,44.805,45.04,43.39,43.54,31.8897,12670900
2010-02-05,43.39,46.29,43.11,46.23,33.86,17170529
2010-02-08,45.82,45.97,44.38,44.41,32.5269,10295330
2010-02-09,45.17,46.07,44.85,45.82,33.5597,12685300
2010-02-10,45.32,45.83,44.33,45.33,33.2008,8631381
2010-02-11,45.54,46.9325,45.19,46.76,34.2481,11210830
2010-02-12,45.97,46.68,45.49,46.53,34.0797,8135994
2010-02-16,47.74,47.97,46.89,47.42,34.7315,11204730
2010-02-17,47.32,47.86,46.92,47.24,34.5997,12085640
2010-02-18,47.3,48.95,47.3,48.41,35.4566,10412370
2010-02-19,47.76,49.0,47.47,48.54,35.5519,8568056
2010-02-22,48.57,48.69,47.46,47.73,34.9586,6266156
2010-02-23,47.56,47.96,46.09,46.58,34.1163,8062011
2010-02-24,46.34,47.01,46.07,46.48,34.0431,8617990
2010-02-25,46.79,49.59,45.58,49.02,35.9034,16562641
2010-02-26,49.19,49.5,48.3,49.28,36.0939,7766901
2010-03-01,49.46,50.43,48.85,50.28,36.8263,8046995
2010-03-02,50.56,52.4,50.52,51.7,37.8663,11242860
2010-03-03,52.03,52.57,51.71,51.94,38.0421,7712943
2010-03-04,51.61,51.84,50.31,50.86,37.2511,10462880
2010-03-05,51.15,51.77,50.86,51.55,37.7565,7408535
2010-03-08,51.66,52.0,50.89,51.06,37.3976,5587457
2010-03-09,50.52,51.715,50.52,51.17,37.4781,6958060
2010-03-10,51.12,51.585,49.94,50.27,36.8893,9014498
2010-03-11,49.9,50.51,49.41,50.42,36.9994,6469052
2010-03-12,50.56,50.69,49.53,50.04,36.7205,5657199
2010-03-15,50.05,50.24,49.34,49.73,36.493,6028877
2010-03-16,50.7,51.5,50.41,51.34,37.6745,8537209
2010-03-17,51.18,51.83,51.03,51.23,37.5938,6066074
2010-03-18,51.42,52.19,50.94,51.27,37.6231,6426544
2010-03-19,51.64,51.78,50.44,50.76,37.2489,7829637
2010-03-22,50.07,51.44,49.87,51.4,37.7185,6020221
2010-03-23,51.18,52.06,50.6,51.45,37.7552,6236295
2010-03-24,50.51,50.72,49.63,49.72,36.4857,8788492
2010-03-25,50.04,50.28,48.28,48.35,35.4804,9640853
2010-03-26,48.67,49.59,48.2,49.38,36.2362,6884232
2010-03-29,49.69,50.47,49.45,50.37,36.9627,6441843
2010-03-30,50.49,50.95,50.29,50.74,37.2342,6863646
2010-03-31,51.64,51.84,50.82,50.93,37.3736,5626278
2010-04-01,51.5,53.16,51.19,52.91,38.8266,7787120
2010-04-05,53.37,53.98,52.86,53.81,39.487,5517498
2010-04-06,53.62,54.07,53.1,53.27,39.0908,6919120
2010-04-07,53.77,54.82,53.47,54.09,39.6925,9056720
2010-04-08,53.75,54.3,53.25,53.9,39.5531,6433217
2010-04-09,54.24,54.48,53.55,54.21,39.7806,7150821
2010-04-12,54.18,54.35,53.34,53.55,39.2963,5685134
2010-04-13,53.41,53.86,52.36,53.78,39.465,5534827
2010-04-14,53.89,54.12,53.23,53.55,39.2963,4762692
2010-04-15,53.16,53.61,52.82,53.03,38.9147,4097098
2010-04-16,52.41,52.69,51.19,52.15,38.2689,10960750
2010-04-19,51.75,52.28,51.4,52.22,38.3203,6581659
2010-04-20,52.47,52.75,51.35,51.53,37.8139,5646139
2010-04-21,51.76,52.37,51.22,51.91,38.0928,5226668
2010-04-22,51.28,52.62,51.01,52.44,38.4817,5450065
2010-04-23,52.14,53.2,51.615,53.1,38.966,4942841
2010-04-26,52.96,53.57,52.86,53.19,39.0321,4323387
2010-04-27,53.22,53.89,52.13,53.26,39.0834,10748560
2010-04-28,53.48,55.54,53.3,54.77,40.1915,11715060
2010-04-29,55.1,56.52,54.83,55.8,40.9474,9362881
2010-04-30,56.56,57.05,55.89,56.08,41.1528,7933201
2010-05-03,56.13,56.26,53.92,54.93,40.3089,7583777
2010-05-04,54.82,55.35,53.28,54.28,39.8319,8715101
2010-05-05,53.28,54.4,52.64,53.52,39.2742,10603200
2010-05-06,53.77,55.69,52.28,54.64,40.0961,16843070
2010-05-07,54.29,55.19,53.0,53.39,39.1788,16301740
2010-05-10,53.44,55.7,53.29,55.49,40.7199,10687380
2010-05-11,56.66,59.06,56.37,58.2,42.7085,17785430
2010-05-12,58.85,59.5749,58.26,58.71,43.0828,13758570
2010-05-13,58.68,58.81,56.94,57.13,41.9233,10199960
2010-05-14,58.39,58.53,56.5,57.68,42.3269,13359990
2010-05-17,57.68,58.09,56.12,57.04,41.8573,9074256
2010-05-18,56.64,57.14,55.53,56.06,41.1382,11705290
2010-05-19,55.35,55.96,53.59,54.51,40.0007,13686090
2010-05-20,53.48,54.5,52.07,52.07,38.2102,16628850
2010-05-21,50.87,52.65,50.86,52.34,38.4083,10800260
2010-05-24,53.13,53.8,52.34,52.34,38.4083,7595675
2010-05-25,51.52,53.65,51.4,53.54,39.2889,12299870
2010-05-26,54.1,54.79,53.15,53.16,39.0101,8085935
2010-05-27,53.59,55.18,53.34,54.93,40.3089,7712260
2010-05-28,53.98,54.78,53.64,53.82,39.4944,6980964
2010-06-01,54.49,55.88,54.46,54.64,40.0961,11191570
2010-06-02,54.83,55.74,54.3,55.71,40.8813,7099778
2010-06-03,55.68,55.78,53.84,54.32,39.8613,6485480
2010-06-04,53.78,55.04,53.43,53.715,39.4173,8098436
2010-06-07,53.7,56.06,53.3,55.16,40.4777,8728146
2010-06-08,55.69,57.61,55.57,56.45,41.4243,11666120
