date,open,high,low,close,adjusted_close,volume
2010-01-04,15.5599,15.6899,15.4301,15.51,3.6821,6905603
2010-01-05,15.55,15.6301,15.3199,15.47,3.6727,8784322
2010-01-06,15.48,15.5199,15.2,15.2901,3.6299,7382791
2010-01-07,15.2499,15.3,15.0099,15.1,3.5848,7407223
2010-01-08,15.0,15.13,14.8699,15.0201,3.5658,15739298
2010-01-11,15.0399,15.24,14.9501,15.2099,3.6109,7952107
2010-01-12,15.17,15.4199,15.1,15.2601,3.6228,6515964
2010-01-13,15.3799,15.5199,15.23,15.5001,3.6798,6572717
2010-01-14,15.51,15.5701,15.4499,15.5199,3.6845,3255310
2010-01-15,15.4301,15.48,15.1099,15.2901,3.6299,5240155
2010-01-19,15.3199,15.5199,15.2201,15.5199,3.6845,2950164
2010-01-20,15.4301,15.4601,15.27,15.4601,3.6703,3826153
2010-01-21,15.27,15.44,14.7399,14.8699,3.5302,22677223
2010-01-22,14.86,15.0,14.5599,14.5801,3.4614,11887695
2010-01-25,14.7101,14.82,14.5101,14.6699,3.4827,7603442
2010-01-26,14.6801,14.8801,14.59,14.8101,3.516,6195039
2010-01-27,14.62,14.66,14.3001,14.45,3.487,8991231
2010-01-28,14.48,14.5599,14.24,14.31,3.4532,9851186
2010-01-29,14.3899,14.4999,14.25,14.25,3.4387,8842603
2010-02-01,14.32,14.9901,14.25,14.8501,3.5836,14476978
2010-02-02,14.83,15.1799,14.7101,15.17,3.6607,8762944
2010-02-03,14.9901,15.2,14.9901,15.1099,3.6463,6164499
2010-02-04,15.0,15.0201,14.73,14.73,3.5546,6140067
2010-02-05,14.7101,14.76,14.4299,14.6801,3.5425,7216093
2010-02-08,14.6401,14.76,14.5599,14.5801,3.5184,5735412
2010-02-09,14.7101,15.0099,14.66,14.8101,3.5739,8917171
2010-02-10,14.8399,14.86,14.62,14.72,3.5522,6094512
2010-02-11,14.5999,14.8101,14.4999,14.79,3.5691,7384572
2010-02-12,14.6801,14.69,14.4599,14.6401,3.5329,9643769
2010-02-16,14.8101,15.0099,14.73,15.0099,3.6221,7927675
2010-02-17,15.0799,15.0799,14.9501,14.9699,3.6125,5236592
2010-02-18,14.9201,15.13,14.9099,15.0,3.6197,8357780
2010-02-19,14.9399,15.2099,14.8699,15.1601,3.6584,6267063
2010-02-22,15.2499,15.2901,15.1499,15.2099,3.6704,6529198
2010-02-23,15.2,15.24,15.0,15.0399,3.6294,6139304
2010-02-24,15.0399,15.1099,14.82,15.0099,3.6221,7452269
2010-02-25,14.82,15.0099,14.7399,14.9901,3.6173,4593471
2010-02-26,15.03,15.17,14.9399,15.0201,3.6246,23137868
2010-03-01,15.0901,15.23,15.0501,15.17,3.6607,5208852
2010-03-02,15.2099,15.27,14.86,15.14,3.6535,6397621
2010-03-03,15.14,15.23,15.06,15.1499,3.6559,4486072
2010-03-04,15.2,15.24,15.0,15.14,3.6535,5037319
2010-03-05,15.2,15.3799,15.13,15.3799,3.7114,3692541
2010-03-08,15.3499,15.4499,15.34,15.44,3.7259,2848619
2010-03-09,15.47,15.47,15.3199,15.4301,3.7235,3165471
2010-03-10,15.47,15.55,15.3799,15.55,3.7524,4270510
2010-03-11,15.48,15.58,15.3799,15.5701,3.7573,3670654
2010-03-12,15.64,15.6701,15.4301,15.4899,3.7379,3897922
2010-03-15,15.51,15.51,15.37,15.51,3.7428,3363218
2010-03-16,15.5001,15.68,15.4499,15.68,3.7838,4139952
2010-03-17,15.7001,15.89,15.6599,15.8299,3.82,4089815
2010-03-18,15.81,15.82,15.6599,15.7599,3.8031,3590232
2010-03-19,15.7299,15.88,15.55,15.7299,3.7959,6254847
2010-03-22,15.64,15.72,15.5701,15.7001,3.7887,2976632
2010-03-23,15.7001,15.89,15.6301,15.8599,3.8272,3827935
2010-03-24,15.78,15.85,15.6701,15.7001,3.7887,3842187
2010-03-25,15.7401,15.82,15.61,15.61,3.7669,3191685
2010-03-26,15.6599,15.92,15.65,15.78,3.808,14055272
2010-03-29,15.82,15.9999,15.7701,15.9699,3.8538,3453565
2010-03-30,15.99,16.0299,15.9299,15.99,3.8586,2773541
2010-03-31,15.9699,16.0101,15.8001,15.8001,3.8128,4810814
2010-04-01,15.8599,16.1699,15.8599,16.16,3.8997,4904215
2010-04-05,16.1699,16.33,16.1699,16.29,3.931,4303086
2010-04-06,16.22,16.4799,16.19,16.4501,3.9697,2949146
2010-04-07,16.47,16.5499,16.1699,16.33,3.9407,5088473
2010-04-08,16.2801,16.29,16.12,16.1999,3.9093,3643168
2010-04-09,16.2399,16.2501,16.12,16.2501,3.9214,14332931
2010-04-12,16.2801,16.3699,16.26,16.2801,3.9286,2223821
2010-04-13,16.26,16.3099,16.12,16.2399,3.9189,2213641
2010-04-14,16.2699,16.3699,16.19,16.3501,3.9455,7103095
2010-04-15,16.2501,16.3901,16.2399,16.33,3.9407,3487414
2010-04-16,16.33,16.46,16.2501,16.3201,3.9383,8565707
2010-04-19,16.2699,16.4099,16.1801,16.3901,3.9552,9150548
2010-04-20,16.4799,16.5601,16.3799,16.46,3.9721,6558211
2010-04-21,16.46,16.54,16.3901,16.4099,3.96,6986534
2010-04-22,16.33,16.4501,16.2101,16.4099,3.96,5082874
2010-04-23,16.3799,16.71,16.3501,16.71,4.0324,5356716
2010-04-26,16.74,16.8001,16.5901,16.6,4.0058,4751770
2010-04-27,16.5499,16.6,16.23,16.2699,3.9262,6915783
2010-04-28,16.1101,16.2801,15.99,16.1699,3.9605,8103026
2010-04-29,16.22,16.53,16.19,16.3399,4.0021,8164106
2010-04-30,16.3,16.6,16.3,16.3,3.9923,6976354
2010-05-03,16.3501,16.7199,16.3,16.67,4.083,7318402
2010-05-04,16.46,16.7301,16.4099,16.6,4.0658,8206098
2010-05-05,16.4799,16.63,16.1101,16.1999,3.9678,10842464
2010-05-06,16.12,16.16,14.4599,15.58,3.816,14820808
2010-05-07,15.61,15.7701,15.17,15.3601,3.7621,13994446
2010-05-10,15.88,16.12,15.65,15.8401,3.8797,10968950
2010-05-11,15.72,16.13,15.61,15.89,3.8919,8673360
2010-05-12,15.88,16.19,15.8001,16.1101,3.9458,5675859
2010-05-13,16.0699,16.22,15.9401,15.9999,3.9188,4866804
2010-05-14,15.92,15.9599,15.6701,15.8001,3.8699,6360464
2010-05-17,15.8701,15.9699,15.5301,15.85,3.8821,5726505
2010-05-18,15.9401,16.0801,15.5701,15.65,3.8331,9041367
2010-05-19,15.6599,15.6599,15.24,15.3601,3.7621,11479986
2010-05-20,15.0201,15.1901,14.7801,14.7999,3.6249,9549095
2010-05-21,14.6401,14.86,14.55,14.86,3.6396,7904516
2010-05-24,14.83,15.07,14.65,14.7399,3.6102,7593008
2010-05-25,14.4001,14.4401,14.1301,14.3599,3.5171,15285270
2010-05-26,14.49,14.8101,14.3299,14.55,3.5637,12671810
2010-05-27,14.7801,14.9699,14.6999,14.9201,3.6543,6611656
2010-05-28,14.9501,15.13,14.9201,14.96,3.6641,5730831
2010-06-01,14.79,14.9901,14.5599,14.5599,3.5661,7194461
2010-06-02,14.6299,14.9099,14.5801,14.9099,3.6519,7589954
