date,open,high,low,close,adjusted_close,volume
2010-01-04,23.78,24.13,23.7,23.87,18.4034,1683651
2010-01-05,23.96,24.28,23.81,24.24,18.6887,3473387
2010-01-06,24.25,24.79,24.11,24.77,19.0973,2719244
2010-01-07,24.79,25.24,24.73,24.91,19.2052,3200744
2010-01-08,24.81,25.01,24.48,24.5,18.8891,1694514
2010-01-11,24.69,25.0,24.69,24.73,19.0665,2128690
2010-01-12,24.6,24.6,24.0,24.04,18.5345,3446041
2010-01-13,24.13,24.35,24.085,24.3,18.7349,2704059
2010-01-14,24.25,24.34,24.0,24.05,18.5422,2016550
2010-01-15,24.62,25.13,24.31,24.4,18.812,4573815
2010-01-19,24.3,25.15,24.3,25.15,19.3903,3141553
2010-01-20,25.04,25.05,24.5,24.67,19.0202,3769992
2010-01-21,24.63,24.84,23.99,24.0,18.5036,4075964
2010-01-22,25.15,25.542,24.59,24.73,19.0665,16160260
2010-01-25,24.91,25.09,24.8,24.94,19.2284,5075581
2010-01-26,24.93,25.04,24.73,24.92,19.2129,3794783
2010-01-27,25.22,25.7,24.64,24.99,19.2669,11804980
2010-01-28,25.11,25.25,24.51,24.72,19.0587,52009660
2010-01-29,24.54,24.69,24.05,24.11,18.5884,8071314
2010-02-01,24.15,24.23,23.56,23.9,18.4265,6517537
2010-02-02,23.89,23.89,23.39,23.56,18.1644,6373044
2010-02-03,23.42,23.55,23.05,23.11,17.8175,3993596
2010-02-04,23.0,23.0,22.045,22.1,17.0388,5579145
2010-02-05,22.09,22.13,21.38,21.71,16.7381,5825506
2010-02-08,21.82,22.01,21.56,21.59,16.6456,3785223
2010-02-09,21.86,22.27,21.74,21.89,16.8769,4363016
2010-02-10,21.9,21.91,21.34,21.66,16.6995,3560521
2010-02-11,21.95,22.28,21.68,22.22,17.1313,4536197
2010-02-12,22.05,22.07,21.65,22.06,17.0079,4044102
2010-02-16,22.13,22.49,22.1,22.49,17.3394,2689817
2010-02-17,22.55,22.76,22.41,22.59,17.4165,3466452
2010-02-18,22.41,22.65,22.28,22.57,17.4011,4348321
2010-02-19,22.59,23.45,22.44,23.2,17.8868,5192214
2010-02-22,23.42,23.52,23.05,23.07,17.7866,3991949
2010-02-23,22.5,22.88,22.2,22.26,17.1621,5158712
2010-02-24,22.33,22.5,21.57,21.86,16.8537,5536325
2010-02-25,21.42,22.13,21.36,22.07,17.0156,5194872
2010-02-26,22.11,22.24,21.6,21.84,16.8383,5076361
2010-03-01,21.89,22.66,21.88,22.58,17.4088,4454242
2010-03-02,22.66,22.965,22.64,22.67,17.4782,5342343
2010-03-03,22.74,22.98,22.48,22.5,17.3472,4167007
2010-03-04,22.41,22.43,22.0,22.3,17.193,5632645
2010-03-05,22.34,23.02,22.34,22.82,17.5939,4665697
2010-03-08,22.8,23.03,22.7,22.9,17.6555,1857444
2010-03-09,22.83,22.98,22.72,22.75,17.5399,2425958
2010-03-10,22.7,22.83,22.56,22.64,17.4551,2847673
2010-03-11,22.56,22.94,22.52,22.94,17.6864,2832711
2010-03-12,22.73,22.88,22.07,22.19,17.1081,5232041
2010-03-15,22.16,22.35,22.02,22.27,17.1698,2323453
2010-03-16,22.31,22.52,22.125,22.5,17.3472,2155655
2010-03-17,22.5,22.64,22.38,22.47,17.324,2610374
2010-03-18,22.59,22.6,21.96,22.02,16.9771,5028062
2010-03-19,22.1,22.35,21.8,22.06,17.0079,5196037
2010-03-22,21.98,22.03,21.59,21.62,16.6687,3602469
2010-03-23,21.61,21.72,21.505,21.58,16.6378,5735234
2010-03-24,21.34,21.57,21.03,21.17,16.3217,5763485
2010-03-25,20.93,21.05,20.28,20.32,15.6664,5807545
2010-03-26,20.28,20.58,20.2,20.25,15.6124,4812141
