date,open,high,low,close,adjusted_close,volume
2010-01-04,34.59,34.8699,34.0,34.19,26.2016,5320088
2010-01-05,34.1,34.35,33.38,33.59,25.7418,7933856
2010-01-06,33.47,33.99,33.1,33.35,25.5579,5193893
2010-01-07,33.24,33.53,32.99,33.27,25.4965,5373017
2010-01-08,33.12,33.585,32.78,33.54,25.7035,4718348
2010-01-11,33.54,33.75,32.73,32.94,25.2437,5529027
2010-01-12,32.8,33.02,32.05,32.45,24.8681,7329590
2010-01-13,32.71,33.87,32.7,33.73,25.8491,6934470
2010-01-14,33.63,34.25,33.6,33.65,25.7878,5474484
2010-01-15,33.88,34.0,32.99,33.15,25.4046,5337779
2010-01-19,33.16,33.84,33.16,33.3,25.5195,5129365
2010-01-20,33.07,33.07,31.8,32.5,24.9065,5545817
2010-01-21,32.38,33.04,31.62,31.78,24.3547,9320419
2010-01-22,31.54,32.11,30.76,30.78,23.5883,9246452
2010-01-25,31.02,31.42,30.58,30.93,23.7033,5594809
2010-01-26,30.79,31.535,30.53,30.91,23.688,5227396
2010-01-27,30.68,31.21,30.31,30.93,23.7033,5722509
2010-01-28,30.6,30.92,29.48,29.82,22.8526,9192946
2010-01-29,29.96,30.28,28.92,29.13,22.3238,8728503
2010-02-01,29.1025,30.16,29.1025,30.11,23.0749,5679321
2010-02-02,30.14,31.13,30.0,30.97,23.7339,8362925
2010-02-03,30.84,31.16,30.66,31.02,23.7723,5400432
2010-02-04,30.74,30.95,29.84,29.89,22.9063,8937424
2010-02-05,30.07,30.47,29.47,30.38,23.2818,9856339
2010-02-08,30.5,31.07,30.2,30.52,23.3891,5737980
2010-02-09,30.91,31.18,30.41,31.01,23.7646,6610829
2010-02-10,30.89,31.1,30.53,30.76,23.573,4356553
2010-02-11,30.75,31.63,30.5,31.54,24.1708,5711196
2010-02-12,31.08,31.61,30.79,31.46,24.1094,4397367
2010-02-16,31.909,32.32,31.74,32.3,24.7532,7300656
2010-02-17,32.3,32.31,31.6999,32.08,24.5846,11614730
2010-02-18,31.58,31.7,30.26,31.68,24.278,19886430
2010-02-19,31.47,31.86,31.0,31.29,23.9792,10254140
2010-02-22,31.51,31.51,30.535,30.64,23.481,6246079
2010-02-23,30.41,30.55,29.62,29.9,22.9139,7964570
2010-02-24,30.06,30.35,29.57,29.83,22.8603,9370726
2010-02-25,29.35,30.16,29.2,30.01,22.9982,7590829
2010-02-26,29.99,30.29,29.8,30.01,22.9982,6076208
2010-03-01,30.27,31.52,30.12,31.46,24.1094,9051341
2010-03-02,31.53,31.69,30.79,31.09,23.8259,7709137
2010-03-03,31.26,32.01,30.985,31.24,23.9409,7451836
2010-03-04,31.33,31.42,31.03,31.36,24.0328,5097983
2010-03-05,31.47,32.23,31.47,32.05,24.5616,6557681
2010-03-08,32.34,32.89,32.34,32.51,24.9141,5319316
2010-03-09,32.25,32.86,32.21,32.55,24.9448,4808228
2010-03-10,32.42,33.31,32.42,33.18,25.4276,7204322
2010-03-11,33.15,33.34,32.88,33.32,25.5349,5345759
2010-03-12,33.53,33.69,32.75,32.91,25.2207,4583821
2010-03-15,33.27,33.3,32.55,32.82,25.1517,3756066
2010-03-16,32.99,33.23,32.65,33.1925,25.4372,4010325
2010-03-17,32.75,33.4,32.75,33.04,25.3203,5094872
2010-03-18,32.97,33.37,32.83,33.3,25.5195,3209617
2010-03-19,33.34,33.58,32.16,32.46,24.8758,8786507
2010-03-22,32.2,33.17,32.2,32.94,25.2437,3625202
2010-03-23,32.96,32.98,32.43,32.74,25.0904,5347666
2010-03-24,32.5,33.28,32.45,33.17,25.4199,4908222
2010-03-25,33.5,33.51,32.61,32.62,24.9984,6013779
2010-03-26,33.06,33.11,32.48,32.73,25.0827,5679780
2010-03-29,32.94,33.19,32.42,32.54,24.9371,3204536
2010-03-30,32.51,32.72,32.05,32.57,24.9601,3747095
2010-03-31,32.25,32.843,32.25,32.54,24.9371,3524440
2010-04-01,33.238,34.67,33.22,34.26,26.2552,12611620
2010-04-05,34.33,34.91,34.19,34.77,26.6461,5016145
2010-04-06,34.58,34.88,34.31,34.83,26.6921,4068649
2010-04-07,34.72,35.59,34.65,35.12,26.9143,8154790
2010-04-08,34.93,35.0,34.085,34.84,26.6997,5252568
2010-04-09,34.9,35.53,34.87,35.53,27.2285,6107499
2010-04-12,35.15,35.53,34.71,34.94,26.7764,5231010
2010-04-13,34.7,35.03,34.55,34.69,26.5848,3983211
2010-04-14,34.98,35.97,34.88,35.86,27.4814,5129621
2010-04-15,35.77,36.0,35.63,35.67,27.3358,4956765
2010-04-16,35.63,36.09,35.01,35.15,26.9373,7605225
2010-04-19,34.96,35.39,34.2,34.79,26.6614,4666528
2010-04-20,34.8,34.84,34.34,34.67,26.5694,5718416
2010-04-21,34.7,35.31,34.51,35.19,26.9679,5389061
2010-04-22,34.82,35.5,34.47,35.35,27.0906,3592429
2010-04-23,35.22,36.28,35.15,36.17,27.719,5350356
2010-04-26,36.21,36.49,35.79,35.89,27.5044,3894873
2010-04-27,35.6,35.9,34.59,34.85,26.7074,5337830
2010-04-28,35.19,35.56,34.82,35.53,27.2285,5745021
2010-04-29,35.55,36.25,35.29,35.84,27.4661,6314004
