date,open,high,low,close,adjusted_close,volume
2010-01-04,30.7,31.1202,29.0004,29.2906,4.2187,7144875
2010-01-05,29.1706,30.0202,28.5,29.9202,4.3094,8021700
2010-01-06,29.8602,31.1902,29.8602,30.4704,4.3886,5136075
2010-01-07,29.6404,30.7504,28.98,29.0004,4.1769,6231600
2010-01-08,29.3002,29.85,28.9402,29.4004,4.2345,6259275
2010-01-11,29.4904,29.68,28.98,29.2302,4.2101,2703375
2010-01-12,29.1304,29.6502,28.6702,29.08,4.1884,4515075
2010-01-13,29.1502,29.4202,28.7404,29.2408,4.2115,2709450
2010-01-14,28.4704,30.06,28.4704,29.1706,4.2014,3558600
2010-01-15,29.26,29.26,28.0404,28.4202,4.0934,5808375
2010-01-19,28.3204,28.5202,27.54,27.8802,4.0156,4876200
2010-01-20,27.81,27.81,27.15,27.5302,3.9652,3229200
2010-01-21,27.6004,27.9906,26.7504,26.8606,3.8687,4507650
2010-01-22,26.8504,27.0702,26.38,26.5408,3.8226,3165075
2010-01-25,26.8002,26.9704,26.34,26.6904,3.8442,2849850
2010-01-26,26.7004,27.1806,26.5002,27.0,3.8888,2963925
2010-01-27,27.0,27.2998,26.9502,27.2404,3.9234,5975775
2010-01-28,28.0504,29.0602,27.3804,27.6208,3.9782,10279575
2010-01-29,27.6504,27.9802,27.3402,27.5004,3.9609,4669650
2010-02-01,27.5802,28.3104,27.5004,28.1098,4.0487,4393575
2010-02-02,28.2606,28.27,27.79,28.0302,4.0372,3885300
2010-02-03,27.91,28.5102,27.7398,28.3704,4.0862,2743875
2010-02-04,28.27,28.27,27.81,27.81,4.0055,2812050
2010-02-05,27.7804,28.17,27.1,27.6004,3.9753,4041225
2010-02-08,27.6504,28.2904,27.2104,27.5902,3.9738,3578175
2010-02-09,27.9502,28.4308,27.64,28.2798,4.0732,2758725
2010-02-10,28.1202,28.2798,27.6504,28.1608,4.056,3163725
2010-02-11,28.0098,28.5904,27.5004,28.4002,4.0905,3864375
2010-02-12,28.2606,28.5306,27.7602,28.5202,4.1078,2459025
2010-02-16,28.5702,28.5702,27.9406,28.3204,4.079,2876175
2010-02-17,28.4806,28.9602,28.3704,28.9302,4.1668,4243725
2010-02-18,28.8504,29.3904,28.7506,28.8304,4.1524,4145175
2010-02-19,28.8504,29.2204,28.7506,29.1502,4.1985,2720250
2010-02-22,29.14,29.8998,29.0602,29.8104,4.2936,3437100
