date,open,high,low,close,adjusted_close,volume
2010-01-04,39.5,39.74,39.355,39.62,25.8826,1670736
2010-01-05,39.54,39.61,39.16,39.48,25.7911,1807846
2010-01-06,39.32,39.5,39.02,39.17,25.5886,2500469
2010-01-07,39.11,39.21,38.72,38.94,25.4384,2520195
2010-01-08,38.72,39.55,38.59,39.39,25.7323,1935623
2010-01-11,39.38,39.65,39.32,39.39,25.7323,1383148
2010-01-12,39.05,39.19,38.5,38.73,25.3012,2263756
2010-01-13,38.73,39.25,38.73,39.16,25.5821,1819606
2010-01-14,38.74,39.0,38.04,38.11,24.8962,3447476
2010-01-15,38.1,38.26,37.51,37.66,24.6022,2219055
2010-01-19,37.56,38.01,37.53,37.8,24.6936,2279214
2010-01-20,37.51,37.88,37.32,37.49,24.4911,3081595
2010-01-21,37.43,38.0,36.97,37.03,24.1906,2565219
2010-01-22,36.97,37.12,36.27,36.29,23.7072,2618384
2010-01-25,36.69,36.73,36.45,36.62,23.9228,1833655
2010-01-26,36.53,36.95,36.23,36.55,23.8771,2486305
2010-01-27,36.55,36.61,35.7,36.0,23.5178,2877743
2010-01-28,36.12,36.39,35.74,35.85,23.4198,1890686
2010-01-29,36.07,36.2,35.13,35.3,23.0605,2987952
2010-02-01,35.62,36.18,35.45,36.03,23.5374,2736103
2010-02-02,35.94,36.96,35.9,36.94,24.1318,2649441
2010-02-03,36.86,37.14,36.56,37.02,24.1841,3202044
2010-02-04,36.66,36.82,35.75,35.76,23.361,2221596
2010-02-05,35.7,35.72,34.78,35.28,23.0474,3581351
2010-02-08,35.34,35.37,34.54,34.54,22.564,3288493
2010-02-09,35.05,35.54,34.96,35.25,23.0278,3799816
2010-02-10,35.96,35.96,35.08,35.75,23.3544,4072217
2010-02-11,35.74,35.85,34.95,35.56,23.2303,3681225
2010-02-12,35.06,35.27,34.83,35.2,22.9951,3627844
2010-02-16,35.55,36.0,35.2,35.95,23.4851,2831796
2010-02-17,36.14,36.48,35.87,36.35,23.7464,3446587
2010-02-18,36.34,37.29,36.25,36.78,24.0273,3751331
2010-02-19,36.75,37.27,36.5,37.07,24.2168,3266316
2010-02-22,37.1,37.22,36.86,36.98,24.158,1511633
2010-02-23,36.98,37.12,36.63,36.67,23.9554,2043564
2010-02-24,36.9,37.18,36.72,36.88,24.0926,1595451
2010-02-25,36.21,36.65,36.1601,36.62,23.9228,2220655
2010-02-26,36.7,37.01,36.52,36.62,23.9228,3202981
2010-03-01,36.63,37.75,36.58,37.68,24.6152,2579143
2010-03-02,37.89,38.03,37.57,37.66,24.6022,2462610
2010-03-03,37.49,37.77,37.46,37.63,24.7138,1915835
2010-03-04,37.63,37.79,37.32,37.51,24.635,1962520
2010-03-05,37.76,38.14,37.63,38.06,24.9962,2528869
2010-03-08,37.87,38.0804,37.82,37.99,24.9503,1187157
2010-03-09,37.91,38.4,37.75,38.23,25.1079,1702088
2010-03-10,38.19,38.89,38.1,38.84,25.5085,2359795
2010-03-11,38.76,39.29,38.53,39.26,25.7844,1955786
2010-03-12,39.41,39.46,38.9701,39.31,25.8172,1525893
2010-03-15,39.25,39.49,38.89,39.16,25.7187,1828660
2010-03-16,39.18,39.34,38.99,39.24,25.7712,1362743
2010-03-17,39.24,39.9,39.24,39.78,26.1259,1739730
2010-03-18,39.72,39.78,39.37,39.56,25.9814,1416272
2010-03-19,39.7,39.7,38.93,39.08,25.6661,3042522
2010-03-22,38.97,39.76,38.8,39.66,26.0471,2090443
2010-03-23,39.7,39.92,39.36,39.82,26.1521,2064514
2010-03-24,39.71,40.02,39.59,39.75,26.1062,3276854
2010-03-25,39.95,40.29,39.77,39.77,26.1193,3067212
2010-03-26,39.86,40.13,39.73,39.81,26.1456,2223000
2010-03-29,39.86,40.01,39.47,39.57,25.9879,2006228
2010-03-30,39.5,40.04,39.34,39.88,26.1915,1996838
2010-03-31,38.5,39.3,37.99,38.81,25.4888,4734687
2010-04-01,38.49,39.25,38.49,38.83,25.5019,4259599
2010-04-05,38.78,39.47,38.78,39.24,25.7712,2497807
2010-04-06,39.18,39.58,38.65,39.4,25.8763,2600962
2010-04-07,39.37,39.385,38.88,38.9,25.5479,2953315
2010-04-08,38.87,39.36,38.58,39.18,25.7318,2341202
2010-04-09,39.26,39.72,38.95,39.45,25.9091,3313930
2010-04-12,39.55,39.6,39.16,39.24,25.7712,1707066
2010-04-13,39.22,39.72,39.22,39.5,25.942,3978102
2010-04-14,40.1,41.44,40.1,40.81,26.8023,6443477
2010-04-15,41.72,42.05,41.18,41.2,27.0585,6166133
2010-04-16,41.01,41.26,40.51,40.53,26.6184,4096778
2010-04-19,40.42,41.18,40.37,41.12,27.0059,3235370
2010-04-20,43.42,44.08,43.15,43.58,28.6215,8259395
2010-04-21,43.43,43.58,42.57,42.87,28.1552,5163043
2010-04-22,42.67,42.94,41.98,42.92,28.1881,3961325
2010-04-23,43.04,43.37,42.82,43.37,28.4836,3486392
2010-04-26,43.39,43.51,43.03,43.04,28.2669,3461783
2010-04-27,42.97,43.2,41.68,41.82,27.4657,4317621
2010-04-28,42.08,42.525,41.94,42.17,27.6955,6957030
2010-04-29,42.43,43.22,42.2,43.13,28.326,3628756
2010-04-30,43.21,43.5,42.54,42.66,28.0173,3245058
2010-05-03,42.76,43.6,42.71,43.56,28.6084,2862985
2010-05-04,42.98,43.01,41.73,42.22,27.7284,4400195
2010-05-05,41.66,42.08,41.08,41.39,27.1832,3738852
2010-05-06,41.25,41.94,38.2,40.62,26.6775,5490020
2010-05-07,40.4,40.57,38.95,39.22,25.7581,6745015
2010-05-10,41.21,41.58,40.78,41.21,27.065,4311643
2010-05-11,40.74,41.91,40.64,41.51,27.2621,4268325
2010-05-12,41.82,42.15,41.5,42.03,27.6036,2574624
2010-05-13,42.01,42.32,41.68,41.76,27.4262,2673866
2010-05-14,41.58,41.63,40.58,41.11,26.9994,3434378
2010-05-17,41.3,41.4,40.36,41.22,27.0716,2680758
2010-05-18,41.47,41.88,40.3,40.54,26.625,3354711
2010-05-19,40.31,40.6,39.69,39.96,26.2441,4405781
2010-05-20,39.24,39.34,38.09,38.14,25.0488,4439358
2010-05-21,37.58,38.595,37.25,38.36,25.1933,4224177
2010-05-24,38.33,38.54,37.71,37.73,24.7795,4418497
2010-05-25,36.74,37.03,36.22,36.99,24.2935,6677572
2010-05-26,37.57,38.36,37.46,37.7,24.7598,4938372
2010-05-27,38.33,38.8,38.0,38.78,25.4691,2620585
2010-05-28,38.46,38.74,37.84,37.95,24.924,3246251
2010-06-01,37.54,37.89,36.76,36.78,24.1556,3039227
2010-06-02,37.03,37.95,37.01,37.94,24.9174,3745896
2010-06-03,38.16,38.45,37.855,38.09,25.0159,2782095
2010-06-04,37.07,37.51,35.87,36.07,23.6893,5229956
2010-06-07,36.26,36.92,36.11,36.13,23.7287,4856843
2010-06-08,36.06,36.34,35.38,36.07,23.6893,3287847
2010-06-09,36.31,36.98,35.89,36.07,23.6893,2335908
2010-06-10,36.81,37.35,36.795,37.32,24.5102,2869125
2010-06-11,36.9,37.49,36.6,37.41,24.7017,2333201
2010-06-14,37.78,38.08,37.45,37.47,24.7413,3028156
2010-06-15,37.66,38.6,37.55,38.6,25.4875,2479494
2010-06-16,38.39,39.015,38.25,38.9,25.6856,4495359
2010-06-17,39.12,39.14,38.14,38.36,25.329,2662931
2010-06-18,38.5,38.5,37.95,38.07,25.1375,2535271
2010-06-21,38.53,38.84,37.61,37.88,25.0121,2193900
2010-06-22,37.78,38.09,36.7,36.74,24.2593,2407754
2010-06-23,36.65,37.16,36.33,37.01,24.4376,2825152
2010-06-24,36.79,36.9,36.04,36.23,23.9226,2570717
2010-06-25,36.21,36.4299,35.85,36.14,23.8631,4418341
2010-06-28,36.2,36.66,36.04,36.04,23.7971,1977065
2010-06-29,35.41,35.65,34.63,34.85,23.0114,3093610
2010-06-30,34.72,35.185,34.18,34.3,22.6482,3379913
2010-07-01,34.2,34.52,33.55,34.31,22.6548,3353370
2010-07-02,34.4,34.42,33.71,33.91,22.3907,2061291
2010-07-06,34.34,34.59,33.5,33.77,22.2982,2978099
2010-07-07,33.93,34.51,33.83,34.43,22.734,4191617
2010-07-08,34.58,35.08,34.44,34.51,22.7869,5969475
2010-07-09,34.53,34.83,34.445,34.61,22.8529,3149432
2010-07-12,34.54,35.16,34.53,34.86,23.018,3123076
2010-07-13,35.24,36.1,35.22,35.95,23.7377,2764579
2010-07-14,35.76,36.06,35.51,35.78,23.6254,1932967
2010-07-15,35.83,36.27,35.49,36.16,23.8764,3000118
2010-07-16,36.0,36.0,35.15,35.31,23.3151,3643859
2010-07-19,35.29,36.28,35.24,35.99,23.7641,4462264
2010-07-20,35.61,37.04,35.61,36.97,24.4112,5511690
2010-07-21,37.22,37.45,36.1,36.4,24.0348,4136363
2010-07-22,36.83,38.05,36.83,37.74,24.9196,2409417
2010-07-23,37.53,38.51,37.53,38.48,25.4082,2777262
2010-07-26,38.03,38.38,37.73,38.32,25.3026,2476208
2010-07-27,38.35,38.72,37.57,37.98,25.0781,3454926
2010-07-28,37.82,38.01,37.25,37.38,24.6819,2374586
2010-07-29,37.78,37.88,36.58,37.27,24.6093,4177218
2010-07-30,36.75,37.47,36.6,37.26,24.6027,3823932
2010-08-02,37.98,38.06,37.54,37.99,25.0847,2140415
2010-08-03,38.13,38.38,37.58,37.86,24.9989,2353891
2010-08-04,37.92,38.3,37.86,38.27,25.2696,1668069
2010-08-05,38.1,38.9,38.02,38.81,25.6261,2118042
2010-08-06,38.36,38.69,37.88,38.38,25.3422,2456459
2010-08-09,38.57,38.93,38.52,38.9,25.6856,1351943
2010-08-10,38.63,38.63,38.18,38.43,25.3752,2095528
2010-08-11,37.79,37.79,37.1,37.24,24.5895,1677060
2010-08-12,36.48,36.84,36.34,36.74,24.2593,2128690
2010-08-13,36.55,36.672,36.25,36.36,24.0084,1542743
2010-08-16,36.08,36.34,35.83,36.25,23.9358,1432077
2010-08-17,36.65,36.97,36.32,36.64,24.1933,1879620
2010-08-18,36.62,37.27,36.53,36.94,24.3914,2152897
2010-08-19,36.69,36.765,36.11,36.39,24.0282,1902556
2010-08-20,36.06,36.52,35.9,36.45,24.0678,1784958
2010-08-23,36.68,36.79,35.77,35.78,23.6254,1686797
2010-08-24,35.27,35.71,35.07,35.33,23.3283,2373590
2010-08-25,35.03,35.575,34.79,35.45,23.4075,2335273
2010-08-26,35.49,35.91,35.23,35.31,23.3151,2120110
2010-08-27,35.53,35.73,34.88,35.69,23.566,2723317
2010-08-30,35.59,35.79,35.11,35.11,23.183,1176490
2010-08-31,35.01,35.22,34.68,35.01,23.117,2495342
2010-09-01,35.48,36.28,35.48,35.81,23.6452,2616419
2010-09-02,35.76,36.3,35.76,36.05,23.8037,1826289
2010-09-03,36.37,37.02,36.29,37.01,24.4376,2128663
2010-09-07,36.86,36.92,36.23,36.27,23.949,1698846
2010-09-08,36.27,36.94,36.27,36.88,24.3518,1413783
2010-09-09,37.28,37.31,36.98,37.13,24.5168,1857323
2010-09-10,37.84,37.84,37.5,37.57,24.8074,1830530
2010-09-13,37.93,38.38,37.79,38.28,25.2762,2132501
2010-09-14,38.27,38.72,38.2,38.44,25.3818,1738476
2010-09-15,38.24,38.43,38.1,38.35,25.3224,1436965
2010-09-16,38.27,38.43,38.035,38.34,25.3158,1383736
2010-09-17,38.46,39.25,38.46,39.22,25.8969,3067278
2010-09-20,39.22,39.94,39.07,39.48,26.2022,2304919
2010-09-21,39.13,39.59,38.88,39.32,26.096,2050901
2010-09-22,39.19,39.51,38.64,39.03,25.9035,2198972
2010-09-23,38.69,39.49,38.52,38.56,25.5916,2227722
2010-09-24,39.09,40.0,39.01,39.79,26.4079,1863650
2010-09-27,39.75,40.0,39.34,39.56,26.2553,2229644
2010-09-28,39.48,39.78,39.0,39.71,26.3548,1815823
2010-09-29,39.36,39.6,39.02,39.43,26.169,1514051
2010-09-30,39.54,40.0,39.35,39.48,26.2022,1945510
2010-10-01,39.65,39.98,39.39,39.66,26.3216,1696877
2010-10-04,39.42,39.6193,38.54,39.08,25.9367,3033775
2010-10-05,39.53,40.39,39.44,40.24,26.7066,2647708
2010-10-06,40.16,40.3,39.58,39.77,26.3946,1889979
2010-10-07,39.99,40.088,39.51,39.74,26.3747,1886887
2010-10-08,39.81,40.39,39.67,40.27,26.7265,1175354
2010-10-11,40.23,40.82,40.0801,40.63,26.9654,1547766
2010-10-12,40.63,41.0,40.49,40.79,27.0716,2237534
2010-10-13,40.96,41.5,40.85,40.96,27.1844,2762304
2010-10-14,40.97,41.31,40.85,41.29,27.4034,2037672
2010-10-15,41.67,41.98,41.35,41.76,27.7154,2873680
2010-10-18,41.77,42.64,41.36,42.07,27.9211,3977889
2010-10-19,40.75,41.68,40.66,41.29,27.4034,4203361
2010-10-20,41.41,42.89,41.32,42.45,28.1733,3250944
2010-10-21,42.6,43.16,42.33,43.05,28.5715,3560098
2010-10-22,43.0,43.46,42.68,43.23,28.691,2746322
2010-10-25,43.5,43.83,43.03,43.6,28.9365,3243304
2010-10-26,43.27,44.0,43.0,43.88,29.1224,2724209
2010-10-27,43.41,43.74,43.24,43.7,29.0029,2997870
2010-10-28,43.96,44.19,43.41,43.86,29.1091,3553913
2010-10-29,43.55,44.39,43.55,43.96,29.1755,3109971
2010-11-01,44.21,44.77,43.83,44.03,29.2219,1940905
2010-11-02,44.28,44.84,44.2,44.59,29.5936,2984237
2010-11-03,44.64,45.5,44.57,45.4,30.1312,3306350
2010-11-04,45.6,46.58,45.59,46.42,30.8081,2885691
2010-11-05,46.16,47.24,46.16,46.74,31.0205,3946244
2010-11-08,46.2,46.79,46.2,46.56,30.901,2487896
2010-11-09,46.65,47.03,46.0616,46.3,30.7285,2392657
2010-11-10,46.16,46.56,45.48,46.49,30.8546,3155790
2010-11-11,46.09,46.61,45.82,46.48,30.8479,2451461
2010-11-12,46.01,46.52,45.59,46.05,30.5625,2713294
2010-11-15,46.18,46.23,45.56,45.63,30.2838,3674224
2010-11-16,45.26,45.36,44.4,44.97,29.8458,3242589
2010-11-17,44.84,45.005,44.1,44.93,29.8192,2828025
2010-11-18,45.34,45.7,45.3,45.36,30.1046,2251865
2010-11-19,45.35,45.95,45.18,45.92,30.4763,1930891
2010-11-22,45.58,45.86,45.32,45.78,30.3834,2555005
2010-11-23,45.37,45.37,44.6,44.83,29.7529,2158977
2010-11-24,45.16,45.8,45.02,45.63,30.2838,2360320
2010-11-26,45.19,45.5,45.04,45.27,30.0449,776255
2010-11-29,44.94,45.62,44.63,45.44,30.1577,2010215
2010-11-30,44.95,46.0,44.89,45.44,30.1577,3068583
2010-12-01,46.17,46.73,46.03,46.47,30.8413,2060819
2010-12-02,46.61,47.0,46.48,46.94,31.1532,1564665
2010-12-03,46.28,47.38,46.28,47.31,31.3988,2699999
2010-12-06,47.13,47.82,46.78,47.51,31.5315,2377366
2010-12-07,47.86,47.88,46.86,46.89,31.12,2380926
2010-12-08,46.99,47.02,45.98,46.24,30.6886,3314840
2010-12-09,46.33,46.55,45.82,46.35,30.7617,2333589
2010-12-10,46.54,46.89,46.36,46.64,30.9541,1620504
2010-12-13,46.86,46.96,46.44,46.46,30.8347,1292987
2010-12-14,46.48,46.83,46.25,46.61,30.9342,1072179
2010-12-15,46.44,46.58,45.89,46.06,30.5692,1750428
2010-12-16,46.11,46.4,45.9,46.0,30.5294,2140146
2010-12-17,45.98,46.56,45.7919,46.44,30.8214,2344922
2010-12-20,46.35,46.85,46.18,46.68,31.1147,1540026
2010-12-21,46.92,46.99,46.51,46.74,31.1547,1479895
2010-12-22,47.0,47.0,46.37,46.64,31.088,984451
2010-12-23,46.57,46.92,46.14,46.29,30.8547,977085
2010-12-27,46.17,46.4,46.025,46.07,30.7081,728535
2010-12-28,46.24,46.28,45.7,46.04,30.6881,1643110
2010-12-29,46.17,46.5099,46.11,46.24,30.8214,1094238
2010-12-30,46.2,46.24,45.76,45.91,30.6014,1135152
2010-12-31,45.81,45.95,45.66,45.8,30.5281,1062960
2011-01-03,46.12,46.55,46.0465,46.24,30.8214,1433062
2011-01-04,46.35,46.35,45.795,46.29,30.8547,2233629
2011-01-05,46.06,46.96,45.4,46.86,31.2346,1804275
2011-01-06,46.86,47.51,46.48,47.4,31.5946,2645008
2011-01-07,47.4,47.4899,46.72,47.0,31.328,3351463
2011-01-10,46.52,46.71,46.1,46.26,30.8347,2472065
2011-01-11,46.36,46.44,45.97,46.02,30.6747,1770866
2011-01-12,46.51,46.51,44.89,45.37,30.2415,4640976
2011-01-13,45.32,45.37,44.76,44.84,29.8882,2691344
2011-01-14,44.79,45.06,44.5701,44.83,29.8815,3197028
2011-01-18,44.8,45.62,44.66,45.5,30.3281,3346061
2011-01-19,45.41,45.95,45.25,45.44,30.2881,2267515
2011-01-20,45.42,45.84,45.27,45.56,30.3681,1959644
2011-01-21,45.83,45.99,45.4,45.53,30.3481,1933761
2011-01-24,45.46,45.77,45.13,45.73,30.4814,1579650
2011-01-25,45.56,45.96,45.28,45.91,30.6014,1616270
2011-01-26,45.94,46.67,45.84,46.34,30.888,1730881
2011-01-27,46.13,46.33,45.9,46.25,30.828,1192327
2011-01-28,46.21,46.32,44.79,44.82,29.8749,2714662
2011-01-31,44.95,45.18,44.63,44.88,29.9149,1814405
2011-02-01,45.2,45.95,44.93,45.89,30.5881,1377040
2011-02-02,45.64,46.47,45.64,46.25,30.828,1350601
2011-02-03,46.08,47.26,45.88,47.11,31.4013,2756510
2011-02-04,46.94,47.91,46.84,47.91,31.9345,2608394
2011-02-07,47.78,47.905,47.57,47.8,31.8612,2051852
2011-02-08,47.75,48.29,47.67,48.19,32.1212,2292071
2011-02-09,48.14,48.4,47.79,48.2,32.1278,937370
2011-02-10,48.02,49.16,47.92,48.93,32.6144,2260837
2011-02-11,48.75,49.65,48.6,49.43,32.9477,1337939
2011-02-14,49.32,49.96,49.0,49.95,33.2943,2408116
2011-02-15,49.6,50.0,48.225,48.82,32.5411,3460668
2011-02-16,49.2,50.22,49.2,50.08,33.3809,2731941
2011-02-17,49.83,50.5,49.43,50.2,33.4609,1712082
2011-02-18,50.31,50.85,50.14,50.41,33.6009,1938479
2011-02-22,49.81,50.09,48.65,48.71,32.4678,2875709
2011-02-23,48.77,49.03,47.74,48.14,32.0878,2193904
2011-02-24,48.23,49.03,47.94,48.76,32.5011,2834533
2011-02-25,49.06,50.08,48.94,49.92,33.2743,2568328
2011-02-28,50.04,50.9,49.93,50.9,33.9275,2464706
2011-03-01,51.02,51.254,49.64,49.69,33.121,2875252
2011-03-02,49.55,49.785,49.27,49.65,33.2617,2300145
2011-03-03,50.11,50.42,49.93,49.99,33.4894,2061522
