date,open,high,low,close,adjusted_close,volume
2010-01-04,24.66,25.19,24.66,24.85,20.4349,26795070
2010-01-05,24.72,24.85,24.35,24.82,20.4103,28669971
2010-01-06,24.77,24.915,24.38,24.46,20.1142,24560770
2010-01-07,24.46,24.61,24.08,24.38,20.0484,30469730
2010-01-08,24.28,24.75,24.25,24.68,20.2951,23542430
2010-01-11,24.69,24.8,24.37,24.69,20.3034,19002410
2010-01-12,24.56,24.61,24.31,24.56,20.1964,26204641
2010-01-13,24.63,24.99,24.55,24.8,20.3938,24912311
2010-01-14,25.13,25.58,25.05,25.34,20.88,44685273
2010-01-15,25.47,25.64,24.99,25.24,20.7976,42296289
2010-01-19,25.32,25.5,25.12,25.33,20.8717,22732260
2010-01-20,25.05,25.13,24.51,25.06,20.6492,39971566
2010-01-21,25.19,25.54,24.59,24.83,20.4597,41756102
2010-01-22,24.94,25.05,24.11,24.15,19.8994,33681566
2010-01-25,24.24,24.27,23.82,24.03,19.8005,26366660
2010-01-26,23.93,24.13,23.7,23.88,19.6769,28746010
2010-01-27,23.9,24.05,23.54,23.86,19.6605,28819391
2010-01-28,24.08,24.18,23.29,23.47,19.3391,41245793
2010-01-29,23.65,23.83,22.98,23.06,19.0013,49957832
2010-02-01,23.36,23.38,22.86,23.22,19.1331,29572850
2010-02-02,23.33,23.85,23.24,23.76,19.5781,32150619
2010-02-03,23.75,23.84,23.52,23.75,19.5698,23101141
2010-02-04,23.61,23.78,23.1,23.11,19.0425,33254922
2010-02-05,23.35,23.67,23.07,23.55,19.405,45919648
2010-02-08,23.54,23.65,23.1,23.12,19.0507,32929219
2010-02-09,23.47,23.72,23.25,23.51,19.3721,34084113
2010-02-10,23.51,23.61,22.92,23.11,19.0425,40139230
2010-02-11,23.06,23.515,22.83,23.35,19.2402,28159090
2010-02-12,23.11,23.5,22.97,23.41,19.2897,33657719
2010-02-16,23.69,23.85,23.44,23.81,19.6193,21582230
2010-02-17,23.95,24.285,23.94,24.18,19.9241,26147250
2010-02-18,24.11,24.57,24.06,24.52,20.2043,31679180
2010-02-19,24.41,24.54,24.18,24.32,20.0395,25941070
2010-02-22,24.59,24.98,24.44,24.81,20.4432,37081879
2010-02-23,24.81,24.89,24.38,24.48,20.1713,25098391
2010-02-24,24.63,24.83,24.46,24.77,20.4103,24530410
2010-02-25,24.45,24.9,24.21,24.87,20.4927,29145289
2010-02-26,24.96,24.96,24.54,24.65,20.3114,21048760
2010-03-01,24.6,24.91,24.54,24.74,20.3856,19744359
2010-03-02,24.79,24.95,24.52,24.58,20.2537,23535070
2010-03-03,24.51,24.69,24.4,24.5,20.1878,20726490
2010-03-04,24.47,24.86,24.28,24.76,20.402,20925551
2010-03-05,24.86,25.0,24.84,24.95,20.5586,19312910
2010-03-08,24.97,24.97,24.68,24.7,20.3526,16843699
2010-03-09,24.6,25.1,24.56,24.88,20.5009,21835900
2010-03-10,24.79,25.02,24.68,24.87,20.4927,23095910
2010-03-11,24.8,25.25,24.8,25.14,20.7152,24214660
2010-03-12,25.12,25.19,24.73,25.05,20.641,35344754
2010-03-15,24.92,25.375,24.88,25.28,20.8305,22025391
2010-03-16,25.38,25.41,24.9,25.21,20.7728,25478340
2010-03-17,25.23,25.7,25.14,25.47,20.9871,30309439
2010-03-18,25.43,25.6,25.27,25.38,20.9129,29185820
2010-03-19,25.55,25.73,24.95,25.19,20.7564,45881000
2010-03-22,25.19,25.7,25.16,25.56,21.0612,24945520
2010-03-23,25.67,26.0,25.54,25.99,21.4156,25834260
2010-03-24,25.98,26.0,25.7,25.76,21.226,28837080
2010-03-25,25.95,26.25,25.72,26.04,21.4568,54350941
2010-03-26,25.7,26.0,25.37,25.69,21.1684,58562219
2010-03-29,25.645,25.85,25.41,25.57,21.0695,28975320
2010-03-30,25.48,25.58,25.22,25.54,21.0448,29819410
2010-03-31,25.33,25.79,25.3,25.71,21.1848,27196430
2010-04-01,25.78,25.95,25.195,25.46,20.9788,26562760
2010-04-05,25.51,25.74,25.35,25.58,21.0777,19390260
2010-04-06,25.37,25.94,25.3,25.83,21.2837,26937660
2010-04-07,25.76,25.99,25.75,25.91,21.3496,29833230
2010-04-08,25.88,26.085,25.72,25.83,21.2837,28266109
2010-04-09,25.8,26.14,25.65,26.13,21.5309,19663721
2010-04-12,26.06,26.28,25.85,26.2,21.63,24773311
2010-04-13,26.01,26.63,26.0,26.35,21.7538,33933008
2010-04-14,26.34,26.5,26.2,26.3825,21.7807,27920039
2010-04-15,26.29,26.395,26.14,26.2,21.63,23828270
2010-04-16,26.09,26.37,25.91,25.95,21.4236,42289320
2010-04-19,25.98,26.3,25.87,26.19,21.6217,27078850
2010-04-20,26.38,26.41,26.02,26.15,21.5887,23703410
2010-04-21,26.12,26.33,25.98,26.29,21.7043,24276801
2010-04-22,26.14,26.31,25.86,26.24,21.663,27275820
2010-04-23,26.17,26.52,26.16,26.4825,21.8632,27478930
2010-04-26,26.5,26.61,26.25,26.47,21.8529,20080529
2010-04-27,26.34,26.52,25.9,25.98,21.4484,26235760
2010-04-28,26.02,26.11,25.78,25.86,21.3493,31820369
2010-04-29,25.99,26.14,25.71,25.97,21.4401,18620119
2010-04-30,26.07,26.1,25.69,25.8675,21.3555,25567449
2010-05-03,26.05,26.15,25.71,26.01,21.4731,19357070
2010-05-04,25.58,25.67,24.71,24.97,20.6145,48382793
2010-05-05,24.85,25.12,24.63,24.94,20.5898,33663621
2010-05-06,24.86,24.97,22.2,23.91,19.7394,56242031
2010-05-07,23.925,24.255,23.11,23.41,19.3266,63592930
2010-05-10,24.03,25.13,23.99,24.39,20.1357,38947219
2010-05-11,24.245,24.61,24.11,24.19,19.9706,29469850
2010-05-12,24.21,24.7,24.19,24.6,20.3091,27116359
2010-05-13,24.42,24.55,24.2,24.24,20.0119,22780359
2010-05-14,24.1,24.12,23.54,23.78,19.6321,28736699
2010-05-17,23.89,23.89,23.33,23.74,19.5991,22401240
2010-05-18,23.8,23.95,23.31,23.43,19.3432,29926211
2010-05-19,23.22,23.5,23.02,23.19,19.145,29806551
2010-05-20,22.95,23.03,22.34,22.35,18.4515,40313312
2010-05-21,21.62,22.36,21.55,22.1625,18.2967,63119781
2010-05-24,22.04,22.67,21.85,22.28,18.3937,32817422
2010-05-25,21.77,22.2,21.63,22.2,18.3277,41173898
2010-05-26,22.32,22.62,21.75,21.9095,18.0879,43317602
2010-05-27,22.35,22.61,22.27,22.58,18.6414,29881439
2010-05-28,22.48,22.85,22.285,22.57,18.6332,35878230
2010-06-01,22.42,22.84,22.15,22.2,18.3277,32336270
2010-06-02,22.3,22.67,21.9,22.64,18.691,28371689
2010-06-03,22.71,22.95,22.54,22.84,18.8561,28583660
2010-06-04,22.54,22.96,22.04,22.13,18.2699,35094762
2010-06-07,22.13,22.29,21.69,21.6975,17.9128,25656900
2010-06-08,21.65,21.78,21.3,21.76,17.9644,29552689
2010-06-09,21.77,22.09,21.48,21.54,17.7828,22198350
2010-06-10,21.88,22.24,21.73,22.205,18.3318,25018289
2010-06-11,22.03,22.75,21.99,22.69,18.7322,30179689
2010-06-14,23.02,23.08,22.66,22.69,18.7322,22318670
2010-06-15,22.79,23.24,22.66,23.2,19.1533,24304539
2010-06-16,23.06,23.22,22.88,23.18,19.1368,20702039
2010-06-17,23.11,23.18,22.92,23.07,19.0459,22376609
2010-06-18,23.26,23.26,22.97,23.2,19.1533,29538930
2010-06-21,23.37,23.66,22.98,23.09,19.0625,19526131
2010-06-22,23.24,23.49,22.88,22.89,18.8973,19107900
2010-06-23,22.97,23.01,22.63,22.68,18.724,23533600
2010-06-24,22.49,22.7,22.14,22.22,18.3442,30313510
2010-06-25,23.14,23.25,22.56,22.66,18.7075,62583801
2010-06-28,22.84,22.85,22.39,22.45,18.5341,24643109
2010-06-29,22.02,22.1,21.58,21.75,17.9562,34229008
2010-06-30,21.64,21.96,21.39,21.46,17.7168,35301609
2010-07-01,21.46,21.68,21.24,21.55,17.7911,38318289
2010-07-02,21.71,22.03,21.49,21.83,18.0222,31784000
2010-07-06,22.0,22.71,22.0,22.32,18.4268,39642480
2010-07-07,22.7,23.12,22.6,23.0875,19.0604,36663527
2010-07-08,23.14,23.34,22.96,23.22,19.1698,27335609
2010-07-09,23.25,23.39,23.1401,23.37,19.2936,16258800
2010-07-12,23.21,23.48,23.11,23.38,19.3433,19312289
2010-07-13,23.5,23.865,23.46,23.71,19.6163,22207760
2010-07-14,23.85,24.19,23.72,23.94,19.8066,34781898
2010-07-15,23.83,23.9,23.5,23.83,19.7156,26060740
2010-07-16,23.8,23.95,23.25,23.27,19.2523,30343061
2010-07-19,23.48,23.675,23.4,23.59,19.517,19688289
2010-07-20,23.27,23.97,23.04,23.92,19.79,38192738
2010-07-21,23.86,23.97,23.46,23.56,19.4922,38740000
2010-07-22,23.72,24.41,23.7,24.31,20.1127,32726520
2010-07-23,24.2,24.58,24.15,24.5,20.2699,29755561
2010-07-26,24.45,24.67,24.35,24.64,20.3857,27093010
2010-07-27,24.6,24.68,24.32,24.57,20.3278,23800680
2010-07-28,24.55,24.59,24.17,24.28,20.0879,21200131
2010-07-29,24.25,24.39,23.63,23.7,19.608,39976699
2010-07-30,23.57,23.835,23.4,23.64,19.5584,48321738
2010-08-02,23.87,24.39,23.72,24.29,20.0961,26652051
2010-08-03,24.31,24.345,24.06,24.21,20.03,16366160
2010-08-04,24.29,24.59,24.17,24.49,20.2616,19989609
2010-08-05,24.28,24.445,24.14,24.29,20.0961,18723641
2010-08-06,24.01,24.4,23.9,24.38,20.1706,33734398
2010-08-09,24.4,24.59,24.24,24.26,20.0713,20551400
2010-08-10,24.1,24.43,23.92,24.29,20.0961,28063430
2010-08-11,23.91,23.94,23.56,23.66,19.5749,25666350
2010-08-12,23.24,23.39,22.725,22.94,18.9792,33737352
2010-08-13,22.76,22.945,22.51,22.66,18.7476,29793471
2010-08-16,22.51,23.0,22.35,22.72,18.7972,19511721
2010-08-17,22.86,23.24,22.72,23.045,19.0661,22483029
2010-08-18,22.91,23.25,22.8,23.09,19.1033,18984240
2010-08-19,22.86,23.1599,22.82,23.0,19.0289,26754869
2010-08-20,22.95,23.08,22.77,23.02,19.0454,21985410
2010-08-23,23.06,23.3,22.83,22.84,18.8965,18250250
2010-08-24,22.61,22.79,22.38,22.41,18.5407,23293471
2010-08-25,22.22,22.55,22.03,22.42,18.549,18685971
2010-08-26,22.54,22.73,22.19,22.25,18.4084,18884760
2010-08-27,22.38,22.55,21.95,22.51,18.6235,21375279
2010-08-30,22.34,22.62,22.0,22.02,18.2181,23318381
2010-08-31,21.92,21.93,21.66,21.845,18.0733,41712406
2010-09-01,22.15,22.645,22.1,22.62,18.7145,29085471
2010-09-02,22.61,22.72,22.35,22.48,18.5987,18057869
2010-09-03,22.79,22.94,22.57,22.92,18.9627,21256910
2010-09-07,24.56,24.69,24.01,24.265,20.0755,113824398
2010-09-08,24.07,24.23,23.88,24.14,19.972,54705551
2010-09-09,24.32,24.5,24.21,24.33,20.1292,25963740
2010-09-10,24.42,25.15,24.38,25.05,20.7249,44266738
2010-09-13,25.14,25.42,25.11,25.11,20.7746,46816762
2010-09-14,25.04,25.58,25.04,25.38,20.9979,31261811
2010-09-15,25.27,25.79,25.17,25.74,21.2958,37563660
2010-09-16,25.68,25.71,25.21,25.36,20.9814,52951031
2010-09-17,26.44,27.625,26.4,27.48,22.7354,150976609
2010-09-20,27.35,27.57,27.03,27.491,22.7445,49729887
2010-09-21,27.33,27.36,26.7,26.82,22.1893,82733992
2010-09-22,26.66,27.33,26.64,27.2,22.5037,51969191
2010-09-23,26.96,27.49,26.96,27.12,22.4375,33123301
2010-09-24,27.44,27.5,26.74,26.96,22.3051,58136207
2010-09-27,26.86,27.12,26.78,26.95,22.2969,34142969
2010-09-28,27.06,27.4,26.79,27.19,22.4954,43256727
2010-09-29,27.07,27.3,26.93,27.1695,22.4785,36626840
2010-09-30,27.28,27.41,26.81,26.85,22.2141,42880922
2010-10-01,27.18,27.61,27.14,27.235,22.5327,33690441
2010-10-04,27.02,27.36,26.89,26.9,22.2964,36791992
2010-10-05,27.21,27.35,27.06,27.3,22.628,42520102
2010-10-06,27.3,27.86,27.24,27.58,22.8601,50631688
2010-10-07,27.63,27.89,27.54,27.69,22.9512,40611461
2010-10-08,27.59,28.08,27.31,28.0,23.2082,33162910
2010-10-11,27.9,28.1,27.73,27.85,23.0839,22649500
2010-10-12,27.75,28.0,27.41,27.95,23.1667,27552561
2010-10-13,28.0,28.91,26.98,28.6,23.7055,49145328
2010-10-14,28.66,28.7,28.11,28.33,23.4817,38136008
2010-10-15,28.47,28.91,28.16,28.9,23.9542,54775559
2010-10-18,28.73,29.23,28.58,29.23,24.2277,35810367
2010-10-19,28.94,29.239,28.45,29.13,24.1448,44673680
2010-10-20,29.01,29.18,28.6,28.64,23.7387,39081793
2010-10-21,28.8,29.14,28.57,28.82,23.8879,30191160
2010-10-22,28.84,29.03,28.73,28.9925,24.0308,16499801
2010-10-25,29.15,29.29,28.81,28.84,23.9044,30650471
2010-10-26,28.71,28.84,28.54,28.63,23.7304,28045410
2010-10-27,28.55,28.82,28.36,28.7,23.7884,33890191
2010-10-28,28.82,29.48,28.5,29.36,24.3354,35130672
2010-10-29,29.36,29.71,29.3,29.38,24.352,35074367
2010-11-01,29.52,29.55,28.935,29.13,24.1448,21100029
2010-11-02,29.49,29.57,29.26,29.5325,24.4784,24201939
2010-11-03,29.55,29.57,28.99,29.2,24.2028,30003900
2010-11-04,29.61,29.82,29.1,29.47,24.4266,35709770
2010-11-05,29.3,29.5,28.98,29.25,24.2443,28312760
2010-11-08,29.08,29.1871,28.84,29.04,24.0702,27179061
2010-11-09,29.06,29.25,28.61,28.74,23.8215,34625809
2010-11-10,28.64,28.84,28.36,28.69,23.7801,27841029
2010-11-11,28.19,28.58,27.68,28.5725,23.6827,37211047
2010-11-12,28.5,28.61,28.09,28.32,23.4734,25818801
2010-11-15,28.35,28.77,28.28,28.4,23.5397,21636760
