date,open,high,low,close,adjusted_close,volume
2010-01-04,82.66,83.51,82.2,83.1,54.9512,3479669
2010-01-05,83.18,83.23,82.03,82.5,54.5544,3370304
2010-01-06,82.4,83.87,81.83,83.49,55.209,5347482
2010-01-07,82.95,83.63,82.37,82.87,54.7991,4121972
2010-01-08,82.52,83.78,81.53,83.72,55.3611,4156346
2010-01-11,84.15,84.83,82.3,82.96,54.8586,3910907
2010-01-12,81.8,82.17,79.91,80.16,53.0071,6777935
2010-01-13,80.34,80.7,78.6,79.63,52.6566,7366411
2010-01-14,79.15,80.43,79.12,80.25,53.0665,4521635
2010-01-15,80.04,80.27,78.35,78.92,52.1871,7910143
2010-01-19,78.65,79.43,78.25,79.36,52.478,5463585
2010-01-20,78.6,78.6,76.81,78.21,51.7176,6029513
2010-01-21,78.15,78.51,75.89,76.01,50.2628,7291751
2010-01-22,76.59,78.16,75.72,76.1,50.3223,9719545
2010-01-25,77.03,78.53,76.8,77.65,51.3473,6445473
2010-01-26,76.21,77.97,76.21,76.66,50.6926,8731870
2010-01-27,76.7,77.2,75.39,76.43,50.5405,5062826
2010-01-28,77.46,78.82,74.38,77.5,51.2481,11360397
2010-01-29,78.14,79.82,77.75,78.34,51.8036,10756148
2010-02-01,79.09,79.92,78.95,79.83,52.7888,6092255
2010-02-02,80.11,80.93,79.21,80.78,53.417,5160884
2010-02-03,80.66,81.13,79.64,80.13,52.9872,3533476
2010-02-04,79.43,79.43,76.3,76.44,50.5471,7654705
2010-02-05,76.38,77.16,74.27,76.71,50.7257,10239795
2010-02-08,76.77,78.58,76.02,76.3,50.4545,6636949
2010-02-09,77.4,78.9,76.48,77.91,51.5192,8072738
2010-02-10,78.41,78.92,77.1,78.39,51.8366,5898399
2010-02-11,78.46,80.52,77.75,80.46,53.2054,6215153
2010-02-12,79.21,79.9,78.29,79.8,52.769,6190401
2010-02-16,81.0,81.46,79.88,81.18,53.6815,5827298
2010-02-17,81.18,81.44,79.86,80.94,53.5228,4751438
