date,open,high,low,close,adjusted_close,volume
2012-07-20,55.15,62.07,53.1,53.13,17.71,21048170
2012-07-23,52.6,54.0,51.1,51.51,17.17,2365152
2012-07-24,52.0,56.0,51.52,55.5,18.5,2150109
2012-07-25,56.5,59.0,55.3,58.95,19.65,1798824
2012-07-26,59.78,61.85,58.081,59.88,19.96,1283403
2012-07-27,60.88,60.88,57.0,57.0,19.0,460056
2012-07-30,56.86,56.86,53.92,55.0,18.3333,829179
2012-07-31,55.0,57.14,52.21,57.14,19.0467,856203
2012-08-01,58.72,58.72,55.14,56.18,18.7267,332427
2012-08-02,55.68,60.0,53.27,55.1,18.3667,497913
2012-08-03,56.65,56.8953,54.25,54.79,18.2633,872529
2012-08-06,55.7,55.9225,53.68,54.78,18.26,468672
2012-08-07,55.0,57.44,54.5201,56.8,18.9333,1097196
2012-08-08,56.2,61.0,55.874,60.93,20.31,1511814
2012-08-09,61.0,62.46,59.86,61.33,20.4433,879390
2012-08-10,61.0,63.97,60.49,61.32,20.44,855081
2012-08-13,61.1,63.08,60.0,62.72,20.9067,665991
2012-08-14,64.13,64.36,59.33,59.8,19.9333,1420950
2012-08-15,59.6,62.9,57.7,62.73,20.91,761208
2012-08-16,63.5,66.91,61.87,66.5,22.1667,1115589
2012-08-17,67.1,68.5,64.84,67.29,22.43,1153671
2012-08-20,66.78,67.15,64.97,65.47,21.8233,809961
2012-08-21,65.48,66.43,63.28,64.32,21.44,742698
2012-08-22,65.06,65.17,63.1194,63.25,21.0833,373956
2012-08-23,63.2,64.877,62.5,64.14,21.38,645609
2012-08-24,63.45,65.77,63.25,64.77,21.59,608625
2012-08-27,65.05,65.835,62.62,63.69,21.23,530826
2012-08-28,63.7,64.41,62.91,63.9,21.3,312456
2012-08-29,64.22,65.1,63.1,64.73,21.5767,485967
2012-08-30,64.71,66.6698,63.27,63.43,21.1433,689562
2012-08-31,64.48,64.58,63.101,64.38,21.46,276708
2012-09-04,65.3,70.28,63.9,70.21,23.4033,2303403
2012-09-05,72.61,72.61,69.12,70.0,23.3333,1418925
2012-09-06,70.71,72.0,70.38,71.41,23.8033,674199
2012-09-07,72.16,72.22,69.36,70.74,23.58,1770510
2012-09-10,71.51,72.6,71.13,71.75,23.9167,4154664
2012-09-11,66.75,69.74,64.33,66.6,22.2,9077502
2012-09-12,67.68,68.25,64.75,64.86,21.62,2067132
2012-09-13,64.75,68.23,64.75,67.98,22.66,2303307
2012-09-14,68.59,68.97,66.88,66.99,22.33,1273989
2012-09-17,66.72,67.98,66.58,67.91,22.6367,445113
2012-09-18,67.01,70.33,67.01,69.18,23.06,1297491
2012-09-19,68.96,68.98,67.505,68.0,22.6667,1174218
2012-09-20,66.69,67.41,64.64,65.05,21.6833,775803
2012-09-21,65.45,65.5,62.24,64.02,21.34,1576125
2012-09-24,63.98,64.85,62.41,64.66,21.5533,913878
2012-09-25,65.4,66.55,64.14,64.17,21.39,1135764
2012-09-26,63.97,63.97,62.55,63.25,21.0833,1178067
2012-09-27,64.0,65.23,63.37,65.07,21.69,1128285
2012-09-28,65.0,65.31,61.27,61.57,20.5233,3194838
2012-10-01,61.61,63.1898,60.24,60.6,20.2,1192281
2012-10-02,61.65,62.4,59.98,62.0,20.6667,1106973
2012-10-03,62.85,66.22,62.15,65.86,21.9533,2493075
2012-10-04,65.82,65.97,64.55,65.76,21.92,528609
2012-10-05,65.25,65.62,60.88,62.0,20.6667,2291496
2012-10-08,62.36,62.84,61.45,62.07,20.69,590874
2012-10-09,61.17,62.89,60.98,61.96,20.6533,740991
2012-10-10,61.6,63.5,61.4,61.44,20.48,1637538
2012-10-11,62.06,62.46,60.75,60.96,20.32,887169
2012-10-12,62.5,63.15,61.08,62.96,20.9867,961194
2012-10-15,63.11,65.8,62.92,65.55,21.85,885180
2012-10-16,65.89,65.96,64.3,65.57,21.8567,782601
2012-10-17,65.23,67.0,64.51,65.5,21.8333,2237340
2012-10-18,64.08,64.08,61.69,61.9,20.6333,12212106
2012-10-19,61.84,62.79,59.0,60.02,20.0067,2582232
2012-10-22,60.12,61.1,60.0,60.0,20.0,1546809
2012-10-23,60.0,60.15,57.53,59.75,19.9167,2661501
2012-10-24,60.5,60.54,58.89,59.75,19.9167,1002027
2012-10-25,60.12,60.12,57.7,58.05,19.35,1332348
2012-10-26,58.65,58.65,56.2,56.3,18.7667,2600049
2012-10-31,56.4,57.19,54.0,54.98,18.3267,3398415
2012-11-01,55.75,57.03,54.45,56.19,18.73,2414334
2012-11-02,56.45,56.75,54.27,54.6,18.2,1476426
2012-11-05,55.0,56.71,54.34,55.8,18.6,1942497
2012-11-06,55.8,56.62,54.5,55.42,18.4733,1080834
2012-11-07,54.84,55.29,53.85,53.9,17.9667,454335
2012-11-08,53.86,54.86,51.63,51.96,17.32,1806669
2012-11-09,51.7,53.34,51.52,52.0,17.3333,973083
2012-11-12,52.02,52.86,51.75,52.3,17.4333,680157
2012-11-13,52.75,53.69,52.57,53.19,17.73,1434609
2012-11-14,54.0,54.18,51.5,52.39,17.4633,1110399
2012-11-15,53.98,53.98,50.55,51.4,17.1333,678489
2012-11-16,50.71,53.69,50.01,53.25,17.75,2019591
2012-11-19,53.77,56.01,53.77,56.01,18.67,1589253
2012-11-20,55.73,56.01,54.0,54.42,18.14,913251
2012-11-21,54.18,55.53,53.96,55.45,18.4833,1191285
2012-11-23,55.97,56.26,55.22,55.41,18.47,194475
2012-11-26,55.11,56.0,53.93,55.88,18.6267,1015347
2012-11-27,55.2,57.34,55.1,56.04,18.68,689865
2012-11-28,55.34,55.58,52.91,54.58,18.1933,956919
2012-11-29,54.68,56.24,54.111,55.87,18.6233,1037739
2012-11-30,56.05,56.05,53.16,54.42,18.14,4418967
2012-12-03,54.42,54.42,51.37,51.66,17.22,1740423
2012-12-04,52.54,53.71,51.6,53.65,17.8833,2074431
2012-12-05,53.4,54.05,51.64,52.1,17.3667,970329
2012-12-06,52.43,54.56,50.55,51.3,17.1,3367491
2012-12-07,50.0,52.11,47.63,51.31,17.1033,6583449
2012-12-10,51.2,51.48,48.5,48.82,16.2733,1876491
2012-12-11,49.81,49.81,47.95,48.89,16.2967,2823510
2012-12-12,49.26,50.33,48.39,49.25,16.4167,2038170
2012-12-13,48.84,49.18,48.05,48.96,16.32,1968921
2012-12-14,48.9,49.94,48.555,49.79,16.5967,1311744
2012-12-17,49.84,50.96,49.57,50.01,16.67,2031129
2012-12-18,50.5,53.98,50.09,51.96,17.32,2939484
2012-12-19,52.0,52.5637,51.32,52.09,17.3633,1448310
2012-12-20,52.49,52.91,51.2,51.78,17.26,761955
2012-12-21,51.27,54.69,50.131,54.66,18.22,3734718
2012-12-24,53.89,55.0,53.89,54.78,18.26,739023
2012-12-26,54.66,54.92,53.1749,53.29,17.7633,1349823
2012-12-27,53.14,53.55,50.72,52.87,17.6233,1561290
