date,open,high,low,close,adjusted_close,volume
2014-04-15,17.9,17.92,15.15,15.35,15.2454,3531656
2014-04-16,15.35,16.09,15.21,15.62,15.5136,266491
2014-04-17,15.95,16.55,15.71,16.25,16.1393,262050
2014-04-21,16.59,16.59,16.01,16.1,15.9903,77904
2014-04-22,16.2,16.689,15.76,15.98,15.8711,96099
2014-04-23,15.82,16.18,15.8,16.07,15.9605,56538
2014-04-24,16.28,16.3,15.75,15.75,15.6427,42799
2014-04-25,15.75,15.75,15.25,15.3,15.1958,71590
2014-04-28,15.43,15.66,14.51,14.97,14.868,197460
2014-04-29,15.01,15.45,15.01,15.28,15.1759,68530
2014-04-30,15.17,15.51,15.06,15.41,15.305,53562
2014-05-01,15.29,15.9,15.29,15.67,15.5632,39866
2014-05-02,15.69,16.0564,15.69,15.8,15.6924,22281
2014-05-05,15.69,15.99,15.678,15.68,15.5732,13252
2014-05-06,15.63,15.63,15.25,15.31,15.2057,31911
2014-05-07,15.26,15.29,14.95,15.05,14.9475,92607
2014-05-08,15.25,15.3284,15.18,15.18,15.0766,18606
2014-05-09,15.12,15.17,14.12,14.51,14.4111,76003
2014-05-12,14.73,14.87,14.09,14.09,13.994,111201
2014-05-13,14.57,14.872,13.675,13.87,13.7755,90794
2014-05-14,14.15,14.29,13.91,14.07,13.9741,105628
2014-05-15,14.0,14.31,13.6101,14.29,14.1926,110498
2014-05-16,14.29,14.68,13.57,13.81,13.7159,119712
2014-05-19,13.85,13.85,13.1,13.24,13.1498,202525
2014-05-20,13.5,14.3,13.37,14.0,13.9046,141141
2014-05-21,14.25,14.25,13.87,14.0,13.9046,47355
2014-05-22,13.91,15.61,13.845,15.38,15.2752,85255
2014-05-23,15.35,15.35,14.31,14.53,14.431,352733
2014-05-27,14.57,14.81,13.76,14.03,13.9344,68065
2014-05-28,14.08,14.08,13.12,13.25,13.1597,244016
2014-05-29,13.45,13.82,13.43,13.48,13.3882,64597
2014-05-30,13.41,13.525,13.24,13.35,13.259,76145
2014-06-02,13.49,13.8296,13.175,13.54,13.4477,47627
2014-06-03,13.74,14.11,13.43,14.03,13.9344,84773
2014-06-04,14.0,14.443,13.59,14.3,14.2026,73733
2014-06-05,13.01,14.43,13.01,14.17,14.0735,67643
2014-06-06,14.33,14.5,13.89,14.45,14.3515,42504
2014-06-09,14.45,14.6745,14.19,14.64,14.5403,104535
2014-06-10,14.65,14.67,14.35,14.43,14.3317,59673
2014-06-11,14.35,14.54,14.25,14.46,14.3615,24913
2014-06-12,14.46,14.47,13.9134,13.97,13.8748,120452
2014-06-13,14.07,14.07,13.4,14.0,13.9046,65097
2014-06-16,14.57,14.61,14.246,14.44,14.3416,106841
2014-06-17,14.34,14.376,13.45,14.0,13.9046,98196
2014-06-18,13.79,14.39,13.72,14.17,14.0735,78427
2014-06-19,14.13,14.3,14.1201,14.29,14.1926,55054
2014-06-20,14.36,14.71,14.12,14.12,14.0238,186908
2014-06-23,14.2,14.65,14.09,14.64,14.5403,58636
2014-06-24,14.56,15.0,14.5,14.7,14.5998,130306
2014-06-25,14.65,14.74,14.17,14.72,14.6197,59155
2014-06-26,14.68,15.16,14.56,14.72,14.6197,91885
2014-06-27,14.84,15.22,13.98,13.98,13.8848,767332
2014-06-30,14.27,14.66,13.91,14.59,14.4906,169491
2014-07-01,14.62,14.737,14.16,14.6,14.5005,56091
2014-07-02,14.54,14.57,14.2,14.25,14.1529,52423
2014-07-03,14.27,14.72,14.27,14.68,14.58,23265
2014-07-07,14.55,14.665,14.01,14.02,13.9245,65783
2014-07-08,14.0,14.13,13.38,13.43,13.3385,113912
2014-07-09,13.44,13.609,13.28,13.42,13.3286,53598
2014-07-10,13.25,13.44,13.25,13.3,13.2094,83568
2014-07-11,13.25,13.33,13.02,13.03,12.9412,62691
2014-07-14,13.05,13.75,13.02,13.29,13.1995,130052
2014-07-15,13.23,13.25,12.64,12.97,12.8816,87015
2014-07-16,13.0,13.055,12.8,12.85,12.7624,91305
2014-07-17,12.79,13.04,12.32,12.41,12.3254,79164
2014-07-18,12.34,12.62,12.282,12.48,12.395,24084
2014-07-21,12.45,12.87,12.2801,12.78,12.6929,37767
2014-07-22,12.87,12.87,12.55,12.62,12.534,19853
2014-07-23,12.69,12.98,12.593,12.84,12.7525,17723
2014-07-24,12.92,13.12,12.92,13.0,12.9114,95662
2014-07-25,13.23,13.46,12.91,13.0,12.9114,142533
2014-07-28,12.95,13.04,12.75,12.96,12.8717,53960
2014-07-29,13.06,13.094,12.79,12.88,12.7922,34719
2014-07-30,13.096,13.096,12.839,13.0,12.9114,56476
2014-07-31,12.91,13.002,12.65,12.78,12.6929,41646
2014-08-01,12.84,12.902,12.35,12.65,12.5638,61443
2014-08-04,12.77,12.77,12.5,12.69,12.6035,48925
2014-08-05,12.61,12.65,12.48,12.49,12.4049,57736
2014-08-06,13.07,14.08,12.9,13.83,13.7358,208329
2014-08-07,13.94,14.02,13.75,13.82,13.7258,53975
2014-08-08,13.86,13.966,13.26,13.58,13.4875,114223
2014-08-11,13.7,13.92,13.65,13.91,13.8152,41396
2014-08-12,13.831,13.98,13.81,13.89,13.7954,40873
2014-08-13,13.98,14.78,13.92,14.75,14.6495,378540
2014-08-14,14.83,15.66,14.83,15.26,15.156,135433
2014-08-15,15.46,17.08,15.26,16.84,16.7253,133407
2014-08-18,17.0,17.0,16.06,16.45,16.3379,191237
2014-08-19,16.5,16.5,16.12,16.19,16.0797,47765
2014-08-20,16.11,16.33,15.42,15.77,15.6626,105348
2014-08-21,15.68,16.65,15.51,16.54,16.4273,64140
2014-08-22,16.59,17.6899,16.37,17.45,17.3311,451444
2014-08-25,17.55,17.55,16.84,17.25,17.1325,74209
2014-08-26,17.26,18.06,17.16,18.05,17.927,158224
2014-08-27,18.34,18.34,17.79,17.98,17.8575,97521
2014-08-28,17.87,18.02,17.53,17.88,17.7582,49491
2014-08-29,17.86,18.1,17.61,17.92,17.7979,84179
2014-09-02,18.14,18.32,17.93,18.08,17.9568,135868
2014-09-03,18.22,18.22,17.11,17.35,17.2318,451738
2014-09-04,17.5,17.57,16.21,16.65,16.5366,335663
2014-09-05,16.48,16.58,16.04,16.43,16.3181,118834
2014-09-08,16.38,16.58,15.99,16.39,16.2783,134018
2014-09-09,16.39,16.39,15.81,16.11,16.0002,147290
2014-09-10,16.16,16.45,15.86,16.36,16.2485,85482
2014-09-11,16.22,17.032,16.06,16.7,16.5862,174608
