date,open,high,low,close,adjusted_close,volume
2010-01-04,36.99,37.0,36.32,36.61,14.9283,3947517
2010-01-05,36.58,37.29,36.48,37.27,15.1974,3448936
2010-01-06,37.07,38.13,37.05,37.76,15.3972,5347470
2010-01-07,37.65,38.305,37.48,38.26,15.6011,3683421
2010-01-08,38.19,38.61,37.93,38.31,15.6215,3606385
2010-01-11,38.25,39.13,37.99,38.94,15.8784,3935325
2010-01-12,38.64,39.0,38.2,38.83,15.8335,3389412
2010-01-13,38.98,39.13,38.36,39.0,15.9028,4074624
2010-01-14,38.76,39.12,38.63,38.93,15.8743,3065239
2010-01-15,38.92,39.13,37.9,38.0,15.4951,6112002
2010-01-19,37.86,38.69,37.57,38.41,15.6623,2802706
2010-01-20,37.94,38.0,36.73,37.7,15.3727,3235914
2010-01-21,37.65,38.12,36.7,37.09,15.124,4476883
2010-01-22,37.13,37.26,36.09,36.16,14.7448,4674417
2010-01-25,36.7,36.86,36.01,36.11,14.7244,5185663
2010-01-26,36.12,36.3,35.57,35.68,14.5491,3679390
2010-01-27,35.4,35.98,35.01,35.91,14.6428,4307269
2010-01-28,36.0,36.4,34.91,35.23,14.3656,6699496
2010-01-29,36.02,37.07,35.82,36.03,14.6918,7951981
2010-02-01,36.16,36.3,35.63,36.11,14.7244,5237445
2010-02-02,36.51,36.65,35.48,36.12,14.7285,5563159
2010-02-03,35.85,36.695,35.75,35.87,14.6265,3664353
2010-02-04,35.63,35.65,34.5,34.58,14.1005,4955292
2010-02-05,34.69,34.77,33.45,34.16,13.9293,8317120
2010-02-08,33.74,34.62,33.66,33.97,13.8518,4671523
2010-02-09,34.45,35.49,34.33,34.95,14.2514,4423546
2010-02-10,34.98,35.15,34.52,34.88,14.2229,3608346
2010-02-11,34.7,35.77,34.62,35.69,14.5531,4341238
2010-02-12,35.17,35.81,34.82,35.55,14.4961,4506016
2010-02-16,35.96,36.21,35.45,36.17,14.7489,3032131
2010-02-17,36.51,36.6,35.67,36.06,14.7407,2468160
2010-02-18,36.12,36.34,35.82,35.93,14.6876,3124293
2010-02-19,35.75,36.2,35.69,35.95,14.6957,4544890
2010-02-22,36.05,36.23,35.13,35.36,14.4545,3844357
2010-02-23,35.43,35.76,34.78,34.9,14.2665,3945246
2010-02-24,35.18,35.89,35.15,35.71,14.5976,3988224
2010-02-25,35.01,35.79,34.7,35.7,14.5935,4127433
2010-02-26,35.7,35.88,35.17,35.35,14.4505,4211818
2010-03-01,35.43,36.25,35.39,36.03,14.7284,3218527
2010-03-02,36.1,37.65,36.1,37.11,15.1699,7937460
2010-03-03,37.1,38.41,36.93,38.25,15.6359,8025355
2010-03-04,38.3,38.61,38.14,38.44,15.7136,5366160
2010-03-05,38.54,39.23,38.39,39.21,16.0284,4721512
2010-03-08,39.12,39.41,38.84,38.99,15.9384,3441748
2010-03-09,38.82,39.75,38.7,39.605,16.1898,5682283
2010-03-10,39.48,39.96,39.14,39.76,16.2532,4437721
2010-03-11,39.48,39.84,39.17,39.81,16.2736,3843126
2010-03-12,40.0,41.84,39.83,41.35,16.9032,10422090
2010-03-15,41.11,41.4,40.65,41.4,16.9236,3886114
