date,open,high,low,close,adjusted_close,volume
2010-01-04,61.19,61.52,60.64,61.24,40.7453,6585871
2010-01-05,61.0,62.1,60.9,61.98,41.2376,8886806
2010-01-06,61.99,62.47,61.23,61.36,40.8251,9999180
2010-01-07,61.35,61.38,60.53,60.97,40.5656,10792880
2010-01-08,60.76,60.82,60.27,60.77,40.4325,8674678
2010-01-11,60.68,60.81,60.1,60.7,40.386,6461476
2010-01-12,60.52,61.68,60.5,61.55,40.9515,9081816
2010-01-13,61.41,62.34,61.41,62.05,41.2842,7380176
2010-01-14,62.02,62.92,61.76,62.8,41.7832,7211549
2010-01-15,62.61,62.91,61.82,62.29,41.4439,8361153
2010-01-19,62.23,62.41,61.97,62.33,41.4705,5615716
2010-01-20,62.09,62.15,61.44,61.95,41.2176,5605975
2010-01-21,62.01,62.16,60.74,60.94,40.5457,7122291
2010-01-22,60.75,61.24,60.31,60.39,40.1797,7228937
2010-01-25,60.7,60.7,60.08,60.23,40.0733,4903991
2010-01-26,60.1,60.53,59.82,60.25,40.0866,5001683
2010-01-27,60.05,60.39,59.6,60.29,40.1132,6145842
2010-01-28,60.3,60.5,59.5,59.74,39.7473,9289135
2010-01-29,59.84,60.36,59.12,59.62,39.6674,8127732
2010-02-01,59.93,60.75,59.52,60.7,40.386,7303177
2010-02-02,60.68,61.28,60.34,61.15,40.6854,6296694
2010-02-03,60.92,61.4,60.56,61.29,40.7785,4862961
2010-02-04,60.83,60.93,59.62,59.64,39.6807,6921365
2010-02-05,59.51,59.79,58.95,59.51,39.5942,7347742
2010-02-08,59.6,59.66,58.75,58.96,39.2283,7047679
2010-02-09,59.29,60.48,59.29,60.05,39.9535,7941529
2010-02-10,59.96,60.67,59.51,60.38,40.1731,10917640
2010-02-11,60.87,61.7,60.5,61.19,40.712,14391020
2010-02-12,61.06,61.22,60.49,60.92,40.5323,8566952
2010-02-16,61.03,61.45,60.5,61.31,40.7918,6930727
2010-02-17,61.48,62.2,61.25,62.11,41.3241,6703447
2010-02-18,61.97,62.72,61.97,62.53,41.6035,6942874
2010-02-19,62.32,62.915,61.98,62.66,41.69,6416623
2010-02-22,62.69,62.87,62.1,62.41,41.5237,4709493
2010-02-23,62.22,62.48,61.7,61.78,41.1045,5159370
2010-02-24,61.98,62.16,61.58,62.08,41.3041,6888073
2010-02-25,61.51,62.34,61.02,62.3,41.4505,8074547
2010-02-26,62.5,62.59,61.91,62.47,41.5636,14786330
2010-03-01,62.65,63.58,62.47,63.43,42.2023,9016428
2010-03-02,63.61,64.0,63.42,63.8,42.4485,9527605
2010-03-03,63.82,64.27,63.8,63.98,42.8707,8487012
2010-03-04,64.43,64.5,63.96,64.11,42.9578,7831010
2010-03-05,64.3,64.48,63.91,64.37,43.132,8448583
2010-03-08,64.27,64.46,63.8,64.15,42.9846,5086252
2010-03-09,63.88,64.65,63.8,64.36,43.1253,7655363
2010-03-10,64.3,64.59,64.01,64.43,43.1722,6449994
2010-03-11,64.2,65.0,63.9,64.97,43.534,7536854
2010-03-12,64.92,65.25,64.68,65.1,43.6211,6896362
2010-03-15,65.69,66.26,65.4,66.15,44.3247,10468220
2010-03-16,66.25,66.3,65.8299,66.07,44.2711,7474600
2010-03-17,66.15,66.58,66.02,66.57,44.6061,6922345
2010-03-18,66.57,66.73,66.16,66.52,44.5726,6962566
2010-03-19,66.96,66.98,66.26,66.56,44.5994,10947400
2010-03-22,66.43,66.56,66.15,66.31,44.4319,6762968
2010-03-23,66.39,67.0,66.24,66.86,44.8004,6413388
2010-03-24,66.62,67.0,66.25,66.26,44.3984,7661330
2010-03-25,66.37,67.0,66.35,66.55,44.5927,6246719
2010-03-26,66.64,66.81,66.34,66.59,44.6195,5313363
2010-03-29,66.61,66.87,66.3,66.55,44.5927,6825572
2010-03-30,66.52,67.0,66.36,66.77,44.7401,5733730
2010-03-31,66.68,66.71,66.06,66.16,44.3314,8123852
2010-04-01,66.32,66.68,66.25,66.68,44.6798,5074072
2010-04-05,66.68,66.68,65.83,65.98,44.2108,6732659
2010-04-06,65.79,66.63,65.79,66.39,44.4855,6734645
2010-04-07,66.39,66.52,65.75,65.99,44.2175,8204144
2010-04-08,65.75,66.19,65.6201,65.97,44.2041,6649298
2010-04-09,65.93,66.43,65.86,66.36,44.4654,4757609
2010-04-12,66.35,66.67,66.26,66.32,44.4386,5073991
2010-04-13,66.16,66.5,66.02,66.39,44.4855,5190708
2010-04-14,66.2,66.3,65.83,66.29,44.4185,5202275
2010-04-15,65.97,66.5,65.8,66.27,44.4051,5968597
2010-04-16,66.01,66.65,65.96,66.14,44.318,7375475
2010-04-19,66.08,66.39,65.7,66.12,44.3046,6354595
2010-04-20,66.17,66.4,65.72,65.9,44.1572,6780858
2010-04-21,65.82,66.31,65.61,65.98,44.2108,6534367
2010-04-22,65.75,65.79,64.5,64.76,43.3933,9689877
2010-04-23,64.85,64.85,64.17,64.71,43.3598,9008965
2010-04-26,64.84,65.44,64.61,65.02,43.5675,8096854
2010-04-27,64.93,65.2,64.07,64.23,43.0382,8615261
2010-04-28,64.28,64.82,63.6,64.75,43.3866,10229590
2010-04-29,64.95,65.5,64.83,65.2,43.6881,7713902
2010-04-30,65.33,65.98,65.18,65.22,43.7015,8274180
2010-05-03,65.28,66.0,64.89,65.69,44.0165,5807835
2010-05-04,65.3,65.98,65.05,65.43,43.8423,8383505
2010-05-05,65.1,65.95,65.02,65.2,43.6881,7658715
2010-05-06,65.16,66.2,61.91,64.7,43.3531,14046750
2010-05-07,64.46,65.04,63.66,64.57,43.266,13221590
2010-05-10,65.8,66.49,65.66,66.41,44.4989,10833830
2010-05-11,66.16,67.0,66.02,66.55,44.5927,7241111
2010-05-12,67.24,67.61,66.81,66.94,44.854,13170510
2010-05-13,67.02,67.08,66.46,66.48,44.5458,7800677
2010-05-14,66.41,66.6,65.77,66.07,44.2711,9731735
2010-05-17,66.11,66.96,66.07,66.75,44.7267,6944094
2010-05-18,66.92,67.3,66.4,66.53,44.5793,7238366
2010-05-19,66.3,66.38,65.5,66.04,44.251,7867739
2010-05-20,65.23,65.23,63.86,63.86,42.7903,11588610
2010-05-21,63.21,63.64,62.14,63.58,42.6026,14586380
2010-05-24,63.09,64.012,62.6,63.32,42.4284,6334528
2010-05-25,61.93,62.92,61.65,62.89,42.1403,9156870
2010-05-26,63.06,63.06,61.04,61.23,41.028,15153950
2010-05-27,61.97,62.93,61.522,62.9,42.147,9428372
2010-05-28,62.92,63.46,62.7258,62.89,42.1403,7546977
2010-06-01,62.66,63.59,61.9,62.76,42.0532,7180024
2010-06-02,62.6,63.46,61.83,63.46,42.85,10023960
2010-06-03,63.5,63.65,63.0,63.37,42.7892,6448378
2010-06-04,62.46,62.46,61.29,61.44,41.486,10309770
2010-06-07,61.37,62.56,61.29,61.73,41.6818,7695109
2010-06-08,61.44,62.8,61.4,62.65,42.303,7538206
2010-06-09,62.86,63.07,62.33,62.49,42.195,7062784
2010-06-10,63.03,63.9,63.03,63.84,43.1065,6568085
2010-06-11,63.5,63.56,62.94,63.56,42.9175,5466071
2010-06-14,63.9,64.23,63.24,63.85,43.1133,4941710
2010-06-15,63.88,64.29,63.835,64.24,43.3766,6249044
2010-06-16,63.79,64.05,63.56,63.91,43.1538,5959954
2010-06-17,63.96,64.56,63.75,64.49,43.5454,5179847
2010-06-18,64.61,64.67,64.03,64.08,43.2686,8948013
2010-06-21,64.54,64.79,63.74,64.02,43.2281,5158727
2010-06-22,64.03,64.25,63.18,63.3,42.7419,5979066
2010-06-23,63.22,63.22,62.31,62.73,42.357,6516802
2010-06-24,62.37,62.99,62.25,62.4,42.1342,6185402
2010-06-25,62.49,62.49,60.77,60.77,41.0336,22935609
2010-06-28,61.12,62.17,61.0,61.96,41.8371,8532306
2010-06-29,61.46,61.77,60.89,61.23,41.3442,9054980
2010-06-30,61.28,61.73,60.5,60.95,41.1551,8760617
2010-07-01,61.13,61.66,60.32,61.52,41.54,10852860
2010-07-02,61.54,62.15,61.38,61.53,41.5468,5988251
2010-07-06,61.74,61.89,60.95,61.64,41.621,6950041
2010-07-07,61.6,63.08,61.27,62.93,42.4921,7296226
2010-07-08,63.21,64.0,62.91,64.0,43.2146,6660775
2010-07-09,64.03,64.11,63.3,63.5,42.877,5020479
2010-07-12,63.25,63.75,63.05,63.74,43.039,4205389
2010-07-13,64.25,64.26,63.35,63.43,42.8297,7312242
2010-07-14,63.23,63.7,63.06,63.56,42.9175,5687463
2010-07-15,63.58,63.71,62.99,63.16,42.6474,8124055
2010-07-16,63.05,63.53,62.24,62.45,42.168,9510104
2010-07-19,62.39,62.52,62.0,62.05,41.8979,5969392
2010-07-20,61.77,64.87,61.71,64.73,43.7075,11243030
2010-07-21,64.78,64.98,63.67,63.95,43.1808,8691356
2010-07-22,64.46,64.86,64.0,64.21,43.3564,7032786
2010-07-23,64.05,64.75,64.05,64.45,43.5184,5191017
2010-07-26,64.36,65.03,64.19,64.98,43.8763,4030235
2010-07-27,65.3,65.79,64.71,65.69,44.3557,6032154
2010-07-28,65.51,65.69,65.0,65.2,44.0248,4325466
2010-07-29,65.33,65.5881,64.71,64.89,43.8155,5580522
2010-07-30,64.45,65.18,64.31,64.91,43.829,5339264
2010-08-02,65.47,65.47,64.88,65.27,44.0721,6486445
2010-08-03,65.11,65.92,65.0,65.77,44.4097,5577969
2010-08-04,65.72,66.35,65.37,66.17,44.6798,6665173
2010-08-05,65.68,65.87,65.06,65.58,44.2814,5144141
2010-08-06,65.13,65.97,65.13,65.9,44.4975,5500659
2010-08-09,66.0,66.6,65.93,66.42,44.8486,5492690
2010-08-10,66.05,66.83,66.0,66.53,44.9229,7413199
2010-08-11,65.98,66.07,65.45,65.45,44.1937,5544547
2010-08-12,64.91,65.35,64.78,65.18,44.0113,4925429
2010-08-13,65.07,65.71,64.86,65.56,44.2679,4517670
2010-08-16,65.3,65.5,64.8,65.43,44.1802,3565449
2010-08-17,65.68,66.0,65.22,65.55,44.2612,4358792
2010-08-18,65.66,65.84,65.25,65.52,44.2409,3857838
2010-08-19,65.5,65.52,64.26,64.66,43.6602,4549664
2010-08-20,64.3,65.28,64.3,64.8,43.7548,5654998
2010-08-23,65.14,65.4,64.78,64.82,43.7683,3263879
2010-08-24,64.5,65.24,64.21,64.78,43.7413,5442905
2010-08-25,64.37,64.845,64.2,64.57,43.5995,5323343
2010-08-26,64.82,64.82,63.85,64.13,43.3024,4606686
2010-08-27,64.2,64.47,63.38,64.12,43.2956,5227636
2010-08-30,64.09,64.43,63.6,63.6,42.9445,3698782
2010-08-31,63.49,64.335,63.18,64.18,43.3361,6624751
2010-09-01,64.52,65.05,64.52,64.89,44.1457,6386016
2010-09-02,64.97,65.31,64.52,64.97,44.2001,4158547
2010-09-03,65.11,65.71,65.11,65.57,44.6083,5864799
2010-09-07,65.1,66.01,65.1,65.48,44.5471,5285458
2010-09-08,65.44,65.7,65.26,65.43,44.5131,4319913
2010-09-09,65.9,66.21,65.42,66.1,44.9689,5836503
2010-09-10,66.15,66.5,65.86,66.41,45.1798,4234720
2010-09-13,66.45,66.52,65.85,66.25,45.0709,4470730
2010-09-14,66.17,66.36,65.93,65.98,44.8872,4146560
2010-09-15,65.83,66.54,65.76,66.5,45.241,4744979
2010-09-16,66.4,66.66,66.17,66.61,45.3158,4175886
2010-09-17,66.76,66.9,66.1,66.12,44.9825,7910149
2010-09-20,66.26,66.98,66.05,66.89,45.5063,5060145
2010-09-21,66.91,66.91,65.93,66.46,45.2138,7456692
2010-09-22,66.63,66.9,66.31,66.66,45.3499,5225761
2010-09-23,66.19,66.19,65.66,65.79,44.758,5877770
2010-09-24,66.1,66.41,65.83,66.13,44.9893,6368099
2010-09-27,66.07,66.76,66.06,66.37,45.1526,5230657
2010-09-28,66.35,66.91,65.81,66.78,45.4315,5306036
2010-09-29,66.54,67.0,66.23,66.75,45.4111,5555862
2010-09-30,66.95,67.31,66.25,66.44,45.2002,7003534
2010-10-01,66.76,67.0,66.28,67.0,45.5812,5398700
2010-10-04,66.99,66.99,66.52,66.87,45.4927,4894831
2010-10-05,67.03,67.82,66.91,67.76,46.0982,7248502
2010-10-06,67.55,68.11,67.4,68.11,46.3363,7205912
2010-10-07,66.6,66.7,65.18,66.1,44.9689,20029430
2010-10-08,66.13,66.15,65.27,65.75,44.7308,8811474
2010-10-11,65.74,65.76,65.3,65.52,44.5743,5284271
2010-10-12,65.29,66.47,65.0,66.08,44.9553,7811686
2010-10-13,66.31,66.8,66.2,66.4,45.173,5993789
2010-10-14,66.45,66.84,66.45,66.64,45.3362,6166518
