date,open,high,low,close,adjusted_close,volume
2010-01-04,18.2418,18.9107,18.2068,18.9007,10.4874,52087602
2010-01-05,18.8908,18.9007,18.5213,18.6312,10.3378,43375152
2010-01-06,18.6312,18.7809,18.4814,18.5713,10.3045,41407168
2010-01-07,18.6112,18.6411,18.4315,18.5014,10.2658,39429578
2010-01-08,18.5912,18.6811,18.4914,18.6511,10.3489,30409109
2010-01-11,18.8009,18.9207,18.6411,18.8009,10.432,32449990
2010-01-12,18.7709,18.9607,18.6112,18.741,10.3987,41273512
2010-01-13,18.8408,19.2702,18.8408,19.1803,10.6425,59517793
2010-01-14,19.1703,19.4699,19.1004,19.3501,10.7367,47268680
2010-01-15,19.4,19.6496,19.2302,19.4599,10.7976,76629047
2010-01-19,19.4998,20.039,19.4699,19.9691,11.0802,78340766
2010-01-20,20.019,20.3285,19.8393,19.9092,11.0469,79245680
2010-01-21,20.009,20.1189,19.1404,19.2103,10.6591,77180531
2010-01-22,19.2302,19.8859,18.8708,18.9307,10.504,61707512
2010-01-25,19.2103,19.2203,18.8109,18.8209,10.443,49275500
2010-01-26,18.6911,18.8708,18.6012,18.751,10.4043,43601160
2010-01-27,18.751,19.0605,18.6312,18.9706,10.5261,54617922
2010-01-28,19.0405,19.0705,18.5812,18.6012,10.3212,50943809
2010-01-29,18.6711,18.9407,18.4914,18.6312,10.3378,56044609
2010-02-01,18.761,18.9607,18.6711,18.761,10.4098,39455680
2010-02-02,18.8408,19.3001,18.741,19.2103,10.6591,67643086
2010-02-03,18.6611,18.8209,18.3915,18.5912,10.408,114002898
2010-02-04,18.3216,18.4115,17.9822,18.0021,10.0782,94261820
2010-02-05,17.8823,18.1569,17.5728,17.9322,10.0391,90400891
2010-02-08,17.8823,17.9722,17.6926,17.8124,9.972,55630352
2010-02-09,17.8424,18.122,17.6227,17.8524,9.9944,70977172
2010-02-10,17.8923,17.9522,17.6061,17.7126,9.9161,59958488
2010-02-11,17.7226,18.0021,17.5928,17.8424,9.9888,54698328
2010-02-12,17.8224,17.8624,17.5928,17.7725,9.9496,50345238
2010-02-16,17.9322,18.0521,17.5828,17.6926,9.9049,63287910
2010-02-17,17.8224,17.8324,17.5029,17.6427,9.877,58260434
2010-02-18,17.6527,17.7226,17.5229,17.7026,9.9105,57122922
2010-02-19,17.7925,18.072,17.7026,17.9622,10.0558,50659578
2010-02-22,17.9522,18.122,17.7525,17.9223,10.0335,58002301
2010-02-23,17.8124,17.9123,17.5828,17.6427,9.877,47873500
2010-02-24,17.7126,17.9922,17.5728,17.7825,9.9552,67724812
2010-02-25,17.5428,17.7026,17.4031,17.6627,9.8882,53460168
2010-02-26,17.6627,17.7825,17.473,17.5229,9.8099,59237621
2010-03-01,17.5828,17.8324,17.5528,17.7226,9.9217,45625301
2010-03-02,17.8424,17.8524,17.5229,17.5728,9.8378,64662301
2010-03-03,17.423,17.5678,17.1834,17.2932,9.6813,109071000
2010-03-04,17.3232,17.3731,17.1934,17.3032,9.6869,56919090
2010-03-05,17.3531,17.473,17.2034,17.453,9.7708,64708930
2010-03-08,17.5628,17.5728,17.2433,17.3232,9.6981,48738801
2010-03-09,17.2433,17.2932,17.1235,17.2034,9.631,54551191
2010-03-10,17.1834,17.3232,17.0836,17.1235,9.5863,56305801
2010-03-11,17.0935,17.2932,17.0736,17.2633,9.6646,49142520
2010-03-12,17.1634,17.2034,16.9637,17.0536,9.5472,85448492
2010-03-15,17.0037,17.2533,16.9637,17.2333,9.6478,43939434
