date,open,high,low,close,adjusted_close,volume
2010-01-04,10.02,10.26,9.99,10.24,8.8525,6121300
2010-01-05,10.23,10.39,10.0,10.37,8.9649,7035400
2010-01-06,10.34,10.49,10.19,10.37,8.9649,5368800
2010-01-07,10.62,11.33,10.58,11.21,9.6911,19444100
2010-01-08,11.13,11.27,10.91,11.03,9.5355,8828900
2010-01-11,11.03,11.2,10.89,10.97,9.4836,5883300
2010-01-12,10.87,10.92,10.58,10.9,9.4231,5851900
2010-01-13,10.84,11.36,10.82,11.32,9.7862,10455800
2010-01-14,11.31,11.41,11.15,11.23,9.7084,6357200
2010-01-15,11.25,11.31,10.93,11.0,9.5095,5089600
2010-01-19,10.97,11.13,10.88,10.99,9.5009,6264600
2010-01-20,10.91,11.01,10.75,10.9,9.4231,6675900
2010-01-21,10.9,10.97,10.49,10.52,9.0946,11734200
2010-01-22,10.49,10.78,10.19,10.22,8.8352,8865600
2010-01-25,10.33,10.4,10.03,10.23,8.8439,9852400
2010-01-26,10.18,10.44,10.14,10.35,8.9476,7834100
2010-01-27,10.31,10.37,10.05,10.33,8.9303,11140800
2010-01-28,10.4,10.65,10.17,10.56,9.1291,10250500
2010-01-29,10.61,10.83,10.5,10.52,9.0946,10002400
2010-02-01,10.52,10.57,10.34,10.56,9.1291,6952800
2010-02-02,10.82,11.41,10.81,11.35,9.8121,11006400
2010-02-03,11.71,11.79,11.23,11.37,9.8294,8513500
2010-02-04,11.22,11.25,10.89,10.92,9.4404,7729300
2010-02-05,10.9,10.96,10.52,10.88,9.4058,11050900
2010-02-08,10.92,11.46,10.7,11.13,9.6219,10090800
2010-02-09,11.07,11.25,10.63,11.08,9.5787,17560400
2010-02-10,11.03,11.37,10.84,11.23,9.7084,13911100
2010-02-11,11.2,11.75,11.14,11.71,10.1233,8790800
2010-02-12,11.54,11.8,11.48,11.74,10.1492,6547900
2010-02-16,11.46,11.66,11.27,11.66,10.0801,7849000
2010-02-17,11.73,11.82,11.41,11.61,10.0369,6581800
2010-02-18,11.62,11.62,11.37,11.49,9.9331,4326600
2010-02-19,11.43,11.58,11.35,11.43,9.8813,5365400
2010-02-22,11.44,11.59,11.26,11.38,9.838,4399600
2010-02-23,11.4,11.48,10.85,10.97,9.4836,6741400
2010-02-24,11.04,11.1,10.5,10.81,9.3453,9054000
2010-02-25,10.57,10.75,10.5,10.7,9.2502,6269100
2010-02-26,10.69,10.88,10.45,10.83,9.3626,6144700
2010-03-01,10.88,11.02,10.83,10.92,9.4404,4018200
2010-03-02,10.85,11.08,10.76,10.77,9.3107,4129200
2010-03-03,10.77,11.02,10.77,10.93,9.449,4012900
2010-03-04,10.9,11.06,10.79,10.87,9.3971,3459200
2010-03-05,10.99,11.27,10.88,11.23,9.7084,5411200
2010-03-08,11.23,11.49,11.15,11.42,9.8726,6539600
2010-03-09,11.34,11.63,11.32,11.49,9.9331,4854300
2010-03-10,11.5,11.61,11.27,11.36,9.8207,5922200
2010-03-11,11.33,11.42,11.09,11.41,9.864,4894700
2010-03-12,11.49,11.49,11.15,11.23,9.7084,4908300
2010-03-15,11.2,11.27,10.97,11.1,9.596,3597400
2010-03-16,11.11,11.5,11.05,11.39,9.8467,5718500
2010-03-17,11.44,11.57,11.39,11.47,9.9158,5311000
2010-03-18,11.48,11.6,11.39,11.5,9.9418,4417800
2010-03-19,11.2,11.65,11.19,11.2,9.6824,8910900
2010-03-22,11.15,11.52,11.06,11.47,9.9158,6815300
2010-03-23,11.52,11.53,11.2,11.47,9.9158,8048700
2010-03-24,11.56,11.81,11.5,11.65,10.0714,9363500
2010-03-25,11.78,11.91,11.59,11.61,10.0369,6656900
2010-03-26,11.65,11.9,11.6,11.72,10.132,6266900
2010-03-29,11.76,11.79,11.5,11.62,10.0455,4149200
2010-03-30,11.6,11.78,11.39,11.43,9.8813,4421400
2010-03-31,11.4,11.46,11.22,11.25,9.7256,5344800
2010-04-01,11.37,11.46,11.07,11.12,9.6133,5473000
2010-04-05,11.33,11.6,11.2,11.44,9.8899,6420000
2010-04-06,11.09,11.25,10.91,11.16,9.6478,6669200
2010-04-07,11.15,11.17,10.77,10.88,9.4058,8614300
2010-04-08,10.86,10.97,10.7,10.89,9.4144,6862400
2010-04-09,10.93,11.18,10.91,11.17,9.6565,5967300
2010-04-12,11.25,11.3,11.05,11.23,9.7084,5535200
2010-04-13,11.2,11.3,10.99,11.03,9.5355,6181500
2010-04-14,11.08,11.45,11.04,11.38,9.838,6921300
2010-04-15,11.35,11.42,11.23,11.27,9.7429,4892800
2010-04-16,11.26,11.28,10.99,11.1,9.596,6522400
2010-04-19,10.99,11.2,10.94,11.11,9.6046,5129100
2010-04-20,11.19,11.48,11.12,11.46,9.9072,7064100
2010-04-21,11.49,11.82,11.42,11.77,10.1752,7916800
2010-04-22,11.73,12.58,11.59,12.48,10.789,15952000
