date,open,high,low,close,adjusted_close,volume
2010-01-04,14.47,15.22,14.44,15.03,15.03,236810
2010-01-05,15.07,15.12,14.8,15.0,15.0,1131673
2010-01-06,15.02,15.02,14.65,14.67,14.67,194096
2010-01-07,14.75,15.08,14.72,14.8,14.8,475062
2010-01-08,14.83,14.96,13.97,14.06,14.06,544780
2010-01-11,14.11,14.52,13.99,14.5,14.5,273899
2010-01-12,14.37,14.49,14.2,14.35,14.35,220690
2010-01-13,14.38,14.5,14.2,14.46,14.46,129898
2010-01-14,14.45,14.98,14.43,14.84,14.84,217799
2010-01-15,14.91,14.92,14.19,14.51,14.51,263786
2010-01-19,14.55,14.68,14.02,14.65,14.65,297859
2010-01-20,14.53,14.77,13.54,14.05,14.05,430239
2010-01-21,14.12,14.53,14.12,14.4,14.4,597484
2010-01-22,14.41,14.65,13.58,13.8,13.8,485942
2010-01-25,13.88,14.0875,13.61,13.91,13.91,246892
2010-01-26,13.8,13.98,13.61,13.86,13.86,192450
2010-01-27,13.76,14.26,13.75,14.25,14.25,265488
2010-01-28,14.25,14.29,13.5,13.66,13.66,253738
2010-01-29,13.76,13.8099,13.5,13.63,13.63,238163
2010-02-01,13.65,14.17,13.55,14.04,14.04,256996
2010-02-02,14.0,14.15,13.91,14.01,14.01,288859
2010-02-03,14.02,14.09,13.7,14.0,14.0,149897
2010-02-04,13.88,13.9,13.17,13.28,13.28,308369
2010-02-05,13.31,13.52,12.9,13.06,13.06,166798
2010-02-08,13.06,13.36,13.06,13.17,13.17,217404
2010-02-09,13.37,13.58,12.97,13.48,13.48,245222
2010-02-10,13.42,14.85,13.42,14.76,14.76,852830
2010-02-11,14.76,15.29,14.68,15.07,15.07,484605
2010-02-12,15.0,15.22,14.89,15.14,15.14,262223
2010-02-16,15.11,15.3,15.05,15.28,15.28,199577
2010-02-17,15.3,15.47,14.76,15.04,15.04,218205
2010-02-18,15.06,15.12,14.85,14.87,14.87,152837
2010-02-19,14.85,15.02,14.6,14.86,14.86,104037
2010-02-22,14.9,15.09,14.78,15.0,15.0,140127
2010-02-23,15.0,15.3,14.73,14.98,14.98,183186
2010-02-24,15.05,15.28,14.77,15.0,15.0,100899
2010-02-25,14.86,14.99,14.73,14.92,14.92,126273
2010-02-26,14.89,15.0,14.62,14.7,14.7,151578
2010-03-01,14.76,15.31,14.73,15.16,15.16,277992
2010-03-02,15.16,15.33,15.03,15.28,15.28,167800
2010-03-03,15.37,15.37,15.06,15.22,15.22,128436
2010-03-04,15.23,15.3,15.03,15.14,15.14,57807
2010-03-05,15.22,15.42,14.9,15.34,15.34,294743
2010-03-08,15.45,15.81,15.31,15.62,15.62,449188
2010-03-09,15.59,16.02,15.59,15.89,15.89,414039
2010-03-10,15.82,16.34,15.75,16.34,16.34,289809
2010-03-11,16.22,16.5,16.0,16.47,16.47,220888
2010-03-12,16.41,16.42,15.56,15.65,15.65,313638
2010-03-15,15.71,15.96,15.6,15.76,15.76,308097
2010-03-16,15.77,15.81,14.9301,15.04,15.04,356518
2010-03-17,15.04,15.38,15.04,15.19,15.19,117692
2010-03-18,15.19,15.19,15.02,15.05,15.05,97677
2010-03-19,15.16,15.32,14.97,15.06,15.06,256662
2010-03-22,14.94,15.24,14.75,15.22,15.22,155215
2010-03-23,15.27,15.69,15.14,15.4,15.4,210240
2010-03-24,15.36,15.7,15.34,15.39,15.39,104078
2010-03-25,15.51,15.85,14.88,14.92,14.92,179807
2010-03-26,15.05,15.31,14.75,14.81,14.81,94716
2010-03-29,14.89,15.26,14.89,15.09,15.09,261853
2010-03-30,15.16,15.35,15.13,15.3,15.3,105126
2010-03-31,15.2,15.36,15.04,15.09,15.09,182725
2010-04-01,15.12,15.29,14.88,15.01,15.01,145334
2010-04-05,15.04,15.72,14.96,15.65,15.65,212534
2010-04-06,15.5,15.65,15.295,15.54,15.54,280144
2010-04-07,15.47,15.56,15.22,15.56,15.56,155446
2010-04-08,15.6,15.66,15.16,15.22,15.22,251079
2010-04-09,15.22,15.32,15.08,15.14,15.14,181069
2010-04-12,15.12,15.44,15.021,15.25,15.25,153072
2010-04-13,15.2,15.2,14.9,15.01,15.01,221552
2010-04-14,15.07,15.0725,14.75,14.96,14.96,268069
2010-04-15,14.88,15.27,14.75,15.17,15.17,351741
2010-04-16,15.16,15.4,14.76,15.15,15.15,357116
2010-04-19,15.11,15.26,14.76,15.1,15.1,278019
2010-04-20,15.14,15.81,15.07,15.78,15.78,182495
2010-04-21,15.8,15.8,15.25,15.47,15.47,108426
2010-04-22,15.3,15.45,15.06,15.44,15.44,100757
2010-04-23,15.48,15.6,14.63,14.88,14.88,269311
2010-04-26,14.9,14.98,14.66,14.74,14.74,217404
2010-04-27,14.7,15.0,14.25,14.41,14.41,212700
2010-04-28,14.46,14.46,13.58,13.98,13.98,504279
2010-04-29,14.08,14.27,13.96,14.22,14.22,390943
2010-04-30,14.29,14.41,13.75,13.81,13.81,281549
2010-05-03,13.82,14.63,13.8,14.41,14.41,322530
2010-05-04,14.25,14.43,13.88,13.92,13.92,389041
2010-05-05,13.91,14.23,13.7,14.03,14.03,579807
2010-05-06,13.91,14.99,12.25,13.21,13.21,513342
2010-05-07,14.49,15.0,13.66,13.99,13.99,1004427
2010-05-10,14.6,14.8,14.0,14.68,14.68,344634
2010-05-11,14.54,15.42,13.925,14.91,14.91,243311
2010-05-12,14.99,15.73,14.6001,15.71,15.71,190083
2010-05-13,15.6,15.99,15.19,15.34,15.34,151589
