date,open,high,low,close,adjusted_close,volume
2010-01-04,21.12,21.2815,21.0,21.24,20.8857,2460124
2010-01-05,21.32,21.5,21.1,21.33,20.9742,2155936
2010-01-06,21.36,22.1,21.26,21.94,21.574,2902031
2010-01-07,21.98,22.35,21.86,22.27,21.8985,1940753
2010-01-08,22.13,22.22,21.7,21.86,21.4953,2612390
2010-01-11,21.92,21.96,20.65,20.98,20.63,6054205
2010-01-12,20.85,20.93,20.43,20.59,20.2465,3404125
2010-01-13,20.6,20.7,20.04,20.63,20.2858,3291047
2010-01-14,20.21,20.4,19.34,19.44,19.1157,5720813
2010-01-15,19.52,19.57,19.04,19.06,18.742,5392908
2010-01-19,18.5,18.65,17.96,18.48,18.1717,7049388
2010-01-20,18.49,18.7,18.16,18.65,18.3389,4834152
2010-01-21,18.72,19.12,18.49,18.5,18.1914,5301831
2010-01-22,18.75,19.17,18.32,18.37,18.0635,5362072
2010-01-25,18.62,18.75,18.27,18.41,18.1029,2922886
2010-01-26,18.42,18.64,18.15,18.43,18.1225,2911035
2010-01-27,18.42,18.53,17.92,18.51,18.2012,3536825
2010-01-28,18.99,18.99,18.18,18.2,17.8964,3049409
2010-01-29,18.43,18.67,18.2,18.22,17.916,2578010
2010-02-01,18.45,18.6,18.28,18.38,18.0734,2304043
2010-02-02,18.46,18.53,18.26,18.38,18.0734,1734158
2010-02-03,18.4,18.66,18.3,18.45,18.1422,2372610
2010-02-04,18.28,18.29,17.65,17.69,17.3949,2989891
2010-02-05,17.64,17.71,16.75,17.16,16.8737,5757562
2010-02-08,17.27,17.61,17.05,17.33,17.0409,2515190
2010-02-09,17.56,17.77,17.31,17.6,17.3064,2515819
2010-02-10,17.53,17.59,17.11,17.43,17.1392,2385653
2010-02-11,17.41,17.69,17.2,17.59,17.2966,1444228
2010-02-12,17.39,17.57,17.21,17.49,17.1982,1876697
2010-02-16,17.7,17.75,17.48,17.67,17.3752,2156275
2010-02-17,17.72,17.83,17.5,17.61,17.3162,1916671
2010-02-18,17.55,18.03,17.54,18.0,17.6997,2115878
2010-02-19,17.94,18.17,17.79,17.88,17.5817,3549541
2010-02-22,18.52,19.49,18.47,19.26,18.9387,7421195
2010-02-23,19.21,19.36,18.87,19.04,18.7224,4103794
2010-02-24,19.1,19.42,18.98,19.16,18.8404,3267742
2010-02-25,18.93,19.24,18.54,19.23,18.9092,2050749
2010-02-26,19.18,19.35,18.92,19.0,18.683,3186828
2010-03-01,19.12,19.3,18.96,19.19,18.8699,3216735
2010-03-02,19.24,19.37,18.93,18.94,18.624,2210076
2010-03-03,19.03,19.3,18.8,18.8,18.4864,2875230
2010-03-04,18.81,18.92,18.52,18.62,18.3094,3170046
2010-03-05,18.65,18.79,18.41,18.69,18.3782,2373197
2010-03-08,18.69,18.77,18.59,18.6,18.2897,1648691
2010-03-09,18.53,18.82,18.51,18.69,18.3782,2230159
2010-03-10,18.63,18.67,18.35,18.61,18.2995,2430531
2010-03-11,18.56,18.71,18.385,18.68,18.3684,1493492
2010-03-12,18.88,19.14,18.63,19.13,18.8109,3572124
2010-03-15,19.1,19.22,18.8,18.97,18.6535,916525
2010-03-16,19.08,19.56,18.915,19.45,19.1255,2672546
2010-03-17,19.54,20.06,19.54,19.76,19.4304,3671489
2010-03-18,19.71,20.06,19.58,19.62,19.2927,1891787
2010-03-19,19.68,19.8,19.33,19.42,19.096,2255656
2010-03-22,19.3,19.76,19.24,19.72,19.391,2178402
2010-03-23,19.78,20.07,19.68,20.06,19.7253,1951970
2010-03-24,20.07,20.07,19.83,19.98,19.6467,2438199
2010-03-25,20.01,20.04,19.47,19.49,19.1649,2351754
2010-03-26,19.6,19.7,19.26,19.41,19.0862,1686093
2010-03-29,19.54,19.56,19.39,19.46,19.1354,3011004
2010-03-30,19.49,19.5,19.03,19.11,18.7912,2863712
2010-03-31,19.03,19.25,18.84,19.16,18.8404,3920750
2010-04-01,19.24,19.57,19.24,19.55,19.2239,1787292
2010-04-05,19.55,19.79,19.48,19.75,19.4205,1335186
2010-04-06,19.69,19.96,19.49,19.96,19.627,2761318
2010-04-07,19.88,19.92,19.63,19.76,19.4304,2773304
2010-04-08,19.68,19.9,19.57,19.89,19.5582,2182844
2010-04-09,19.89,20.34,19.82,20.34,20.0007,3297360
2010-04-12,20.47,20.5,20.0,20.0,19.6663,3387167
2010-04-13,19.95,19.97,19.585,19.81,19.4795,2319750
2010-04-14,19.9,19.9,19.51,19.55,19.2239,3509742
2010-04-15,19.54,19.81,19.37,19.62,19.2927,3433675
2010-04-16,19.54,19.73,19.16,19.33,19.0075,2466873
2010-04-19,19.27,19.47,19.15,19.47,19.1452,2655943
2010-04-20,19.55,19.845,19.43,19.77,19.4402,1907295
2010-04-21,19.76,20.25,19.76,20.19,19.8532,3132950
2010-04-22,20.02,20.245,19.8,20.21,19.8728,2435024
2010-04-23,20.11,20.36,19.96,20.09,19.7548,3817006
2010-04-26,20.02,20.05,19.38,19.93,19.5975,3979643
2010-04-27,19.87,20.18,19.56,19.57,19.2435,3085227
2010-04-28,19.68,20.0,19.58,19.76,19.4304,2056927
2010-04-29,19.91,20.39,19.8813,20.33,19.9908,2210160
2010-04-30,20.33,20.41,20.0,20.13,19.7942,3018441
2010-05-03,20.21,20.24,19.89,20.12,19.7843,2089570
2010-05-04,19.82,19.89,19.35,19.65,19.3222,3846744
2010-05-05,18.65,20.04,18.13,19.59,19.2632,5435755
2010-05-06,19.73,20.93,18.25,20.01,19.6762,8701509
2010-05-07,20.06,20.5,19.54,19.67,19.3419,5555990
2010-05-10,20.3,20.62,20.13,20.6,20.2563,2965066
2010-05-11,20.32,20.95,20.21,20.59,20.2465,3574073
2010-05-12,20.72,21.74,20.71,21.69,21.3282,3863287
2010-05-13,21.58,23.04,21.58,22.62,22.2426,6980838
2010-05-14,22.39,22.75,22.13,22.43,22.0558,6317842
2010-05-17,22.44,22.7675,22.05,22.44,22.0656,4054907
2010-05-18,22.6,23.01,22.06,22.06,21.692,5732871
2010-05-19,21.83,22.11,21.3,21.81,21.4462,5226247
2010-05-20,21.39,21.4,20.52,20.72,20.3743,7560322
2010-05-21,20.31,21.23,20.3,21.12,20.7677,4367599
2010-05-24,21.01,21.18,20.63,20.81,20.4628,3192786
2010-05-25,20.24,20.65,19.96,20.63,20.2858,3880305
2010-05-26,20.69,21.22,20.61,20.66,20.3153,2984953
2010-05-27,20.6,20.97,20.01,20.89,20.5415,3436581
2010-05-28,20.86,20.96,20.54,20.73,20.3842,2651145
2010-06-01,20.54,20.8,20.2,20.2,19.863,2826840
2010-06-02,20.42,20.68,20.21,20.66,20.3153,2092070
2010-06-03,20.73,21.21,20.7,21.08,20.7283,2589428
2010-06-04,20.6,21.19,20.6,20.87,20.5218,5983622
2010-06-07,20.91,20.91,19.94,20.01,19.6762,2971340
2010-06-08,20.01,20.29,19.78,20.25,19.9122,3390807
2010-06-09,20.94,21.05,20.5,20.58,20.2367,3116196
2010-06-10,20.91,21.31,20.75,21.3,20.9447,2192567
2010-06-11,21.07,21.77,21.06,21.76,21.397,2406870
2010-06-14,21.95,22.07,21.67,21.78,21.4167,3680769
2010-06-15,21.96,22.43,21.66,22.4,22.0263,2263424
2010-06-16,22.33,22.89,22.22,22.68,22.3016,2825546
2010-06-17,22.75,23.12,22.47,23.03,22.6458,3531427
2010-06-18,23.13,23.15,22.7125,22.85,22.4688,3552437
2010-06-21,22.99,23.23,22.43,22.57,22.1935,2034999
2010-06-22,22.57,22.85,22.08,22.12,21.751,1835013
2010-06-23,22.12,22.375,21.78,22.14,21.7706,2514925
2010-06-24,22.05,22.18,21.57,21.64,21.279,1892445
2010-06-25,21.76,21.93,21.43,21.86,21.4953,1515559
2010-06-28,21.77,22.13,21.62,21.88,21.515,1638013
2010-06-29,21.32,21.62,20.73,20.9,20.5513,1990553
2010-06-30,20.8,21.14,20.61,20.65,20.3055,1983183
2010-07-01,20.8,20.8,20.22,20.47,20.1285,2709050
2010-07-02,20.45,20.67,20.08,20.25,19.9122,1672892
2010-07-06,20.61,20.82,20.08,20.32,19.981,1696842
2010-07-07,20.23,20.82,20.13,20.81,20.4628,2475807
2010-07-08,21.14,21.23,20.88,21.17,20.8168,1384536
2010-07-09,21.17,21.64,20.93,21.63,21.2692,1231951
2010-07-12,21.52,21.7,21.2,21.31,20.9545,1039742
2010-07-13,21.48,21.66,21.3,21.58,21.22,2172131
2010-07-14,21.43,21.66,21.15,21.5,21.1413,1597714
2010-07-15,21.47,21.5,21.02,21.3,20.9447,1446340
2010-07-16,21.12,21.12,20.26,20.31,19.9712,2752324
2010-07-19,20.38,20.71,20.335,20.57,20.2268,1713375
2010-07-20,20.28,21.41,20.18,21.37,21.0135,1999262
2010-07-21,21.54,21.67,21.14,21.28,20.925,2479521
2010-07-22,21.58,21.93,21.52,21.89,21.5248,2020043
2010-07-23,21.89,22.18,21.7,22.18,21.81,1552631
2010-07-26,22.14,22.5,22.06,22.5,22.1246,1233930
2010-07-27,22.65,22.66,21.99,22.06,21.692,1894249
2010-07-28,22.06,22.06,21.64,21.78,21.4167,1874498
2010-07-29,22.05,22.06,21.34,21.66,21.2987,2146102
2010-07-30,21.47,21.935,21.25,21.48,21.1217,2787830
2010-08-02,21.75,22.06,21.6325,21.76,21.397,2686327
2010-08-03,21.73,21.8,21.21,21.44,21.0823,2697152
2010-08-04,20.335,20.89,19.41,20.29,19.9515,9765760
2010-08-05,19.88,20.07,19.51,19.59,19.2632,4622249
2010-08-06,19.39,19.7,19.27,19.39,19.0665,3553224
2010-08-09,19.38,19.53,19.28,19.49,19.1649,1995044
2010-08-10,19.35,19.44,19.17,19.42,19.096,2021312
2010-08-11,19.17,19.27,18.66,18.72,18.4077,2753647
2010-08-12,18.36,18.93,18.36,18.84,18.5257,2447089
2010-08-13,18.73,19.07,18.7,18.88,18.565,1554847
2010-08-16,18.75,18.92,18.5,18.78,18.4667,1630690
2010-08-17,18.89,19.65,18.8,19.24,18.919,3444716
2010-08-18,19.2,19.46,19.01,19.31,18.9879,1467905
2010-08-19,19.17,19.24,18.75,18.91,18.5945,1391011
2010-08-20,18.79,18.93,18.56,18.85,18.5355,2091854
2010-08-23,18.89,19.16,18.65,18.69,18.3782,1406429
2010-08-24,18.45,18.54,18.0,18.18,17.8767,3214941
2010-08-25,18.03,18.18,17.9,18.05,17.7489,3972721
2010-08-26,18.1,18.35,17.85,17.93,17.6309,2031405
2010-08-27,18.01,18.41,17.8,18.41,18.1029,2239863
2010-08-30,18.28,18.54,17.93,17.95,17.6505,1576677
