date,open,high,low,close,adjusted_close,volume
2010-01-04,46.79,47.315,46.57,46.94,32.527,14570160
2010-01-05,47.52,48.32,47.5,48.07,33.31,24246250
2010-01-06,48.26,48.43,47.38,47.6,32.9843,22750090
2010-01-07,47.75,49.02,47.55,48.98,33.9406,25266289
2010-01-08,49.11,49.8,48.89,49.47,34.2801,25941170
2010-01-11,49.58,49.69,48.64,49.29,34.1554,14673280
2010-01-12,48.86,49.21,48.07,48.49,33.601,18009020
2010-01-13,48.85,48.95,48.23,48.7,33.7465,12427440
2010-01-14,48.26,48.72,48.22,48.37,33.5179,13753170
2010-01-15,48.61,49.04,48.11,48.53,33.6287,21540461
2010-01-19,48.62,49.7,48.55,49.32,34.1762,16566980
2010-01-20,48.91,48.94,47.79,48.35,33.504,18152471
2010-01-21,48.32,49.0,47.92,48.09,33.3239,18703980
2010-01-22,48.11,48.57,46.67,46.78,32.4161,22207641
2010-01-25,46.97,47.69,46.7,46.91,32.5062,15305140
2010-01-26,46.9,47.47,46.56,46.89,32.4923,18327500
2010-01-27,46.52,47.31,46.27,47.2,32.7071,27302900
2010-01-28,42.11,42.11,40.01,40.48,28.0505,130892094
2010-01-29,40.83,40.88,38.49,39.19,27.1566,112830203
2010-02-01,39.25,39.97,38.68,39.77,27.5585,54762578
2010-02-02,39.82,39.89,38.98,39.26,27.2051,45670207
2010-02-03,38.96,39.72,38.6,39.63,27.4615,36843793
2010-02-04,39.27,39.28,38.15,38.17,26.4498,39883840
2010-02-05,38.41,38.597,37.43,38.04,26.3597,39372922
2010-02-08,38.11,38.188,37.47,37.51,25.9925,27378500
2010-02-09,37.92,38.29,37.64,37.91,26.2696,28585600
2010-02-10,37.71,38.16,37.32,37.43,25.937,23742340
2010-02-11,37.27,38.12,37.0,38.01,26.3389,34202738
2010-02-12,38.18,39.0,37.98,38.84,26.9141,37314039
2010-02-16,39.09,39.3,38.7,39.02,27.0388,34302559
2010-02-17,39.1,39.7,39.02,39.43,27.3229,24735189
2010-02-18,39.47,39.9393,39.39,39.81,27.5862,19506811
2010-02-19,39.815,39.85,39.47,39.59,27.4338,26643141
2010-02-22,39.81,39.89,38.69,39.01,27.0319,27658471
2010-02-23,39.0,39.15,38.4,38.54,26.7062,17927090
2010-02-24,38.61,38.67,37.67,37.87,26.3582,27119221
2010-02-25,37.23,38.0,36.47,37.18,25.8779,34843594
2010-02-26,37.12,37.13,36.51,36.6829,25.5319,30563369
2010-03-01,36.82,36.82,35.46,35.56,24.7504,59160910
2010-03-02,36.75,38.46,36.57,37.93,26.4,77896109
2010-03-03,38.48,39.16,38.37,38.69,26.9289,42163801
2010-03-04,38.94,39.28,38.58,39.25,27.3187,29413180
2010-03-05,39.49,39.52,38.62,38.76,26.9776,26466891
2010-03-08,38.83,39.01,38.61,38.79,26.9985,13858980
2010-03-09,38.73,38.91,38.5,38.68,26.922,20141221
2010-03-10,38.57,39.1,38.5,38.88,27.0612,15250920
2010-03-11,38.86,39.25,38.71,39.1,27.2143,16330200
2010-03-12,39.12,39.39,38.8,38.95,27.1099,20714100
2010-03-15,39.0,39.06,38.66,38.87,27.0542,17334711
2010-03-16,38.9,39.11,38.59,39.01,27.1517,27704811
2010-03-17,39.05,39.195,38.71,38.9,27.0751,23287391
2010-03-18,39.23,40.53,39.16,40.43,28.14,45529031
2010-03-19,40.52,40.61,39.78,40.05,27.8755,33420129
2010-03-22,40.08,40.54,39.87,40.2775,28.0339,16394461
2010-03-23,40.43,40.58,40.03,40.52,28.2026,13840680
2010-03-24,40.24,40.43,40.02,40.19,27.973,12982700
2010-03-25,42.54,43.84,42.0,42.19,29.365,67308656
2010-03-26,42.0,42.54,41.61,41.829,29.1137,29773730
2010-03-29,42.0,42.09,41.6,41.76,29.0657,11592630
2010-03-30,42.45,42.5,41.94,42.13,29.3232,20720900
2010-03-31,41.99,42.22,41.84,41.96,29.2049,14934420
2010-04-01,42.17,42.46,42.14,42.27,29.4207,16321430
2010-04-05,42.6,43.01,42.39,42.53,29.6016,14693030
2010-04-06,42.22,42.56,42.19,42.43,29.532,10069180
2010-04-07,42.37,42.87,42.37,42.77,29.7687,16091320
2010-04-08,42.69,42.72,42.09,42.4,29.5112,12994270
2010-04-09,42.2,42.37,41.85,42.17,29.3511,16152560
2010-04-12,42.03,42.46,42.0,42.23,29.3928,8808676
2010-04-13,42.03,42.39,41.8,42.3,29.4416,10764140
2010-04-14,42.23,42.8,42.1,42.6,29.6504,19717641
2010-04-15,42.66,43.18,42.48,42.7,29.72,16221160
2010-04-16,42.68,42.98,42.25,42.74,29.7478,23841100
2010-04-19,42.63,42.99,42.25,42.75,29.7548,14960420
2010-04-20,42.745,43.35,42.49,43.29,30.1306,14784550
2010-04-21,43.33,43.39,42.27,42.63,29.6712,34304500
2010-04-22,39.75,40.35,38.88,39.331,27.3751,96916516
2010-04-23,38.98,39.03,37.8,38.25,26.6227,64250820
2010-04-26,38.27,38.71,37.78,38.11,26.5252,25646609
2010-04-27,38.23,38.84,37.84,37.92,26.393,35403930
2010-04-28,38.225,38.85,38.0,38.82,27.0194,27705830
2010-04-29,38.97,39.22,38.77,38.98,27.1308,17673369
2010-04-30,39.15,39.29,38.61,38.68,26.922,18462199
2010-05-03,38.91,39.05,38.31,38.64,26.8941,19362730
2010-05-04,38.27,38.3,37.01,37.6,26.1703,25190711
2010-05-05,37.2,37.89,37.0,37.635,26.1946,18405090
2010-05-06,37.36,37.63,35.56,36.67,25.523,28231461
2010-05-07,36.44,36.86,35.23,36.5,25.4046,36415559
2010-05-10,37.41,37.81,37.1,37.37,26.0102,22754920
2010-05-11,37.07,37.91,37.05,37.48,26.0867,17507320
2010-05-12,38.0,38.39,37.715,38.16,26.56,17607471
2010-05-13,37.97,38.68,37.77,37.96,26.4208,18366801
2010-05-14,37.76,38.04,36.9,37.3,25.9615,19753801
2010-05-17,37.46,37.7,36.77,37.365,26.0067,22360430
2010-05-18,37.02,37.46,36.5,36.71,25.5508,23125150
2010-05-19,36.68,36.89,36.17,36.45,25.3698,18551381
2010-05-20,35.75,36.24,35.25,35.59,24.7713,27575760
2010-05-21,35.1,36.28,34.83,35.89,24.9801,28635939
2010-05-24,35.6,36.15,35.43,35.67,24.827,16321070
2010-05-25,34.89,35.66,34.52,35.61,24.7852,24941180
2010-05-26,35.75,36.1,34.76,34.88,24.4073,26677480
2010-05-27,35.35,35.6,35.1,35.56,24.8832,23508801
2010-05-28,35.41,35.925,35.16,35.56,24.8832,21248949
2010-06-01,35.445,36.08,34.96,35.07,24.5403,19262779
2010-06-02,35.13,36.04,34.7,36.02,25.205,21474990
2010-06-03,36.25,36.81,35.78,36.47,25.5199,20295520
2010-06-04,35.75,36.22,35.15,35.3025,24.703,23085830
2010-06-07,35.35,35.7704,34.97,35.01,24.4983,18554391
2010-06-08,34.845,35.31,34.57,35.27,24.6802,22531010
2010-06-09,35.3,35.38,34.63,34.72,24.2954,24115301
2010-06-10,35.16,35.17,34.33,35.03,24.5123,30719400
2010-06-11,34.54,35.47,34.52,35.36,24.7432,14725490
2010-06-14,35.7,35.88,34.72,34.79,24.3443,15706040
2010-06-15,35.0,35.6,34.99,35.58,24.8972,13798260
2010-06-16,35.4,35.438,34.8,35.08,24.5473,22471990
2010-06-17,35.24,35.77,35.01,35.71,24.9881,15334640
2010-06-18,35.75,36.07,35.57,35.69,24.9741,25396061
2010-06-21,35.85,36.17,35.36,35.64,24.9391,12371950
2010-06-22,35.76,36.36,35.55,35.57,24.8902,16288110
2010-06-23,35.61,35.81,35.27,35.42,24.7852,15067410
2010-06-24,35.22,35.3,34.63,34.79,24.3443,21382480
2010-06-25,34.7,34.9,34.28,34.57,24.1904,22399590
2010-06-28,34.63,34.88,34.01,34.04,23.8195,13574250
2010-06-29,33.78,33.79,32.87,33.14,23.1898,27848080
2010-06-30,33.0,33.6463,32.73,32.84,22.9798,19652779
2010-07-01,32.79,32.88,31.63,31.96,22.3641,31799170
2010-07-02,31.87,32.68,31.6501,32.37,22.651,16296950
2010-07-06,32.66,33.32,32.45,32.65,22.8469,19302779
2010-07-07,32.82,33.47,32.44,33.38,23.3577,16004250
2010-07-08,33.79,33.99,33.25,33.93,23.7426,19367449
2010-07-09,34.05,34.14,33.56,33.91,23.7286,12516210
2010-07-12,34.74,35.33,34.51,35.1,24.5613,23746600
2010-07-13,35.51,35.98,35.34,35.95,25.1561,21448590
2010-07-14,36.24,37.09,35.98,36.9,25.8208,31168961
2010-07-15,36.99,37.12,36.38,36.88,25.8068,18849289
2010-07-16,36.97,37.22,35.74,35.96,25.1631,24808900
2010-07-19,36.26,37.08,36.2,36.77,25.7299,19903051
2010-07-20,36.08,36.78,35.74,36.75,25.7159,17066490
2010-07-21,36.86,37.0,35.81,36.16,25.303,22978740
2010-07-22,38.34,39.52,38.3,39.11,27.3673,56105738
2010-07-23,39.03,39.66,38.78,39.08,27.3463,31486850
2010-07-26,38.72,39.28,38.72,39.24,27.4582,13201360
2010-07-27,39.45,39.5,39.13,39.22,27.4442,12597060
2010-07-28,39.35,39.425,38.61,38.76,27.1224,12468700
2010-07-29,39.35,39.42,38.26,38.78,27.1364,21459500
2010-07-30,38.26,38.3905,37.76,38.08,26.6465,22121260
2010-08-02,38.33,39.0,38.02,38.76,27.1224,14618450
2010-08-03,38.59,38.8,38.3,38.46,26.9124,10259450
2010-08-04,38.39,38.615,38.01,38.43,26.8914,9949092
2010-08-05,38.21,38.7,38.12,38.5,26.9404,8991875
2010-08-06,38.2,38.98,37.95,38.65,27.0454,15795060
2010-08-09,38.87,39.94,38.83,39.75,27.8151,18716770
