date,open,high,low,close,adjusted_close,volume
2010-01-04,46.32,46.485,46.27,46.42,40.8006,62822801
2010-01-05,46.38,46.5,46.16,46.42,40.8006,62935594
2010-01-06,46.39,46.55,46.07,46.14,40.5545,96033000
2010-01-07,46.2,46.27,45.92,46.17,40.5809,77094031
2010-01-08,46.04,46.55,45.93,46.55,40.9149,88886602
2010-01-11,46.6,46.64,46.12,46.36,40.7479,104673297
2010-01-12,46.08,46.14,45.53,45.78,40.2381,90673828
2010-01-13,45.93,46.49,45.61,46.35,40.7391,100661000
2010-01-14,46.26,46.52,46.22,46.39,40.7742,75812672
2010-01-15,46.46,46.55,45.65,45.85,40.2996,126866094
2010-01-19,45.96,46.64,45.95,46.59,40.95,84388148
2010-01-20,46.27,46.604,45.43,45.92,40.3611,145679906
2010-01-21,46.06,46.35,45.3,45.49,39.9832,204939500
2010-01-22,45.34,45.48,44.04,44.16,38.8142,171098594
2010-01-25,44.39,44.6,44.12,44.31,38.946,154218594
2010-01-26,44.28,44.89,44.05,44.35,38.9812,140816406
2010-01-27,44.29,44.85,44.01,44.7,39.2888,161632609
2010-01-28,44.4,44.43,43.32,43.55,38.278,221439812
2010-01-29,43.9,44.02,42.63,42.79,37.61,212126000
2010-02-01,42.91,43.2807,42.88,43.26,38.0231,136827109
2010-02-02,43.31,43.78,43.03,43.65,38.3659,110727602
2010-02-03,43.45,43.97,43.42,43.89,38.5769,93581594
2010-02-04,43.58,43.66,42.62,42.62,37.4606,151652406
2010-02-05,42.75,43.02,42.12,42.98,37.777,213618500
2010-02-08,42.92,43.18,42.64,42.67,37.5046,94354367
2010-02-09,43.17,43.51,42.76,43.11,37.8913,118955906
2010-02-10,43.1,43.31,42.75,43.02,37.8122,94102844
2010-02-11,43.01,43.79,42.76,43.67,38.3835,93050789
2010-02-12,43.27,43.88,43.16,43.76,38.4626,93943992
2010-02-16,44.08,44.35,43.85,44.32,38.9548,83861367
2010-02-17,44.5,44.57,44.26,44.57,39.1745,82691609
2010-02-18,44.54,44.93,44.45,44.85,39.4207,65752539
2010-02-19,44.76,45.05,44.62,44.83,39.4031,80416414
2010-02-22,45.01,45.03,44.56,44.74,39.324,72054914
2010-02-23,44.69,44.74,43.95,44.16,38.8142,95814328
2010-02-24,44.41,44.79,44.32,44.61,39.2097,86590992
2010-02-25,44.11,44.7,43.83,44.6,39.2009,97961297
2010-02-26,44.6,44.86,44.4,44.76,39.3415,66222359
2010-03-01,44.95,45.49,44.95,45.41,39.9129,77290016
2010-03-02,45.54,45.85,45.45,45.55,40.0359,76368430
2010-03-03,45.67,45.82,45.43,45.6,40.0799,65744914
2010-03-04,45.64,45.81,45.4,45.75,40.2117,54470840
2010-03-05,46.1,46.54,45.99,46.44,40.8182,68136258
2010-03-08,46.46,46.64,46.44,46.53,40.8973,58712352
2010-03-09,46.4,47.05,46.4,46.79,41.1258,98002734
2010-03-10,46.8,47.28,46.8,47.17,41.4598,102578898
2010-03-11,47.07,47.35,46.98,47.35,41.618,67510281
2010-03-12,47.5,47.53,47.1,47.36,41.6268,64068262
