date,open,high,low,close,adjusted_close,volume
2010-01-04,26.14,26.28,25.72,25.8,21.6799,2792560
2010-01-05,26.11,26.5,25.555,25.89,21.7556,3588963
2010-01-06,25.9,25.95,25.01,25.24,21.2094,4139539
2010-01-07,25.47,25.72,25.15,25.7,21.5959,3156177
2010-01-08,25.75,25.96,25.59,25.91,21.7724,2507610
2010-01-11,26.07,26.15,25.69,26.02,21.8648,2055255
2010-01-12,25.62,26.0,25.49,25.67,21.5707,2315229
2010-01-13,26.0,26.65,25.6999,26.54,22.3018,3398905
2010-01-14,26.67,27.5499,26.59,27.46,23.0748,3337431
2010-01-15,27.37,27.37,26.9,27.13,22.7975,3139666
2010-01-19,26.9,27.62,26.9,27.62,23.2093,2612280
2010-01-20,27.07,27.24,26.4,26.98,22.6715,3417819
2010-01-21,27.17,27.31,26.465,26.57,22.327,5390416
2010-01-22,25.91,25.97,24.91,25.42,21.3606,7670202
2010-01-25,25.78,25.87,25.03,25.19,21.1673,4135122
2010-01-26,24.75,25.64,24.73,25.16,21.1421,4465185
2010-01-27,24.85,25.5,24.73,25.43,21.369,4166877
2010-01-28,26.64,26.67,25.53,25.99,21.8396,10680920
2010-01-29,26.59,27.09,25.89,26.09,21.9236,5566990
2010-02-01,26.67,26.68,26.06,26.6,22.3522,4373396
2010-02-02,26.81,27.91,26.76,27.6,23.1925,5915932
2010-02-03,27.24,27.64,27.17,27.39,23.016,3074268
2010-02-04,26.79,26.85,25.12,25.19,21.1673,6606364
2010-02-05,25.04,25.44,24.14,25.21,21.1842,4688996
2010-02-08,24.83,25.69,24.63,25.16,21.1421,3005655
2010-02-09,25.6,25.89,25.18,25.61,21.5203,2094452
2010-02-10,25.49,25.77,24.9,25.16,21.1421,2715621
2010-02-11,25.21,26.02,25.01,26.0,21.848,2689480
2010-02-12,25.16,25.795,25.14,25.59,21.5035,3069781
2010-02-16,25.75,25.92,25.62,25.85,21.722,1694546
2010-02-17,26.08,26.25,25.71,25.91,21.7724,2309157
2010-02-18,25.58,25.9,25.52,25.87,21.7388,1883421
2010-02-19,25.71,26.35,25.66,26.3,22.1001,1980087
2010-02-22,26.6,26.76,26.44,26.61,22.3606,1456971
2010-02-23,26.32,26.48,25.45,25.78,21.6631,2775475
2010-02-24,26.4,27.89,26.34,27.71,23.2849,9446816
2010-02-25,26.97,27.85,26.97,27.79,23.3521,4702259
2010-02-26,27.45,28.47,27.3,28.27,23.7555,3132184
2010-03-01,28.3,28.61,27.91,28.36,23.8311,2073400
2010-03-02,28.79,28.959,28.33,28.41,23.8731,2211473
2010-03-03,28.69,28.9,28.25,28.43,23.8899,1917013
2010-03-04,28.81,29.05,28.545,28.94,24.3185,1776855
2010-03-05,29.28,30.02,29.2,29.81,25.0496,3913291
2010-03-08,29.78,30.51,29.7,30.23,25.4025,2840512
2010-03-09,29.83,30.215,29.58,29.73,24.9823,2666484
2010-03-10,29.81,30.93,29.7,30.69,25.789,2924413
2010-03-11,30.57,30.71,30.225,30.6,25.7134,1793459
2010-03-12,30.65,31.02,30.58,30.9,25.9655,3058879
2010-03-15,30.46,30.67,30.12,30.56,25.6798,2417651
2010-03-16,30.68,31.15,30.59,31.11,26.142,2306115
2010-03-17,31.32,31.8,31.3,31.62,26.5705,2664261
2010-03-18,31.42,31.58,31.1,31.11,26.142,2547058
2010-03-19,31.58,31.84,30.97,31.01,26.0579,2848473
2010-03-22,30.51,31.64,30.28,31.43,26.4109,2461398
2010-03-23,31.96,33.69,31.94,33.61,28.2427,9239739
2010-03-24,33.09,33.3,32.79,33.13,27.8394,3411377
2010-03-25,33.55,33.88,33.14,33.25,27.9402,2217185
2010-03-26,33.14,33.93,32.85,32.99,27.7217,2289327
2010-03-29,33.19,33.47,32.645,33.47,28.1251,2214333
2010-03-30,33.47,33.75,33.29,33.43,28.0915,2273079
2010-03-31,33.17,33.47,32.9,32.99,27.7217,1949369
2010-04-01,33.38,33.93,33.25,33.83,28.4276,2227692
2010-04-05,33.99,34.64,33.9,34.44,28.9402,2037787
2010-04-06,34.19,35.12,34.13,34.77,29.2175,3446971
2010-04-07,34.075,34.1499,32.86,33.1,27.8142,7187998
2010-04-08,32.76,34.045,32.57,33.93,28.5116,3144680
2010-04-09,33.82,33.89,33.21,33.77,28.3772,2547367
2010-04-12,34.01,34.42,33.91,34.25,28.7805,3010682
2010-04-13,34.2,34.43,33.67,34.21,28.7469,3267434
2010-04-14,34.46,35.435,34.345,35.16,29.5452,3300198
2010-04-15,35.02,35.535,34.93,35.41,29.7553,2291505
2010-04-16,34.98,35.3,34.2,34.53,29.0158,4669689
2010-04-19,33.64,34.37,33.16,33.72,28.3352,4713370
2010-04-20,33.79,34.65,33.76,34.51,28.999,2689142
2010-04-21,34.21,34.75,34.11,34.65,29.1167,3016103
2010-04-22,33.97,35.555,33.7,35.03,29.436,4755844
2010-04-23,35.4,36.52,35.39,36.23,30.4443,3733828
2010-04-26,36.66,38.1225,36.56,37.64,31.6292,6426638
2010-04-27,36.9,37.53,36.12,36.3,30.5032,7485929
2010-04-28,35.67,35.67,34.16,34.52,29.0074,9143119
2010-04-29,35.09,37.38,35.0,37.31,31.3519,4678362
2010-04-30,36.86,37.2,35.68,35.84,30.1166,3791102
2010-05-03,36.29,37.02,35.96,36.61,30.7637,2287021
2010-05-04,35.52,35.53,33.87,34.23,28.7637,4347201
2010-05-05,33.02,34.17,32.63,33.04,27.7638,5401116
2010-05-06,32.3,33.23,28.64,30.8,25.8815,6227500
2010-05-07,30.8,30.93,28.77,29.47,24.7639,6929076
2010-05-10,32.95,33.27,32.0,32.59,27.3856,5449664
2010-05-11,31.47,32.71,31.25,32.02,26.9066,2560452
2010-05-12,32.57,33.41,32.54,33.24,27.9318,3309878
2010-05-13,33.24,33.38,31.853,32.03,26.9151,2287001
2010-05-14,31.75,31.75,30.41,30.9,25.9655,5009993
2010-05-17,31.08,31.5,30.17,31.3,26.3016,6320851
2010-05-18,31.96,32.12,30.36,30.46,25.5958,3740386
2010-05-19,30.03,30.591,29.06,29.82,25.058,4889325
2010-05-20,28.22,28.76,27.51,27.76,23.3269,7557906
2010-05-21,27.54,28.98,27.38,28.34,23.8143,4381972
2010-05-24,28.38,28.905,27.88,27.91,23.453,2499120
2010-05-25,26.8,27.95,26.11,27.74,23.3101,5287162
2010-05-26,28.24,28.98,27.74,27.96,23.495,4229627
2010-05-27,29.08,29.78,28.81,29.74,24.9907,2960292
2010-05-28,29.75,30.13,28.635,29.0,24.3689,3199124
2010-06-01,28.74,30.0,28.74,29.02,24.3857,3514530
2010-06-02,29.51,29.87,29.08,29.87,25.1,2748302
2010-06-03,30.38,30.7,29.895,30.3,25.4613,3141698
2010-06-04,29.39,29.66,27.72,27.92,23.4614,4624818
2010-06-07,28.26,28.55,26.6,26.66,22.4026,4289654
2010-06-08,26.99,27.17,26.06,26.87,22.5791,3688897
2010-06-09,27.47,28.25,26.56,26.78,22.5034,4859736
2010-06-10,28.0,28.75,27.59,28.53,23.974,4503197
2010-06-11,27.89,28.69,27.89,28.5,23.9488,1866498
2010-06-14,29.33,30.01,29.01,29.17,24.5118,3477253
2010-06-15,30.04,30.89,29.66,30.7,25.7974,4021715
2010-06-16,30.2,30.57,29.96,30.17,25.3521,3120110
2010-06-17,30.61,30.61,29.51,30.14,25.3269,4299735
