date,open,high,low,close,adjusted_close,volume
2010-01-04,35.3,35.68,34.5,34.77,20.0741,1354400
2010-01-05,34.78,35.02,34.43,35.02,20.2184,1044486
2010-01-06,35.07,35.52,35.0,35.07,20.2473,1384252
2010-01-07,34.86,35.51,34.57,35.34,20.4032,985308
2010-01-08,35.01,35.46,34.93,35.28,20.3685,1042634
2010-01-11,36.25,36.25,35.52,35.81,20.6745,1167326
2010-01-12,35.33,35.7,34.89,35.15,20.2935,1014249
2010-01-13,35.26,36.23,35.22,36.17,20.8824,952934
2010-01-14,35.92,36.08,35.59,36.0,20.7842,924298
2010-01-15,35.9,36.77,35.78,36.43,21.0325,1859818
2010-01-19,36.52,37.82,36.36,37.63,21.7253,1942277
2010-01-20,36.95,36.97,36.13,36.71,21.1941,1582153
2010-01-21,36.82,37.03,35.68,35.79,20.663,1920814
2010-01-22,35.79,36.18,34.73,34.79,20.0856,1397681
2010-01-25,35.14,35.3,33.59,34.3,19.8027,1644475
2010-01-26,34.08,34.64,34.02,34.17,19.7277,966611
2010-01-27,34.09,34.47,33.65,34.24,19.7681,1379169
2010-01-28,34.34,34.34,33.5,33.74,19.4794,695652
2010-01-29,33.89,34.26,33.28,33.49,19.3351,1035907
2010-02-01,33.75,34.28,33.48,34.28,19.7912,659683
2010-02-02,34.29,34.5,33.75,34.31,19.8085,1119246
2010-02-03,34.09,34.27,33.5,33.67,19.439,1104234
2010-02-04,33.29,33.48,32.06,32.65,18.8501,2595011
2010-02-05,33.03,33.95,32.65,33.85,19.5429,2034256
2010-02-08,33.94,34.12,33.05,33.17,19.1503,1860060
2010-02-09,33.71,33.76,32.38,32.56,18.7982,2316833
2010-02-10,32.39,32.94,31.89,32.54,18.7866,717481
2010-02-11,32.47,32.79,32.04,32.66,18.8559,837360
2010-02-12,31.94,32.69,31.71,32.6,19.0916,1107071
2010-02-16,32.91,33.66,32.81,33.64,19.7007,946908
2010-02-17,33.77,33.92,33.52,33.68,19.7241,519990
2010-02-18,33.64,34.29,33.53,34.18,20.0169,1178825
2010-02-19,33.86,34.43,33.86,34.29,20.0813,674542
2010-02-22,34.43,34.43,33.73,33.92,19.8646,697254
2010-02-23,33.87,34.04,33.48,33.53,19.6363,1055333
2010-02-24,33.72,34.23,33.48,34.23,20.0462,774473
2010-02-25,33.84,34.48,33.51,34.4,20.1458,684986
2010-02-26,34.49,34.98,34.21,34.67,20.3039,1198575
2010-03-01,34.76,35.4,34.64,35.32,20.6845,1171902
2010-03-02,35.37,35.41,35.08,35.37,20.7138,860912
2010-03-03,35.57,35.61,35.21,35.31,20.6787,554303
2010-03-04,35.34,35.56,35.29,35.45,20.7607,564523
2010-03-05,35.67,36.54,35.46,36.39,21.3112,970590
2010-03-08,36.29,36.92,36.16,36.78,21.5396,635080
2010-03-09,36.61,37.66,36.54,37.04,21.6918,1593324
2010-03-10,37.04,37.22,36.59,36.81,21.5571,1062432
2010-03-11,36.57,37.06,36.44,36.89,21.604,943652
2010-03-12,37.13,37.78,37.04,37.57,22.0022,895715
2010-03-15,37.54,37.65,36.86,37.41,21.9085,726050
2010-03-16,37.62,38.82,37.41,38.67,22.6464,952543
2010-03-17,38.84,39.6,38.77,39.37,23.0563,1373097
2010-03-18,39.13,39.71,38.99,38.99,22.8338,762943
2010-03-19,39.05,39.21,38.22,38.32,22.4414,888451
2010-03-22,38.03,39.13,37.99,38.89,22.7752,663758
2010-03-23,38.86,39.17,38.27,38.77,22.705,503392
2010-03-24,38.53,39.05,38.53,38.78,22.7108,621472
2010-03-25,39.1,39.69,39.02,39.05,22.8689,787602
2010-03-26,39.14,39.33,38.52,38.6,22.6054,820913
2010-03-29,38.88,38.88,38.06,38.3,22.4297,759774
2010-03-30,38.26,38.46,37.84,37.88,22.1838,776902
2010-03-31,37.74,37.98,37.36,37.47,21.9436,868254
2010-04-01,37.68,37.73,37.08,37.46,21.9378,647508
2010-04-05,37.61,38.23,37.44,38.22,22.3829,718298
2010-04-06,37.94,39.25,37.83,39.05,22.8689,848479
2010-04-07,38.91,39.3,37.9302,38.12,22.3243,1051055
2010-04-08,38.06,38.17,37.8,37.94,22.2189,722682
2010-04-09,37.94,38.39,37.74,38.3,22.4297,1121340
2010-04-12,38.3,38.42,37.82,37.84,22.1603,651274
2010-04-13,37.91,39.8,37.85,39.52,23.1442,1846157
2010-04-14,39.61,39.69,39.29,39.49,23.1266,1111158
2010-04-15,39.28,39.3,38.57,39.07,22.8807,1246264
2010-04-16,38.9,39.13,38.27,38.38,22.4766,1684477
2010-04-19,38.1,38.6,37.54,38.11,22.3184,917096
2010-04-20,38.54,38.61,37.92,38.55,22.5761,747221
2010-04-21,38.48,39.57,38.48,39.45,23.1032,1708439
2010-04-22,39.02,40.03,38.89,39.86,23.3433,648086
2010-04-23,39.85,40.4,39.5,40.39,23.6537,1051743
2010-04-26,40.36,40.91,40.19,40.62,23.7884,805632
2010-04-27,40.34,40.82,39.4,39.41,23.0798,1159716
2010-04-28,39.79,40.07,39.32,39.53,23.15,708410
2010-04-29,39.9,42.01,39.9,41.95,24.5673,1330672
2010-04-30,41.92,42.55,41.03,41.05,24.0402,2581232
2010-05-03,41.55,42.47,41.275,41.96,24.5731,1559536
2010-05-04,41.24,41.46,40.09,40.23,23.56,1325777
2010-05-05,39.86,40.37,39.28,39.67,23.232,1496880
2010-05-06,39.89,41.5,37.67,39.65,23.2203,3414963
2010-05-07,40.04,40.63,38.16,38.94,22.8045,2354466
2010-05-10,41.0,41.79,40.47,41.75,24.4501,1802389
2010-05-11,41.15,41.67,40.4,41.38,24.2335,1638709
2010-05-12,41.67,41.84,41.2,41.61,24.3682,1356530
