date,open,high,low,close,adjusted_close,volume
2010-01-04,24.24,24.85,23.97,24.63,24.63,510290
2010-01-05,24.53,25.21,24.51,25.1,25.1,628280
2010-01-06,25.03,25.2,24.53,24.72,24.72,599210
2010-01-07,24.9,25.0,24.25,24.57,24.57,433880
2010-01-08,24.43,24.8,24.15,24.37,24.37,445150
2010-01-11,24.41,24.95,24.29,24.84,24.84,369060
2010-01-12,24.61,24.99,24.41,24.51,24.51,351890
2010-01-13,24.52,24.75,24.25,24.65,24.65,288560
2010-01-14,24.65,24.9,24.55,24.62,24.62,283420
2010-01-15,24.74,24.86,23.7,23.88,23.88,510430
2010-01-19,24.52,25.98,23.55,25.98,25.98,821980
2010-01-20,25.81,25.95,24.59,25.57,25.57,731370
2010-01-21,25.53,26.22,25.37,26.14,26.14,814020
2010-01-22,26.17,26.61,25.78,25.97,25.97,700610
2010-01-25,26.24,26.44,25.64,26.15,26.15,468840
2010-01-26,26.1,26.77,25.78,26.28,26.28,451710
2010-01-27,26.1,27.04,26.1,27.03,27.03,462140
2010-01-28,27.05,27.09,26.09,26.39,26.39,574480
2010-01-29,26.55,27.14,26.52,26.66,26.66,480870
2010-02-01,26.7,26.96,25.9,26.51,26.51,908580
2010-02-02,26.5,28.09,26.22,28.0,28.0,830660
2010-02-03,27.76,28.66,27.38,28.65,28.65,1430000
2010-02-04,28.38,28.6,25.59,25.63,25.63,1080000
2010-02-05,25.75,26.3,25.06,25.73,25.73,720380
2010-02-08,25.84,26.39,25.65,25.77,25.77,432590
2010-02-09,26.15,26.73,25.8,26.26,26.26,440040
2010-02-10,26.25,26.84,25.76,26.57,26.57,346410
2010-02-11,26.37,27.76,25.94,27.76,27.76,826900
2010-02-12,27.42,29.28,27.42,29.27,29.27,868700
2010-02-16,29.28,29.34,28.6,28.74,28.74,452880
2010-02-17,28.99,30.51,28.66,30.46,30.46,1060000
2010-02-18,30.28,30.48,25.66,26.66,26.66,3920000
2010-02-19,26.66,27.04,26.08,26.29,26.29,805680
2010-02-22,26.32,26.45,25.41,25.53,25.53,904940
2010-02-23,25.64,25.88,24.31,24.64,24.64,1230000
2010-02-24,24.62,25.02,24.48,24.85,24.85,558780
2010-02-25,24.48,24.53,24.01,24.34,24.34,613520
2010-02-26,24.34,24.7,24.03,24.46,24.46,512530
2010-03-01,24.53,25.64,24.0,25.37,25.37,627370
2010-03-02,25.39,25.63,24.87,25.21,25.21,687240
2010-03-03,25.32,25.41,24.75,24.98,24.98,640300
2010-03-04,24.95,24.99,24.32,24.81,24.81,572140
2010-03-05,24.89,25.59,24.89,25.51,25.51,693000
2010-03-08,25.38,25.93,25.37,25.47,25.47,359710
2010-03-09,25.27,25.75,24.87,25.65,25.65,412690
2010-03-10,25.58,26.58,25.32,25.78,25.78,558010
2010-03-11,25.7,25.87,25.33,25.5,25.5,431240
2010-03-12,25.66,25.73,24.55,24.69,24.69,917250
2010-03-15,24.58,24.94,24.45,24.78,24.78,388830
2010-03-16,24.93,25.14,24.62,24.76,24.76,309180
2010-03-17,24.84,25.06,24.55,24.58,24.58,270930
2010-03-18,24.55,24.94,24.22,24.69,24.69,315490
2010-03-19,24.63,24.86,23.77,23.77,23.77,985870
2010-03-22,23.76,24.57,23.42,24.36,24.36,513430
2010-03-23,24.44,25.81,24.44,25.72,25.72,726080
2010-03-24,25.66,25.9,25.4,25.4,25.4,495390
2010-03-25,25.68,27.68,25.68,26.56,26.56,878890
2010-03-26,26.72,27.05,25.93,26.23,26.23,354970
2010-03-29,26.32,26.85,26.26,26.8,26.8,361910
2010-03-30,26.75,27.23,26.64,26.94,26.94,388260
2010-03-31,26.77,27.19,26.39,26.49,26.49,409240
2010-04-01,26.59,27.2,26.2,26.58,26.58,267940
2010-04-05,26.6,26.9,26.33,26.9,26.9,171460
2010-04-06,26.69,26.85,26.36,26.64,26.64,394230
2010-04-07,26.66,26.96,25.92,26.31,26.31,332000
2010-04-08,26.15,26.31,25.55,26.03,26.03,534760
