date,open,high,low,close,adjusted_close,volume
2010-01-04,26.82,27.44,26.04,27.12,20.4489,1018816
2010-01-05,27.05,27.51,27.005,27.46,20.7053,1664379
2010-01-06,28.65,29.62,28.24,28.72,21.6553,3041543
2010-01-07,28.58,29.23,28.47,29.23,22.0399,2209220
2010-01-08,28.61,29.27,28.53,29.21,22.0248,1516983
2010-01-11,29.18,29.61,29.17,29.35,22.1304,1648323
2010-01-12,29.13,29.46,28.08,28.31,21.3462,1827327
2010-01-13,28.3,28.49,28.16,28.42,21.4291,1287399
2010-01-14,28.38,28.93,28.26,28.82,21.7307,1192283
2010-01-15,28.83,29.1,28.42,28.56,21.5347,1826323
2010-01-19,28.49,28.94,28.45,28.9,21.7911,917013
2010-01-20,28.61,28.61,27.88,28.12,21.2029,964466
2010-01-21,28.06,28.3,26.98,27.31,20.5922,1951221
2010-01-22,27.08,27.3492,26.55,26.61,20.0644,1197489
2010-01-25,27.02,27.02,26.02,26.36,19.8759,1437329
2010-01-26,26.2,26.57,26.07,26.42,19.9211,1035848
2010-01-27,26.32,26.95,26.13,26.89,20.2755,1698530
2010-01-28,26.95,27.05,26.44,26.84,20.2378,1781989
2010-01-29,27.43,27.79,26.81,26.92,20.2981,3029758
2010-02-01,26.93,27.04,26.355,26.87,20.2604,1855921
2010-02-02,26.98,27.39,26.84,27.32,20.5997,2305133
2010-02-03,27.21,27.41,26.91,27.04,20.3886,1410002
2010-02-04,26.83,26.83,26.1,26.32,19.8457,2042428
2010-02-05,26.26,26.49,25.86,26.4,19.906,2683953
2010-02-08,26.34,26.46,25.86,26.37,19.8834,2332791
2010-02-09,26.67,26.91,26.38,26.62,20.0719,2084656
2010-02-10,26.6,26.92,26.055,26.8,20.2076,2345015
2010-02-11,26.67,27.28,26.35,27.22,20.5243,1227180
2010-02-12,27.05,27.3,26.73,27.08,20.4188,1311701
2010-02-16,27.27,27.99,27.17,27.92,21.0521,1599825
2010-02-17,28.05,28.24,27.88,28.18,21.2482,1297396
2010-02-18,28.08,28.36,28.03,28.31,21.3462,895749
2010-02-19,28.05,28.88,28.05,28.61,21.5724,1459578
2010-02-22,28.64,28.69,28.04,28.12,21.2029,1257044
2010-02-23,28.0,28.0,27.17,27.3,20.6802,2128711
2010-02-24,27.45,27.71,27.35,27.68,20.9681,1734739
2010-02-25,27.27,27.77,27.01,27.7,20.9833,1325210
2010-02-26,27.88,27.96,27.545,27.9,21.1348,1656643
2010-03-01,28.0,28.88,27.88,28.82,21.8317,1942497
2010-03-02,28.79,29.02,28.63,28.76,21.7862,1563048
2010-03-03,28.8,29.12,28.75,28.77,21.7938,811481
2010-03-04,28.78,29.01,28.74,28.78,21.8014,745586
2010-03-05,29.04,30.05,29.04,29.92,22.6649,2840312
2010-03-08,29.91,30.07,29.65,29.65,22.4604,1632063
2010-03-09,29.59,29.95,29.55,29.86,22.6195,1256755
2010-03-10,29.93,30.4,29.81,30.18,22.8619,1192203
2010-03-11,30.03,30.36,29.85,30.32,22.9679,1184653
2010-03-12,30.37,30.37,29.875,30.15,22.8392,1095859
2010-03-15,30.05,30.31,29.92,30.3,22.9528,797742
2010-03-16,30.35,30.96,30.22,30.83,23.3543,1090200
2010-03-17,30.99,31.76,30.92,31.4,23.7861,1593258
2010-03-18,31.51,31.68,31.27,31.4,23.7861,779882
2010-03-19,31.49,31.7,30.97,31.16,23.6043,1687387
2010-03-22,30.98,31.49,30.83,31.41,23.7936,991053
2010-03-23,31.33,31.58,31.14,31.58,23.9224,859352
2010-03-24,31.53,31.53,30.7,30.86,23.377,952509
2010-03-25,31.17,31.33,30.74,30.75,23.2937,1084877
2010-03-26,30.82,31.29,30.81,30.91,23.4149,899805
2010-03-29,31.03,31.3225,30.86,31.15,23.5967,884219
2010-03-30,31.14,31.26,30.77,31.02,23.4982,708694
2010-03-31,30.91,30.91,30.36,30.43,23.0513,1348486
2010-04-01,30.55,30.91,30.28,30.5,23.1043,823578
2010-04-05,30.73,31.28,30.41,31.18,23.6194,1177544
2010-04-06,31.1,31.62,31.04,31.52,23.877,726095
2010-04-07,31.35,31.39,30.9,31.02,23.4982,1678289
2010-04-08,30.86,30.91,30.53,30.87,23.3846,1236992
2010-04-09,30.98,31.17,30.76,31.11,23.5664,1147397
2010-04-12,31.21,31.22,30.76,31.12,23.574,1198564
2010-04-13,31.02,31.29,30.88,31.17,23.6118,1053678
2010-04-14,31.12,31.29,30.98,31.29,23.7027,1242304
2010-04-15,31.05,31.55,31.05,31.29,23.7027,1362675
2010-04-16,31.12,31.19,30.53,30.66,23.2255,1286957
2010-04-19,30.57,30.72,30.07,30.52,23.1195,1011518
2010-04-20,30.79,30.95,30.5,30.7,23.2558,772318
2010-04-21,30.69,31.59,30.69,31.04,23.5134,1915317
2010-04-22,30.86,31.97,30.71,31.92,24.18,2616928
2010-04-23,32.0,32.18,31.69,32.16,24.3618,1697638
2010-04-26,32.17,32.23,31.85,31.89,24.1573,1507188
