date,open,high,low,close,adjusted_close,volume
2010-01-04,23.94,24.29,23.74,24.27,13.1135,897028
2010-01-05,24.26,24.67,24.11,24.66,13.3242,831298
2010-01-06,24.52,25.07,24.36,25.01,13.5133,1135779
2010-01-07,24.9,24.95,24.59,24.86,13.4323,1046949
2010-01-08,24.77,24.88,24.33,24.59,13.2864,694564
2010-01-11,24.8,24.8,24.25,24.53,13.254,752953
2010-01-12,24.23,24.4,23.71,24.05,12.9946,693718
2010-01-13,24.86,25.0,24.4101,24.95,13.4809,1106614
2010-01-14,25.01,25.21,24.8,25.11,13.5674,726895
2010-01-15,25.03,25.24,24.75,24.8,13.3999,808519
2010-01-19,24.78,25.2,24.72,25.05,13.5349,504166
2010-01-20,24.74,25.3148,24.7,25.13,13.5782,945358
2010-01-21,25.28,27.03,25.28,26.72,14.4373,2915998
2010-01-22,26.54,26.89,26.201,26.45,14.2914,2465979
2010-01-25,26.69,26.76,25.75,26.28,14.1995,1021186
2010-01-26,26.16,26.7,26.03,26.06,14.0807,1080186
2010-01-27,26.06,26.35,25.72,26.26,14.1887,1248709
2010-01-28,26.38,26.38,25.5,25.69,13.8807,1117764
2010-01-29,25.79,26.25,25.14,25.31,13.6754,1372423
2010-02-01,25.41,25.71,25.24,25.58,13.8213,2106576
2010-02-02,25.65,26.58,25.62,26.36,14.2427,1239676
2010-02-03,26.45,27.31,26.45,26.73,14.4427,2370459
2010-02-04,26.49,26.66,25.56,25.56,13.8105,1688034
2010-02-05,25.61,25.82,24.7,25.17,13.5998,2650182
2010-02-08,25.19,25.52,24.8,25.26,13.6484,1080237
2010-02-09,25.63,25.87,25.4,25.54,13.7997,1268757
2010-02-10,25.42,26.07,25.39,25.75,13.9132,1081342
2010-02-11,25.63,25.8,25.47,25.65,13.8591,946750
2010-02-12,25.3,25.93,25.3,25.91,13.9996,874083
2010-02-16,26.07,26.37,25.71,26.29,14.2049,706257
2010-02-17,26.33,26.48,26.18,26.43,14.2806,1345699
