date,open,high,low,close,adjusted_close,volume
2010-01-04,42.77,42.93,42.3,42.69,9.2514,15746156
2010-01-05,42.84,43.5,42.61,43.47,9.4204,9369400
2010-01-06,43.26,44.15,43.15,44.14,9.5656,13144468
2010-01-07,45.66,46.44,45.56,45.95,9.9579,23984776
2010-01-08,45.02,45.34,44.78,45.06,9.765,15950116
2010-01-11,45.2,45.34,44.52,45.28,9.8127,10197976
2010-01-12,45.17,45.5,45.05,45.45,9.8495,9478312
2010-01-13,45.66,46.06,45.5,45.93,9.9536,7984648
2010-01-14,45.73,45.88,45.53,45.6,9.882,8125588
2010-01-15,45.79,45.81,44.8,44.88,9.726,6539560
2010-01-19,44.94,45.86,44.93,45.78,9.921,6685088
2010-01-20,45.56,45.66,44.84,45.26,9.8084,5241584
2010-01-21,45.37,45.56,44.36,44.43,9.6285,8159716
2010-01-22,44.14,44.82,43.775,43.83,9.4985,9143304
2010-01-25,44.14,44.56,44.01,44.35,9.6111,10186380
2010-01-26,44.2,45.4,44.04,45.2,9.7954,10211464
2010-01-27,45.54,46.06,44.85,46.01,9.9709,12769360
2010-01-28,46.12,46.15,45.46,46.03,9.9752,13791472
2010-01-29,46.12,46.925,45.9268,45.93,9.9536,13900260
2010-02-01,46.27,46.81,46.0,46.5,10.0771,9601628
2010-02-02,46.37,47.0,46.23,46.83,10.1486,10828480
2010-02-03,46.61,46.71,45.85,46.2,10.0121,12430244
2010-02-04,45.18,46.08,45.04,45.2,9.7954,13031568
2010-02-05,45.37,46.14,45.25,45.97,9.9622,11873400
2010-02-08,45.45,46.14,44.92,45.19,9.7932,8436568
2010-02-09,45.68,45.9,45.14,45.54,9.869,7817364
2010-02-10,45.51,45.82,45.17,45.31,9.8192,7723324
2010-02-11,45.49,46.37,45.25,46.2,10.0121,7793504
2010-02-12,46.04,46.47,45.65,46.43,10.0619,6904584
2010-02-16,46.67,46.8,46.24,46.61,10.1009,5942424
2010-02-17,46.68,47.1,46.59,47.09,10.2401,5645268
2010-02-18,47.24,47.39,46.87,47.1,10.2423,4888268
2010-02-19,46.93,47.26,46.57,47.1,10.2423,6316304
2010-02-22,47.05,47.3002,46.61,47.15,10.2531,7892840
2010-02-23,47.15,47.28,46.61,47.02,10.2249,8288560
2010-02-24,47.3,48.19,47.01,48.14,10.4684,7453588
2010-02-25,47.85,48.98,47.52,48.87,10.6272,9108020
2010-02-26,49.03,49.07,48.55,48.915,10.637,8029496
2010-03-01,49.06,49.41,48.37,49.3,10.7207,8996592
2010-03-02,49.45,49.62,49.19,49.28,10.7163,10063464
2010-03-03,49.44,49.65,49.21,49.45,10.7533,7550872
2010-03-04,50.0,51.55,49.67,51.06,11.1034,15166980
2010-03-05,51.18,51.41,50.76,51.14,11.1208,12360920
2010-03-08,51.09,51.87,50.96,51.79,11.2621,7447016
2010-03-09,51.79,51.89,51.33,51.48,11.1947,10383828
2010-03-10,51.68,52.22,51.58,52.07,11.323,9565100
2010-03-11,51.86,52.68,51.58,52.61,11.4405,11039948
2010-03-12,52.58,52.96,52.39,52.92,11.5079,6421060
2010-03-15,52.93,53.72,52.59,53.55,11.6449,8616928
2010-03-16,53.55,54.31,53.54,54.21,11.7884,8392952
2010-03-17,54.35,54.5,53.67,53.96,11.734,9939948
2010-03-18,53.42,53.95,51.82,52.15,11.3404,19119260
2010-03-19,52.145,54.0722,52.1,54.07,11.7579,20169924
2010-03-22,53.9,54.98,53.8,54.69,11.8928,8683032
2010-03-23,54.7,54.72,53.78,54.26,11.7993,10936788
2010-03-24,54.26,54.26,53.36,53.58,11.6514,8197760
2010-03-25,53.66,54.14,53.51,53.74,11.6862,7838868
2010-03-26,52.9,53.67,52.81,53.61,11.6579,11890424
2010-03-29,53.61,53.85,53.08,53.48,11.6296,5477208
2010-03-30,53.56,53.81,53.06,53.28,11.5862,9963004
2010-03-31,52.5,53.82,52.5,53.47,11.6275,7000272
2010-04-01,53.82,54.11,53.15,53.42,11.6166,6247020
2010-04-05,53.74,55.13,53.69,54.97,11.9537,8811700
2010-04-06,54.97,55.1,54.25,54.68,11.8906,8561116
2010-04-07,54.65,54.91,53.85,54.14,11.7732,9813408
2010-04-08,55.3,56.54,54.93,56.11,12.2016,18852376
2010-04-09,56.265,56.4,55.53,55.88,12.1515,7982440
2010-04-12,56.05,56.3,55.48,56.01,12.1798,6168388
2010-04-13,56.0,56.63,55.875,56.52,12.2907,6844456
2010-04-14,56.34,56.52,55.95,56.43,12.2711,4638688
2010-04-15,56.37,56.815,56.0,56.63,12.3146,5435488
2010-04-16,56.62,56.88,55.89,56.42,12.269,7432112
2010-04-19,56.35,56.63,55.33,56.06,12.1907,6867544
2010-04-20,56.47,56.94,56.11,56.7,12.3299,7978088
2010-04-21,56.72,57.52,56.47,57.12,12.4212,7156808
2010-04-22,57.0,58.55,56.74,58.4,12.6995,8208788
2010-04-23,58.67,58.86,57.76,58.51,12.7235,5050088
2010-04-26,58.75,58.93,58.19,58.4,12.6995,3826892
2010-04-27,58.12,58.6,57.04,57.13,12.4234,8737760
2010-04-28,57.29,57.63,56.077,56.28,12.2385,7038708
2010-04-29,56.62,57.53,56.3,57.29,12.4582,5585420
2010-04-30,57.52,57.59,55.84,56.0,12.1776,8547728
2010-05-03,56.07,57.45,55.795,57.02,12.3994,4131220
2010-05-04,56.62,56.77,54.87,55.06,11.9732,9151824
2010-05-05,54.85,56.07,54.35,55.0,11.9602,9809128
2010-05-06,52.83,53.61,51.0,52.88,11.4992,17253068
2010-05-07,52.45,53.58,51.17,51.5,11.1991,10995448
2010-05-10,52.79,53.87,52.75,53.86,11.7123,7911368
2010-05-11,53.61,54.74,52.84,54.08,11.7601,6050728
2010-05-12,54.05,54.35,53.71,54.26,11.7993,5027856
2010-05-13,54.15,54.26,52.56,52.76,11.4731,5654992
2010-05-14,52.53,52.76,51.95,52.29,11.3709,7369704
2010-05-17,52.27,53.06,51.43,53.02,11.5296,7917884
2010-05-18,52.36,53.08,51.59,51.78,11.26,12409324
2010-05-19,51.6,52.52,51.46,51.73,11.2491,8056076
2010-05-20,50.41,53.07,50.09,52.275,11.3676,16757416
2010-05-21,52.75,53.52,51.23,52.55,11.4274,12618188
2010-05-24,52.55,52.65,51.82,52.3,11.373,7162580
2010-05-25,51.29,53.02,50.86,52.85,11.4926,9417432
2010-05-26,53.36,53.66,51.81,52.09,11.3274,7655184
2010-05-27,53.0,53.37,52.22,53.17,11.5622,5759424
2010-05-28,53.41,53.49,52.02,52.4,11.3948,9551300
2010-06-01,52.3,53.59,52.28,52.67,11.4535,7612084
2010-06-02,52.76,54.43,52.42,54.4,11.8297,8942668
2010-06-03,55.36,57.9,55.0,56.19,12.255,14986188
2010-06-04,55.46,56.4,54.38,54.625,11.9137,10084196
2010-06-07,54.75,55.38,53.04,53.11,11.5833,8049268
2010-06-08,53.04,54.75,52.56,54.6,11.9082,11899600
2010-06-09,54.94,56.61,54.815,55.6,12.1263,13637600
2010-06-10,56.28,57.58,55.94,57.47,12.5342,10702868
2010-06-11,56.74,58.06,56.7202,57.33,12.5036,8393388
2010-06-14,57.92,57.92,56.8,56.97,12.4251,7840296
2010-06-15,57.02,57.68,56.55,57.58,12.5582,5908268
2010-06-16,57.31,57.82,57.0,57.45,12.5298,4490996
2010-06-17,57.72,57.985,56.77,57.69,12.5821,8669324
2010-06-18,57.9,58.16,57.18,57.31,12.4993,7495696
2010-06-21,57.81,58.005,56.01,56.39,12.2986,5379236
2010-06-22,56.38,57.17,55.12,55.27,12.0543,6317660
2010-06-23,55.28,55.79,54.63,55.41,12.0849,6314140
2010-06-24,55.13,55.68,54.65,55.06,12.0085,5533472
2010-06-25,55.16,55.36,54.395,54.51,11.8886,7367564
2010-06-28,54.61,55.09,54.04,54.67,11.9235,5688296
2010-06-29,54.18,54.34,53.09,53.4,11.6465,6702892
2010-06-30,53.19,54.53,53.17,53.29,11.6225,8052464
2010-07-01,53.18,54.99,52.74,54.75,11.9409,11190756
2010-07-02,54.93,55.51,54.18,54.26,11.8341,7737620
2010-07-06,54.81,55.77,53.76,54.65,11.9191,7876124
2010-07-07,55.0,56.01,54.4,55.35,12.0718,11216592
2010-07-08,55.25,55.26,52.96,54.03,11.7839,14129620
2010-07-09,54.1,54.24,53.45,54.09,11.797,5312272
2010-07-12,53.98,54.88,53.52,53.75,11.7228,4965996
2010-07-13,54.11,54.54,53.76,54.3,11.8428,6652564
2010-07-14,54.41,54.82,53.65,54.21,11.8232,5799696
2010-07-15,54.41,54.93,53.75,54.79,11.9497,5933892
2010-07-16,54.65,54.75,53.0,53.05,11.5702,7971420
2010-07-19,53.21,53.88,53.15,53.39,11.6443,5314056
2010-07-20,52.71,54.51,52.56,54.4,11.8646,6045088
2010-07-21,54.51,54.75,53.24,53.47,11.6618,7538748
2010-07-22,53.8,55.09,53.661,54.85,11.9627,5704828
2010-07-23,54.96,55.76,54.63,55.65,12.1372,5027440
2010-07-26,55.65,55.96,55.0,55.88,12.1874,4617156
2010-07-27,55.82,55.91,53.63,54.13,11.8057,10548360
2010-07-28,53.96,54.55,53.05,53.25,11.6138,7752120
2010-07-29,53.55,53.79,51.38,52.34,11.4153,10442868
2010-07-30,51.91,52.87,51.4926,52.66,11.4851,7596500
2010-08-02,52.99,53.32,51.8,52.65,11.4829,8063364
2010-08-03,52.64,52.87,51.02,51.93,11.3259,9270856
2010-08-04,52.24,52.93,52.085,52.91,11.5396,6615208
2010-08-05,52.21,52.5,48.71,50.62,11.0402,17227184
2010-08-06,48.82,50.47,48.82,50.22,10.9529,10760148
2010-08-09,50.61,51.68,50.54,51.38,11.2059,6565404
2010-08-10,51.14,51.41,50.66,50.99,11.1209,5318884
2010-08-11,50.5,50.54,49.74,49.8,10.8613,7600868
2010-08-12,49.36,50.03,49.0,49.62,10.8221,6041904
2010-08-13,49.09,49.89,49.01,49.03,10.6934,8844896
2010-08-16,48.83,49.74,48.75,49.41,10.7763,4709736
2010-08-17,49.87,50.15,49.49,49.67,10.833,5636496
2010-08-18,49.41,51.06,49.05,50.91,11.1034,7929880
2010-08-19,50.79,51.86,49.33,50.28,10.966,12843516
2010-08-20,50.08,50.13,48.91,49.81,10.8635,8064556
2010-08-23,50.01,51.4,49.95,50.54,11.0227,7366388
2010-08-24,50.06,50.09,49.0,49.62,10.8221,8296828
2010-08-25,49.36,51.03,49.23,50.82,11.0838,5994552
2010-08-26,50.85,50.99,50.01,50.17,10.942,4577296
2010-08-27,50.38,51.145,49.5,50.95,11.1122,5708184
2010-08-30,50.7,50.73,49.86,50.36,10.9835,5950036
2010-08-31,49.1,50.71,49.1,49.63,10.8588,12382220
2010-09-01,50.38,51.5,49.92,51.1,11.1804,10790300
2010-09-02,51.43,52.445,51.1,52.2,11.4211,7606280
2010-09-03,52.92,53.0,52.11,52.6,11.5086,4855092
2010-09-07,52.43,52.57,51.48,51.58,11.2854,5019704
2010-09-08,51.74,52.25,51.66,51.77,11.327,4390560
2010-09-09,52.23,52.43,51.51,51.75,11.3226,4019892
2010-09-10,51.88,52.35,51.65,52.15,11.4101,4120768
2010-09-13,52.47,53.02,52.39,52.93,11.5808,3251736
2010-09-14,52.96,53.91,52.8,53.65,11.7383,4595440
2010-09-15,53.21,54.22,53.21,54.065,11.8291,6335880
2010-09-16,54.0,54.2,53.5,53.99,11.8127,4064920
2010-09-17,54.27,54.31,53.57,53.91,11.7952,6123948
2010-09-20,54.01,54.77,53.53,54.53,11.9309,5549256
2010-09-21,54.14,54.46,53.27,53.89,11.7908,6431672
2010-09-22,54.04,55.03,53.52,54.86,12.0031,7646508
2010-09-23,54.58,56.12,54.39,55.89,12.2284,8195492
2010-09-24,56.31,56.62,55.91,56.44,12.3488,5217260
2010-09-27,56.25,56.34,55.25,55.43,12.1278,5680036
2010-09-28,55.68,56.5,54.99,56.15,12.2853,10751296
2010-09-29,55.92,56.06,55.36,55.66,12.1781,6570272
2010-09-30,55.9,56.22,54.1,54.66,11.9593,9621504
2010-10-01,55.15,55.45,54.62,55.02,12.0381,6860136
2010-10-04,54.75,54.96,53.93,54.45,11.9134,7673672
2010-10-05,54.77,54.94,53.4,54.26,11.8718,11971544
2010-10-06,54.04,54.32,53.31,54.32,11.8849,12976032
2010-10-07,55.82,56.62,55.095,55.42,12.1256,14444356
2010-10-08,55.4,56.41,55.22,55.74,12.1956,6989212
2010-10-11,55.66,56.29,55.43,56.09,12.2722,5851748
2010-10-12,55.9,56.46,55.46,56.17,12.2897,6053748
2010-10-13,56.49,56.49,55.33,55.78,12.2044,5760796
2010-10-14,55.78,56.32,55.575,55.96,12.2437,4812704
