date,open,high,low,close,adjusted_close,volume
2010-01-04,28.58,28.78,28.37,28.68,20.7625,1425461
2010-01-05,28.64,28.72,28.49,28.72,20.7915,1204479
2010-01-06,28.65,28.97,28.52,28.94,20.9508,1833386
2010-01-07,28.86,29.05,28.67,28.89,20.9146,1648351
2010-01-08,28.79,28.99,28.48,28.93,20.9435,1375308
2010-01-11,29.15,29.43,28.78,28.92,20.9363,2301541
2010-01-12,28.8,28.91,28.54,28.88,20.9073,1279882
2010-01-13,28.96,29.34,28.88,29.28,21.1969,1198288
2010-01-14,29.2,29.3,28.99,29.22,21.1535,1439633
2010-01-15,29.21,29.26,28.36,28.38,20.5454,2361724
2010-01-19,28.35,28.68,28.33,28.59,20.6974,1575726
2010-01-20,28.33,28.36,28.0,28.31,20.4947,1295347
2010-01-21,28.51,29.01,28.11,28.2,20.415,2566030
2010-01-22,28.0,28.28,27.54,27.58,19.9662,2158763
2010-01-25,27.7,27.83,27.11,27.43,19.8576,2386559
2010-01-26,27.27,27.36,26.93,26.95,19.5101,2258791
2010-01-27,26.87,27.0925,26.62,27.04,19.5753,1682631
2010-01-28,27.09,27.1,26.5,26.9,19.4739,2021694
2010-01-29,27.11,27.2,26.695,26.79,19.3943,1844549
2010-02-01,26.82,27.08,26.59,27.0,19.5463,1131362
2010-02-02,26.92,27.19,26.8,27.02,19.5608,2238830
2010-02-03,26.88,27.03,26.6,26.75,19.3653,2030192
2010-02-04,26.54,26.64,25.88,25.92,18.7645,3138435
2010-02-05,25.86,26.19,25.15,25.68,18.5907,3907951
2010-02-08,25.68,25.96,25.41,25.62,18.5473,1832150
2010-02-09,25.84,26.14,25.63,25.87,18.7283,1957461
2010-02-10,25.8,26.01,25.56,25.89,18.7428,1842708
2010-02-11,25.75,26.28,25.5,26.22,18.9817,2677458
2010-02-12,26.45,26.45,25.5,26.03,18.8441,5628364
2010-02-16,26.26,27.29,26.21,27.02,19.5608,4363522
2010-02-17,27.24,27.6,27.1,27.42,19.8504,2343467
2010-02-18,27.42,27.71,27.34,27.63,20.0024,2154529
2010-02-19,27.6,28.27,27.47,28.08,20.3282,2898606
2010-02-22,28.3,28.34,27.92,28.0,20.2703,2257013
2010-02-23,28.0,28.15,27.58,27.66,20.0241,2165446
2010-02-24,27.81,28.07,27.47,28.06,20.3137,1845826
2010-02-25,27.78,28.15,27.56,28.14,20.3716,2182309
2010-02-26,28.21,28.44,28.11,28.14,20.3716,1711128
2010-03-01,28.33,28.91,28.32,28.89,20.9146,1716436
2010-03-02,29.03,29.34,29.01,29.31,21.2186,2362397
2010-03-03,29.3,29.44,29.01,29.23,21.1607,1505751
2010-03-04,29.26,29.26,28.87,29.07,21.0449,1680142
2010-03-05,29.3,29.55,29.2,29.51,21.3634,2738694
2010-03-08,29.51,29.54,29.16,29.24,21.1679,1474440
2010-03-09,29.12,29.27,28.88,29.0,20.9942,2319645
2010-03-10,29.06,29.12,28.48,28.72,20.7915,4380324
2010-03-11,28.68,28.835,28.43,28.8,20.8494,2608242
2010-03-12,28.83,29.01,28.69,28.71,20.7843,2354960
2010-03-15,28.7,29.06,28.64,29.04,21.0232,2382387
2010-03-16,29.09,29.09,28.705,28.84,20.8784,2965839
2010-03-17,28.94,29.04,28.72,28.84,20.8784,2725076
2010-03-18,28.92,28.96,28.75,28.85,20.8856,2450415
2010-03-19,28.91,29.0,28.39,28.55,20.6684,3551444
2010-03-22,28.47,28.63,28.322,28.55,20.6684,2848525
2010-03-23,28.56,29.0,28.48,28.88,20.9073,2448251
2010-03-24,28.86,29.0,28.67,28.84,20.8784,2735937
2010-03-25,28.96,29.06,28.73,28.76,20.8205,2519211
2010-03-26,28.77,29.03,28.68,28.97,20.9725,2710272
2010-03-29,29.07,29.25,28.98,29.22,21.1535,3546091
2010-03-30,29.2,29.25,29.0075,29.13,21.2263,1625318
2010-03-31,29.06,29.16,28.79,29.02,21.1462,2306653
2010-04-01,29.26,29.49,29.03,29.18,21.2628,1587631
2010-04-05,29.32,29.5,29.18,29.39,21.4158,1499651
2010-04-06,29.41,29.76,29.28,29.75,21.6781,1709006
2010-04-07,29.62,29.79,29.48,29.68,21.6271,1774663
2010-04-08,29.68,29.84,29.53,29.79,21.7073,1848487
2010-04-09,29.89,29.95,29.695,29.95,21.8238,1709537
2010-04-12,30.07,30.07,29.87,29.99,21.853,1856916
2010-04-13,30.0,30.0,29.66,29.94,21.8166,1952695
2010-04-14,30.01,30.23,29.76,30.12,21.9477,3412040
2010-04-15,30.52,30.81,30.07,30.69,22.3631,3530080
2010-04-16,30.65,30.91,30.26,30.38,22.1372,3472766
2010-04-19,30.36,30.45,29.91,30.29,22.0716,1925913
2010-04-20,30.35,30.58,30.28,30.49,22.2173,2481657
2010-04-21,30.45,30.61,30.25,30.44,22.1809,2106158
2010-04-22,30.27,30.34,29.96,30.28,22.0643,2301702
2010-04-23,30.18,30.52,29.99,30.27,22.057,3829632
2010-04-26,30.3,30.77,30.27,30.59,22.2902,2319091
2010-04-27,30.35,30.39,29.56,29.62,21.5834,3804599
