date,open,high,low,close,adjusted_close,volume
2010-01-04,20.76,20.81,20.28,20.64,19.0149,1880130
2010-01-05,20.66,21.06,20.49,20.89,19.2452,1568111
2010-01-06,20.82,21.41,20.796,21.3,19.623,1245531
2010-01-07,21.8,22.0,21.2,21.24,19.5677,2581891
2010-01-08,21.32,21.51,21.21,21.43,19.7427,2273232
2010-01-11,21.56,21.66,21.4,21.46,19.7704,2347567
2010-01-12,21.4,21.4401,21.04,21.16,19.494,2656899
2010-01-13,21.27,21.44,21.04,21.41,19.7243,1352506
2010-01-14,21.34,21.67,21.32,21.65,19.9454,1147699
2010-01-15,21.72,21.89,21.28,21.41,19.7243,1239088
2010-01-19,21.41,21.75,21.01,21.44,19.7519,2234981
2010-01-20,21.38,21.38,20.92,21.16,19.5578,1301516
2010-01-21,21.14,21.18,20.41,20.48,18.9293,1668821
2010-01-22,20.53,21.17,20.37,20.37,18.8277,2016028
2010-01-25,20.48,20.7,20.4,20.52,18.9663,796208
2010-01-26,20.49,20.77,20.22,20.57,19.0125,879114
2010-01-27,20.49,20.6,20.2,20.39,18.8461,1135154
2010-01-28,20.42,20.55,20.06,20.07,18.5504,1114362
2010-01-29,20.14,20.49,20.03,20.14,18.6151,1939589
2010-02-01,20.3,20.35,19.98,20.19,18.6613,1742690
2010-02-02,20.23,20.89,20.13,20.82,19.2436,1357939
2010-02-03,20.84,21.18,20.64,20.68,19.1142,1190128
2010-02-04,20.45,20.49,19.73,19.82,18.3193,1678262
2010-02-05,21.5,22.06,20.12,20.52,18.9663,6011935
2010-02-08,20.46,21.29,20.43,20.95,19.3637,2804090
2010-02-09,21.19,21.19,20.82,20.89,19.3083,2224221
2010-02-10,20.9,21.0,20.6,20.7,19.1327,1458061
2010-02-11,20.67,20.91,20.53,20.87,19.2898,1542684
2010-02-12,20.71,21.02,20.5,21.0,19.41,1706893
2010-02-16,21.1,21.6,20.9,21.59,19.9553,1879191
2010-02-17,21.73,21.78,21.55,21.59,19.9553,1321861
2010-02-18,21.6,21.98,21.59,21.92,20.2603,1537752
2010-02-19,21.87,22.06,21.66,21.79,20.1401,985590
2010-02-22,21.85,22.73,21.78,22.38,20.6855,4185544
2010-02-23,22.38,22.5,22.15,22.32,20.63,1983666
2010-02-24,22.48,22.5,22.23,22.35,20.6577,1331472
2010-02-25,22.1,22.43,21.9,22.41,20.7132,1302736
2010-02-26,22.49,22.49,22.03,22.21,20.5283,945255
2010-03-01,22.38,23.5398,22.26,23.26,21.4988,3154378
2010-03-02,23.24,23.69,23.24,23.43,21.656,1398759
2010-03-03,23.44,23.54,23.2,23.34,21.5728,866743
2010-03-04,23.33,23.45,22.95,23.12,21.3694,775610
2010-03-05,23.19,23.79,23.16,23.79,21.9887,1550302
2010-03-08,23.68,23.82,23.48,23.68,21.887,1490703
2010-03-09,23.52,23.71,23.44,23.52,21.7392,1059670
2010-03-10,23.58,23.58,23.3,23.5,21.7207,1225963
2010-03-11,23.5,23.5699,23.28,23.46,21.6837,1008561
2010-03-12,23.6,23.6,23.24,23.37,21.6005,884934
2010-03-15,23.67,23.67,23.37,23.5,21.7207,656516
2010-03-16,23.49,23.67,23.38,23.63,21.8408,1046641
2010-03-17,23.69,24.09,23.63,24.0,22.1828,1109766
2010-03-18,24.05,24.28,23.99,24.11,22.2845,981057
2010-03-19,24.45,24.45,23.6,23.61,21.8223,1714481
2010-03-22,23.55,24.09,23.42,24.06,22.2383,1017601
2010-03-23,24.05,24.24,23.82,24.19,22.3584,683352
2010-03-24,24.09,24.18,23.91,23.98,22.1643,849376
2010-03-25,24.11,24.21,23.86,23.9,22.0904,1186900
2010-03-26,23.95,24.13,23.82,24.0,22.1828,1113948
2010-03-29,24.09,24.3,24.06,24.23,22.3954,737727
2010-03-30,24.23,24.44,24.14,24.31,22.4693,602862
2010-03-31,24.26,24.3,23.88,23.9,22.0904,863367
2010-04-01,24.0,24.15,23.915,24.15,22.3215,1344811
2010-04-05,24.29,24.35,24.03,24.2,22.3677,1191808
2010-04-06,24.1,24.17,23.9,24.01,22.1921,966639
2010-04-07,24.02,24.07,23.81,23.88,22.0719,916966
2010-04-08,23.73,23.82,23.5,23.67,21.8778,1367882
2010-04-09,23.66,23.87,23.66,23.8,21.998,2262481
2010-04-12,23.84,23.94,23.75,23.76,21.961,407325
2010-04-13,23.76,23.82,23.59,23.74,21.9425,637546
2010-04-14,23.45,23.9,23.24,23.82,22.0815,965090
2010-04-15,23.81,23.95,23.77,23.87,22.1279,938875
2010-04-16,23.79,24.04,23.46,23.5,21.7849,1475291
2010-04-19,23.47,23.645,23.33,23.44,21.7293,1433767
2010-04-20,23.53,23.99,23.52,23.99,22.2391,1527883
2010-04-21,23.92,24.03,23.74,23.94,22.1928,1279154
2010-04-22,23.73,24.0,23.48,23.88,22.1372,1726270
2010-04-23,23.93,23.96,23.64,23.83,22.0908,1796638
2010-04-26,23.85,23.96,23.71,23.74,22.0074,1330567
2010-04-27,23.63,24.02,23.43,23.45,21.7386,2192743
2010-04-28,23.64,24.76,23.59,24.61,22.8139,3568191
2010-04-29,24.86,25.22,24.72,25.12,23.2867,2816584
2010-04-30,25.16,25.45,24.935,25.05,23.2218,1971650
2010-05-03,25.09,25.33,25.01,25.19,23.3516,1927561
2010-05-04,24.95,24.95,24.27,24.33,22.5543,2066394
2010-05-05,24.18,24.34,23.92,24.0,22.2484,2049971
2010-05-06,23.94,24.1,21.76,23.02,21.3399,2920786
2010-05-07,23.51,23.62,21.32,22.23,20.6076,5277633
2010-05-10,23.12,23.62,22.79,23.46,21.7478,2027259
2010-05-11,23.22,23.665,23.04,23.06,21.377,2114391
2010-05-12,23.07,23.61,23.04,23.55,21.8313,1566707
2010-05-13,23.55,23.76,23.25,23.31,21.6088,1300703
2010-05-14,23.19,23.19,22.5,22.71,21.0526,1847818
2010-05-17,22.75,22.91,22.285,22.78,21.1174,1361389
2010-05-18,22.89,23.1,22.69,22.73,21.0711,2621275
2010-05-19,22.57,23.18,22.52,23.06,21.377,3763699
2010-05-20,22.59,22.72,21.97,22.03,20.4222,3621341
2010-05-21,21.76,22.2,21.38,22.01,20.4036,2400739
2010-05-24,21.87,22.2,21.81,21.84,20.2461,1818236
2010-05-25,21.35,21.78,21.0,21.76,20.1719,3169348
2010-05-26,21.89,22.4,21.82,21.97,20.3666,2328785
2010-05-27,22.34,23.1,22.29,23.08,21.3956,1573497
2010-05-28,23.02,23.04,22.61,22.69,21.034,1412650
2010-06-01,22.37,22.81,22.17,22.22,20.5983,1162411
2010-06-02,22.34,22.73,22.04,22.73,21.0711,1395337
2010-06-03,22.85,23.07,22.76,23.0,21.3214,1016426
2010-06-04,22.35,22.51,21.65,21.72,20.1348,2152464
2010-06-07,21.81,21.89,21.29,21.31,19.7547,1326639
2010-06-08,21.32,21.47,21.19,21.36,19.8011,2716093
2010-06-09,21.55,22.355,21.52,21.79,20.1997,3786484
2010-06-10,22.09,22.55,22.0,22.48,20.8393,1036202
2010-06-11,22.27,22.65,22.2,22.58,20.932,767824
2010-06-14,22.7,22.91,22.43,22.45,20.8115,1435450
2010-06-15,22.66,22.89,22.53,22.85,21.1823,1473249
2010-06-16,22.7,23.06,22.57,22.96,21.2843,1480167
2010-06-17,23.03,23.09,22.65,22.94,21.2658,782110
2010-06-18,22.88,23.0101,22.66,22.72,21.0618,1193455
2010-06-21,22.93,23.21,22.78,22.9,21.2287,1185255
2010-06-22,22.96,23.08,22.46,22.53,20.8857,1432673
2010-06-23,22.52,22.54,22.1,22.24,20.6169,700233
2010-06-24,22.1,22.15,21.36,21.43,19.866,2975843
2010-06-25,21.46,21.99,21.315,21.9,20.3017,3739305
2010-06-28,21.87,22.015,21.58,21.82,20.2275,1050254
2010-06-29,21.5,21.5,20.76,20.87,19.3468,1131006
2010-06-30,20.75,21.04,20.61,20.67,19.1614,921344
2010-07-01,20.69,20.69,19.69,19.81,18.3642,2632445
2010-07-02,19.94,19.96,19.55,19.65,18.2159,1852954
2010-07-06,19.98,20.2,19.34,19.55,18.1232,1864950
2010-07-07,19.63,19.63,19.17,19.53,18.1046,2686317
2010-07-08,19.68,19.74,19.45,19.73,18.29,2460355
2010-07-09,19.79,19.79,19.47,19.59,18.1603,2088419
2010-07-12,19.58,19.58,19.22,19.47,18.049,1449845
2010-07-13,19.62,20.0,19.49,19.66,18.2252,1880590
2010-07-14,19.65,19.69,19.2,19.52,18.0954,1902019
2010-07-15,19.55,19.67,19.27,19.5,18.0768,1569901
2010-07-16,19.36,19.52,19.0,19.06,17.6689,1907504
2010-07-19,19.11,19.17,18.97,19.14,17.7431,1800112
2010-07-20,18.9,19.26,18.69,19.23,17.8265,2136928
2010-07-21,19.21,19.34,18.88,18.89,17.5753,1531242
2010-07-22,19.26,19.78,19.17,19.62,18.2545,2349619
2010-07-23,19.62,19.8,19.4,19.62,18.2545,1359086
2010-07-26,19.65,20.17,19.51,19.99,18.5988,1773627
2010-07-27,19.98,19.98,19.25,19.35,18.0033,2023851
2010-07-28,19.39,19.6,19.28,19.48,18.1243,2469110
2010-07-29,19.59,19.67,18.91,19.24,17.901,2569400
2010-07-30,19.07,19.54,18.99,19.46,18.1057,1755598
2010-08-02,19.7,20.08,19.65,20.04,18.6453,1821359
2010-08-03,19.78,20.01,19.46,19.75,18.3755,1000217
