date,open,high,low,close,adjusted_close,volume
2010-01-04,34.35,35.81,34.1924,35.17,33.6209,1885340
2010-01-05,35.44,36.03,35.18,36.01,34.4239,1851095
2010-01-06,35.95,36.02,35.29,35.94,34.3569,2036074
2010-01-07,35.7,36.68,35.53,36.45,34.8445,3020795
2010-01-08,36.51,36.67,36.1,36.49,34.8827,1032754
2010-01-11,36.71,37.0,36.49,36.74,35.1217,1192926
2010-01-12,36.29,36.47,35.14,35.33,33.7738,1115549
2010-01-13,35.59,36.36,35.43,36.28,34.682,1148990
2010-01-14,36.09,36.91,36.09,36.41,34.8062,1356234
2010-01-15,36.55,37.12,36.4,36.65,35.0357,1511815
2010-01-19,36.79,37.0,36.53,36.72,35.1026,949421
2010-01-20,36.58,36.66,36.12,36.31,34.7106,1161497
2010-01-21,36.52,36.9,35.94,36.13,34.5386,2049636
2010-01-22,36.18,36.74,34.41,34.5,32.9804,1693026
2010-01-25,35.12,35.562,34.22,34.69,33.162,2270750
2010-01-26,34.76,34.7825,33.615,34.25,32.7414,1852161
2010-01-27,34.26,34.71,33.57,34.57,33.0473,1673929
2010-01-28,34.49,34.56,33.36,33.69,32.206,1470101
2010-01-29,33.98,34.23,32.75,33.09,31.6325,1883098
2010-02-01,33.21,34.16,32.8,34.06,32.5597,1451892
2010-02-02,34.28,34.28,33.33,34.06,32.5597,1042837
2010-02-03,33.96,34.19,33.04,33.16,31.6994,1448703
2010-02-04,33.05,33.0604,31.75,31.82,30.4184,2081443
2010-02-05,31.76,31.86,30.6375,31.79,30.3897,2307408
2010-02-08,31.85,32.59,31.22,32.18,30.7626,1272782
2010-02-09,32.43,33.16,32.17,32.97,31.5178,1924733
2010-02-10,32.79,33.25,32.34,33.24,31.7759,1427567
2010-02-11,33.0,33.94,32.8,33.81,32.3208,1721422
2010-02-12,33.52,34.03,33.145,33.95,32.4546,1793653
2010-02-16,33.94,34.38,33.79,34.33,32.8179,1147157
2010-02-17,34.29,34.54,34.15,34.33,32.8179,1138750
2010-02-18,34.41,34.48,34.13,34.45,32.9326,1981255
2010-02-19,34.38,34.98,34.31,34.78,33.248,1170162
2010-02-22,34.75,34.75,34.1275,34.22,32.7127,1840618
2010-02-23,34.31,34.41,33.89,34.38,32.8657,1803334
2010-02-24,34.33,34.89,34.22,34.89,33.3532,1749159
2010-02-25,34.41,35.6,34.32,35.44,33.879,2432002
2010-02-26,35.59,35.59,33.57,35.36,33.8025,2250328
2010-03-01,35.69,36.04,35.4,35.54,33.9746,1257802
2010-03-02,35.49,35.93,35.27,35.42,33.8598,1701221
2010-03-03,35.5,35.95,35.42,35.65,34.0797,846748
2010-03-04,35.77,35.98,35.489,35.71,34.1371,2482824
2010-03-05,35.75,35.98,35.56,35.72,34.1466,2223311
2010-03-08,35.29,35.95,35.23,35.35,33.7929,1617931
2010-03-09,35.2,36.45,35.2,36.26,34.6628,1537491
2010-03-10,36.4,36.92,36.25,36.67,35.0548,1059070
2010-03-11,36.6,36.71,36.36,36.49,34.8827,866955
2010-03-12,36.51,36.74,36.23,36.26,34.6628,1166258
2010-03-15,36.22,36.36,35.28,35.61,34.0415,2188350
2010-03-16,35.62,36.5,35.5301,36.375,34.7728,1413803
2010-03-17,36.3,36.5,36.19,36.34,34.7393,742693
2010-03-18,36.2,36.46,35.72,35.9,34.3187,1221202
2010-03-19,36.0,36.04,35.23,35.27,33.7165,1021528
2010-03-22,35.06,36.03,34.86,35.79,34.2135,980317
2010-03-23,35.69,36.5,35.61,36.3,34.7011,1558235
2010-03-24,36.07,36.22,35.51,35.69,34.118,1043992
2010-03-25,35.9,36.118,34.57,34.81,33.2767,2673834
2010-03-26,35.04,35.23,34.57,34.83,33.2958,1906836
2010-03-29,35.19,36.35,35.19,35.63,34.0606,1833716
2010-03-30,35.79,36.52,35.75,36.25,34.6533,1360098
2010-03-31,36.29,36.56,36.02,36.07,34.4812,976199
2010-04-01,36.26,36.95,36.26,36.62,35.007,1308529
2010-04-05,36.67,37.03,36.64,36.97,35.3416,1217255
2010-04-06,36.62,36.97,36.37,36.62,35.007,893677
2010-04-07,36.71,36.77,35.59,35.83,34.2518,1287726
2010-04-08,35.56,36.05,35.56,35.93,34.3474,1330560
2010-04-09,36.09,36.59,35.97,36.24,34.6437,1262247
2010-04-12,36.45,36.67,35.69,36.17,34.5768,2550707
2010-04-13,36.01,36.01,35.12,35.55,33.9841,2011733
2010-04-14,35.62,35.69,34.91,35.39,33.8312,1715492
2010-04-15,35.14,35.2,34.77,35.1,33.5539,1768370
2010-04-16,34.86,35.14,34.45,34.82,33.2863,1045817
2010-04-19,34.57,34.695,33.529,34.25,32.7414,2294791
2010-04-20,34.48,35.3,34.26,35.18,33.6304,1953787
2010-04-21,35.25,35.46,35.055,35.35,33.7929,1809467
2010-04-22,35.2,35.94,34.75,35.79,34.2135,1521219
2010-04-23,35.663,36.1,35.51,35.76,34.1849,1909991
2010-04-26,35.81,35.99,35.3,35.8,34.2231,1363033
2010-04-27,35.76,35.91,35.005,35.21,33.6591,1672061
2010-04-28,35.38,35.58,34.54,34.75,33.2194,1371051
2010-04-29,35.26,35.63,35.12,35.5,33.9363,1178775
2010-04-30,35.62,36.1,35.31,35.34,33.7834,935260
2010-05-03,35.41,35.99,35.32,35.8,34.2231,1104625
2010-05-04,35.45,35.5,34.15,34.73,33.2002,2252020
2010-05-05,34.22,34.41,33.21,33.68,32.1965,2321797
2010-05-06,33.66,33.75,31.01,32.81,31.3648,3709526
2010-05-07,32.36,32.88,31.65,32.6105,31.1741,3689646
2010-05-10,34.6,34.62,33.425,33.78,32.2921,3321254
2010-05-11,33.66,33.85,33.24,33.42,31.9479,2168379
2010-05-12,33.48,34.18,33.45,34.11,32.6075,1489671
2010-05-13,34.06,34.65,33.86,34.29,32.7796,1107333
2010-05-14,34.17,34.2,33.32,33.98,32.4833,1583783
2010-05-17,33.85,34.45,33.21,33.97,32.4737,2018517
2010-05-18,34.07,34.32,33.5,33.58,32.1009,1122364
2010-05-19,33.34,33.54,32.445,32.84,31.3935,1845884
2010-05-20,32.33,32.5,31.285,31.5425,30.1531,2588221
2010-05-21,31.21,32.24,31.0,32.03,30.6192,1745163
2010-05-24,31.83,32.19,31.64,31.66,30.2655,1000788
2010-05-25,31.02,32.07,30.47,31.9,30.4949,2433889
2010-05-26,32.27,32.82,32.11,32.33,30.906,4374546
2010-05-27,32.88,33.75,32.6,33.74,32.2538,1395985
2010-05-28,33.68,33.905,32.69,33.03,31.5751,1299232
2010-06-01,32.86,33.42,32.08,32.1,30.6861,1231867
2010-06-02,32.13,33.18,32.13,33.18,31.7185,2321891
2010-06-03,33.0,34.32,32.99,34.3,32.7892,2504201
2010-06-04,33.63,34.12,32.63,32.79,31.3457,2374277
2010-06-07,32.79,33.19,32.33,32.44,31.0111,1256618
2010-06-08,32.45,32.73,31.62,32.26,30.839,1474679
2010-06-09,32.42,32.99,32.11,32.2,30.7817,1039251
2010-06-10,32.73,33.97,32.56,33.97,32.4737,1522280
2010-06-11,33.66,34.99,33.55,34.96,33.4201,1639836
2010-06-14,35.01,35.59,34.56,34.6,33.076,1116391
2010-06-15,34.78,35.63,34.47,35.59,34.0224,1354732
2010-06-16,35.39,35.62,35.19,35.37,33.812,986072
2010-06-17,35.35,35.61,34.66,35.07,33.5253,1122683
2010-06-18,34.99,35.37,34.75,35.33,33.7738,2228789
2010-06-21,35.75,35.94,35.0,35.14,33.5922,1306358
2010-06-22,35.05,35.58,34.515,34.63,33.1046,1433170
2010-06-23,34.61,35.15,33.91,35.07,33.5253,1399627
2010-06-24,34.83,34.95,34.31,34.42,32.9039,1457759
2010-06-25,34.55,35.1,34.25,34.76,33.2289,968974
2010-06-28,34.9,35.32,34.822,35.19,33.64,1251377
2010-06-29,34.69,34.695,33.85,34.06,32.5597,1327227
2010-06-30,34.16,34.48,33.88,34.01,32.512,1067579
2010-07-01,33.94,34.21,33.12,33.45,31.9766,1834719
2010-07-02,33.51,33.71,33.06,33.23,31.7663,598346
2010-07-06,33.71,34.395,33.23,33.5,32.0244,1936244
2010-07-07,33.81,35.13,33.44,35.12,33.5731,1800857
2010-07-08,35.35,35.78,35.11,35.67,34.0988,1523646
2010-07-09,35.72,35.93,35.12,35.35,33.7929,982502
2010-07-12,35.18,35.47,34.37,34.43,32.9135,1015708
2010-07-13,34.73,35.13,34.72,34.86,33.3245,901760
2010-07-14,34.75,35.09,34.45,35.07,33.5253,1312734
2010-07-15,35.15,35.22,34.62,34.91,33.3723,1275571
2010-07-16,34.7,34.72,33.93,34.01,32.512,1323230
2010-07-19,34.24,34.37,33.81,34.3,32.7892,695627
2010-07-20,34.42,35.97,34.42,35.9,34.3187,3813761
2010-07-21,36.08,36.25,35.17,35.48,33.9172,1193474
2010-07-22,35.75,36.0,35.2,35.81,34.2327,1353516
2010-07-23,35.53,36.45,35.18,36.42,34.8158,1052091
2010-07-26,36.44,36.45,35.77,36.04,34.4525,857425
2010-07-27,36.2,36.4,35.27,35.5,33.9363,1362088
2010-07-28,35.38,35.87,35.21,35.53,33.965,742589
2010-07-29,35.77,35.88,34.58,35.34,33.7834,1136741
2010-07-30,34.91,36.28,34.73,36.18,34.5864,1171507
2010-08-02,36.49,37.23,36.21,37.15,35.5136,1774148
2010-08-03,36.28,37.11,35.91,36.03,34.443,2004290
2010-08-04,36.3,36.83,36.27,36.68,35.0643,1399521
2010-08-05,36.51,36.68,36.09,36.6,34.9879,1353122
2010-08-06,36.35,36.91,35.6,35.99,34.4047,1028017
2010-08-09,36.22,36.45,35.89,36.3,34.7011,604179
2010-08-10,35.86,36.58,35.7,36.4,34.7967,824447
2010-08-11,35.69,35.94,35.25,35.51,33.9459,1292960
2010-08-12,35.01,36.025,34.94,35.82,34.2422,998171
2010-08-13,35.81,36.34,35.7,36.0,34.4143,775970
2010-08-16,35.73,36.3,35.73,36.19,34.5959,644819
2010-08-17,36.48,37.22,36.395,36.95,35.3225,1398976
2010-08-18,37.09,37.32,36.68,36.99,35.3607,1208385
2010-08-19,36.74,36.89,36.32,36.55,34.9401,597079
2010-08-20,36.47,36.73,36.06,36.73,35.1121,691231
2010-08-23,36.84,37.17,35.92,36.78,35.1599,736316
2010-08-24,36.28,36.65,36.14,36.26,34.6628,1378936
2010-08-25,35.91,36.88,35.91,36.74,35.1217,1409063
2010-08-26,36.74,37.08,36.39,36.535,34.9257,1090217
2010-08-27,36.82,36.99,36.15,36.6,34.9879,1240413
2010-08-30,36.4,36.75,35.69,35.69,34.118,928727
2010-08-31,35.49,36.29,35.45,35.8,34.2231,1120734
2010-09-01,36.32,36.46,35.91,36.0,34.4143,1506715
2010-09-02,36.03,36.31,35.95,36.21,34.615,1196572
2010-09-03,36.5,36.93,36.2,36.89,35.2651,1126571
2010-09-07,36.88,37.35,36.58,37.28,35.6379,874398
2010-09-08,37.2,38.25,37.07,37.75,36.0872,1678331
2010-09-09,38.23,38.23,37.25,37.57,35.9151,1031181
2010-09-10,37.74,38.25,37.64,38.14,36.46,1519615
2010-09-13,38.38,38.88,38.28,38.58,36.8807,1116956
2010-09-14,38.65,38.89,38.13,38.2,36.5174,936619
2010-09-15,37.98,38.52,37.93,38.44,36.7468,646992
2010-09-16,38.36,38.56,37.6456,37.86,36.1924,684131
2010-09-17,37.87,38.21,37.64,38.15,36.4696,539956
2010-09-20,38.33,39.1,38.23,38.98,37.263,942121
2010-09-21,39.07,39.395,38.65,39.34,37.6072,1322250
2010-09-22,39.08,39.6,38.49,38.88,37.1674,1528183
2010-09-23,38.66,39.24,38.48,38.93,37.2152,762712
2010-09-24,39.29,39.94,38.96,39.85,38.0947,953303
2010-09-27,39.81,40.0,39.38,39.4,37.6645,887572
2010-09-28,39.49,40.02,39.05,39.94,38.1808,928892
2010-09-29,39.75,40.42,39.5811,40.3,38.5249,1289262
2010-09-30,40.48,40.6,39.845,40.3,38.5249,1335440
2010-10-01,40.44,40.6,40.09,40.28,38.5058,2181659
2010-10-04,40.3,40.75,39.91,40.22,38.4484,937227
2010-10-05,40.47,41.27,40.4,40.77,38.9742,1356018
2010-10-06,40.77,40.9,39.97,40.53,38.7448,1135856
2010-10-07,40.8,40.91,40.0,40.81,39.0124,1181757
2010-10-08,40.58,40.97,40.08,40.96,39.1558,1698665
2010-10-11,40.79,41.14,40.65,40.88,39.0793,1465052
2010-10-12,40.84,40.92,40.38,40.72,38.9264,891604
2010-10-13,40.96,41.07,40.84,40.93,39.1271,1176723
2010-10-14,40.74,41.29,40.365,40.54,38.7543,1259516
2010-10-15,40.7,40.805,39.58,39.89,38.133,1186364
2010-10-18,39.75,39.99,39.2,39.49,37.7506,582479
2010-10-19,39.09,39.53,38.89,39.12,37.3969,740387
2010-10-20,39.2,39.53,39.04,39.5,37.7601,1432583
2010-10-21,39.71,39.9,38.37,38.96,37.2439,1568490
2010-10-22,39.15,39.25,38.8515,39.0,37.2822,1090790
2010-10-25,39.22,39.42,38.97,39.25,37.5211,774323
2010-10-26,39.2,39.86,38.92,39.48,37.741,940869
2010-10-27,39.43,39.73,38.76,39.2,37.4733,1951178
2010-10-28,39.42,40.09,39.05,40.04,38.2763,3076678
2010-10-29,40.4,40.4,38.77,39.26,37.5307,1676023
2010-11-01,39.52,39.93,39.29,39.4,37.6645,995049
2010-11-02,39.63,39.83,39.27,39.44,37.7028,1845084
2010-11-03,39.44,39.44,38.7596,39.25,37.5211,852804
2010-11-04,39.54,39.54,38.63,39.14,37.416,1438203
2010-11-05,38.78,38.78,37.53,38.43,36.7373,1978772
2010-11-08,38.24,38.43,37.83,38.02,36.3453,1685825
2010-11-09,38.19,38.49,37.75,37.79,36.1255,1285724
2010-11-10,37.93,38.45,37.52,38.18,36.4983,1362287
2010-11-11,37.95,38.2299,37.68,38.13,36.4505,948059
2010-11-12,37.86,37.95,37.225,37.51,35.8578,956927
2010-11-15,37.56,37.69,36.91,37.01,35.3798,1453668
2010-11-16,36.89,36.91,36.38,36.86,35.2364,1620596
2010-11-17,36.96,37.57,36.76,37.23,35.5901,1246482
2010-11-18,37.54,38.08,37.45,37.93,36.2593,1216094
2010-11-19,37.96,38.48,37.621,38.41,36.7181,1146830
2010-11-22,38.14,38.3,37.9,38.08,36.4027,1424035
2010-11-23,37.7,38.23,37.7,38.01,36.3358,1600477
2010-11-24,38.16,38.89,38.06,38.8,37.091,995915
2010-11-26,38.48,39.06,38.34,38.94,37.2248,339542
2010-11-29,38.71,38.89,38.34,38.79,37.0814,3343139
2010-11-30,38.7,39.3,38.52,39.15,37.4255,1949858
2010-12-01,39.4,40.43,39.35,39.97,38.2094,2809707
2010-12-02,39.89,40.79,39.65,40.18,38.4102,1054971
2010-12-03,40.13,40.36,39.48,39.86,38.1043,717421
2010-12-06,39.99,40.25,39.74,40.05,38.2859,633890
2010-12-07,40.26,40.54,39.84,39.93,38.1712,779167
2010-12-08,40.07,40.07,39.27,39.61,37.8653,657592
2010-12-09,39.79,39.9,39.4,39.76,38.0087,944781
2010-12-10,39.8,40.0,39.62,39.8,38.0469,605905
2010-12-13,40.04,40.21,39.67,39.8,38.0469,564726
2010-12-14,39.68,40.07,39.68,39.8,38.0469,1064671
2010-12-15,39.68,39.89,39.3,39.32,37.5881,679954
2010-12-16,39.48,39.59,38.97,39.25,37.5211,494658
2010-12-17,39.32,39.35,38.95,39.16,37.4351,653285
2010-12-20,39.39,39.99,39.24,39.68,37.9322,1046953
2010-12-21,39.88,40.65,39.65,40.48,38.697,1464650
2010-12-22,40.45,40.7,40.17,40.27,38.4962,352110
2010-12-23,40.3,40.48,39.92,40.11,38.3433,519499
2010-12-27,40.05,40.51,39.85,40.41,38.63,401667
2010-12-28,40.55,40.69,40.28,40.52,38.7352,423837
2010-12-29,40.52,40.69,40.38,40.66,38.869,255934
2010-12-30,40.58,40.95,40.58,40.76,38.9646,357422
2010-12-31,40.74,41.0,40.74,40.94,39.1367,365891
2011-01-03,41.0,41.04,40.69,40.9,39.0985,1673940
2011-01-04,40.86,41.1499,40.772,41.02,39.2132,2068206
2011-01-05,41.1,41.29,40.67,40.75,38.9551,916716
2011-01-06,40.71,40.73,39.51,39.69,37.9418,2344263
2011-01-07,40.0,40.0,39.46,39.66,37.9131,746631
2011-01-10,39.5,39.67,39.28,39.56,37.8175,1263239
2011-01-11,39.78,39.89,39.35,39.63,37.8844,1135977
2011-01-12,39.91,40.35,39.5,40.19,38.4197,1370703
2011-01-13,40.38,40.85,39.79,39.91,38.1521,1534979
2011-01-14,39.74,40.1,39.11,39.25,37.5211,1278736
2011-01-18,39.28,40.27,39.17,39.89,38.133,1017610
2011-01-19,39.71,39.9399,39.16,39.28,37.5498,1318084
2011-01-20,39.06,40.13,38.98,39.78,38.0278,1689382
2011-01-21,40.0,40.2,39.46,39.72,37.9704,683558
2011-01-24,39.81,40.5,39.6654,40.27,38.4962,1227290
2011-01-25,40.15,40.72,39.92,40.64,38.8499,1062139
2011-01-26,40.73,41.03,40.67,40.89,39.0889,1454346
2011-01-27,41.01,41.3,40.79,41.01,39.2036,1601416
2011-01-28,41.08,41.23,40.71,40.95,39.1463,911447
2011-01-31,40.94,41.28,40.59,40.8,39.0029,864945
