date,open,high,low,close,adjusted_close,volume
2010-01-04,62.14,62.14,61.17,61.67,17.5115,4013808
2010-01-05,61.59,61.86,59.55,60.21,17.0969,9244359
2010-01-06,60.39,61.02,58.92,59.42,16.8726,7474821
2010-01-07,59.42,60.465,59.42,59.95,17.0231,4019727
2010-01-08,59.94,60.47,59.78,60.46,17.1679,2596149
2010-01-11,61.97,61.97,58.54,59.63,16.9322,4610190
2010-01-12,59.42,60.34,59.25,59.42,16.8726,4144905
2010-01-13,59.61,60.36,59.61,60.18,17.0884,1979850
2010-01-14,60.26,60.71,60.13,60.53,17.1878,3219942
2010-01-15,60.27,60.27,59.17,59.19,16.8073,5014794
2010-01-19,58.88,59.42,58.3,59.37,16.8584,3502635
2010-01-20,59.04,59.04,58.44,58.79,16.6937,3043917
2010-01-21,58.7,59.52,58.37,58.61,16.6426,4749597
2010-01-22,58.63,59.19,57.86,58.0,16.4694,5613459
2010-01-25,58.52,59.39,58.26,58.92,16.7306,6130704
2010-01-26,62.8,64.3,62.56,62.83,17.8409,18261203
2010-01-27,62.83,64.06,62.28,63.87,18.1362,6816144
2010-01-28,64.08,64.08,63.13,63.58,18.0539,4740837
2010-01-29,63.66,64.63,63.08,63.35,17.9885,6184281
2010-02-01,63.77,64.75,63.5,64.62,18.3492,3573159
2010-02-02,64.85,65.62,63.8,65.56,18.6161,4436442
2010-02-03,65.33,65.33,63.95,64.25,18.2441,4608897
2010-02-04,64.13,64.17,63.49,63.85,18.1305,4576368
2010-02-05,64.02,64.25,62.86,63.9,18.1447,4127952
2010-02-08,63.98,64.1,63.11,63.2,17.946,3810183
2010-02-09,63.64,64.41,63.4675,63.77,18.1078,4816818
2010-02-10,63.6,63.65,62.6,62.98,17.8835,5256141
2010-02-11,62.99,63.78,62.9,63.73,18.0965,3157851
2010-02-12,63.16,64.04,62.65,63.95,18.1589,3126075
2010-02-16,64.25,64.8,64.18,64.54,18.3265,2244450
2010-02-17,64.91,65.42,64.83,65.04,18.4684,2220114
2010-02-18,65.09,65.34,64.31,65.23,18.5224,2142285
2010-02-19,64.95,65.64,64.8,65.37,18.5621,2217123
2010-02-22,65.52,65.74,64.67,64.81,18.4031,2799843
2010-02-23,64.47,65.03,64.06,64.13,18.21,2369280
2010-02-24,64.1,64.57,63.86,64.39,18.3871,1938507
2010-02-25,63.81,64.4,63.3375,64.34,18.3728,2480874
2010-02-26,64.41,64.45,63.33,63.38,18.0987,3271437
2010-03-01,63.6,63.98,63.04,63.74,18.2015,2560716
2010-03-02,64.17,64.23,63.65,64.08,18.2986,1980573
2010-03-03,64.29,64.41,63.85,64.01,18.2786,2845881
2010-03-04,64.2,65.15,64.13,64.73,18.4842,3194778
2010-03-05,65.11,65.33,64.77,65.16,18.607,2122461
2010-03-08,65.32,65.56,64.975,65.26,18.6355,2864169
2010-03-09,64.91,65.99,64.91,65.5,18.704,2044485
2010-03-10,65.39,65.39,64.4,64.7,18.4756,3800472
2010-03-11,65.27,65.27,63.89,65.25,18.6327,3736389
2010-03-12,65.44,65.67,65.04,65.54,18.7155,2158137
2010-03-15,65.6,65.65,65.09,65.61,18.7355,1945674
2010-03-16,65.7,65.7,64.52,65.07,18.5813,2584404
2010-03-17,65.12,66.17,64.94,65.76,18.7783,3666147
2010-03-18,65.68,66.1,65.28,65.28,18.6412,3167631
2010-03-19,65.34,65.57,65.025,65.3,18.6469,6123213
2010-03-22,65.11,66.15,64.84,65.76,18.7783,3567846
2010-03-23,65.77,66.52,65.43,66.46,18.9782,2590149
2010-03-24,66.32,66.46,65.56,65.85,18.804,2454327
2010-03-25,66.2,67.09,65.87,66.4,18.9611,5167935
2010-03-26,66.64,67.16,66.5,66.84,19.0867,2663262
2010-03-29,67.13,67.39,66.84,67.01,19.1352,1652160
2010-03-30,67.04,67.41,66.94,66.97,19.1238,2454624
2010-03-31,66.8,68.03,66.63,67.68,19.3266,3322602
2010-04-01,67.81,68.82,67.81,68.25,19.4893,2964753
2010-04-05,68.18,69.13,68.08,68.99,19.7006,2861379
2010-04-06,68.75,69.93,68.4,69.87,19.9519,3397185
2010-04-07,69.78,70.24,69.24,69.85,19.9462,5637879
2010-04-08,69.31,71.26,68.92,70.84,20.2289,9569559
2010-04-09,70.91,71.32,70.2001,71.21,20.3346,4146666
2010-04-12,71.36,72.78,71.02,72.31,20.6487,7497582
2010-04-13,71.96,72.38,71.79,72.33,20.6544,6961827
2010-04-14,72.51,72.81,71.77,72.79,20.7858,4183728
2010-04-15,72.64,73.6498,72.38,73.49,20.9857,3792300
2010-04-16,73.36,73.52,72.63,72.96,20.8343,5116011
2010-04-19,72.35,73.18,72.14,73.17,20.8943,3303369
2010-04-20,73.32,74.14,73.23,73.98,21.1256,4175364
2010-04-21,73.73,74.685,73.73,74.31,21.2198,5218890
2010-04-22,73.11,79.55,73.11,79.33,22.6533,12976377
2010-04-23,78.03,79.65,77.84,79.54,22.7133,6259806
2010-04-26,79.71,80.33,79.1,79.94,22.8275,3607362
2010-04-27,79.06,80.21,78.41,79.41,22.6762,6717648
2010-04-28,79.56,79.73,78.89,79.32,22.6505,6437769
2010-04-29,79.79,79.86,78.86,79.15,22.6019,4133370
2010-04-30,79.29,79.64,78.02,78.07,22.2935,4369491
2010-05-03,78.18,80.22,77.78,80.01,22.8475,3630027
2010-05-04,79.36,79.36,77.84,78.45,22.402,3490887
2010-05-05,77.78,78.39,76.66,77.05,22.0022,5644152
2010-05-06,76.77,77.725,73.67,76.33,21.7966,6893466
2010-05-07,76.25,78.02,75.48,75.95,21.6881,9593586
2010-05-10,77.34,79.53,77.34,79.45,22.6876,4398969
2010-05-11,78.52,80.49,78.41,79.48,22.6961,2986086
2010-05-12,79.81,80.53,79.78,80.42,22.9646,3861381
2010-05-13,80.04,80.23,77.97,78.22,22.3363,3816495
2010-05-14,77.88,78.45,77.07,77.74,22.1993,4737594
2010-05-17,78.19,79.24,77.4,79.12,22.5933,5546091
2010-05-18,79.59,79.67,77.77,78.08,22.2964,3099399
2010-05-19,77.25,78.2,76.39,77.93,22.3566,5542275
2010-05-20,76.55,76.84,75.04,75.4,21.6308,6005622
2010-05-21,74.82,76.28,74.0,75.72,21.7226,7350087
2010-05-24,74.05,77.05,74.03,75.88,21.7685,5384460
2010-05-25,74.6,75.88,73.79,75.52,21.6652,5312874
2010-05-26,76.41,76.91,74.78,75.06,21.5333,7363683
2010-05-27,76.26,77.12,75.45,77.1,22.1185,4195821
2010-05-28,76.98,77.24,75.99,76.63,21.9837,4111059
2010-06-01,76.01,78.23,76.01,76.4,21.9177,4184454
2010-06-02,76.55,77.48,76.12,77.25,22.1615,4617795
2010-06-03,77.37,77.79,76.32,76.88,22.0554,2567148
2010-06-04,75.83,76.1,74.67,74.91,21.4902,5522625
2010-06-07,74.82,75.26,73.6,73.6,21.1144,7085667
2010-06-08,73.56,73.97,72.78,73.87,21.1919,6297078
2010-06-09,74.47,75.23,73.82,74.09,21.255,3731304
2010-06-10,75.07,76.3,74.7,76.17,21.8517,3360108
2010-06-11,75.8,76.64,75.4,76.64,21.9865,2808024
2010-06-14,76.79,77.98,76.581,76.63,21.9837,2418789
2010-06-15,77.09,77.92,76.87,77.92,22.3537,3549168
2010-06-16,77.69,78.4,76.85,77.24,22.1587,2717850
2010-06-17,77.62,77.65,76.01,76.6,21.9751,2937219
2010-06-18,76.89,77.09,75.98,76.18,21.8546,7096281
2010-06-21,76.95,77.18,76.19,76.44,21.9292,3761964
