date,open,high,low,close,adjusted_close,volume
2010-01-04,62.2,62.29,61.42,62.18,42.5437,773605
2010-01-05,62.22,62.34,61.58,61.89,42.3453,677717
2010-01-06,61.88,62.38,61.81,62.11,42.4958,1060202
2010-01-07,62.44,62.44,61.52,61.94,42.3795,981438
2010-01-08,61.89,62.14,61.18,62.08,42.4753,635821
2010-01-11,62.39,62.49,61.71,61.94,42.3795,449875
2010-01-12,61.91,62.67,61.81,62.65,42.8652,770570
2010-01-13,62.65,63.0,62.41,62.63,42.8516,478253
2010-01-14,62.46,62.67,62.1,62.11,42.4958,653045
2010-01-15,62.01,62.58,61.59,61.9,42.3521,693886
2010-01-19,61.79,62.5,61.79,62.44,42.7216,464612
2010-01-20,62.15,62.15,61.14,61.62,42.1605,549003
2010-01-21,61.54,62.12,60.28,60.57,41.4421,1038411
2010-01-22,60.37,60.52,59.72,59.97,41.0316,858543
2010-01-25,60.33,60.53,59.7,60.37,41.3053,467193
2010-01-26,60.26,60.81,59.64,60.71,41.5379,786298
2010-01-27,60.59,61.22,60.59,61.14,41.8321,643583
2010-01-28,61.14,61.27,60.662,60.99,41.7295,577291
2010-01-29,61.11,61.11,59.94,60.07,41.1,802030
2010-02-01,60.18,61.17,60.11,61.12,41.8184,657494
2010-02-02,61.21,62.4,61.21,62.35,42.66,781765
2010-02-03,62.34,62.34,61.44,61.87,42.3316,499393
2010-02-04,61.6,61.66,60.27,60.3,41.2574,652501
2010-02-05,60.04,60.23,59.04,59.51,40.7169,1000129
2010-02-08,59.55,59.98,59.18,59.38,40.6279,378159
2010-02-09,59.92,60.76,59.75,60.04,41.0795,638355
2010-02-10,59.94,59.95,59.445,59.71,41.0932,359236
2010-02-11,59.59,59.87,58.94,59.7,41.0864,620711
2010-02-12,59.33,59.72,58.7,59.02,40.6184,939202
2010-02-16,59.14,60.0,59.02,59.85,41.1896,655104
2010-02-17,59.79,60.59,59.69,60.34,41.5268,695322
2010-02-18,60.33,61.05,60.32,60.9,41.9122,447068
2010-02-19,60.74,61.2,60.46,60.55,41.6713,821800
2010-02-22,60.75,60.96,60.27,60.39,41.5612,802081
2010-02-23,60.35,60.56,59.71,60.11,41.3685,1380582
2010-02-24,60.15,60.15,57.72,58.67,40.3775,3051188
2010-02-25,58.12,59.41,57.75,59.39,40.873,1258003
2010-02-26,59.52,59.92,59.03,59.68,41.0726,1118605
2010-03-01,59.92,59.93,59.32,59.51,40.9556,780808
2010-03-02,59.55,59.95,59.44,59.85,41.1896,818944
2010-03-03,59.85,59.95,59.4,59.56,40.99,702653
2010-03-04,59.6,59.85,59.3835,59.7,41.0864,739843
2010-03-05,59.87,59.95,59.42,59.66,41.0588,602757
2010-03-08,59.48,59.56,58.91,59.17,40.7216,932290
2010-03-09,59.17,59.53,59.03,59.2,40.7423,939841
2010-03-10,59.28,59.28,58.87,59.19,40.7354,665472
2010-03-11,59.01,59.18,58.51,58.95,40.5702,864811
2010-03-12,58.92,59.33,58.88,59.18,40.7285,658595
2010-03-15,59.16,59.51,59.13,59.38,40.8661,689373
2010-03-16,59.43,59.93,59.22,59.8,41.1552,935835
2010-03-17,59.6,60.34,59.53,60.23,41.4511,586363
2010-03-18,60.17,60.23,59.85,60.0,41.2928,676003
2010-03-19,60.06,60.41,59.51,59.79,41.1483,1235979
2010-03-22,59.75,60.67,59.47,60.51,41.6438,874990
2010-03-23,60.52,61.08,60.34,61.01,41.9879,529043
2010-03-24,61.01,61.25,60.8125,61.0,41.981,719971
2010-03-25,61.2,61.21,60.51,60.6,41.7058,547725
2010-03-26,60.66,60.66,59.13,59.87,41.2034,718022
2010-03-29,59.94,60.09,59.76,60.06,41.3341,616039
2010-03-30,60.01,60.48,59.81,60.35,41.5337,598618
2010-03-31,60.34,60.46,60.01,60.26,41.4718,574256
2010-04-01,60.5,60.76,59.99,60.33,41.5199,522584
2010-04-05,60.5,60.5,60.18,60.39,41.5612,562685
2010-04-06,60.14,60.7,60.11,60.7,41.7746,552620
2010-04-07,60.8,60.89,60.37,60.78,41.8296,794085
2010-04-08,60.55,61.15,60.53,61.04,42.0086,596087
2010-04-09,61.06,61.93,61.06,61.84,42.5591,690125
2010-04-12,62.1,62.35,61.91,62.25,42.8413,808534
2010-04-13,62.09,62.55,61.8,62.48,42.9996,628159
2010-04-14,62.49,62.6,62.01,62.4,42.9445,521378
2010-04-15,62.25,62.45,61.83,62.25,42.8413,973301
2010-04-16,61.9,62.4,61.9,62.04,42.6968,818664
2010-04-19,61.81,62.47,61.77,62.43,42.9652,530573
2010-04-20,62.86,63.4,62.59,63.26,43.5364,1064085
2010-04-21,63.39,63.5,62.94,63.05,43.3919,908284
2010-04-22,62.63,63.13,62.58,63.01,43.3643,552934
2010-04-23,62.94,63.3,62.6,63.24,43.5226,741378
2010-04-26,63.17,63.2,62.41,62.62,43.0959,533189
2010-04-27,62.41,62.64,61.27,61.38,42.2426,533196
2010-04-28,61.43,62.07,60.9307,61.7,42.4628,580916
2010-04-29,61.89,62.29,61.31,61.71,42.4697,819985
2010-04-30,61.58,61.94,61.04,61.07,42.0292,754725
2010-05-03,61.13,61.42,60.33,61.06,42.0223,710262
2010-05-04,60.35,61.01,60.32,60.59,41.6989,657975
2010-05-05,60.19,60.74,60.07,60.62,41.7195,530167
2010-05-06,60.68,60.73,57.0,58.89,40.5289,1215612
2010-05-07,58.96,59.06,57.89,58.43,40.2123,1264341
2010-05-10,59.79,60.02,58.31,58.92,40.5496,1578279
2010-05-11,58.5,59.4,58.13,58.68,40.3844,1356013
2010-05-12,58.73,58.73,57.37,58.07,40.2389,1697966
2010-05-13,57.91,58.67,57.86,58.21,40.3359,1043801
