date,open,high,low,close,adjusted_close,volume
2010-01-04,42.74,43.06,42.51,42.86,31.4433,267966
2010-01-05,42.63,43.01,42.44,42.84,31.4287,392694
2010-01-06,42.84,43.17,42.62,43.08,31.6047,658314
2010-01-07,42.86,43.8,42.86,43.8,32.1329,405174
2010-01-08,43.58,44.78,43.49,44.71,32.8005,384609
2010-01-11,44.84,44.96,44.54,44.9,32.9399,521021
2010-01-12,44.46,44.61,43.73,43.96,32.2503,462300
2010-01-13,44.0,44.3,43.78,44.24,32.4557,244794
2010-01-14,44.06,44.4099,43.93,44.1,32.353,267001
2010-01-15,43.94,44.21,43.17,43.4,31.8395,407757
2010-01-19,43.34,44.01,43.34,44.01,32.287,310301
2010-01-20,43.48,43.78,42.98,43.49,31.9055,277593
2010-01-21,43.39,43.75,42.92,43.39,31.8321,686661
2010-01-22,43.42,43.765,43.06,43.21,31.7001,558014
2010-01-25,43.61,43.69,42.8,43.07,31.5974,409713
2010-01-26,43.06,43.26,42.66,42.67,31.3039,404393
2010-01-27,42.44,42.64,41.36,42.2,30.9591,432440
2010-01-28,42.14,42.2,40.9,41.26,30.2695,340665
2010-01-29,41.34,41.82,40.78,40.88,29.9907,335146
2010-02-01,41.11,41.7,41.07,41.69,30.585,209382
2010-02-02,41.65,43.11,41.65,42.99,31.5387,413408
2010-02-03,42.94,43.48,42.59,42.93,31.4947,497119
2010-02-04,42.73,43.06,40.21,40.4,29.6386,1637931
2010-02-05,40.47,40.59,39.31,40.31,29.5726,1197393
2010-02-08,40.23,40.62,39.79,40.12,29.4332,540892
2010-02-09,40.47,41.16,40.34,41.01,30.0861,475017
2010-02-10,41.1,41.62,40.92,41.01,30.0861,372785
2010-02-11,41.01,41.45,40.52,41.43,30.3942,450386
2010-02-12,41.04,41.65,40.88,41.61,30.5263,302853
2010-02-16,42.13,42.34,41.75,42.25,30.9958,279728
2010-02-17,42.25,42.62,41.86,42.47,31.1572,216069
2010-02-18,42.31,42.58,42.23,42.57,31.2306,388694
2010-02-19,42.54,43.03,42.38,42.9,31.4727,325841
2010-02-22,43.12,43.12,42.54,42.87,31.4507,191755
2010-02-23,42.57,42.81,41.78,42.16,31.1478,266293
2010-02-24,42.4,42.56,41.8,42.27,31.229,484458
2010-02-25,41.64,42.21,41.2,42.12,31.1182,264832
2010-02-26,42.12,42.29,41.82,42.22,31.1921,357486
2010-03-01,42.5,42.98,42.16,42.81,31.628,315794
2010-03-02,43.18,43.48,42.94,43.02,31.7831,244810
2010-03-03,43.33,43.54,42.82,42.96,31.7388,233483
2010-03-04,43.15,43.29,42.75,43.07,31.8201,149427
2010-03-05,43.46,43.67,43.21,43.45,32.1008,251540
2010-03-08,43.59,43.59,42.94,43.17,31.8939,253889
2010-03-09,43.06,43.39,42.98,43.18,31.9013,255330
2010-03-10,43.18,43.82,43.03,43.65,32.2486,328471
2010-03-11,43.59,43.59,43.19,43.52,32.1525,312897
2010-03-12,43.7,43.7,43.08,43.31,31.9974,346866
2010-03-15,43.17,43.32,42.86,43.17,31.8939,190637
2010-03-16,43.24,43.38,42.93,43.31,31.9974,359784
2010-03-17,43.35,43.69,43.13,43.53,32.1599,414083
2010-03-18,43.42,43.88,43.42,43.74,32.3151,433073
2010-03-19,44.02,44.02,42.78,42.88,31.6797,492204
2010-03-22,42.58,43.12,42.56,43.03,31.7905,338040
2010-03-23,43.02,43.51,42.84,43.38,32.0491,391344
2010-03-24,43.23,43.2372,42.7,42.93,31.7166,259577
2010-03-25,43.13,43.26,42.56,42.61,31.4802,208681
2010-03-26,42.77,43.05,42.61,42.8,31.6206,312261
2010-03-29,42.99,43.35,42.76,43.06,31.8127,259278
2010-03-30,43.03,43.74,43.03,43.59,32.2042,290790
2010-03-31,43.54,43.75,43.14,43.34,32.0195,268102
2010-04-01,43.66,43.88,43.3,43.67,32.2633,144963
2010-04-05,43.81,44.54,43.63,44.42,32.8174,210579
2010-04-06,44.31,44.57,44.1903,44.47,32.8544,197206
2010-04-07,44.36,44.6,44.18,44.56,32.9209,396082
2010-04-08,44.35,44.64,43.93,44.58,32.9356,185212
2010-04-09,44.61,44.91,44.3801,44.9,33.1721,247068
2010-04-12,44.95,45.23,44.81,45.16,33.3641,280202
2010-04-13,45.2,45.38,44.78,45.3,33.4676,205964
2010-04-14,45.49,45.59,45.13,45.57,33.6671,181087
2010-04-15,45.38,45.66,45.11,45.43,33.5636,178707
2010-04-16,45.31,45.81,44.59,44.94,33.2016,326680
2010-04-19,44.73,44.9,44.34,44.8,33.0982,364413
2010-04-20,47.87,49.0,46.51,48.59,35.8982,1184852
2010-04-21,48.72,48.93,48.32,48.42,35.7726,492379
2010-04-22,48.02,49.37,47.609,49.36,36.4671,373862
2010-04-23,49.42,49.61,48.49,49.22,36.3637,466160
2010-04-26,49.4,49.98,48.83,48.87,36.1051,377562
