date,open,high,low,close,adjusted_close,volume
2010-01-04,27.97,28.48,27.88,28.29,23.1649,435216
2010-01-05,28.27,28.28,27.97,28.26,23.1404,631423
2010-01-06,28.4,28.48,28.1,28.23,23.1158,569936
2010-01-07,28.2,28.2,27.6401,27.82,22.7801,538206
2010-01-08,27.9,27.99,27.55,27.68,22.6654,325131
2010-01-11,27.69,27.86,27.4875,27.66,22.6491,393045
2010-01-12,27.4,27.59,27.2475,27.35,22.3952,506083
2010-01-13,27.34,27.86,27.34,27.78,22.7473,346034
2010-01-14,27.71,27.825,27.5,27.6,22.5999,294686
2010-01-15,27.6,27.72,27.35,27.62,22.6163,520403
2010-01-19,27.62,28.09,27.58,27.66,22.6491,524536
2010-01-20,27.465,27.79,27.26,27.41,22.4444,914962
2010-01-21,27.5,27.63,26.59,27.06,22.1578,1271021
2010-01-22,26.97,27.165,26.71,26.82,21.9612,531209
2010-01-25,27.0,27.21,26.625,26.96,22.0759,342471
2010-01-26,26.82,26.89,26.55,26.75,21.9039,516666
2010-01-27,26.75,26.75,26.1,26.44,21.6501,945944
2010-01-28,26.52,26.55,25.65,26.12,21.3881,771410
2010-01-29,26.17,26.67,26.01,26.08,21.3553,692228
2010-02-01,26.11,26.21,25.73,26.08,21.3553,1284658
2010-02-02,27.29,29.95,26.29,29.53,24.1803,3791976
2010-02-03,29.38,30.25,28.89,29.98,24.5488,1556031
2010-02-04,29.89,30.47,29.72,29.73,24.3441,1214289
2010-02-05,29.86,30.03,29.23,29.69,24.3113,559612
2010-02-08,29.6,30.4001,29.49,30.26,24.7781,586301
2010-02-09,30.45,30.48,29.82,30.29,24.8026,587331
2010-02-10,30.14,30.4,29.592,30.22,24.7453,400604
2010-02-11,30.18,30.42,29.92,30.36,24.8599,316335
2010-02-12,29.97,30.61,29.91,30.59,25.0483,459065
2010-02-16,30.79,30.92,30.28,30.84,25.253,339940
2010-02-17,30.95,30.95,30.62,30.83,25.2448,516346
2010-02-18,30.75,31.41,30.6795,31.41,25.7197,551172
2010-02-19,31.36,31.82,31.12,31.61,25.9744,669827
2010-02-22,31.71,31.71,31.18,31.24,25.6704,344747
2010-02-23,31.1,31.3,31.0,31.05,25.5143,523467
2010-02-24,31.9,31.9,31.18,31.63,25.9909,419725
2010-02-25,31.36,31.64,30.88,31.4,25.8019,222505
2010-02-26,31.35,31.75,31.35,31.61,25.9744,325723
2010-03-01,31.53,32.3599,31.53,32.17,26.4346,312021
2010-03-02,32.14,32.81,32.14,32.45,26.6647,584641
2010-03-03,32.12,32.44,31.78,31.88,26.1963,595500
2010-03-04,31.99,31.99,31.5,31.6,25.9662,220136
2010-03-05,31.75,32.25,31.49,32.22,26.4757,378360
2010-03-08,32.13,32.31,31.656,31.82,26.147,208151
2010-03-09,31.68,32.17,31.6,32.0,26.2949,282440
2010-03-10,31.9,32.34,31.82,32.34,26.5743,295667
2010-03-11,32.26,32.4,31.78,32.37,26.599,301860
2010-03-12,32.53,32.53,31.835,32.34,26.5743,245412
2010-03-15,32.3,32.49,32.17,32.4,26.6236,210892
2010-03-16,32.5,33.01,32.32,32.99,27.1084,482682
2010-03-17,33.09,33.09,32.8,32.86,27.0016,747140
2010-03-18,32.89,33.46,32.8,33.32,27.3796,333123
2010-03-19,33.44,33.85,33.0,33.54,27.5604,744864
2010-03-22,33.35,34.06,33.08,33.8,27.774,696608
2010-03-23,33.82,34.13,33.42,34.05,27.9794,319986
2010-03-24,33.88,34.0,33.56,33.58,27.5932,243909
2010-03-25,33.8,34.58,33.56,34.23,28.1273,482614
2010-03-26,34.28,34.46,33.77,34.02,27.9548,311490
2010-03-29,34.03,34.44,33.9,34.18,28.0863,238082
2010-03-30,34.15,34.63,33.93,34.16,28.0698,219702
2010-03-31,34.0,34.22,33.64,33.66,27.659,326961
2010-04-01,33.77,34.295,33.68,34.12,28.037,256904
2010-04-05,34.25,34.55,33.65,34.29,28.1766,255371
2010-04-06,34.09,34.25,33.94,33.96,27.9055,252371
2010-04-07,36.05,38.16,35.38,35.78,29.401,3144987
