date,open,high,low,close,adjusted_close,volume
2010-01-04,18.17,18.5,18.04,18.29,13.0384,3691557
2010-01-05,18.36,18.5,18.12,18.18,12.96,3422756
2010-01-06,18.21,19.61,18.21,19.5,13.901,8994766
2010-01-07,19.37,19.48,19.11,19.37,13.8083,7727746
2010-01-08,19.73,20.3829,19.56,20.19,14.3929,12040810
2010-01-11,20.47,20.47,19.45,19.56,13.9438,5665835
2010-01-12,19.17,19.36,18.73,19.08,13.6016,5228425
2010-01-13,19.32,19.39,18.24,18.78,13.3878,7847277
2010-01-14,18.74,18.91,18.09,18.43,13.1382,7967007
2010-01-15,18.42,18.5,17.81,18.01,12.8388,5165557
2010-01-19,18.26,18.35,17.855,17.98,12.8175,4941891
2010-01-20,17.82,17.8989,17.25,17.47,12.4539,5556847
2010-01-21,17.42,17.58,16.63,16.7,11.905,8428656
2010-01-22,16.405,17.23,16.25,16.4,11.6911,8257178
2010-01-25,16.78,17.05,16.17,16.3,11.6198,5784693
2010-01-26,16.03,16.64,15.8401,16.05,11.4416,9950225
2010-01-27,15.99,16.46,15.6,16.02,11.4202,6156376
2010-01-28,16.1,16.25,15.29,15.59,11.1137,7277828
2010-01-29,15.75,16.15,15.06,15.18,10.8214,8745009
2010-02-01,15.38,16.09,15.37,16.08,11.463,4772310
2010-02-02,16.34,16.47,15.8283,16.36,11.6626,5272935
2010-02-03,16.19,16.45,15.81,15.92,11.3489,5763875
2010-02-04,15.08,15.46,14.71,14.79,10.5434,10458080
2010-02-05,14.94,15.06,14.31,14.99,10.686,10364840
2010-02-08,14.93,15.2,14.45,14.85,10.5862,11664010
2010-02-09,15.35,15.77,15.28,15.43,10.9996,8030470
2010-02-10,15.38,15.48,14.9,15.06,10.7359,7061252
2010-02-11,15.08,15.85,15.05,15.72,11.2064,5426515
2010-02-12,15.4,16.19,15.25,15.96,11.3774,6077311
2010-02-16,16.35,16.7507,16.15,16.4,11.6911,7216313
2010-02-17,16.46,16.5,16.01,16.22,11.5628,6496228
2010-02-18,16.17,16.73,16.07,16.67,11.8836,6914654
2010-02-19,16.59,16.96,16.5,16.73,11.9264,6378090
2010-02-22,16.88,16.96,16.62,16.8,11.9763,4667715
2010-02-23,16.6,16.7,15.91,16.09,11.4701,6695440
2010-02-24,16.18,16.42,15.99,16.2,11.5485,5119942
2010-02-25,15.69,16.16,15.52,16.1,11.4773,6480562
2010-02-26,16.1,16.36,15.84,16.33,11.6412,5077861
2010-03-01,16.4,16.78,16.25,16.68,11.8907,4464163
2010-03-02,16.75,17.0,16.67,16.82,11.9905,4155910
2010-03-03,16.91,17.46,16.91,17.03,12.1402,5324523
2010-03-04,17.08,17.44,16.92,17.18,12.2472,5564814
2010-03-05,17.42,17.67,17.35,17.53,12.4967,4119043
2010-03-08,18.09,18.19,17.73,17.96,12.8032,6215746
2010-03-09,17.8,18.08,17.5,17.73,12.6392,7481704
2010-03-10,17.73,18.03,17.5603,17.88,12.7462,4007834
2010-03-11,17.52,17.86,17.33,17.77,12.6677,4286675
2010-03-12,17.93,18.24,17.76,17.93,12.7818,5152708
2010-03-15,17.83,17.89,17.56,17.81,12.6963,3152739
2010-03-16,17.99,18.38,17.9,18.21,12.9814,6205964
2010-03-17,18.32,18.39,17.97,17.98,12.8175,5429121
2010-03-18,17.94,18.13,17.6,17.64,12.5751,3748772
2010-03-19,17.65,17.78,17.25,17.39,12.3969,4805016
2010-03-22,17.18,17.63,16.89,17.54,12.5038,3610329
2010-03-23,17.76,18.0,17.39,18.0,12.8317,2752573
2010-03-24,17.85,17.89,17.62,17.67,12.5965,3285647
2010-03-25,17.93,18.0,17.11,17.2,12.2614,3800467
2010-03-26,17.23,17.72,17.19,17.33,12.3541,2961900
2010-03-29,17.43,17.94,17.39,17.7,12.6727,3078287
2010-03-30,17.66,17.83,17.2,17.47,12.508,2908770
2010-03-31,17.36,17.6084,17.27,17.47,12.508,3885653
2010-04-01,17.66,17.82,17.47,17.71,12.6799,5767567
2010-04-05,17.89,18.43,17.88,18.43,13.1954,4364499
2010-04-06,18.4,18.94,18.36,18.66,13.36,4573347
2010-04-07,18.67,18.72,17.78,18.05,12.9233,6824942
2010-04-08,17.85,18.0,17.48,17.96,12.8588,3730276
2010-04-09,18.02,18.15,17.69,17.91,12.823,3107639
2010-04-12,17.98,18.12,17.86,17.99,12.8803,3576834
2010-04-13,17.88,18.14,17.78,17.84,12.7729,2084238
2010-04-14,18.11,18.45,18.06,18.41,13.181,4071619
2010-04-15,18.3,18.41,17.91,18.0,12.8875,2942109
2010-04-16,17.85,18.03,17.35,17.52,12.5438,5243371
2010-04-19,17.38,17.67,17.01,17.52,12.5438,7481402
2010-04-20,18.1,18.2,17.0,17.04,12.2002,13993010
2010-04-21,17.17,17.17,16.39,16.62,11.8994,11782230
2010-04-22,16.46,16.72,16.02,16.68,11.9424,7962198
2010-04-23,16.71,16.77,16.52,16.74,11.9854,5226211
2010-04-26,16.85,17.12,16.6,16.72,11.971,7026685
2010-04-27,16.53,16.6,15.89,15.92,11.3983,8385306
2010-04-28,16.1,16.35,15.99,16.08,11.5128,6258229
2010-04-29,16.23,16.27,15.86,16.14,11.5558,6124707
2010-04-30,16.24,16.26,15.62,15.72,11.2551,4852323
2010-05-03,15.93,16.025,15.38,15.73,11.2622,4261611
2010-05-04,15.44,15.49,14.88,15.01,10.7467,9079768
2010-05-05,14.69,15.83,14.5,15.47,11.0761,8499503
2010-05-06,15.37,15.94,14.25,14.98,10.7253,8793375
2010-05-07,14.95,15.345,14.33,14.87,10.6465,8993565
2010-05-10,15.75,15.83,15.49,15.72,11.2551,6113189
2010-05-11,15.47,15.68,15.09,15.09,10.804,6910383
2010-05-12,15.26,15.42,15.11,15.35,10.9902,7126963
2010-05-13,15.64,16.43,15.39,15.88,11.3696,10444290
2010-05-14,15.57,15.63,15.09,15.24,10.9114,8365418
2010-05-17,15.39,15.4,14.45,14.86,10.6393,8788942
2010-05-18,15.12,15.3,14.42,14.5,10.3816,6649571
2010-05-19,14.33,14.6,14.05,14.32,10.2527,9243671
2010-05-20,13.78,14.02,13.5,13.57,9.7157,6802821
2010-05-21,13.31,14.06,13.3,14.01,10.0308,6865668
2010-05-24,14.0,14.42,13.83,13.85,9.9162,4884889
2010-05-25,13.3,14.13,13.12,14.11,10.1024,7659590
2010-05-26,14.44,14.64,13.88,13.96,9.995,6267122
2010-05-27,14.39,14.95,14.29,14.94,10.6966,4901194
2010-05-28,14.92,15.0325,14.49,14.67,10.5033,4237121
2010-06-01,14.45,14.78,13.85,13.86,9.9234,4914216
2010-06-02,14.09,14.8,14.0,14.72,10.5391,5496212
2010-06-03,14.82,14.94,14.5,14.83,10.6179,8172017
2010-06-04,14.33,14.7588,13.98,14.2075,10.1722,9790614
2010-06-07,14.25,14.44,13.62,14.13,10.1167,11155470
2010-06-08,14.16,14.38,13.52,13.83,9.9019,7754102
2010-06-09,14.07,14.34,13.715,13.76,9.8518,4668233
2010-06-10,14.12,14.2,13.93,14.18,10.1525,6457691
2010-06-11,13.93,14.31,13.88,14.28,10.2241,4013664
2010-06-14,14.51,14.7,14.34,14.38,10.2957,2824636
2010-06-15,14.44,14.82,14.11,14.73,10.5463,6006420
2010-06-16,14.55,14.6,14.15,14.21,10.174,5800505
2010-06-17,13.94,14.13,13.68,13.87,9.9305,6834198
2010-06-18,13.81,14.02,13.73,13.97,10.0021,4192166
2010-06-21,14.45,14.64,13.99,14.11,10.1024,7806665
2010-06-22,14.1,14.33,13.78,13.84,9.909,3814037
2010-06-23,13.87,14.25,13.48,14.11,10.1024,6051785
2010-06-24,14.03,14.05,13.78,13.86,9.9234,5774573
2010-06-25,13.88,14.14,13.68,14.08,10.0809,3346477
2010-06-28,14.0,14.11,13.75,13.91,10.0125,3858931
2010-06-29,13.6,13.66,13.17,13.24,9.5302,6872437
2010-06-30,13.26,13.6,13.12,13.19,9.4942,4144655
2010-07-01,13.26,13.43,12.89,13.14,9.4582,6199272
2010-07-02,13.19,13.35,12.965,13.03,9.3791,4581240
2010-07-06,13.32,13.825,13.32,13.47,9.6958,5814696
2010-07-07,13.5,14.06,13.4,14.06,10.1205,4991260
2010-07-08,14.17,14.51,13.78,14.48,10.4228,5678163
2010-07-09,14.4,14.92,14.36,14.8,10.6531,4150807
2010-07-12,14.74,14.74,14.33,14.54,10.466,4792784
2010-07-13,14.8,15.0,14.69,14.84,10.6819,4596684
2010-07-14,14.79,14.98,14.56,14.7,10.5811,3709307
2010-07-15,14.65,14.7,14.3695,14.65,10.5452,2551946
2010-07-16,14.57,14.7,14.13,14.21,10.2284,2244439
2010-07-19,14.22,14.4,13.91,14.0,10.0773,4462178
2010-07-20,13.74,14.35,13.7,14.27,10.2716,9657324
2010-07-21,14.4,14.73,14.035,14.11,10.1565,8474767
2010-07-22,14.31,14.68,14.28,14.62,10.5236,4556037
2010-07-23,14.53,14.99,14.48,14.87,10.7035,7915638
2010-07-26,14.87,15.23,14.71,14.99,10.7899,6401383
2010-07-27,15.09,15.1,14.25,14.28,10.2788,6222883
2010-07-28,14.29,14.48,14.17,14.33,10.3148,3583683
2010-07-29,14.43,14.72,14.12,14.38,10.3508,3100815
2010-07-30,14.15,14.43,14.07,14.32,10.3076,2841062
2010-08-02,14.57,14.89,14.55,14.72,10.5955,2705989
2010-08-03,14.63,14.885,14.54,14.57,10.4876,2273088
