date,open,high,low,close,adjusted_close,volume
2010-01-04,18.57,18.97,18.4,18.89,10.1796,11116830
2010-01-05,18.86,19.04,18.43,18.52,9.9802,14537170
2010-01-06,18.43,18.64,18.22,18.39,9.9102,7171124
2010-01-07,18.4,18.41,17.94,18.04,9.7215,8558604
2010-01-08,17.58,18.08,17.48,17.89,9.6407,11331140
2010-01-11,18.26,18.65,18.22,18.35,9.8886,11498370
2010-01-12,18.27,18.44,17.57,17.72,9.5491,11523420
2010-01-13,17.95,18.3,17.59,18.19,9.8024,8800236
2010-01-14,18.16,18.49,18.01,18.34,9.8832,6398631
2010-01-15,18.31,18.6,17.53,17.77,9.576,13716620
2010-01-19,17.875,18.27,17.77,18.16,9.7862,7806175
2010-01-20,18.15,18.18,17.46,17.76,9.5707,16283890
2010-01-21,19.84,20.3,19.34,19.49,10.5029,35144008
2010-01-22,19.37,19.62,18.27,18.4,9.9155,20111570
2010-01-25,18.79,19.06,18.59,18.92,10.1958,15582690
2010-01-26,18.89,19.62,18.76,19.31,10.4059,16018190
2010-01-27,19.22,19.43,18.68,19.08,10.282,15417840
2010-01-28,19.19,19.28,18.14,18.36,9.894,14128420
2010-01-29,18.35,18.51,16.471,16.71,9.0048,28654900
2010-02-01,17.225,17.98,17.06,17.9,9.6461,18205770
2010-02-02,17.88,18.6,17.78,18.58,10.0125,17574170
2010-02-03,18.37,18.87,18.26,18.84,10.1527,16905141
2010-02-04,18.17,18.48,17.78,18.02,9.7108,21505740
2010-02-05,18.1,18.19,17.47,18.02,9.7108,23836760
2010-02-08,18.05,18.735,17.84,18.18,9.797,14937810
2010-02-09,18.56,18.74,18.22,18.33,9.8778,12414910
2010-02-10,18.36,18.66,18.17,18.48,9.9587,9770022
2010-02-11,18.49,18.83,18.19,18.76,10.1095,8142325
2010-02-12,18.55,18.87,18.15,18.7,10.0772,11482400
2010-02-16,18.8,19.84,18.8,19.73,10.6323,19037580
2010-02-17,19.94,20.05,19.55,20.0,10.7778,13328210
2010-02-18,19.88,20.81,19.72,20.73,11.1712,17444381
2010-02-19,20.55,20.94,20.4,20.51,11.0526,15079710
2010-02-22,20.53,20.865,20.38,20.73,11.1712,10665460
2010-02-23,20.64,20.72,20.03,20.33,10.9556,11630760
2010-02-24,20.38,20.73,19.4,19.5,10.5083,27780881
2010-02-25,19.155,19.54,18.61,19.49,10.5029,28120480
2010-02-26,19.67,20.0,19.4,19.91,10.7293,9092026
2010-03-01,20.1,21.45,20.0,21.35,11.5053,20623520
2010-03-02,21.5,21.58,20.91,21.01,11.322,13412670
2010-03-03,20.75,20.84,19.61,19.63,10.5784,25211250
2010-03-04,19.81,19.8195,19.14,19.73,10.6323,15528150
2010-03-05,19.82,20.1,19.51,19.92,10.7347,10340900
2010-03-08,20.19,20.235,19.64,19.89,10.7185,9933969
2010-03-09,19.88,20.14,19.5,19.6,10.5622,12787680
2010-03-10,19.72,19.9,18.9999,19.17,10.3305,25716520
2010-03-11,18.8,19.27,18.39,19.23,10.3628,26405891
2010-03-12,19.35,19.35,18.85,19.27,10.3844,14389930
2010-03-15,19.14,19.16,18.58,18.78,10.1203,11815420
2010-03-16,18.98,19.25,18.67,19.13,10.3089,11810820
2010-03-17,19.21,19.59,19.02,19.3175,10.41,11421050
2010-03-18,19.41,19.52,19.2,19.32,10.4113,6880184
2010-03-19,19.4,19.47,18.77,18.93,10.2012,12290210
2010-03-22,18.79,19.94,18.67,19.7075,10.6201,15354500
2010-03-23,19.76,20.61,19.69,20.4525,11.0216,20338381
2010-03-24,20.25,20.3,20.0,20.03,10.7939,10624790
2010-03-25,20.17,20.27,19.62,19.62,10.573,10169770
2010-03-26,19.21,19.36,18.8,18.93,10.2012,21554039
2010-03-29,19.12,19.38,18.825,18.9,10.185,10724250
2010-03-30,18.83,18.93,18.125,18.17,9.7916,25807400
2010-03-31,17.97,18.61,17.88,18.26,9.8401,12664340
2010-04-01,18.52,18.6,17.88,18.11,9.7593,11095030
2010-04-05,18.32,18.6,18.18,18.48,9.9587,14815940
2010-04-06,18.41,19.23,18.3,19.06,10.2712,15020570
2010-04-07,18.84,19.0,18.4401,18.85,10.158,15169760
2010-04-08,18.84,18.87,18.385,18.68,10.0664,9463735
2010-04-09,18.83,19.17,18.685,19.14,10.3143,7967055
2010-04-12,19.1,19.45,19.03,19.08,10.282,10932530
