date,open,high,low,close,adjusted_close,volume
2010-01-04,16.02,16.17,15.89,16.12,14.3272,1418701
2010-01-05,16.08,16.13,15.86,15.92,14.1494,2431518
2010-01-06,15.94,16.17,15.72,16.13,14.336,2839300
2010-01-07,15.6,16.2,15.1,15.97,14.1938,3870650
2010-01-08,15.88,15.88,15.55,15.66,13.9183,2100255
2010-01-11,15.66,15.8,15.53,15.69,13.945,1535998
2010-01-12,15.63,15.75,15.52,15.65,13.9094,1762870
2010-01-13,15.64,15.995,15.61,15.91,14.1405,1518726
2010-01-14,15.98,16.48,15.98,16.33,14.5138,2466965
2010-01-15,16.37,16.55,16.29,16.41,14.5849,2384670
2010-01-19,16.38,16.84,16.38,16.82,14.9493,2334552
2010-01-20,16.66,16.835,16.54,16.83,14.9582,2655360
2010-01-21,16.72,17.04,16.72,16.79,14.9226,2402207
2010-01-22,16.82,16.85,16.5,16.61,14.7627,2110099
2010-01-25,16.8,16.8,16.46,16.61,14.7627,1274283
2010-01-26,16.47,16.62,16.41,16.42,14.5938,1001169
2010-01-27,16.4,16.48,16.06,16.34,14.5227,1120560
2010-01-28,16.41,16.45,16.1,16.17,14.3716,734882
2010-01-29,16.23,16.27,16.03,16.08,14.2916,1461380
2010-02-01,16.18,16.29,16.07,16.23,14.4249,998590
2010-02-02,16.28,16.42,16.1185,16.39,14.5671,829072
2010-02-03,16.36,16.42,16.19,16.31,14.496,685139
2010-02-04,16.16,16.2,15.41,15.45,13.7317,1993861
2010-02-05,15.4,15.51,14.95,15.33,13.625,3211414
2010-02-08,15.37,15.37,14.87,14.93,13.2695,2205642
2010-02-09,15.17,15.33,14.96,15.2,13.5095,1509778
2010-02-10,15.17,15.24,14.91,15.13,13.4473,1615752
2010-02-11,15.18,15.53,15.08,15.49,13.7672,1351464
2010-02-12,15.38,15.59,15.28,15.36,13.6517,1974176
2010-02-16,15.43,15.61,15.37,15.61,13.8739,839434
2010-02-17,15.65,15.84,15.55,15.68,13.9361,1360335
2010-02-18,15.61,15.8,15.56,15.59,13.8561,1447988
2010-02-19,15.48,15.625,15.33,15.6,13.865,1589857
2010-02-22,15.61,15.68,15.47,15.53,13.8028,958355
2010-02-23,15.46,15.46,15.03,15.22,13.5273,2239958
2010-02-24,15.24,15.25,14.96,15.02,13.3495,2710879
2010-02-25,14.85,14.91,14.6,14.83,13.1806,4360009
2010-02-26,14.9,15.09,14.83,15.04,13.3673,1611534
2010-03-01,15.15,15.26,15.06,15.26,13.5628,1071084
2010-03-02,15.29,15.52,15.21,15.47,13.7494,1364960
2010-03-03,15.45,15.66,15.42,15.43,13.7139,1498395
2010-03-04,15.39,15.59,15.36,15.57,13.8383,1096776
2010-03-05,15.65,15.85,15.58,15.81,14.0516,1118606
2010-03-08,15.82,15.83,15.67,15.78,14.025,1596522
2010-03-09,15.71,15.92,15.67,15.81,14.0516,1815480
2010-03-10,15.83,15.88,15.54,15.62,13.8828,1849257
2010-03-11,15.55,15.83,15.54,15.83,14.0694,1104584
2010-03-12,15.83,16.14,15.83,16.11,14.3183,1627015
2010-03-15,16.06,16.23,15.96,16.13,14.336,1076584
2010-03-16,16.11,16.23,15.99,16.17,14.3716,822555
2010-03-17,16.18,16.28,16.09,16.24,14.4338,828320
2010-03-18,16.03,16.3,16.03,16.19,14.3894,1519160
2010-03-19,16.19,16.31,15.96,16.0,14.2205,1731348
2010-03-22,15.91,16.15,15.85,16.11,14.3183,1286386
2010-03-23,16.08,16.39,16.03,16.37,14.5494,1070185
2010-03-24,16.28,16.38,16.13,16.22,14.416,1044916
2010-03-25,16.35,16.39,16.16,16.18,14.3805,1196453
2010-03-26,16.2,16.225,16.0,16.01,14.2294,1116904
2010-03-29,16.06,16.35,16.05,16.31,14.496,987165
2010-03-30,16.36,16.57,16.36,16.42,14.5938,957212
2010-03-31,16.39,16.56,16.2799,16.44,14.6116,1369667
2010-04-01,16.51,16.6,16.33,16.5,14.6649,1212523
2010-04-05,16.51,16.72,16.43,16.67,14.816,823168
2010-04-06,16.74,17.01,16.6,17.0,15.1093,1489911
2010-04-07,16.9,17.12,16.83,16.84,14.9671,1657634
2010-04-08,16.85,17.0,16.77,16.85,14.976,2216131
2010-04-09,15.98,16.54,15.95,16.43,14.6027,4917512
2010-04-12,16.47,17.23,16.28,17.15,15.2426,3923190
2010-04-13,17.09,17.1501,16.89,17.07,15.1715,2339194
2010-04-14,17.05,17.26,16.97,17.26,15.3404,2021627
2010-04-15,17.24,17.44,17.15,17.28,15.3581,1765290
2010-04-16,17.2,17.32,16.87,17.02,15.1271,2094569
2010-04-19,17.02,17.73,16.965,17.59,15.6337,3283416
2010-04-20,17.65,18.45,17.61,18.21,16.1847,4104697
2010-04-21,18.15,18.36,18.12,18.27,16.238,2681841
2010-04-22,17.99,18.31,17.82,18.31,16.2736,2534443
2010-04-23,18.23,18.49,18.2,18.34,16.3003,2101296
2010-04-26,18.23,18.47,18.23,18.41,16.3625,2152788
2010-04-27,18.31,18.48,18.13,18.14,16.1225,2286402
2010-04-28,18.23,18.3,18.01,18.19,16.1669,1956528
2010-04-29,18.29,18.87,18.29,18.55,16.4869,2295657
2010-04-30,18.5,18.66,18.27,18.27,16.238,2045248
2010-05-03,18.36,18.83,18.34,18.6,16.5313,2147293
2010-05-04,18.44,18.54,18.27,18.31,16.2736,2246287
2010-05-05,18.15,18.48,18.04,18.11,16.0958,2293479
2010-05-06,18.09,18.34,16.71,17.69,15.7225,3906090
2010-05-07,17.66,17.72,16.64,16.71,14.8515,6050541
2010-05-10,17.59,17.69,17.15,17.41,15.4737,4788070
2010-05-11,17.31,17.63,17.25,17.49,15.5448,3575630
2010-05-12,18.16,18.32,17.91,18.11,16.0958,2442536
2010-05-13,18.12,18.4,18.03,18.04,16.0336,1786873
2010-05-14,17.965,18.15,17.76,17.8,15.8203,3179639
2010-05-17,17.8,18.12,17.62,17.87,15.8825,2564419
2010-05-18,18.01,18.24,17.74,17.75,15.7759,1850748
2010-05-19,17.68,17.73,17.235,17.36,15.4292,3079927
2010-05-20,17.13,17.13,16.39,16.43,14.6027,3884774
2010-05-21,16.06,16.38,15.84,16.3,14.4871,5574470
2010-05-24,16.24,16.51,16.17,16.33,14.5138,3093136
2010-05-25,15.92,15.99,15.5,15.8,14.0427,4569375
2010-05-26,15.92,16.33,15.92,16.08,14.2916,3058203
2010-05-27,16.33,16.71,16.32,16.7,14.8426,1801002
2010-05-28,16.65,16.78,16.53,16.66,14.8071,1617652
2010-06-01,16.48,16.53,16.12,16.12,14.3272,2317766
2010-06-02,16.15,16.43,16.11,16.42,14.5938,2308470
2010-06-03,16.45,16.59,16.31,16.45,14.6205,1833945
2010-06-04,16.09,16.27,15.79,15.86,14.0961,3059008
2010-06-07,15.84,16.285,15.75,15.75,13.9983,3832832
2010-06-08,15.7,16.05,15.65,16.0,14.2205,3180672
2010-06-09,16.1,16.4,15.99,16.04,14.2561,1903452
2010-06-10,16.23,16.43,16.18,16.42,14.5938,2072073
2010-06-11,16.61,16.88,16.34,16.86,14.9849,2009438
2010-06-14,16.9,17.12,16.9,16.94,15.056,1553648
2010-06-15,17.02,17.03,16.755,16.79,14.9226,2510179
2010-06-16,16.64,16.74,16.56,16.64,14.7893,2048650
2010-06-17,16.64,16.64,16.25,16.37,14.5494,2525884
2010-06-18,16.35,16.45,16.26,16.3,14.4871,2942218
2010-06-21,16.46,16.63,16.25,16.32,14.5049,1557877
2010-06-22,16.42,16.54,16.2,16.23,14.4249,1851502
2010-06-23,16.21,16.285,15.89,16.22,14.416,2495584
2010-06-24,16.16,16.23,15.99,16.06,14.2738,1895198
2010-06-25,16.12,16.24,15.98,16.01,14.2294,3773424
2010-06-28,15.97,16.15,15.905,15.95,14.1761,2011108
2010-06-29,15.77,15.77,15.32,15.43,13.7139,3072755
2010-06-30,15.33,15.8513,15.27,15.62,13.8828,4561665
2010-07-01,15.65,15.96,14.97,15.55,13.8206,5307120
