date,open,high,low,close,adjusted_close,volume
2010-01-04,14.45,14.9,14.42,14.82,12.6085,4911500
2010-01-05,14.89,15.07,14.7,15.05,12.8041,5108700
2010-01-06,14.96,15.19,14.86,14.91,12.685,3638100
2010-01-07,14.82,14.93,14.53,14.74,12.5404,2857300
2010-01-08,14.93,15.08,14.75,15.0,12.7616,3073600
2010-01-11,15.01,15.16,14.9,15.01,12.7701,2700400
2010-01-12,14.81,14.86,14.54,14.71,12.5149,3067800
2010-01-13,14.73,15.09,14.5,15.05,12.8041,4605800
2010-01-14,15.21,15.62,15.08,15.33,13.0424,5782600
2010-01-15,15.24,15.42,14.73,14.78,12.5744,5321400
2010-01-19,15.04,15.1,14.79,14.86,12.6425,4660900
2010-01-20,14.95,14.99,14.53,14.71,12.5149,6881200
2010-01-21,14.54,14.88,13.95,14.5,12.3362,13939800
2010-01-22,14.39,14.54,13.74,13.81,11.7492,10509100
2010-01-25,13.89,14.11,13.75,13.95,11.8683,3026600
2010-01-26,13.88,13.88,13.27,13.37,11.3748,7473900
2010-01-27,13.34,13.68,13.2,13.56,11.5365,3802600
2010-01-28,13.78,13.82,12.88,13.24,11.2642,7522300
2010-01-29,13.42,13.57,12.64,12.69,10.7963,6065900
2010-02-01,12.67,13.35,12.65,13.24,11.2642,5537600
2010-02-02,13.5,13.86,13.41,13.68,11.6386,7371300
2010-02-03,13.68,13.99,13.58,13.77,11.7152,4170800
2010-02-04,13.63,13.66,13.23,13.39,11.3919,7246700
2010-02-05,13.38,13.63,13.1,13.48,11.4684,6419200
2010-02-08,13.61,13.78,13.33,13.51,11.494,3650700
2010-02-09,13.7,13.89,13.53,13.76,11.7066,5078800
2010-02-10,13.75,14.03,13.69,13.75,11.6981,5137100
2010-02-11,13.73,13.98,13.5,13.89,11.8172,3951800
2010-02-12,13.64,14.08,13.25,13.87,11.8002,4896000
2010-02-16,14.1,14.13,13.73,14.12,12.0129,3488000
2010-02-17,14.19,14.32,14.1,14.32,12.1831,3679200
2010-02-18,14.19,14.64,14.14,14.63,12.4468,3336800
2010-02-19,14.61,14.73,14.38,14.58,12.4043,3251200
2010-02-22,15.0,15.4,14.94,15.29,13.0083,8725200
2010-02-23,15.22,15.26,14.6,14.75,12.5489,5876300
2010-02-24,14.92,15.21,14.84,15.2,12.9318,7070200
2010-02-25,14.71,15.02,14.45,14.97,12.7361,7126300
2010-02-26,15.11,15.3,14.87,15.27,12.9913,5891800
2010-03-01,15.25,15.75,15.0,15.67,13.3316,9255200
2010-03-02,15.85,16.04,15.69,15.76,13.4082,6330300
2010-03-03,15.84,16.15,15.52,15.54,13.221,4820000
2010-03-04,15.65,15.75,15.35,15.52,13.204,2771700
2010-03-05,15.59,15.83,15.45,15.77,13.4167,3047900
2010-03-08,15.86,15.99,15.7,15.92,13.5443,3434100
2010-03-09,15.91,16.06,15.73,15.8,13.4422,4293600
2010-03-10,15.81,15.94,15.63,15.75,13.3997,4337600
2010-03-11,15.67,15.69,15.28,15.63,13.2976,4857500
2010-03-12,15.65,15.65,15.28,15.36,13.0679,3314200
2010-03-15,15.36,15.41,15.15,15.36,13.0679,4262300
2010-03-16,15.33,15.77,15.32,15.67,13.3316,3857800
2010-03-17,15.78,16.28,15.75,16.09,13.6889,4792800
2010-03-18,16.18,16.18,15.75,15.82,13.4592,2665300
2010-03-19,15.83,15.83,15.24,15.32,13.0339,4935100
2010-03-22,15.18,15.74,15.15,15.69,13.3486,4799400
2010-03-23,15.81,16.55,15.79,16.41,13.9612,6734000
2010-03-24,16.32,16.4,16.01,16.05,13.6549,5484000
2010-03-25,16.3,16.6,16.22,16.32,13.8846,5555200
2010-03-26,16.4,16.55,15.82,15.96,13.5783,5554900
2010-03-29,16.01,16.17,15.66,15.78,13.4252,3855800
2010-03-30,15.85,16.07,15.73,16.03,13.6379,3337600
2010-03-31,15.9,16.03,15.59,15.6,13.2721,4687600
2010-04-01,15.7,15.95,15.34,15.49,13.1785,4367200
2010-04-05,15.63,16.0,15.62,15.98,13.5954,2694900
2010-04-06,15.89,15.99,15.75,15.9,13.5273,2079100
2010-04-07,15.85,15.92,15.6,15.74,13.3912,5358000
2010-04-08,15.63,15.65,15.4,15.59,13.2636,3154500
2010-04-09,15.66,15.77,15.54,15.75,13.3997,2415500
2010-04-12,15.86,15.92,15.66,15.8,13.4422,3258000
2010-04-13,15.7,15.94,15.67,15.91,13.5358,4582200
2010-04-14,15.99,16.44,15.92,16.28,13.8506,4691700
2010-04-15,16.26,16.55,16.19,16.42,13.9697,3364900
2010-04-16,16.36,16.36,15.8,16.16,13.7485,3588200
2010-04-19,16.09,16.1,15.45,15.81,13.4507,4244600
2010-04-20,15.91,16.1,15.71,16.0,13.6124,2980500
2010-04-21,16.31,16.4,15.74,15.93,13.5528,3782100
2010-04-22,15.62,15.71,15.31,15.65,13.3146,8797100
2010-04-23,15.6,15.76,15.42,15.55,13.2295,5030200
2010-04-26,15.55,16.0,15.55,15.75,13.3997,4594900
2010-04-27,15.66,15.86,15.41,15.42,13.1189,4399100
2010-04-28,15.6,15.84,15.37,15.72,13.3742,4919900
2010-04-29,15.93,16.24,15.73,16.24,13.8166,7316300
2010-04-30,18.06,18.14,16.75,16.83,14.3185,21678700
2010-05-03,17.45,17.71,17.15,17.44,14.8375,7328000
2010-05-04,17.37,17.37,16.73,16.8,14.293,7425000
2010-05-05,16.5,16.81,15.95,16.43,13.9782,7079000
2010-05-06,16.3,16.6,14.41,15.53,13.2125,8939500
2010-05-07,15.23,15.49,14.27,15.01,12.7701,10380000
2010-05-10,15.81,16.04,15.03,15.78,13.4252,4968400
2010-05-11,15.68,16.07,15.32,15.68,13.3401,5869700
2010-05-12,15.71,16.12,15.7,16.03,13.6379,4151900
2010-05-13,15.94,16.23,15.66,15.76,13.4082,4451100
2010-05-14,15.64,15.8,15.12,15.59,13.2636,5483800
2010-05-17,15.59,15.68,14.9,15.32,13.0339,6500200
2010-05-18,15.51,15.55,14.31,14.52,12.3532,10608700
2010-05-19,14.4,14.83,14.18,14.69,12.4979,5889500
2010-05-20,14.32,14.65,13.91,14.23,12.1065,9158900
2010-05-21,13.91,14.9,13.75,14.58,12.4043,6448000
2010-05-24,14.94,15.32,14.78,14.9,12.6765,8164600
2010-05-25,14.45,14.95,14.09,14.91,12.685,6587100
2010-05-26,15.42,15.65,14.95,15.02,12.7786,7504600
2010-05-27,15.48,16.14,15.37,16.12,13.7145,16231300
2010-05-28,16.16,16.23,15.79,15.93,13.5528,7148500
2010-06-01,15.83,16.33,15.7,15.71,13.3657,5054600
2010-06-02,15.8,16.61,15.74,16.61,14.1314,7625600
2010-06-03,16.62,16.85,16.43,16.78,14.276,5260300
2010-06-04,16.4,16.83,15.98,16.07,13.6719,6100600
2010-06-07,16.12,16.27,15.36,15.46,13.153,5404700
2010-06-08,15.53,15.84,15.14,15.48,13.17,4863700
2010-06-09,15.6,15.93,15.18,15.29,13.0083,5070100
2010-06-10,15.52,15.87,15.35,15.79,13.4337,3970000
2010-06-11,15.51,16.34,15.46,16.31,13.8761,5719900
2010-06-14,16.52,16.8,16.39,16.43,13.9782,6149200
2010-06-15,16.59,17.29,16.52,17.24,14.6673,5265900
