date,open,high,low,close,adjusted_close,volume
2014-07-31,23.0,24.0,22.6,23.0,18.9742,56483859
2014-08-01,22.9,23.0,22.67,23.0,18.9742,6458897
2014-08-04,23.1,23.13,22.9,23.0,18.9742,3455893
2014-08-05,22.99,23.01,22.67,23.0,18.9742,4450212
2014-08-06,22.8,22.98,22.67,22.98,18.9577,6993351
2014-08-07,22.89,23.0,22.8,22.93,18.9164,3190375
2014-08-08,22.93,23.03,22.8,22.95,18.9329,2855023
2014-08-11,22.9,22.93,22.8,22.93,18.9164,1767541
2014-08-12,22.89,23.0,22.83,23.0,18.9742,1549684
2014-08-13,23.0,23.23,22.88,23.18,19.1227,1659478
2014-08-14,23.2,23.22,22.95,23.01,18.9824,1391857
2014-08-15,23.02,23.08,23.0,23.0,18.9742,1948218
2014-08-18,23.06,23.17,23.02,23.17,19.1144,1073659
2014-08-19,23.2,24.435,23.2,24.41,20.1374,2852039
2014-08-20,24.3,25.59,24.26,25.19,20.7809,3549452
2014-08-21,25.47,25.52,24.92,25.39,20.9458,2358073
2014-08-22,25.25,25.43,25.1,25.36,20.9211,892137
2014-08-25,25.37,25.4,24.88,25.12,20.7231,1185585
2014-08-26,25.0,25.1,24.94,25.05,20.6654,951035
2014-08-27,25.0,25.54,24.95,25.47,21.0118,1230580
2014-08-28,25.4,25.84,25.31,25.69,21.1933,982632
2014-08-29,25.81,25.94,25.45,25.79,21.2758,982178
2014-09-02,25.7,25.9,25.52,25.79,21.2758,1873183
2014-09-03,25.99,25.997,25.63,25.79,21.2758,996517
2014-09-04,25.53,25.75,25.51,25.7,21.2016,1117454
2014-09-05,25.7,26.02,25.62,25.77,21.2593,1090378
2014-09-08,25.82,25.98,24.62,24.84,20.4921,2535161
2014-09-09,25.3,25.6,24.7,25.04,20.6571,3608750
2014-09-10,25.19,25.305,24.69,24.7,20.3766,1974609
2014-09-11,24.75,25.02,24.63,24.65,20.3354,2029069
2014-09-12,24.53,24.75,24.44,24.5,20.2116,1106815
2014-09-15,24.35,24.38,23.92,24.15,19.9229,1125620
2014-09-16,24.24,24.36,23.88,24.31,20.0549,1512128
2014-09-17,24.45,24.69,24.36,24.55,20.2529,940500
2014-09-18,24.57,24.84,24.56,24.67,20.3519,879112
2014-09-19,24.85,25.49,24.71,25.41,20.9623,5257854
2014-09-22,25.28,25.36,24.75,24.84,20.4921,736969
2014-09-23,24.66,24.7,24.18,24.58,20.2776,939952
2014-09-24,24.73,25.0,24.675,24.92,20.5581,964624
2014-09-25,24.98,24.98,24.61,24.63,20.3189,1350755
2014-09-26,24.61,24.8,24.34,24.77,20.4344,1252820
2014-09-29,24.57,24.775,24.34,24.7,20.3766,1482038
2014-09-30,24.87,25.12,24.21,24.55,20.2529,8795069
2014-10-01,24.44,24.59,24.18,24.22,19.9806,1196693
2014-10-02,24.35,24.69,23.76,24.58,20.2776,1252964
2014-10-03,24.78,25.09,24.41,24.83,20.4839,1737477
2014-10-06,24.86,25.105,24.75,25.0,20.6241,1057137
2014-10-07,24.94,24.967,24.55,24.85,20.5004,803747
2014-10-08,24.81,25.02,24.7,25.02,20.6406,1074471
2014-10-09,25.02,25.06,24.43,24.55,20.2529,2536330
2014-10-10,24.5,24.72,24.14,24.2,19.9641,1561676
2014-10-13,24.26,24.77,24.2,24.46,20.1786,1726060
2014-10-14,24.63,24.95,24.5801,24.85,20.5004,1036448
2014-10-15,24.74,24.97,24.03,24.52,20.2281,1529454
