date,open,high,low,close,adjusted_close,volume
2010-01-04,38.7,39.75,38.66,39.5,39.5,146888
2010-01-05,39.58,39.67,39.01,39.3,39.3,144318
2010-01-06,39.28,39.75,39.15,39.37,39.37,131388
2010-01-07,39.42,40.08,38.62,39.88,39.88,144117
2010-01-08,39.69,40.38,39.68,40.3,40.3,136852
2010-01-11,40.38,41.05,40.06,40.96,40.96,101333
2010-01-12,40.61,41.19,40.58,41.09,41.09,153882
2010-01-13,41.33,42.25,41.12,42.1,42.1,173028
2010-01-14,41.99,42.69,41.92,42.52,42.52,84476
2010-01-15,42.58,42.87,41.14,41.47,41.47,246319
2010-01-19,41.41,42.4,40.52,42.09,42.09,183394
2010-01-20,41.87,41.87,41.13,41.64,41.64,138212
2010-01-21,41.58,42.12,40.0901,40.12,40.12,302255
2010-01-22,40.01,40.66,39.2,39.45,39.45,141581
2010-01-25,39.56,40.01,38.74,39.91,39.91,203232
2010-01-26,39.68,39.87,39.02,39.24,39.24,113342
2010-01-27,39.0,39.85,38.75,39.81,39.81,111991
2010-01-28,38.75,38.82,38.09,38.51,38.51,339985
2010-01-29,38.53,38.65,37.26,37.26,37.26,377180
2010-02-01,37.31,37.48,36.68,37.48,37.48,360529
2010-02-02,37.47,38.11,37.32,37.59,37.59,292099
2010-02-03,37.48,37.67,37.04,37.49,37.49,135011
2010-02-04,37.21,37.21,35.93,35.98,35.98,140061
2010-02-05,35.96,36.55,35.64,36.44,36.44,186585
2010-02-08,36.3,36.55,35.85,36.22,36.22,235795
2010-02-09,36.65,36.91,36.22,36.7,36.7,153337
2010-02-10,36.65,36.94,36.03,36.92,36.92,304735
2010-02-11,36.91,37.32,36.33,37.31,37.31,122748
2010-02-12,36.83,37.5,36.6,37.48,37.48,216715
2010-02-16,37.91,37.91,37.33,37.81,37.81,114537
2010-02-17,37.98,38.14,37.72,37.87,37.87,124242
2010-02-18,37.88,38.47,37.75,38.47,38.47,185105
2010-02-19,38.4,38.85,38.32,38.44,38.44,151732
2010-02-22,38.46,38.7281,38.0,38.27,38.27,120366
2010-02-23,38.3,38.31,37.64,37.67,37.67,101845
2010-02-24,37.75,38.56,37.75,38.11,38.11,117727
2010-02-25,37.5,38.03,37.21,38.03,38.03,88930
2010-02-26,38.02,38.04,37.46,37.67,37.67,191244
2010-03-01,37.88,38.81,37.5313,38.65,38.65,157021
2010-03-02,38.7,39.243,38.61,39.19,39.19,124453
2010-03-03,39.38,39.95,39.29,39.55,39.55,166978
2010-03-04,39.75,40.2,39.61,40.15,40.15,248302
2010-03-05,40.29,41.13,40.18,40.86,40.86,188468
2010-03-08,40.79,40.98,40.55,40.65,40.65,87194
2010-03-09,40.52,41.32,40.5,40.82,40.82,85862
