date,open,high,low,close,adjusted_close,volume
2010-01-04,69.06,69.74,68.27,68.68,14.744,454116
2010-01-05,68.49,68.99,67.59,68.09,14.6173,281776
2010-01-06,68.4,68.46,67.795,67.91,14.5787,403672
2010-01-07,68.03,68.81,67.57,68.07,14.613,346072
2010-01-08,67.88,68.3,67.19,67.94,14.5851,455164
2010-01-11,68.28,68.7099,67.2,67.5,14.4907,501080
2010-01-12,67.21,67.68,67.05,67.4,14.4692,223120
2010-01-13,67.71,68.24,67.26,68.2,14.6409,203252
2010-01-14,67.98,68.42,67.9,68.25,14.6517,214564
2010-01-15,68.04,68.39,67.04,67.06,14.3962,248364
2010-01-19,67.02,67.98,67.02,67.5,14.4907,375316
2010-01-20,66.86,67.34,66.055,66.83,14.3468,528912
2010-01-21,66.7,66.78,65.55,65.63,14.0892,870960
2010-01-22,65.78,66.16,65.07,65.43,14.0463,213148
2010-01-25,65.74,65.74,64.57,64.94,13.9411,173268
2010-01-26,64.74,65.49,64.24,65.32,14.0227,224444
2010-01-27,65.03,65.68,64.82,65.63,14.0892,217744
2010-01-28,65.48,66.4381,65.16,65.85,14.1364,369808
2010-01-29,65.85,66.93,65.62,65.62,14.0871,429660
2010-02-01,65.52,66.29,65.05,66.18,14.2073,492680
2010-02-02,64.0,65.81,63.04,65.69,14.1021,1429360
2010-02-03,63.21,64.35,63.1,63.99,13.7371,1210904
2010-02-04,63.61,63.8,62.65,62.83,13.4881,746112
2010-02-05,62.99,63.284,60.33,61.48,13.1983,1112188
2010-02-08,61.66,62.86,60.63,61.19,13.136,595004
2010-02-09,61.75,62.16,60.95,61.2,13.1382,719092
2010-02-10,60.96,60.96,60.0,60.49,13.0412,648792
2010-02-11,60.56,60.72,60.03,60.51,13.0455,574912
2010-02-12,60.05,61.82,60.05,61.79,13.3214,1386592
2010-02-16,61.93,61.93,61.24,61.5,13.2589,517576
2010-02-17,61.726,62.2,61.23,62.06,13.3797,805704
2010-02-18,62.24,62.62,61.92,62.48,13.4702,449964
2010-02-19,62.52,63.08,62.18,63.06,13.5953,470280
2010-02-22,63.0,63.19,62.355,62.86,13.5521,1448936
2010-02-23,62.58,63.29,62.055,63.08,13.5996,692432
2010-02-24,63.03,63.77,63.03,63.71,13.7354,322384
2010-02-25,63.21,63.82,63.1,63.51,13.6923,483448
2010-02-26,63.69,63.97,63.21,63.92,13.7807,460952
2010-03-01,63.89,65.1299,63.72,64.75,13.9596,364564
2010-03-02,64.68,65.74,64.68,65.57,14.1364,445644
2010-03-03,65.8,65.88,65.16,65.49,14.1191,416260
2010-03-04,65.5,65.54,65.19,65.45,14.1105,381352
2010-03-05,65.49,66.0,64.95,65.69,14.1623,733368
2010-03-08,65.49,66.44,64.85,65.11,14.0372,577524
2010-03-09,65.12,65.21,64.6,65.03,14.02,398052
2010-03-10,64.86,65.92,64.6301,65.12,14.0394,718060
2010-03-11,64.76,65.62,64.3,65.58,14.1385,233340
2010-03-12,65.86,65.86,64.84,65.38,14.0954,212320
2010-03-15,65.46,66.35,65.46,65.77,14.1795,329172
2010-03-16,65.68,66.02,65.41,65.87,14.2011,169168
2010-03-17,66.11,66.19,65.46,65.9,14.2075,168292
2010-03-18,65.66,66.13,65.66,65.97,14.2226,169604
2010-03-19,66.0,66.23,65.4,65.57,14.1364,556832
2010-03-22,65.25,66.49,65.1,66.21,14.2744,248640
2010-03-23,66.37,67.01,65.1001,66.93,14.4296,320312
2010-03-24,66.85,66.85,66.04,66.1,14.2507,183428
2010-03-25,66.53,66.53,65.31,65.96,14.2205,492112
2010-03-26,65.89,66.1781,64.74,65.39,14.0976,624496
2010-03-29,65.34,65.54,65.12,65.32,14.0825,409868
2010-03-30,65.54,65.58,64.61,64.89,13.9898,386192
2010-03-31,64.63,64.95,63.46,63.58,13.7074,762088
2010-04-01,63.65,64.18,63.26,63.65,13.7225,306816
2010-04-05,63.56,63.63,63.11,63.3,13.647,651260
2010-04-06,63.0,63.41,63.0,63.2,13.6254,334880
2010-04-07,63.0,63.25,62.73,63.1,13.6039,948520
2010-04-08,63.17,63.17,62.59,62.82,13.5435,351992
2010-04-09,62.74,62.75,62.15,62.62,13.5004,407432
2010-04-12,62.53,62.615,61.88,62.05,13.3775,556216
2010-04-13,61.85,62.96,61.58,62.71,13.5198,1739708
2010-04-14,63.05,63.65,62.32,63.01,13.5845,1211580
2010-04-15,63.15,64.03,63.15,63.65,13.7225,1090384
2010-04-16,63.55,63.9301,63.5,63.73,13.7397,250512
2010-04-19,63.6,64.16,62.91,64.07,13.813,459440
2010-04-20,64.25,65.12,63.67,65.0,14.0135,880148
2010-04-21,64.96,65.5,64.78,65.37,14.0933,543476
2010-04-22,64.92,65.28,64.365,65.25,14.0674,340560
2010-04-23,65.16,65.53,65.0,65.46,14.1127,260284
2010-04-26,65.61,65.92,65.0205,65.62,14.1472,300352
2010-04-27,65.3,66.12,64.43,64.5,13.9057,599480
2010-04-28,64.09,64.87,63.51,64.81,13.9725,606796
2010-04-29,65.07,66.13,64.42,65.95,14.2183,429868
2010-04-30,66.17,67.65,65.98,66.25,14.283,564480
2010-05-03,66.52,66.66,66.13,66.4,14.3153,391156
2010-05-04,64.2,65.13,63.38,64.66,13.9402,1493224
2010-05-05,64.01,64.515,62.96,63.01,13.5845,887060
2010-05-06,62.84,62.94,60.47,62.03,13.3732,1275612
2010-05-07,61.86,62.1,60.44,61.79,13.3214,1135384
2010-05-10,63.2,63.76,62.71,63.36,13.6599,712724
2010-05-11,63.15,63.89,62.54,63.57,13.7052,546248
2010-05-12,63.67,63.8,62.58,63.51,13.7485,470856
2010-05-13,63.24,63.56,62.76,63.0,13.6381,258168
2010-05-14,62.76,62.76,61.5,61.96,13.413,406368
2010-05-17,62.32,62.71,60.83,62.4,13.5082,341576
2010-05-18,62.71,63.07,61.09,61.32,13.2744,422412
2010-05-19,61.05,61.99,60.79,61.55,13.3242,372232
2010-05-20,60.69,61.26,59.99,60.58,13.1142,1130876
2010-05-21,59.97,60.62,59.87,60.35,13.0644,527056
2010-05-24,60.39,61.02,59.98,60.15,13.0211,311960
2010-05-25,59.26,60.0,58.04,59.83,12.9519,588544
2010-05-26,60.19,61.579,59.48,60.47,13.0904,684532
2010-05-27,61.49,62.1,60.5504,60.8,13.1618,532420
2010-05-28,61.05,61.05,59.36,60.55,13.1077,588252
2010-06-01,60.42,61.42,59.87,60.05,12.9995,556388
2010-06-02,60.13,60.94,59.86,60.94,13.1922,432312
2010-06-03,61.19,61.74,60.8725,61.38,13.2874,280020
2010-06-04,60.9,61.25,59.63,59.85,12.9562,275772
2010-06-07,60.11,60.48,58.94,58.95,12.7614,329216
2010-06-08,59.01,59.3575,57.67,58.0,12.5557,596780
2010-06-09,58.11,58.47,57.1,57.1,12.3609,1258128
2010-06-10,57.61,58.71,57.49,58.68,12.7029,632352
2010-06-11,58.15,59.81,58.15,59.4,12.8588,441432
2010-06-14,59.63,60.33,59.47,59.56,12.8934,375972
2010-06-15,59.65,60.4,59.51,60.34,13.0623,383780
2010-06-16,60.25,60.88,60.25,60.38,13.0709,210484
2010-06-17,60.25,60.99,60.01,60.33,13.0601,147932
2010-06-18,60.31,61.19,60.11,60.23,13.0385,344120
2010-06-21,60.84,61.41,59.47,59.61,12.9042,333772
2010-06-22,59.54,60.53,58.86,58.9,12.7505,397548
2010-06-23,59.01,59.09,58.03,58.48,12.6596,372676
2010-06-24,58.6,59.11,57.83,57.99,12.5535,362816
2010-06-25,57.98,59.6,57.98,59.32,12.8415,927172
2010-06-28,59.12,60.33,58.51,59.68,12.9194,615204
2010-06-29,59.04,59.57,58.01,58.18,12.5947,640056
2010-06-30,58.01,58.41,57.36,57.45,12.4366,495080
2010-07-01,57.53,57.53,55.63,56.4,12.2093,894664
2010-07-02,56.6,57.21,55.89,56.56,12.244,241884
2010-07-06,57.03,57.85,56.72,57.17,12.376,531760
2010-07-07,57.39,57.77,56.65,57.6,12.4691,364220
2010-07-08,58.05,58.9,57.72,58.16,12.5903,418156
2010-07-09,58.23,58.37,57.53,57.74,12.4994,418156
2010-07-12,57.39,57.94,57.21,57.43,12.4323,223420
2010-07-13,57.75,58.6988,57.55,58.6,12.6856,322536
2010-07-14,58.57,59.0,58.32,58.46,12.6553,347256
2010-07-15,58.36,58.64,57.55,57.88,12.5297,311592
2010-07-16,57.75,58.19,56.5,56.56,12.244,238404
2010-07-19,56.52,56.95,56.39,56.77,12.2894,179720
2010-07-20,56.64,57.42,56.18,57.34,12.4128,246128
2010-07-21,57.62,57.62,56.08,56.14,12.1531,301660
2010-07-22,56.63,57.75,56.42,57.08,12.3565,188620
2010-07-23,57.08,57.73,56.43,57.22,12.3869,258424
2010-07-26,57.48,59.1,56.97,58.92,12.7549,437056
2010-07-27,59.05,59.44,58.55,59.16,12.8068,453488
2010-07-28,59.0,59.52,58.5,58.62,12.6899,392468
2010-07-29,59.18,59.65,57.63,57.97,12.5492,368052
2010-07-30,57.49,58.71,57.004,58.4,12.6423,342700
2010-08-02,59.04,59.53,58.49,58.94,12.7592,192240
2010-08-03,58.92,61.31,58.92,60.91,13.1857,502604
2010-08-04,61.11,61.4889,60.14,61.35,13.2809,483212
2010-08-05,61.03,61.74,60.65,61.09,13.2246,191184
2010-08-06,60.69,62.6,60.64,62.39,13.506,421508
2010-08-09,62.64,63.44,61.55,62.6,13.5515,397716
2010-08-10,61.92,62.88,61.22,61.51,13.3155,447680
2010-08-11,60.89,61.13,60.08,60.1,13.0103,459592
2010-08-12,59.47,60.56,58.53,60.35,13.1212,186444
2010-08-13,60.07,60.79,59.4,59.73,12.9864,389284
2010-08-16,59.61,59.94,59.23,59.69,12.9777,150204
2010-08-17,60.22,61.43,59.36,61.01,13.2647,235460
2010-08-18,60.89,61.35,60.51,61.13,13.2908,284532
2010-08-19,60.94,61.06,59.35,59.69,12.9777,322660
2010-08-20,59.64,60.14,59.05,60.12,13.0712,419012
2010-08-23,60.42,61.11,59.64,59.79,12.9994,235372
2010-08-24,59.23,59.23,58.17,58.4,12.6972,446600
2010-08-25,57.94,58.8,57.91,58.59,12.7385,289660
2010-08-26,58.85,59.14,58.06,58.25,12.6646,212596
2010-08-27,58.7,59.64,58.01,59.56,12.9494,315488
2010-08-30,59.23,59.61,58.7215,58.8,12.7842,239648
2010-08-31,58.6,58.95,57.5,57.73,12.5516,614464
2010-09-01,58.47,59.4674,58.13,58.94,12.8146,404860
2010-09-02,58.96,59.39,58.61,59.25,12.882,283300
2010-09-03,59.93,60.18,59.671,60.0,13.0451,483408
2010-09-07,60.88,60.88,59.17,59.35,12.9038,212880
2010-09-08,59.28,60.1,59.04,59.48,12.932,298356
2010-09-09,60.13,60.46,59.38,60.15,13.0777,455372
2010-09-10,60.19,60.29,59.62,59.82,13.006,490552
2010-09-13,60.23,60.53,59.875,60.27,13.1038,541156
2010-09-14,60.34,61.0,60.29,60.74,13.206,205112
2010-09-15,60.52,61.66,60.52,61.4,13.3495,274264
