date,open,high,low,close,adjusted_close,volume
2010-01-04,55.68,55.93,55.13,55.49,47.477,288351
2010-01-05,55.48,55.5,54.87,54.9,46.9722,205850
2010-01-06,54.93,55.53,54.74,55.45,47.4428,303368
2010-01-07,55.61,56.07,55.35,55.96,47.8791,110086
2010-01-08,55.94,56.33,55.8,56.29,48.1615,66570
2010-01-11,57.62,61.47,57.23,60.69,51.9261,448659
2010-01-12,60.58,61.52,60.03,60.18,51.4898,196677
2010-01-13,60.61,61.31,58.82,60.0,51.3358,118037
2010-01-14,60.09,60.41,59.46,59.81,51.1732,191298
2010-01-15,59.42,59.98,58.77,58.82,50.3261,225828
2010-01-19,59.0,60.89,59.0,60.84,52.0545,213559
2010-01-20,60.63,60.72,59.67,60.58,51.832,111364
2010-01-21,60.37,61.1,59.72,60.11,51.4299,124324
2010-01-22,59.92,59.93,58.63,58.82,50.3261,177088
2010-01-25,58.94,59.285,58.16,58.53,50.078,156267
2010-01-26,58.32,59.02,58.17,58.55,50.0951,103779
2010-01-27,58.36,58.62,58.0,58.43,49.9925,154301
2010-01-28,58.43,58.67,58.0,58.31,49.8898,72017
2010-01-29,58.19,58.72,56.99,57.16,48.9059,235569
2010-02-01,57.32,57.7999,56.775,57.72,49.385,113615
2010-02-02,57.59,58.74,57.59,58.54,50.0866,71478
2010-02-03,58.57,58.89,57.77,58.3,49.8812,68297
2010-02-04,58.0,58.05,56.89,56.94,48.7176,85725
2010-02-05,56.84,56.89,55.99,56.77,48.5722,144590
2010-02-08,56.98,57.68,56.69,57.22,48.9572,122694
2010-02-09,57.39,57.92,57.05,57.85,49.4962,115218
2010-02-10,57.55,57.8,57.11,57.37,49.0855,77350
2010-02-11,57.25,57.82,57.06,57.75,49.4107,74916
2010-02-12,57.27,57.9,56.88,57.85,49.4962,132273
2010-02-16,58.15,59.1895,57.55,59.1,50.5657,82830
2010-02-17,59.35,59.49,58.93,59.09,50.5572,120381
2010-02-18,59.28,59.28,57.21,59.02,50.4973,242183
2010-02-19,58.95,59.76,58.7,59.75,51.1219,114606
2010-02-22,59.98,60.02,59.34,59.64,51.0277,83762
2010-02-23,59.43,60.0,58.84,59.8,51.1646,159735
2010-02-24,59.8,60.48,58.64,59.74,51.1133,212086
2010-02-25,59.2,59.84,57.76,59.69,51.0705,128209
2010-02-26,59.89,61.07,59.62,60.94,52.14,153379
2010-03-01,60.85,61.45,60.65,61.34,52.7767,115735
2010-03-02,61.63,63.32,61.63,63.23,54.4029,228518
2010-03-03,63.0,63.663,62.9,63.21,54.3856,152623
2010-03-04,63.17,63.55,62.4605,62.71,53.9554,183415
2010-03-05,63.01,63.72,62.73,63.61,54.7298,302910
2010-03-08,63.39,63.73,63.09,63.25,54.4201,95092
2010-03-09,63.25,63.59,62.85,63.11,54.2996,78182
2010-03-10,63.28,63.28,62.78,62.9,54.1189,212912
2010-03-11,62.56,62.615,61.8,62.06,53.3962,222939
2010-03-12,62.08,62.43,61.5,62.24,53.5511,132440
2010-03-15,62.05,62.38,61.6,61.93,53.2843,111927
2010-03-16,62.17,62.69,61.56,62.11,53.4392,188888
2010-03-17,62.37,62.89,61.93,62.66,53.9124,59519
2010-03-18,62.58,63.68,62.2375,63.6,54.7212,94812
2010-03-19,63.63,63.63,62.35,62.74,53.9813,241842
2010-03-22,62.28,63.85,62.02,63.73,54.8331,145173
2010-03-23,63.98,64.17,63.06,64.03,55.0912,108820
2010-03-24,64.03,64.04,62.66,62.77,54.0071,162120
2010-03-25,63.43,63.8,62.81,63.28,54.4459,174151
2010-03-26,63.53,63.59,62.5,62.98,54.1878,85957
2010-03-29,63.2,64.53,63.1,64.52,55.5128,141296
2010-03-30,64.83,65.0,64.37,64.46,55.4611,92357
2010-03-31,64.46,65.0,64.07,64.07,55.1256,116333
2010-04-01,64.31,64.6699,63.67,64.3,55.3235,89517
2010-04-05,64.53,64.79,64.28,64.72,55.6848,69381
2010-04-06,64.09,64.671,64.08,64.49,55.487,113767
2010-04-07,64.19,64.53,63.63,64.39,55.4009,130505
2010-04-08,64.11,64.16,63.38,63.66,54.7728,98049
2010-04-09,63.63,63.99,63.49,63.97,55.0395,119724
2010-04-12,64.13,64.13,63.48,63.51,54.6438,178589
2010-04-13,63.35,63.85,63.21,63.69,54.7986,127075
2010-04-14,63.74,65.73,63.73,65.72,56.5452,158222
2010-04-15,65.49,65.92,65.07,65.39,56.2613,144545
2010-04-16,65.35,65.35,64.37,64.41,55.4181,99413
2010-04-19,64.13,64.905,64.05,64.7,55.6676,118958
2010-04-20,64.86,66.07,64.86,66.02,56.8034,75635
2010-04-21,65.88,66.025,65.3736,65.57,56.4162,106354
2010-04-22,64.97,64.97,63.76,64.46,55.4611,162983
2010-04-23,64.68,65.87,64.5,65.3,56.1839,154507
2010-04-26,65.38,65.86,64.67,64.85,55.7967,128603
2010-04-27,63.3,63.49,60.95,61.55,52.9574,504335
2010-04-28,61.8,62.65,61.65,62.11,53.4392,233509
2010-04-29,62.68,63.6,62.64,63.34,54.4975,190826
2010-04-30,63.58,64.21,61.28,61.32,52.7595,235902
2010-05-03,61.5,62.18,61.14,61.99,53.336,221876
2010-05-04,61.5,61.5,60.3501,60.53,52.0798,103341
2010-05-05,60.27,60.31,58.86,59.89,51.5291,133301
2010-05-06,59.52,60.12,56.5,58.43,50.273,176096
2010-05-07,58.55,59.05,57.25,58.12,50.0062,428691
2010-05-10,60.86,60.87,59.06,59.75,51.4087,121072
2010-05-11,59.43,60.27,59.19,59.86,51.5033,127047
2010-05-12,59.74,60.78,59.2,60.52,52.3686,149602
2010-05-13,60.16,60.452,59.31,59.54,51.5206,115537
2010-05-14,59.24,59.24,57.6,57.83,50.0409,224746
2010-05-17,58.19,58.73,56.9,58.38,50.5169,268953
2010-05-18,59.02,59.2,58.08,58.19,50.3525,126115
2010-05-19,57.89,57.89,57.02,57.67,49.9025,196566
2010-05-20,56.59,56.95,55.63,55.76,48.2497,239417
2010-05-21,54.94,56.0499,54.57,55.78,48.2671,155791
2010-05-24,55.76,56.48,55.27,55.91,48.3795,113159
2010-05-25,54.76,55.46,53.99,55.41,47.9469,160124
2010-05-26,55.43,56.17,54.9,55.12,47.6959,147301
2010-05-27,56.11,56.91,55.45,56.91,49.2449,99212
2010-05-28,56.77,56.88,56.03,56.08,48.5266,120048
2010-06-01,55.82,56.63,55.02,55.02,47.6094,116514
2010-06-02,55.1,56.82,54.46,56.82,49.167,153259
2010-06-03,56.58,57.2,56.49,56.88,49.2189,100026
2010-06-04,55.59,55.9199,54.67,54.86,47.471,96314
2010-06-07,55.01,55.04,54.22,54.66,47.2979,269348
2010-06-08,54.76,54.76,53.21,53.89,46.6316,137041
2010-06-09,53.88,54.83,53.52,53.7,46.4672,186408
2010-06-10,54.24,56.06,54.24,55.87,48.3449,140177
2010-06-11,55.07,56.42,55.05,56.35,48.7603,128924
2010-06-14,56.61,57.54,56.59,56.88,49.2189,132625
2010-06-15,57.13,57.89,56.92,57.87,50.0756,99901
2010-06-16,57.71,58.36,57.71,58.24,50.3957,84766
2010-06-17,58.52,58.74,58.1,58.65,50.7505,97861
2010-06-18,58.64,58.83,58.155,58.4,50.5342,108644
2010-06-21,58.96,59.32,58.09,58.43,50.5601,84971
2010-06-22,58.44,59.23,57.67,57.73,49.9544,87469
2010-06-23,57.86,58.27,57.16,57.51,49.764,118165
2010-06-24,57.07,57.27,55.91,56.06,48.5093,123829
2010-06-25,56.03,56.26,55.33,55.94,48.4055,372984
