date,open,high,low,close,adjusted_close,volume
2010-01-04,48.47,48.89,48.4,48.55,33.3462,4589003
2010-01-05,48.51,49.23,48.261,48.73,33.4698,4760043
2010-01-06,48.59,49.7,48.59,49.66,34.1086,7217906
2010-01-07,50.2,50.79,49.72,50.27,34.5275,12538590
2010-01-08,50.05,50.11,49.58,50.07,34.3902,6512782
2010-01-11,50.16,50.33,49.74,50.18,34.4657,3751675
2010-01-12,49.9,49.98,48.96,49.34,33.8888,5471993
2010-01-13,49.33,49.66,49.11,49.34,33.8888,4793354
2010-01-14,49.77,50.35,49.6,50.1,34.4108,7498926
2010-01-15,49.86,50.32,49.79,50.17,34.4589,9093063
2010-01-19,50.47,51.4,50.0,51.2,35.1663,9924888
2010-01-20,50.78,51.39,50.57,50.72,34.8366,8591499
2010-01-21,50.64,51.32,49.7,50.22,34.4932,9240047
2010-01-22,50.02,51.1,50.01,50.38,34.6031,11722370
2010-01-25,50.73,51.08,50.21,50.77,34.871,8908821
2010-01-26,50.56,52.46,50.52,52.02,35.7295,13054760
2010-01-27,51.84,52.2,51.52,51.96,35.6883,11010510
2010-01-28,52.18,52.43,51.61,51.91,35.654,8252767
2010-01-29,52.26,52.38,51.2667,51.27,35.2144,9523322
2010-02-01,51.55,51.61,50.7,51.09,35.0907,8797451
2010-02-02,51.11,51.17,50.61,50.82,34.9053,13403890
2010-02-03,50.69,50.996,50.51,50.6,34.7542,7192335
2010-02-04,49.25,49.4,48.23,49.07,33.7033,15325910
2010-02-05,48.6,49.51,48.51,49.3,33.8613,7345754
2010-02-08,49.26,49.66,48.75,48.78,33.5041,4944232
2010-02-09,49.15,49.7,48.78,49.14,33.7514,4628307
2010-02-10,49.02,49.32,48.61,48.95,33.6209,4433645
2010-02-11,48.85,49.52,48.63,49.16,33.7651,4716319
2010-02-12,48.79,48.98,48.5,48.64,33.408,8710819
2010-02-16,49.3,50.23,49.17,50.09,34.4039,5788901
2010-02-17,50.28,50.76,50.167,50.6,34.8725,5474223
2010-02-18,50.37,50.93,50.13,50.74,34.969,4882863
2010-02-19,50.7,51.08,50.49,50.73,34.9621,5172456
2010-02-22,50.79,51.05,50.56,50.64,34.9001,4000820
2010-02-23,49.9,50.62,48.8,50.06,34.5004,15695030
2010-02-24,50.2,51.16,50.12,50.99,35.1413,9273991
2010-02-25,50.72,51.13,50.27,50.95,35.1138,8211740
2010-02-26,51.0,51.63,50.99,51.52,35.5066,4189693
2010-03-01,51.77,52.34,51.49,52.24,36.0028,4883690
2010-03-02,52.17,52.37,51.475,51.67,35.61,4805204
2010-03-03,51.77,51.92,51.46,51.68,35.6169,3993407
2010-03-04,52.4,53.25,52.15,52.94,36.4852,6891307
2010-03-05,53.34,53.5,52.86,53.49,36.8643,4503215
2010-03-08,53.43,53.64,53.24,53.48,36.8574,3261677
2010-03-09,53.1,53.38,52.58,52.86,36.4301,3597521
