date,open,high,low,close,adjusted_close,volume
2010-01-04,36.0,36.65,35.75,36.04,7.4621,25153996
2010-01-05,35.92,37.04,35.92,37.01,7.6629,21218124
2010-01-06,37.05,37.3,36.77,37.16,7.694,14987380
2010-01-07,38.75,39.74,38.25,39.06,8.0874,54589160
2010-01-08,38.32,38.62,38.03,38.55,7.9818,23387588
2010-01-11,38.81,38.85,38.26,38.49,7.9693,14601228
2010-01-12,38.3,38.35,37.86,38.14,7.8969,11583476
2010-01-13,38.18,38.37,37.91,38.27,7.9238,10988076
2010-01-14,38.3,38.3,37.61,37.8,7.8265,10919720
2010-01-15,37.7,38.12,37.11,37.29,7.7209,15785228
2010-01-19,37.2,37.89,37.2,37.88,7.843,10317948
2010-01-20,37.67,37.67,37.15,37.41,7.7457,8458832
2010-01-21,37.52,37.61,36.8,36.85,7.6298,16357136
2010-01-22,36.82,37.32,36.66,36.74,7.607,18534096
2010-01-25,37.06,37.28,36.7702,37.01,7.6629,12041180
2010-01-26,36.96,38.445,36.96,38.08,7.8844,24568608
2010-01-27,38.11,38.59,37.83,38.39,7.9486,16262756
2010-01-28,38.44,38.63,38.1,38.23,7.9155,21766804
2010-01-29,38.42,38.85,38.0,38.01,7.87,17223776
2010-02-01,38.11,38.78,38.11,38.5,7.9714,20123368
2010-02-02,38.77,39.24,38.75,39.23,8.1226,23249136
2010-02-03,39.15,39.24,38.53,38.76,8.0252,18726220
2010-02-04,38.75,38.89,38.14,38.15,7.8989,20372584
2010-02-05,38.22,38.49,37.7,38.31,7.9321,19835908
2010-02-08,38.35,38.36,37.79,37.79,7.8244,10747136
2010-02-09,38.13,38.15,37.69,37.91,7.8743,11654300
2010-02-10,37.93,38.115,37.4,37.61,7.8119,16517404
2010-02-11,37.61,37.65,37.25,37.52,7.7932,18852308
2010-02-12,37.17,37.67,37.12,37.59,7.8078,14346844
2010-02-16,37.82,38.5,37.74,38.47,7.9906,11753980
2010-02-17,38.64,38.96,38.63,38.79,8.057,11611728
2010-02-18,38.79,39.185,38.53,39.09,8.1193,12092860
2010-02-19,39.0,39.41,38.97,39.15,8.1318,11656280
2010-02-22,39.28,39.47,38.97,39.37,8.1775,16240204
2010-02-23,39.38,39.5,38.79,39.18,8.138,18218168
2010-02-24,39.35,40.55,38.86,40.51,8.4143,28059240
2010-02-25,39.88,41.9,39.76,41.74,8.6698,42671720
2010-02-26,41.6,42.09,41.58,41.63,8.6469,25156656
2010-03-01,41.64,41.8,41.07,41.67,8.6552,21327896
2010-03-02,41.7,41.7,40.92,41.08,8.5327,21888024
2010-03-03,41.24,41.43,40.96,41.16,8.5493,18950604
2010-03-04,41.24,41.43,40.51,41.04,8.5244,30528016
2010-03-05,41.29,41.53,41.0,41.53,8.6262,15569060
2010-03-08,41.57,41.66,41.3,41.54,8.6282,11135640
2010-03-09,41.58,41.94,41.41,41.66,8.6532,11187560
2010-03-10,41.67,41.97,41.44,41.87,8.6968,11386544
2010-03-11,41.77,41.97,41.63,41.77,8.676,15974148
2010-03-12,41.97,42.35,41.82,42.13,8.7508,18421884
2010-03-15,42.07,42.9,41.99,42.87,8.9045,19231824
2010-03-16,42.9,43.24,42.83,43.23,8.9793,15598988
2010-03-17,43.38,43.38,43.01,43.1,8.9523,11717892
2010-03-18,43.33,43.41,42.78,43.16,8.9647,14771132
2010-03-19,43.32,43.41,42.86,42.98,8.9273,14451968
2010-03-22,42.83,43.86,42.83,43.62,9.0603,11163780
2010-03-23,43.74,43.89,43.17,43.53,9.0416,13295164
2010-03-24,43.33,43.67,42.98,43.23,8.9793,11494524
2010-03-25,43.51,43.92,43.26,43.52,9.0395,13332116
2010-03-26,43.66,43.78,43.03,43.33,9.0,14900352
2010-03-29,43.41,43.56,42.87,43.28,8.9896,10122348
2010-03-30,43.39,43.675,43.06,43.2,8.973,10436244
2010-03-31,43.04,43.16,42.37,42.52,8.8318,16798040
2010-04-01,42.63,42.93,42.3776,42.71,8.8713,15062580
2010-04-05,42.8,44.41,42.8,44.35,9.2119,19350288
2010-04-06,44.3,44.95,44.24,44.7,9.2846,23749192
2010-04-07,44.64,44.91,44.32,44.62,9.268,19917108
2010-04-08,44.87,45.34,44.1,44.82,9.3095,28160864
2010-04-09,44.6,44.96,44.14,44.83,9.3116,19628364
2010-04-12,45.06,45.78,44.83,45.61,9.4736,23136456
2010-04-13,45.59,46.33,45.56,46.15,9.5858,24129420
2010-04-14,46.33,46.47,45.94,46.34,9.6252,21797452
2010-04-15,46.03,46.35,45.83,46.25,9.6065,14718744
2010-04-16,46.05,46.23,45.28,45.68,9.4882,18931872
2010-04-19,45.65,45.71,44.86,45.49,9.4487,12029228
2010-04-20,45.76,46.18,45.51,45.99,9.5525,15922644
2010-04-21,46.01,47.0,45.87,46.86,9.7332,19799928
2010-04-22,46.55,47.89,46.45,47.69,9.9056,22151460
2010-04-23,47.93,48.09,47.295,48.01,9.9721,18673836
2010-04-26,48.07,48.5,47.79,47.89,9.9472,18839448
2010-04-27,47.87,48.21,46.97,47.0,9.7623,22747844
2010-04-28,47.34,47.34,46.45,46.7,9.7,17228972
2010-04-29,47.01,47.58,46.82,47.27,9.8184,11158992
2010-04-30,47.38,47.67,46.28,46.34,9.6252,17192252
2010-05-03,46.58,47.49,46.26,47.14,9.7914,11827484
2010-05-04,46.76,46.76,45.54,45.67,9.4861,20402312
2010-05-05,45.4,47.49,45.37,46.32,9.6211,32731488
2010-05-06,45.22,45.75,42.0,44.63,9.2701,39842256
2010-05-07,44.64,45.03,43.08,43.67,9.0707,39581432
2010-05-10,45.95,46.35,44.74,45.76,9.5048,31853492
2010-05-11,45.51,46.24,45.17,45.74,9.5319,29707828
2010-05-12,45.93,46.55,45.54,46.5,9.6902,18634136
2010-05-13,46.49,46.49,45.15,45.36,9.4527,16811188
2010-05-14,45.2,45.83,44.78,45.25,9.4297,25195532
2010-05-17,45.43,45.69,44.58,45.25,9.4297,31241260
2010-05-18,43.7,44.6,43.21,43.68,9.1026,60628000
2010-05-19,43.12,43.6,42.41,43.19,9.0005,31250300
2010-05-20,42.12,44.62,42.1,43.44,9.0526,41963040
2010-05-21,42.83,44.34,42.53,43.98,9.1651,32782540
2010-05-24,44.02,44.54,43.66,43.95,9.1588,20536108
2010-05-25,43.22,45.405,43.0,45.35,9.4506,45026200
2010-05-26,45.46,45.73,44.31,44.5,9.2735,34084864
2010-05-27,45.11,46.04,45.08,46.01,9.5881,24119232
2010-05-28,46.02,46.15,45.16,45.46,9.4735,17404072
2010-06-01,45.37,45.87,44.95,45.27,9.4339,22346828
2010-06-02,45.34,46.1206,44.74,46.12,9.611,23363296
2010-06-03,46.98,47.34,46.055,46.3,9.6486,25000916
2010-06-04,45.77,45.9496,44.36,44.49,9.2714,20826544
2010-06-07,44.78,45.08,43.92,43.97,9.163,19822372
2010-06-08,43.87,44.845,43.64,44.77,9.3297,19082612
2010-06-09,44.97,45.97,44.85,45.02,9.3818,21578676
2010-06-10,45.5,46.29,45.36,46.22,9.6319,17652384
2010-06-11,45.69,46.39,45.5,46.05,9.5965,13089644
2010-06-14,46.25,46.6,45.69,46.08,9.6027,15635340
2010-06-15,46.11,46.62,45.89,46.62,9.7152,15308636
2010-06-16,46.45,46.74,46.09,46.3,9.6486,11747760
2010-06-17,46.32,46.32,45.46,45.9,9.5652,14715876
2010-06-18,45.95,46.69,45.77,45.96,9.5777,23257892
2010-06-21,46.21,46.32,44.85,45.08,9.3943,15923084
2010-06-22,45.17,45.67,44.44,44.48,9.2693,15102964
2010-06-23,44.35,45.04,44.01,44.71,9.3172,14853376
2010-06-24,44.82,44.82,43.92,44.14,9.1984,16884644
2010-06-25,44.15,44.15,43.12,43.14,8.99,42094680
2010-06-28,43.27,43.73,43.09,43.22,9.0067,22371276
2010-06-29,42.58,43.0,41.83,42.03,8.7587,37787592
2010-06-30,42.09,42.72,41.81,41.95,8.7421,22856196
2010-07-01,41.93,42.98,41.52,42.91,8.9421,25504408
2010-07-02,42.95,43.19,42.22,42.37,8.8296,16530568
2010-07-06,43.33,43.51,42.08,42.42,8.84,20384604
2010-07-07,42.6,43.53,42.36,43.51,9.0671,21029684
2010-07-08,42.86,43.02,40.93,41.53,8.6545,60311400
2010-07-09,41.59,41.74,41.18,41.72,8.6941,21342772
2010-07-12,41.71,42.08,41.6,41.99,8.7504,17173608
2010-07-13,42.5,42.93,42.14,42.77,8.9129,16077588
2010-07-14,42.71,42.71,42.03,42.47,8.8504,15657856
2010-07-15,42.42,42.95,42.04,42.88,8.9359,17446992
2010-07-16,42.76,42.76,41.1,41.24,8.5941,22644188
2010-07-19,41.21,41.81,41.19,41.4,8.6274,16252372
2010-07-20,41.01,42.06,40.6,42.04,8.7608,24264908
2010-07-21,42.23,42.4,41.51,41.71,8.692,16098908
2010-07-22,42.05,42.55,41.99,42.25,8.8046,17628024
2010-07-23,42.29,42.9,42.0,42.88,8.9359,11148956
2010-07-26,42.74,42.98,42.35,42.96,8.9525,11866268
