date,open,high,low,close,adjusted_close,volume
2010-01-04,7.74,8.14,7.72,7.97,13.0805,2660995
2010-01-05,7.95,8.07,7.89,7.99,13.1133,2092431
2010-01-06,7.99,8.0,7.4,7.45,12.2271,5606965
2010-01-07,7.49,7.66,7.37,7.52,12.342,4438558
2010-01-08,7.3,7.32,6.96,7.1,11.6527,6776321
2010-01-11,7.07,7.35,7.05,7.19,11.8004,4735061
2010-01-12,7.37,7.45,6.32,6.35,10.4217,14335080
2010-01-13,6.55,6.58,6.17,6.33,10.3889,7783603
2010-01-14,6.21,6.42,6.2,6.23,10.2248,4891120
2010-01-15,6.28,6.36,6.18,6.32,10.3725,5420355
2010-01-19,6.3,6.57,6.26,6.4,10.5038,4783689
2010-01-20,6.37,6.43,6.21,6.24,10.2412,2898485
2010-01-21,6.18,6.27,5.97,5.99,9.8309,6081968
2010-01-22,6.07,6.11,5.87,5.88,9.6504,2817766
2010-01-25,5.97,5.9882,5.81,5.86,9.6175,2671220
2010-01-26,5.87,5.88,5.75,5.75,9.437,3239590
2010-01-27,5.7,5.8,5.58,5.69,9.3385,3183941
2010-01-28,5.69,5.72,5.53,5.53,9.0759,3275180
2010-01-29,5.57,5.75,5.52,5.63,9.2401,3231743
2010-02-01,5.66,6.01,5.64,5.93,9.7324,5991631
2010-02-02,5.85,5.94,5.7,5.91,9.6996,3529927
2010-02-03,5.87,6.21,5.83,6.08,9.9786,4273544
2010-02-04,5.97,6.0,5.7805,5.81,9.5355,3929530
2010-02-05,5.78,5.9,5.62,5.88,9.6504,4362970
2010-02-08,5.86,5.99,5.78,5.87,9.634,2438646
2010-02-09,5.94,6.05,5.83,6.01,9.8637,3091278
2010-02-10,6.0,6.07,5.75,5.78,9.4862,3422531
2010-02-11,5.81,5.95,5.75,5.94,9.7488,2371953
2010-02-12,5.95,6.12,5.86,5.96,9.7817,2797870
2010-02-16,6.05,6.22,6.03,6.2,10.1756,1958117
2010-02-17,6.18,6.28,6.16,6.21,10.192,1764148
2010-02-18,6.21,6.285,6.17,6.27,10.2904,1546162
2010-02-19,6.2,6.35,6.19,6.31,10.3561,1825000
2010-02-22,6.36,6.39,6.15,6.24,10.2412,2011895
2010-02-23,6.21,6.25,6.07,6.16,10.1099,2493125
2010-02-24,6.19,6.29,6.1,6.24,10.2412,2454581
2010-02-25,6.52,6.76,6.31,6.48,10.6351,8189658
2010-02-26,6.56,6.56,6.14,6.17,10.1263,5584132
2010-03-01,6.24,6.28,5.99,6.04,9.913,5131406
2010-03-02,6.13,6.27,6.05,6.23,10.2248,3390886
2010-03-03,6.19,6.35,6.17,6.33,10.3889,3288173
2010-03-04,6.35,6.39,6.24,6.37,10.4546,2161295
2010-03-05,6.38,6.46,6.32,6.38,10.471,2287321
2010-03-08,6.42,6.57,6.37,6.55,10.75,2530512
2010-03-09,6.53,6.68,6.44,6.6,10.832,1800304
2010-03-10,6.58,6.7,6.5408,6.61,10.8485,2384044
2010-03-11,6.6,6.76,6.48,6.73,11.0454,2671394
2010-03-12,6.77,6.8,6.65,6.69,10.9798,1734541
2010-03-15,6.67,6.71,6.6,6.63,10.8813,1195881
2010-03-16,6.63,6.85,6.62,6.85,11.2423,1533984
2010-03-17,6.78,6.94,6.78,6.91,11.3408,1434248
2010-03-18,6.89,6.96,6.81,6.94,11.3901,1786633
2010-03-19,6.96,7.0599,6.88,7.05,11.5706,4155100
2010-03-22,7.0,7.08,6.92,7.0599,11.587,1842679
2010-03-23,7.1,7.25,7.02,7.2,11.8168,3480815
2010-03-24,7.18,7.25,7.04,7.07,11.6034,1844065
2010-03-25,7.2,7.2,6.9,6.94,11.3901,1916615
2010-03-26,6.99,7.065,6.83,6.93,11.3736,1955473
2010-03-29,6.93,7.0599,6.92,6.98,11.4557,1384503
2010-03-30,7.0,7.14,6.98,7.09,11.6362,1928602
2010-03-31,7.01,7.12,6.98,7.08,11.6198,2180108
2010-04-01,7.1,7.26,7.0601,7.21,11.8332,1711612
2010-04-05,7.24,7.4,7.2,7.28,11.9481,2933794
2010-04-06,7.32,7.34,7.18,7.32,12.0137,2267716
2010-04-07,7.36,7.36,7.08,7.16,11.7511,2114707
2010-04-08,7.15,7.42,7.13,7.4,12.145,3016165
2010-04-09,7.42,7.455,7.31,7.35,12.063,2278476
2010-04-12,7.5,7.55,7.46,7.52,12.342,3774352
2010-04-13,7.54,7.7,7.48,7.54,12.3748,3493824
2010-04-14,7.64,7.7,7.49,7.56,12.4076,3401380
2010-04-15,7.55,7.83,7.493,7.72,12.6702,4551322
2010-04-16,7.69,7.71,7.44,7.47,12.2599,2056524
2010-04-19,7.47,7.6,7.3299,7.48,12.2763,2432956
2010-04-20,7.51,7.65,7.38,7.6,12.4733,2225481
2010-04-21,7.62,7.72,7.56,7.66,12.5717,2337911
2010-04-22,7.64,7.76,7.59,7.73,12.6866,1831058
2010-04-23,7.68,7.82,7.63,7.82,12.8343,1613522
2010-04-26,7.86,7.99,7.71,7.77,12.7523,3037926
2010-04-27,7.73,7.81,7.55,7.56,12.4076,2417927
2010-04-28,7.63,7.735,7.53,7.54,12.3748,2560854
2010-04-29,7.6,7.8,7.6,7.79,12.7851,3928178
2010-04-30,7.79,7.94,7.6,7.63,12.5225,2642878
2010-05-03,7.73,8.03,7.7,7.96,13.0641,4355094
2010-05-04,7.87,7.94,7.63,7.77,12.7523,2831104
2010-05-05,7.73,8.0,7.6,7.74,12.703,5994946
2010-05-06,8.22,9.07,7.6,8.06,13.2282,14882500
2010-05-07,8.18,8.19,7.12,7.15,11.7347,11908454
2010-05-10,7.65,7.87,7.56,7.84,12.8672,7751574
2010-05-11,8.2,8.38,8.05,8.2499,13.5401,8982202
2010-05-12,8.34,8.85,8.29,8.75,14.3607,7843393
2010-05-13,8.75,8.9,8.61,8.78,14.4099,4572952
2010-05-14,8.73,8.82,8.62,8.72,14.3114,3791124
2010-05-17,8.95,9.07,8.73,9.05,14.853,6135277
2010-05-18,9.15,9.27,8.71,8.76,14.3771,6711771
2010-05-19,8.74,8.89,8.56,8.82,14.4756,3694624
2010-05-20,8.51,8.67,8.27,8.54,14.016,7627209
2010-05-21,8.32,8.63,8.18,8.39,13.7698,5658239
2010-05-24,8.34,8.72,8.32,8.44,13.8519,3734179
2010-05-25,8.27,8.45,8.01,8.44,13.8519,4831040
2010-05-26,8.49,9.0,8.49,8.77,14.3935,8180376
2010-05-27,8.91,9.0,8.78,9.0,14.771,4490435
2010-05-28,8.98,9.13,8.83,8.99,14.7546,4782618
2010-06-01,8.9,9.25,8.57,8.61,14.1309,7802989
2010-06-02,8.59,8.79,8.37,8.61,14.1309,6007369
2010-06-03,8.69,8.885,8.61,8.86,14.5412,2921896
2010-06-04,8.63,8.91,8.58,8.63,14.1637,3538908
2010-06-07,8.75,8.77,8.26,8.28,13.5893,4204713
2010-06-08,8.32,8.345,8.12,8.29,13.6057,4515218
2010-06-09,8.28,8.495,8.2401,8.29,13.6057,3977611
2010-06-10,8.42,8.56,8.36,8.56,14.0488,1868653
2010-06-11,8.35,8.7,8.16,8.65,14.1965,1548905
2010-06-14,8.77,9.02,8.69,8.89,14.5904,3995584
2010-06-15,8.93,9.16,8.93,9.15,15.0172,3790371
2010-06-16,9.03,9.21,8.95,9.08,14.9023,2614255
2010-06-17,9.19,9.26,9.01,9.14,15.0007,4391128
2010-06-18,9.14,9.27,9.03,9.11,14.9515,3163533
2010-06-21,9.21,9.26,8.82,8.95,14.6889,3601771
2010-06-22,9.13,9.14,8.7,8.77,14.3935,3090714
2010-06-23,8.81,9.0,8.71,8.88,14.574,3342130
2010-06-24,8.88,8.9,8.56,8.61,14.1309,3245670
2010-06-25,8.66,8.66,8.37,8.42,13.8191,3648404
2010-06-28,8.47,8.59,8.34,8.49,13.9339,3583381
2010-06-29,8.36,8.45,8.17,8.27,13.5729,5710115
2010-06-30,8.28,8.4,8.18,8.19,13.4416,4170277
2010-07-01,8.27,8.55,8.16,8.43,13.8355,7531332
2010-07-02,8.51,8.54,8.26,8.3,13.6221,3604537
2010-07-06,8.38,8.48,8.26,8.33,13.6714,4100161
2010-07-07,8.36,8.67,8.24,8.65,14.1965,2838699
2010-07-08,8.77,9.03,8.71,9.01,14.7874,3966329
2010-07-09,9.01,9.25,9.0,9.21,15.1156,3093865
2010-07-12,9.2,9.25,9.1,9.22,15.132,2315569
2010-07-13,9.3,9.6,9.29,9.49,15.5752,3378448
2010-07-14,9.44,9.48,9.26,9.44,15.4931,2665265
2010-07-15,9.48,9.48,9.21,9.32,15.2962,2476008
2010-07-16,9.18,9.34,8.77,8.83,14.492,2798029
2010-07-19,8.87,8.92,8.69,8.8,14.4427,1824849
2010-07-20,8.65,9.05,8.62,9.05,14.853,3618084
2010-07-21,9.06,9.18,8.82,8.84,14.5084,2865509
2010-07-22,8.94,9.02,8.85,8.98,14.7381,1948660
2010-07-23,8.94,9.24,8.81,9.14,15.0007,2112734
2010-07-26,9.22,9.3,8.98,9.28,15.2305,1827004
2010-07-27,9.33,9.33,9.0,9.09,14.9187,2079096
2010-07-28,8.99,9.07,8.76,8.81,14.4591,2043550
2010-07-29,8.86,9.165,8.75,8.87,14.5576,2674453
