date,open,high,low,close,adjusted_close,volume
2010-12-07,24.1,25.2,23.5,24.7,13.4479,10577600
2010-12-08,24.51,26.0,24.4,25.65,13.9651,865113
2010-12-09,25.35,26.25,25.34,25.57,13.9215,877757
2010-12-10,25.37,25.79,25.29,25.64,13.9596,436875
2010-12-13,25.5,26.69,25.49,26.52,14.4388,397730
2010-12-14,26.4,26.6,25.79,26.54,14.4496,250497
2010-12-15,26.56,27.14,25.4802,26.06,14.1883,396053
2010-12-16,25.96,26.93,25.95,26.81,14.5966,133002
2010-12-17,26.99,27.55,26.87,27.31,14.8689,218842
2010-12-20,27.21,28.4,27.19,27.53,14.9887,149219
2010-12-21,27.63,27.7,26.6,27.05,14.7273,139124
2010-12-22,26.85,26.88,26.205,26.88,14.6348,157421
2010-12-23,26.73,26.86,26.7,26.86,14.6239,135148
2010-12-27,26.75,26.75,26.43,26.51,14.4333,96944
2010-12-28,26.45,26.85,26.4,26.8,14.5912,203969
2010-12-29,26.54,27.15,26.5,27.15,14.7818,75198
2010-12-30,27.01,27.19,26.85,27.03,14.7164,297918
2010-12-31,27.0,27.05,26.79,26.81,14.5966,49788
2011-01-03,26.92,27.045,26.51,27.0,14.7001,253458
2011-01-04,27.0,27.19,26.63,27.16,14.7872,232239
2011-01-05,27.01,27.37,26.871,27.34,14.8852,61742
2011-01-06,27.28,28.16,26.95,27.99,15.2391,116065
2011-01-07,27.9,28.13,27.4101,27.8,15.1357,288239
2011-01-10,27.5,27.97,27.07,27.4,14.9179,121080
2011-01-11,27.43,27.64,27.12,27.59,15.0213,188850
2011-01-12,27.68,28.48,27.43,28.35,15.4351,172245
2011-01-13,28.11,28.457,27.888,28.03,15.2609,130113
2011-01-14,28.09,28.474,27.96,28.31,15.4133,249001
2011-01-18,28.6,30.25,28.42,29.34,15.9741,691928
2011-01-19,29.69,29.85,28.8,28.87,15.7182,227618
2011-01-20,28.89,30.04,27.27,29.41,16.0122,354545
2011-01-21,29.5,29.58,28.21,29.41,16.0122,118068
2011-01-24,29.4,30.23,28.51,30.1,16.3879,129309
2011-01-25,30.04,30.98,29.862,30.19,16.4369,203991
2011-01-26,30.23,30.81,29.6,30.4,16.5512,125111
2011-01-27,30.24,30.6,30.0,30.39,16.5458,37220
2011-01-28,30.21,30.76,28.98,30.58,16.6492,256319
2011-01-31,31.54,31.71,30.25,30.73,16.7309,202815
2011-02-01,31.17,31.17,30.1201,30.65,16.7208,85409
2011-02-02,30.44,31.42,30.04,30.16,16.4535,88547
2011-02-03,30.35,30.555,29.25,29.38,16.028,287890
2011-02-04,29.57,30.07,29.38,30.02,16.3772,131469
2011-02-07,30.19,30.74,30.0,30.0,16.3662,97173
2011-02-08,30.04,31.58,29.95,31.2,17.0209,270523
2011-02-09,31.39,31.5,31.16,31.36,17.1082,45045
2011-02-10,31.25,31.73,30.53,30.98,16.9009,74033
2011-02-11,31.16,31.16,30.72,31.02,16.9227,78212
2011-02-14,31.34,32.22,31.27,31.44,17.1518,219834
2011-02-15,31.6,31.92,31.5,31.88,17.3919,201478
2011-02-16,32.26,32.4,31.9999,32.22,17.5773,220691
2011-02-17,32.25,32.29,31.61,32.1,17.5119,91443
2011-02-18,32.21,32.95,32.09,32.34,17.6428,159528
2011-02-22,32.53,32.635,31.4,31.91,17.4082,172230
2011-02-23,32.0,32.1,31.51,31.94,17.4246,72057
2011-02-24,32.23,32.24,31.64,32.04,17.4791,147049
2011-02-25,32.0,32.71,32.0,32.6,17.7847,101014
2011-02-28,32.71,32.9,32.35,32.77,17.8774,36513
2011-03-01,32.98,33.25,31.94,32.6,17.7847,103265
2011-03-02,32.6,33.44,32.305,32.98,17.992,170838
2011-03-03,33.13,33.41,32.7,32.73,17.8556,164367
2011-03-04,32.72,33.64,32.64,33.22,18.1229,75994
2011-03-07,33.18,33.99,33.18,33.95,18.5211,203992
2011-03-08,33.78,33.88,33.31,33.58,18.3193,249956
2011-03-09,33.64,33.89,32.7,33.17,18.0956,273514
2011-03-10,32.98,33.06,31.71,32.2,17.5664,415502
2011-03-11,32.01,32.69,30.8,32.35,17.6483,496397
