date,open,high,low,close,adjusted_close,volume
2010-01-04,25.18,25.88,25.18,25.65,12.825,1407858
2010-01-05,25.63,25.9495,25.41,25.52,12.76,895108
2010-01-06,25.45,25.77,25.45,25.45,12.725,851252
2010-01-07,25.38,25.6,25.27,25.49,12.745,748034
2010-01-08,25.37,25.7966,25.37,25.69,12.845,1007494
2010-01-11,25.74,25.96,25.3,25.48,12.74,906906
2010-01-12,25.35,25.53,24.93,25.08,12.54,924756
2010-01-13,25.2,25.51,24.93,25.35,12.675,1386862
2010-01-14,25.29,25.57,25.22,25.35,12.675,986732
2010-01-15,25.23,25.33,24.44,24.55,12.275,1150712
2010-01-19,24.5,25.0,24.5,24.86,12.43,1923526
2010-01-20,24.61,24.85,23.91,24.0,12.0,2455028
2010-01-21,23.96,24.35,23.68,23.74,11.87,2366216
2010-01-22,23.75,23.8,23.13,23.23,11.615,1511514
2010-01-25,23.48,23.65,23.19,23.48,11.74,1449452
2010-01-26,23.46,23.73,23.31,23.39,11.695,1447000
2010-01-27,23.3,23.675,23.1,23.59,11.795,1608608
2010-01-28,23.58,23.65,22.98,23.0,11.5,1204898
2010-01-29,23.07,23.28,22.87,22.89,11.445,2512548
2010-02-01,23.03,23.21,22.85,23.21,11.605,1097322
2010-02-02,23.19,23.47,22.96,23.27,11.635,1560864
2010-02-03,22.98,24.93,22.95,24.63,12.315,2986530
2010-02-04,24.34,24.34,23.64,23.64,11.82,2338992
2010-02-05,23.65,24.26,23.3095,24.26,12.13,1999632
2010-02-08,24.23,24.78,23.935,24.49,12.245,2030410
2010-02-09,24.68,24.95,24.35,24.7,12.35,1500292
2010-02-10,24.69,24.88,24.24,24.69,12.345,1457096
2010-02-11,24.66,25.07,24.425,25.06,12.53,1550816
2010-02-12,24.82,25.14,24.64,25.13,12.565,2233118
2010-02-16,25.15,25.15,24.63,25.12,12.56,1523914
2010-02-17,25.19,25.779,25.12,25.59,12.795,1399272
2010-02-18,25.63,26.13,25.44,26.03,13.015,1621572
2010-02-19,26.01,26.78,25.81,26.46,13.23,2102972
2010-02-22,26.5,27.21,26.37,27.2,13.6,2206904
2010-02-23,27.01,27.2,26.32,26.56,13.28,1952230
2010-02-24,26.7,27.13,26.64,27.11,13.555,994846
2010-02-25,26.69,27.11,26.49,27.0,13.5,1571154
2010-02-26,27.0,27.12,26.69,26.87,13.435,1419092
2010-03-01,26.9,27.73,26.82,27.41,13.705,1323124
2010-03-02,27.41,27.6625,27.232,27.52,13.76,1016570
2010-03-03,27.62,27.9,27.44,27.58,13.79,942026
2010-03-04,27.52,27.71,27.3,27.39,13.695,936960
2010-03-05,27.46,27.68,27.05,27.16,13.58,3930540
2010-03-08,27.17,27.36,26.93,26.94,13.47,1737882
2010-03-09,26.76,27.12,26.51,27.005,13.5025,2093438
2010-03-10,26.92,27.085,26.78,27.045,13.5225,1566790
2010-03-11,26.86,27.02,26.6988,26.91,13.455,731992
2010-03-12,27.08,27.085,26.555,27.07,13.535,915712
2010-03-15,26.96,27.17,26.79,27.11,13.555,1030450
2010-03-16,27.11,27.32,26.88,27.12,13.56,728612
2010-03-17,27.12,27.99,26.898,27.83,13.915,1036060
2010-03-18,27.82,27.99,27.62,27.95,13.975,793978
2010-03-19,27.97,29.09,27.89,28.28,14.14,2905148
2010-03-22,28.09,28.719,27.99,28.4,14.2,1188326
2010-03-23,28.52,29.215,28.48,29.07,14.535,1480812
2010-03-24,28.88,29.18,28.3702,28.59,14.295,1186280
2010-03-25,28.77,28.85,28.14,28.16,14.08,1447018
2010-03-26,28.32,28.56,28.0,28.21,14.105,1016356
2010-03-29,28.24,28.84,27.99,28.84,14.42,1381214
2010-03-30,28.76,28.99,28.53,28.79,14.395,938504
2010-03-31,28.63,28.91,28.6,28.72,14.36,1523846
2010-04-01,28.75,28.88,28.32,28.52,14.26,824472
2010-04-05,28.51,28.99,28.51,28.93,14.465,530732
2010-04-06,28.71,29.0,28.71,28.99,14.495,740924
2010-04-07,28.18,28.61,27.33,28.61,14.305,3400092
2010-04-08,28.39,28.77,28.13,28.73,14.365,1331678
2010-04-09,28.75,28.99,28.47,28.98,14.49,993682
2010-04-12,28.88,29.16,28.71,29.14,14.57,977682
2010-04-13,29.02,29.65,28.91,29.33,14.665,1697798
2010-04-14,29.4,30.095,29.4,30.03,15.015,1425624
2010-04-15,29.91,30.27,29.91,30.155,15.0775,671882
2010-04-16,30.05,30.37,29.64,29.83,14.915,691950
2010-04-19,29.65,29.99,29.05,29.3,14.65,686482
2010-04-20,29.49,30.17,29.41,30.07,15.035,1753396
2010-04-21,30.79,31.61,30.56,30.58,15.29,2955570
2010-04-22,30.51,30.94,29.875,30.85,15.425,1023300
2010-04-23,30.9,31.21,30.6105,31.01,15.505,852990
2010-04-26,30.93,31.34,30.7305,31.15,15.575,494798
2010-04-27,30.95,31.6,30.75,30.8,15.4,1223316
2010-04-28,31.02,31.46,30.85,31.08,15.54,835282
2010-04-29,31.28,31.94,31.225,31.79,15.895,1017696
2010-04-30,33.01,33.565,32.22,32.7,16.35,2610892
2010-05-03,32.89,33.04,32.09,32.3,16.15,1506588
2010-05-04,31.87,32.11,30.59,30.8375,15.4188,1175468
2010-05-05,30.26,30.73,30.23,30.37,15.185,976958
2010-05-06,30.2,30.57,27.44,29.18,14.59,1487036
2010-05-07,29.05,29.27,28.1,28.47,14.235,1783060
2010-05-10,29.52,30.27,29.37,29.8,14.9,1393648
2010-05-11,29.45,30.55,29.45,30.1,15.05,982486
2010-05-12,30.32,31.65,30.32,31.5,15.75,1602364
2010-05-13,31.49,31.72,31.03,31.19,15.595,789492
2010-05-14,30.99,31.01,29.8,30.16,15.08,1634468
2010-05-17,30.37,31.28,30.37,31.17,15.585,1908128
2010-05-18,31.4,31.49,30.37,30.44,15.22,1467334
2010-05-19,30.26,30.73,29.73,30.15,15.075,1154272
2010-05-20,29.61,29.65,28.47,28.5,14.25,1976102
2010-05-21,28.63,28.89,28.04,28.7,14.35,2181812
2010-05-24,28.66,29.14,28.08,28.1,14.05,1515420
2010-05-25,27.65,27.96,26.73,27.89,13.945,2065650
2010-05-26,27.94,28.8,27.74,28.1,14.05,1130138
2010-05-27,28.41,29.37,28.33,29.33,14.665,720484
2010-05-28,29.18,29.35,28.49,28.73,14.365,1405698
2010-06-01,28.59,28.93,28.22,28.23,14.115,1589898
2010-06-02,28.45,29.0,28.05,29.0,14.5,1053098
2010-06-03,28.96,29.41,28.9,29.33,14.665,660868
2010-06-04,28.81,29.1,28.19,28.28,14.14,1541910
2010-06-07,28.28,28.555,27.47,27.52,13.76,1918664
2010-06-08,27.57,27.91,27.15,27.4,13.7,2813480
2010-06-09,27.62,28.85,27.62,28.25,14.125,2325128
2010-06-10,28.76,29.55,28.76,29.46,14.73,1491680
2010-06-11,29.11,29.86,28.26,29.86,14.93,1065058
2010-06-14,29.98,30.0,29.37,29.41,14.705,805858
2010-06-15,29.49,30.29,29.45,30.18,15.09,1059100
2010-06-16,30.01,30.47,30.0,30.25,15.125,586802
2010-06-17,30.2,30.57,29.76,30.11,15.055,347356
2010-06-18,30.13,30.72,30.13,30.47,15.235,976914
2010-06-21,30.8,31.0,30.26,30.44,15.22,711248
2010-06-22,30.45,30.77,30.0,30.1,15.05,888954
2010-06-23,30.16,30.17,29.46,29.49,14.745,861388
2010-06-24,29.3,29.33,28.8,29.03,14.515,1265714
2010-06-25,29.03,29.68,28.72,29.63,14.815,2031932
2010-06-28,29.66,29.74,29.1,29.15,14.575,1204710
2010-06-29,28.63,28.87,27.94,28.12,14.06,1459936
2010-06-30,28.14,28.68,27.99,28.0,14.0,949336
2010-07-01,27.98,28.235,27.17,27.74,13.87,907140
2010-07-02,27.83,28.32,27.83,28.07,14.035,1016798
2010-07-06,28.52,28.81,27.81,27.92,13.96,756908
2010-07-07,28.0,28.9,27.85,28.85,14.425,993616
2010-07-08,29.03,29.31,28.74,29.02,14.51,818494
2010-07-09,29.05,29.34,28.89,29.26,14.63,484170
2010-07-12,29.08,29.5,28.83,29.1,14.55,565776
2010-07-13,29.35,30.03,29.22,29.93,14.965,712780
2010-07-14,29.9,30.12,29.55,29.78,14.89,845958
2010-07-15,29.72,29.92,29.21,29.76,14.88,509730
2010-07-16,29.53,29.61,28.29,28.32,14.16,850004
2010-07-19,28.37,28.71,28.0057,28.43,14.215,1217926
2010-07-20,28.05,28.33,27.63,28.26,14.13,1696952
2010-07-21,28.46,28.85,28.18,28.49,14.245,1910856
2010-07-22,28.9,29.24,28.68,28.85,14.425,1764304
2010-07-23,28.67,29.79,28.67,29.71,14.855,1247452
2010-07-26,29.86,30.79,29.71,30.69,15.345,1151442
2010-07-27,30.95,30.98,30.15,30.2,15.1,1580954
2010-07-28,30.06,30.36,28.73,28.82,14.41,1445332
2010-07-29,29.12,29.22,28.16,28.27,14.135,1603646
2010-07-30,27.93,28.485,27.52,28.37,14.185,1204336
2010-08-02,28.81,28.99,28.38,28.71,14.355,860840
2010-08-03,28.58,29.5,28.48,29.15,14.575,1210762
2010-08-04,29.18,29.44,28.96,29.06,14.53,560814
2010-08-05,28.81,29.5,28.81,29.37,14.685,740762
2010-08-06,29.11,29.58,28.76,29.43,14.715,550346
2010-08-09,29.51,29.685,29.24,29.65,14.825,368656
2010-08-10,29.23,29.41,28.89,29.2,14.6,533738
2010-08-11,28.74,28.99,28.0,28.47,14.235,1378530
2010-08-12,28.0,28.27,27.85,28.12,14.06,858612
2010-08-13,28.03,28.12,27.76,27.79,13.895,961904
2010-08-16,27.62,27.94,27.41,27.82,13.91,612786
2010-08-17,28.0,29.3,28.0,29.22,14.61,1295878
2010-08-18,29.14,29.27,28.87,29.13,14.565,928494
2010-08-19,28.8,29.1,28.8,29.0,14.5,1274618
2010-08-20,28.86,29.64,28.86,29.61,14.805,1437372
2010-08-23,29.66,29.9898,29.57,29.71,14.855,1179922
2010-08-24,29.28,29.49,28.81,28.86,14.43,2119500
2010-08-25,28.79,28.79,28.19,28.69,14.345,814192
2010-08-26,28.86,29.055,28.23,28.31,14.155,493422
2010-08-27,28.51,28.85,27.95,28.74,14.37,744960
2010-08-30,28.56,28.91,28.0701,28.17,14.085,542210
2010-08-31,28.01,28.62,27.72,28.13,14.065,942640
2010-09-01,28.58,29.15,28.47,29.0,14.5,1075198
2010-09-02,28.92,29.58,28.82,29.56,14.78,1326798
2010-09-03,29.85,30.0,29.6,29.98,14.99,1382228
2010-09-07,29.95,29.98,29.29,29.34,14.67,1303224
2010-09-08,29.37,29.63,29.17,29.26,14.63,1399504
2010-09-09,29.52,29.75,29.26,29.48,14.74,893818
2010-09-10,29.47,29.96,29.38,29.92,14.96,747726
2010-09-13,30.0,30.98,29.97,30.63,15.315,1702504
2010-09-14,30.57,31.88,30.57,31.81,15.905,2460718
2010-09-15,31.7,32.13,31.63,32.02,16.01,1717576
2010-09-16,31.96,32.21,31.86,32.12,16.06,1057378
2010-09-17,32.18,32.6,31.92,32.46,16.23,1672834
2010-09-20,32.69,34.0,32.56,33.89,16.945,1945634
2010-09-21,34.05,34.37,33.6,34.09,17.045,1626702
