date,open,high,low,close,adjusted_close,volume
2010-01-04,50.15,50.44,49.66,49.81,35.3404,3715991
2010-01-05,49.63,49.69,48.52,48.63,34.5031,5941860
2010-01-06,48.26,48.39,47.35,47.94,34.0136,10124460
2010-01-07,47.82,48.85,47.82,48.63,34.5031,4901549
2010-01-08,48.65,48.76,48.07,48.56,34.4535,3933079
2010-01-11,48.7,48.84,48.1,48.54,34.4393,3058441
2010-01-12,48.99,49.39,48.6,48.85,34.6592,5147283
2010-01-13,48.93,49.33,48.83,49.02,34.7798,3462346
2010-01-14,48.93,49.4,48.73,49.28,34.9643,2656210
2010-01-15,49.11,49.46,48.26,48.79,34.6167,4252417
2010-01-19,48.75,49.6,48.43,49.43,35.0707,3349383
2010-01-20,49.26,49.7,48.55,48.93,34.716,3433308
2010-01-21,48.79,49.08,48.03,48.95,34.7302,5942700
2010-01-22,48.81,49.64,48.2,48.31,34.2761,6886256
2010-01-25,48.83,49.11,47.95,48.89,34.6876,4768048
2010-01-26,50.55,51.13,50.15,50.23,35.6383,8488923
2010-01-27,50.29,50.91,50.03,50.9,36.1137,4662345
2010-01-28,51.07,51.07,49.98,50.27,35.6667,4554924
2010-01-29,50.3,50.99,50.09,50.67,35.9505,4484775
2010-02-01,50.95,50.95,50.22,50.69,35.9647,4305883
2010-02-02,50.6,51.18,50.26,51.09,36.2485,5640113
2010-02-03,50.46,50.95,50.28,50.57,35.8796,3978746
2010-02-04,50.27,50.74,49.69,49.73,35.2836,6662457
2010-02-05,49.61,50.5,49.24,50.28,35.6738,6746318
2010-02-08,50.18,50.29,49.01,49.05,34.8011,5193701
2010-02-09,49.54,49.75,48.88,49.57,35.1701,5355306
2010-02-10,49.645,49.91,49.25,49.69,35.2552,4619385
2010-02-11,49.61,50.27,49.26,50.2,35.6171,4639251
2010-02-12,49.77,50.49,49.28,50.45,35.7944,5810313
2010-02-16,50.59,51.61,50.26,51.61,36.6175,5379825
2010-02-17,51.71,51.92,51.17,51.75,36.7168,4512749
2010-02-18,51.65,52.88,51.6,52.74,37.4192,4577578
2010-02-19,52.69,53.1287,52.56,52.88,37.5185,5437223
2010-02-22,53.0,53.29,52.76,53.04,37.6321,4457681
2010-02-23,52.73,53.42,52.32,52.36,37.1496,6511888
2010-02-24,52.49,52.97,52.4,52.79,37.4547,6050503
2010-02-25,52.12,52.88,52.12,52.75,37.4263,5101382
2010-02-26,52.79,52.99,52.32,52.59,37.3128,7398529
2010-03-01,52.76,53.42,52.76,53.08,37.6604,4330160
2010-03-02,53.22,53.44,52.91,53.29,37.8094,3619511
2010-03-03,53.43,53.72,53.12,53.12,37.6888,3892883
2010-03-04,53.27,53.62,53.03,53.55,37.9939,3911710
2010-03-05,53.85,53.97,53.45,53.94,38.2706,4259691
2010-03-08,53.45,53.99,53.41,53.8,38.4062,3145149
2010-03-09,53.96,54.2,53.44,53.57,38.2421,5108928
2010-03-10,53.56,53.78,52.6001,52.89,37.7566,5891196
2010-03-11,52.88,53.66,52.8,53.62,38.2777,4085787
2010-03-12,53.84,54.0,53.0,53.16,37.9494,4490576
2010-03-15,52.99,53.06,52.28,52.73,37.6424,4929591
2010-03-16,52.74,52.955,52.495,52.85,37.7281,4126236
2010-03-17,53.11,53.54,52.85,52.99,37.828,5519057
2010-03-18,53.08,53.71,52.95,53.38,38.1064,4112949
