date,open,high,low,close,adjusted_close,volume
2010-01-04,53.2,54.42,52.99,53.34,11.2237,1316388
2010-01-05,53.44,53.68,51.5,52.78,11.1059,2732052
2010-01-06,52.57,53.09,52.09,52.67,11.0827,1483188
2010-01-07,52.3,53.52,52.3,53.39,11.2342,918836
2010-01-08,53.5,53.92,52.77,53.36,11.2279,547984
2010-01-11,53.38,53.39,52.44,52.93,11.1374,983712
2010-01-12,52.77,53.15,52.43,52.95,11.1416,1346164
2010-01-13,53.27,53.5,52.6,53.29,11.2132,1323096
2010-01-14,53.25,53.395,52.52,52.84,11.1185,1093552
2010-01-15,53.1,53.1,52.12,52.45,11.0364,1418276
2010-01-19,52.25,53.12,52.01,52.87,11.1248,2829164
2010-01-20,50.98,51.46,50.1,51.13,10.7587,2540960
2010-01-21,51.35,52.21,50.02,50.75,10.6787,1835868
2010-01-22,50.87,51.47,50.0,50.11,10.544,1513952
2010-01-25,50.35,51.33,49.65,51.25,10.7839,1590780
2010-01-26,49.54,50.99,49.12,50.62,10.6514,2915720
2010-01-27,50.3,52.47,49.85,52.22,10.988,3322840
2010-01-28,53.1,53.5,51.21,51.5,10.8365,5424456
2010-01-29,51.52,52.32,50.38,50.47,10.6198,2592488
2010-02-01,50.89,52.25,50.59,52.16,10.9754,1877544
2010-02-02,52.03,53.08,51.75,52.92,11.1353,1108500
2010-02-03,52.59,53.1,51.64,52.14,10.9712,1363100
2010-02-04,51.97,52.11,50.68,50.81,10.6913,1210304
2010-02-05,51.0,51.346,49.8,50.6,10.6472,1222140
2010-02-08,52.1,52.1,50.03,50.14,10.5504,1015816
2010-02-09,50.72,51.45,50.1,51.36,10.8071,1178728
2010-02-10,51.05,51.41,50.51,50.96,10.7229,882872
2010-02-11,50.7,51.98,50.13,51.88,10.9165,983372
2010-02-12,51.58,51.82,51.01,51.76,10.8912,937156
2010-02-16,52.0,52.54,51.78,52.43,11.0322,685616
2010-02-17,52.8,53.82,52.63,53.71,11.3016,998652
2010-02-18,53.59,53.59,52.69,53.23,11.2006,940160
2010-02-19,53.27,53.7,52.83,53.42,11.2405,917068
2010-02-22,53.61,54.0,53.28,53.36,11.2279,960820
2010-02-23,53.42,54.1,52.96,53.45,11.2468,1641436
2010-02-24,53.74,54.82,53.0,54.74,11.5183,926908
2010-02-25,54.59,55.52,54.29,54.9,11.5519,1654868
2010-02-26,55.0,55.21,54.4502,54.72,11.5141,1735220
2010-03-01,55.8,57.48,55.3,57.33,12.0633,3808264
2010-03-02,57.23,57.62,56.5,56.94,11.9812,2249936
2010-03-03,57.21,57.43,56.45,56.77,11.9454,1466064
2010-03-04,57.04,57.45,56.39,56.57,11.9033,1481324
2010-03-05,56.66,57.61,56.5,57.48,12.0948,2078996
2010-03-08,57.57,57.89,57.2,57.7,12.1411,809504
2010-03-09,57.58,58.0,57.09,57.4,12.078,1207600
2010-03-10,57.23,58.25,57.03,57.79,12.1601,1184404
2010-03-11,57.33,58.0,57.16,57.97,12.2276,759176
2010-03-12,58.0,58.3,57.4,58.3,12.2972,678232
2010-03-15,58.05,58.29,57.45,58.03,12.2402,732704
2010-03-16,58.02,60.4,58.02,60.28,12.7148,2652532
2010-03-17,59.26,59.67,57.97,58.98,12.4406,3016224
2010-03-18,58.85,59.61,58.31,59.59,12.5693,961740
2010-03-19,59.9,59.9,59.04,59.29,12.506,2049020
2010-03-22,59.0,60.57,58.68,60.31,12.7211,1220028
2010-03-23,60.24,60.24,59.43,59.9,12.6346,1067336
2010-03-24,59.59,59.96,58.7,58.77,12.3963,973232
2010-03-25,58.91,59.44,58.06,58.09,12.2529,1215900
2010-03-26,58.35,58.91,57.9,58.23,12.2824,908072
2010-03-29,58.53,58.93,57.82,58.27,12.2908,724888
2010-03-30,58.5,59.34,58.05,58.99,12.4427,895108
2010-03-31,58.99,59.44,58.04,58.05,12.2444,869524
2010-04-01,58.25,59.4,58.21,59.4,12.5292,826604
2010-04-05,59.74,61.0,59.09,60.98,12.8625,994716
2010-04-06,60.88,61.52,60.63,61.48,12.9679,889772
2010-04-07,66.25,67.882,65.16,66.55,14.0373,6803244
2010-04-08,67.01,67.29,66.0,66.48,14.0226,2057452
2010-04-09,67.89,67.96,66.14,66.46,14.0183,1355904
2010-04-12,66.81,66.936,65.98,66.3,13.9846,909648
2010-04-13,66.31,67.0,66.08,66.82,14.0943,1324208
2010-04-14,67.17,67.24,66.29,66.94,14.1196,2201188
2010-04-15,67.17,67.76,66.58,66.95,14.1217,779084
2010-04-16,67.09,67.43,66.5802,66.92,14.1154,1302588
2010-04-19,66.89,68.69,66.77,68.14,14.3727,2651348
2010-04-20,68.6,69.24,67.63,67.93,14.3284,1404048
2010-04-21,68.04,69.4246,67.35,69.18,14.5921,1817400
2010-04-22,68.29,70.32,68.14,69.87,14.7376,2490584
2010-04-23,69.75,69.9,68.71,69.77,14.7165,1151556
2010-04-26,71.21,71.8598,70.05,70.2,14.8072,1218280
2010-04-27,69.66,69.99,67.51,67.64,14.2672,1939296
2010-04-28,67.75,68.66,66.62,67.03,14.1386,1415384
2010-04-29,67.25,69.9082,67.25,69.64,14.6891,1511236
2010-04-30,69.99,69.99,67.17,67.17,14.1681,2259732
2010-05-03,67.23,68.38,66.74,67.93,14.3284,903244
2010-05-04,67.0,67.68,66.04,66.49,14.0247,1540020
