date,open,high,low,close,adjusted_close,volume
2010-06-29,18.9999,24.9999,17.5401,23.8899,1.5927,281749173
2010-06-30,25.7901,30.4191,23.3001,23.8299,1.5887,257915884
2010-07-01,24.9999,25.92,20.2701,21.96,1.464,123447940
2010-07-02,23.0001,23.1,18.7101,19.2,1.28,77127102
2010-07-06,20.0001,20.0001,15.8301,16.11,1.074,103189435
2010-07-07,16.4001,16.6299,14.9799,15.8001,1.0533,103873705
2010-07-08,16.14,17.52,15.57,17.46,1.164,115793095
2010-07-09,17.58,17.9001,16.5501,17.4,1.16,60879087
2010-07-12,17.9499,18.0699,17.0001,17.0499,1.1367,33053549
2010-07-13,17.394,18.6399,16.8999,18.1401,1.2093,40200898
2010-07-14,17.94,20.1501,17.76,19.8399,1.3227,62941647
2010-07-15,19.9401,21.5001,18.9999,19.89,1.326,56179453
2010-07-16,20.7,21.3,20.0499,20.64,1.376,39318148
2010-07-19,21.3699,22.2501,20.9199,21.9099,1.4607,37297333
2010-07-20,21.8499,21.8499,20.0499,20.3001,1.3533,27378464
2010-07-21,20.6601,20.9001,19.5,20.22,1.348,18801629
2010-07-22,20.4999,21.2499,20.37,21.0,1.4,14435174
2010-07-23,21.1899,21.5601,21.06,21.2901,1.4193,9810735
2010-07-26,21.5001,21.5001,20.3001,20.9499,1.3967,13836794
2010-07-27,20.91,21.18,20.2599,20.55,1.37,9295125
2010-07-28,20.55,20.9001,20.5101,20.7201,1.3813,7007745
2010-07-29,20.7699,20.88,20.0001,20.3499,1.3567,9238650
2010-07-30,20.1999,20.4399,19.5501,19.9401,1.3293,6402450
2010-08-02,20.4999,20.97,20.3331,20.9199,1.3947,10787175
2010-08-03,21.0,21.9501,20.82,21.9501,1.4633,18465344
2010-08-04,21.9501,22.1799,20.85,21.2601,1.4173,13811339
2010-08-05,21.54,21.5499,20.0499,20.4501,1.3633,11945699
2010-08-06,20.1,20.16,19.5201,19.59,1.306,11132070
2010-08-09,19.8999,19.98,19.4499,19.5999,1.3067,12189839
2010-08-10,19.65,19.65,18.8199,19.0299,1.2687,19219289
2010-08-11,18.69,18.8799,17.85,17.9001,1.1933,11964749
