date,open,high,low,close,adjusted_close,volume
2010-01-04,22.2918,22.5704,22.2299,22.4466,17.8228,2368302
2010-01-05,22.3537,22.4528,22.0689,22.2237,17.6458,2014924
2010-01-06,22.2237,22.2794,21.9141,22.0627,17.518,2615208
2010-01-07,22.075,22.6014,21.9388,22.2856,17.695,3166297
2010-01-08,22.1865,22.7128,22.0812,22.6695,17.9998,2461050
2010-01-11,22.8305,23.4435,22.75,23.2268,18.4423,3391531
2010-01-12,22.9853,23.0534,22.5642,22.7376,18.0539,2503720
2010-01-13,22.7748,22.8181,22.5518,22.7128,18.0342,2315700
2010-01-14,22.6633,22.9296,22.6138,22.9048,18.1866,1556701
2010-01-15,22.9234,23.072,22.7438,22.9481,18.221,2685495
2010-01-19,22.8986,23.4187,22.8553,23.2144,18.4325,4934550
2010-01-20,23.041,23.0844,22.5704,23.0596,18.3095,4012456
2010-01-21,23.1525,23.1834,22.6385,22.7066,18.0293,4220177
2010-01-22,22.6571,22.7748,21.815,21.8212,17.3262,3253873
2010-01-25,22.0007,22.1617,21.6726,21.6787,17.2131,3013609
2010-01-26,21.5983,21.7345,21.1648,21.5239,17.0902,3816022
2010-01-27,21.3506,21.3629,20.5518,20.979,16.6576,5856555
2010-01-28,20.9976,21.0533,20.2855,20.6137,16.3675,3643904
2010-01-29,20.6818,20.818,20.0905,20.0997,15.9594,4099097
2010-02-01,20.4713,20.657,20.205,20.4527,16.2396,4567420
2010-02-02,20.6261,21.5425,20.527,21.3568,16.9575,5106682
2010-02-03,21.202,21.5797,21.1338,21.3877,16.9821,2140630
2010-02-04,21.2267,21.2267,20.4403,20.4713,16.2544,2967645
2010-02-05,20.4217,20.4899,19.7654,20.3784,16.1806,5237554
2010-02-08,20.3227,20.7437,20.0069,20.3598,16.1659,2251817
2010-02-09,21.0595,21.6168,20.7252,20.7809,16.5002,4430457
2010-02-10,20.7685,21.041,20.5518,20.6756,16.4166,3754570
2010-02-11,20.6694,21.0967,20.4837,21.041,16.7067,4163101
2010-02-12,19.1833,19.592,18.6508,19.3567,15.4011,17390500
2010-02-16,19.4681,19.8107,19.3133,19.7406,15.7066,3767677
2010-02-17,19.7778,20.3103,19.6106,20.1431,16.0268,4253986
2010-02-18,20.1245,20.6818,20.0007,20.5827,16.3766,3459248
2010-02-19,20.496,20.7933,20.3722,20.657,16.4358,2511928
2010-02-22,20.7004,20.8057,20.5642,20.6013,16.3914,2803208
2010-02-23,20.4465,20.5951,19.9883,20.1307,16.017,4823953
2010-02-24,20.1679,20.2298,19.7839,20.0626,15.9628,4408575
2010-02-25,19.7901,19.883,19.4867,19.8087,15.7608,5237329
2010-02-26,19.8087,19.8459,19.561,19.7592,15.7214,3647531
2010-03-01,19.7778,20.3289,19.7654,20.2422,16.1057,4473039
2010-03-02,20.4032,20.4217,20.205,20.3289,16.1746,5589951
2010-03-03,20.4341,21.0843,20.4217,20.8366,16.5786,4963913
2010-03-04,21.0224,21.0657,20.4403,20.5456,16.3471,5841809
2010-03-05,20.7499,21.1276,20.719,21.0162,16.7215,3301688
2010-03-08,21.01,21.1462,20.8242,21.0719,16.7658,2354183
2010-03-09,20.88,21.2608,20.8614,20.9543,16.6722,2710430
2010-03-10,20.9605,21.0905,20.7747,20.9852,16.6969,2273779
2010-03-11,20.9109,21.5239,20.7995,21.4992,17.1058,4943657
2010-03-12,21.4682,21.6726,21.3629,21.5549,17.1501,5553327
2010-03-15,21.3877,21.7221,21.301,21.6354,17.2142,3046746
2010-03-16,21.7654,22.2299,21.6726,22.106,17.5886,3934025
2010-03-17,22.1122,22.2113,21.7165,21.7902,17.3374,4170586
2010-03-18,21.8397,21.9512,21.6044,21.8769,17.4063,2770338
2010-03-19,21.9636,22.0627,21.3753,21.5921,17.1797,4122271
2010-03-22,21.3815,22.0812,21.3072,22.0503,17.5443,3096558
2010-03-23,21.9945,22.4218,21.9945,22.3847,17.8103,2823796
2010-03-24,22.2608,22.3351,21.5549,21.6106,17.1945,4126772
2010-03-25,21.7716,22.0627,21.3753,21.3753,17.0073,4101762
2010-03-26,21.3877,21.623,21.2763,21.4496,17.0664,3496515
2010-03-29,21.5611,21.7345,21.4311,21.4558,17.0713,1876387
2010-03-30,21.5611,22.0441,21.4868,21.5983,17.1846,3184984
2010-03-31,21.5116,21.7407,21.4434,21.5921,17.1797,2323113
2010-04-01,21.7964,22.28,21.7834,22.0131,17.5147,2290368
2010-04-05,22.075,22.5395,22.075,22.4775,17.8842,2621871
2010-04-06,22.298,22.6509,22.267,22.5642,17.9532,3185136
2010-04-07,22.4218,22.7995,22.3599,22.7005,18.0616,5057243
2010-04-08,22.4404,22.8553,22.3289,22.7933,18.1355,4419626
2010-04-09,22.88,23.1401,22.7066,23.1153,18.3917,3952532
2010-04-12,23.4683,23.4992,23.0596,23.1896,18.4508,5140454
2010-04-13,23.1834,23.1834,22.7779,22.911,18.2291,3894639
2010-04-14,23.0906,23.1773,22.9172,23.1277,18.4015,3129407
2010-04-15,23.072,23.5736,22.9667,23.4187,18.6331,4833176
2010-04-16,23.3816,23.5178,22.9048,23.0101,18.3079,3730662
2010-04-19,22.8615,23.0906,22.6633,23.072,18.3572,2997337
2010-04-20,23.2887,23.716,23.2887,23.5612,18.7464,5396811
2010-04-21,23.5859,23.6912,23.4683,23.6788,18.84,5233584
2010-04-22,23.555,24.4033,23.2268,24.1494,19.2145,5366596
2010-04-23,22.7871,23.0534,22.106,22.9729,18.2784,15621900
2010-04-26,23.1153,23.7903,22.9543,23.4311,18.643,5273015
2010-04-27,23.4002,23.524,22.6014,22.719,18.0764,4457142
2010-04-28,22.8862,23.0286,22.5209,22.6323,18.0074,4428433
2010-04-29,22.8738,23.1463,22.781,23.072,18.3572,3883287
2010-04-30,23.0472,23.5302,22.75,22.8986,18.2192,3523501
2010-05-03,23.0101,23.5921,22.9977,23.5612,18.7464,2978017
2010-05-04,23.1463,23.1649,22.5333,22.6695,18.037,3914252
2010-05-05,22.3599,23.4559,22.1432,23.1277,18.4015,8401304
2010-05-06,22.8676,23.3506,21.0286,22.4156,17.835,10693440
2010-05-07,22.2794,22.9791,21.6044,21.8212,17.362,8741170
2010-05-10,22.9234,23.5983,22.5395,23.2887,18.5296,6222811
2010-05-11,22.9358,23.7903,22.8924,23.5983,18.776,4681717
2010-05-12,23.8708,24.5395,23.8274,24.5271,19.515,6743245
2010-05-13,24.3352,25.1402,24.199,24.7748,19.7121,5472665
2010-05-14,24.5581,24.5581,23.7593,23.9946,19.0913,3783762
2010-05-17,24.0937,24.1494,23.4126,23.9884,19.0864,4914502
2010-05-18,23.5736,24.137,23.4373,23.5364,18.7267,5190724
2010-05-19,23.4311,23.6726,22.6943,22.942,18.2537,5148026
2010-05-20,22.4156,22.5271,21.7531,21.9822,17.4901,4605131
2010-05-21,21.6044,22.3165,21.4806,22.2175,17.6773,4628359
2010-05-24,22.106,22.5333,22.0193,22.106,17.5886,3711748
2010-05-25,21.5301,22.1432,21.2763,22.0812,17.5689,4566767
2010-05-26,22.3413,22.8057,22.2453,22.3723,17.8005,3883937
2010-05-27,22.911,23.3878,22.8676,23.3321,18.5641,3398369
2010-05-28,23.4869,23.4869,22.8862,23.1029,18.3818,2759507
2010-06-01,22.7748,23.6974,22.7748,23.2082,18.4656,5319769
2010-06-02,23.3135,23.846,23.0844,23.846,18.973,3361102
2010-06-03,23.9513,24.329,23.9327,24.2547,19.2982,3874436
2010-06-04,23.7717,23.9389,22.9234,23.0534,18.3424,3217350
2010-06-07,23.0534,23.233,22.4156,22.4775,17.8842,5125187
2010-06-08,22.4775,22.6633,22.0998,22.5828,17.968,4707635
2010-06-09,22.8243,23.0286,22.3227,22.4218,17.8399,3729084
2010-06-10,22.911,23.1958,22.6819,23.0968,18.4125,3255253
2010-06-11,22.6819,23.3754,22.6819,23.3506,18.6149,2605308
2010-06-14,23.524,24.0442,23.524,23.5797,18.7975,2862290
2010-06-15,23.8646,24.5767,23.8274,24.5457,19.5676,4266286
2010-06-16,24.2361,24.6819,24.2299,24.4962,19.5281,3843576
2010-06-17,24.6386,24.7005,24.007,24.3042,19.3751,2931418
2010-06-18,24.329,24.5891,24.1494,24.4095,19.459,3003953
2010-06-21,24.6943,25.1711,24.5707,24.7624,19.7404,4245950
2010-06-22,24.7996,24.973,24.0875,24.168,19.2665,3448883
2010-06-23,24.2423,24.3414,23.6045,23.8955,19.0493,5793773
2010-06-24,23.7284,23.9327,23.363,23.685,18.8815,4190844
2010-06-25,23.6231,23.7593,23.1091,23.5302,18.758,23692340
2010-06-28,23.5116,23.555,22.88,22.9172,18.2694,4249720
2010-06-29,22.5395,22.6138,21.6849,21.8459,17.4154,6449877
2010-06-30,21.945,22.1555,21.3134,21.3568,17.0254,4502579
2010-07-01,21.5673,21.5673,20.5022,20.8552,16.6256,6611235
2010-07-02,20.9419,21.1276,20.5951,20.6323,16.4478,3623997
2010-07-06,20.9543,21.3506,20.5765,20.7313,16.5268,4554377
