date,open,high,low,close,adjusted_close,volume
2016-09-21,28.75,30.4,27.8,30.1,3.01,63437679
2016-09-22,31.0,31.6999,28.41,28.9,2.89,22728040
2016-09-23,28.85,28.9,26.84,27.66,2.766,10587080
2016-09-26,27.1,28.4202,27.0,27.77,2.777,3060800
2016-09-27,28.33,30.8483,27.34,29.98,2.998,10157660
2016-09-28,30.73,33.4,30.02,33.39,3.339,20564760
2016-09-29,32.6,33.195,28.8,28.99,2.899,17033420
2016-09-30,29.35,30.95,29.19,29.21,2.921,9493020
2016-10-03,29.12,29.3166,26.19,26.38,2.638,10804130
2016-10-04,26.39,27.25,23.63,23.83,2.383,13381260
2016-10-05,24.42,25.2,23.5,24.78,2.478,9634480
2016-10-06,25.12,26.94,24.6132,26.08,2.608,8557960
2016-10-07,25.28,26.49,25.02,26.26,2.626,4485520
2016-10-10,25.77,26.3704,25.1011,25.28,2.528,3645340
2016-10-11,25.06,25.9253,23.5,25.52,2.552,5394250
2016-10-12,25.32,26.96,25.32,26.9,2.69,3322470
2016-10-13,26.4,26.73,25.5,25.97,2.597,2456560
2016-10-14,26.11,27.2399,26.05,26.36,2.636,2229130
2016-10-17,27.02,27.25,26.14,26.27,2.627,3375800
2016-10-18,26.27,26.5079,25.81,25.88,2.588,1716060
2016-10-19,25.75,26.22,25.251,25.46,2.546,1117480
2016-10-20,25.1,26.66,25.05,26.49,2.649,1041060
2016-10-21,26.51,27.5,26.24,27.48,2.748,2359370
2016-10-24,27.38,28.7,27.05,28.52,2.852,2731450
2016-10-25,28.61,29.47,28.5682,28.8,2.88,2805400
2016-10-26,28.95,29.09,27.89,28.18,2.818,1824830
2016-10-27,28.16,28.5969,25.44,25.52,2.552,3676470
2016-10-28,25.75,26.755,25.5,25.61,2.561,1685310
2016-10-31,26.01,26.01,24.17,25.18,2.518,1764650
2016-11-01,25.44,25.7,25.0,25.24,2.524,889100
2016-11-02,25.02,26.0,24.2,24.43,2.443,1825320
2016-11-03,24.26,24.5122,22.01,22.9,2.29,4022330
2016-11-04,22.93,24.1891,22.79,23.87,2.387,1537410
2016-11-07,24.16,24.34,22.275,22.9,2.29,2068240
2016-11-08,24.26,24.3,22.5501,22.8,2.28,5773930
2016-11-09,22.15,23.5,22.0,22.95,2.295,5572680
2016-11-10,23.9,24.34,23.185,23.43,2.343,5622110
2016-11-11,25.01,26.49,24.02,25.45,2.545,11264180
2016-11-14,25.57,27.35,25.5,25.77,2.577,6951610
2016-11-15,25.84,26.12,25.03,25.25,2.525,5440980
2016-11-16,25.0,25.97,24.8001,25.36,2.536,4685570
2016-11-17,25.57,26.4599,25.41,25.93,2.593,6081230
2016-11-18,25.97,29.25,25.97,29.1,2.91,8258950
2016-11-21,28.86,30.48,28.0,29.33,2.933,7482590
2016-11-22,29.4,29.6,28.32,28.73,2.873,3832550
2016-11-23,28.71,30.5,28.19,30.19,3.019,5274690
2016-11-25,29.99,30.48,28.66,29.08,2.908,2575550
2016-11-28,29.28,29.28,25.7101,26.7,2.67,9056610
2016-11-29,26.65,27.78,25.5,27.12,2.712,4602690
2016-11-30,26.94,27.838,25.8153,26.58,2.658,3137330
2016-12-01,26.4,27.0,25.48,26.08,2.608,4861770
2016-12-02,25.87,26.48,25.62,26.2,2.62,3054980
2016-12-05,26.2,27.21,26.0911,26.62,2.662,2795370
2016-12-06,26.61,28.41,26.08,28.1,2.81,5032850
2016-12-07,28.12,28.525,27.46,27.58,2.758,2082170
2016-12-08,27.53,28.6388,27.0,27.41,2.741,1663740
2016-12-09,27.56,28.43,27.06,27.47,2.747,3624830
2016-12-12,28.64,29.55,28.1,29.36,2.936,4978130
2016-12-13,29.4,30.38,28.67,29.29,2.929,5631990
2016-12-14,29.12,29.55,27.93,28.0,2.8,5029700
2016-12-15,28.1,29.65,28.04,29.52,2.952,4314460
2016-12-16,29.69,29.97,28.64,29.23,2.923,11764280
2016-12-19,29.36,29.9,28.76,29.22,2.922,3269430
2016-12-20,29.39,31.43,28.93,31.1,3.11,5311400
2016-12-21,31.22,31.22,29.84,30.36,3.036,3475210
2016-12-22,30.2,30.915,29.5,30.32,3.032,2712460
2016-12-23,30.46,30.74,29.55,30.15,3.015,1064050
2016-12-27,30.46,30.63,29.6,29.94,2.994,1709390
2016-12-28,29.85,30.225,28.44,28.49,2.849,2333980
2016-12-29,28.6,29.12,28.12,28.38,2.838,2069630
2016-12-30,28.35,28.73,26.93,27.67,2.767,2850220
2017-01-03,28.05,28.76,26.45,26.93,2.693,4429680
2017-01-04,27.01,28.65,26.4,27.1,2.71,4261680
2017-01-05,26.9,27.71,26.52,27.45,2.745,1615180
2017-01-06,27.51,27.9,26.9,27.7,2.77,2369110
2017-01-09,27.56,28.94,27.33,28.44,2.844,2491840
2017-01-10,28.42,29.0,27.75,28.86,2.886,3098030
2017-01-11,28.79,30.1,28.29,29.75,2.975,2556020
2017-01-12,29.63,29.74,28.5369,29.37,2.937,1442520
2017-01-13,29.42,30.5,29.2,29.35,2.935,1627610
2017-01-17,29.22,29.52,28.87,28.99,2.899,702390
2017-01-18,29.11,29.51,28.58,29.01,2.901,1297530
2017-01-19,28.63,29.22,28.6,29.0,2.9,991610
2017-01-20,28.98,29.6,28.98,29.26,2.926,809910
2017-01-23,29.29,29.92,29.17,29.79,2.979,749000
2017-01-24,29.97,30.04,29.3,29.65,2.965,1547050
2017-01-25,29.92,31.25,29.8,30.41,3.041,2512690
2017-01-26,30.39,31.1,30.2201,30.78,3.078,1531630
2017-01-27,30.69,31.0571,30.46,30.83,3.083,1337500
2017-01-30,30.7,30.8953,29.3,29.75,2.975,3096060
2017-01-31,29.64,30.1199,29.12,29.66,2.966,3386800
2017-02-01,29.97,30.08,28.9,29.59,2.959,2557990
2017-02-02,29.38,29.5,28.91,29.02,2.902,777290
2017-02-03,29.23,29.23,28.4401,28.92,2.892,2288810
2017-02-06,28.74,28.99,28.28,28.8,2.88,848210
2017-02-07,29.46,29.46,28.11,28.55,2.855,1217020
2017-02-08,28.43,29.01,28.23,28.34,2.834,632460
2017-02-09,28.37,29.11,28.36,29.04,2.904,1193980
2017-02-10,29.12,29.53,28.91,29.05,2.905,947220
2017-02-13,29.16,30.48,29.16,30.06,3.006,2086590
2017-02-14,30.11,32.19,29.86,30.35,3.035,4722710
2017-02-15,30.5,31.84,30.5,31.67,3.167,1363870
2017-02-16,32.13,33.5,31.54,33.36,3.336,5569760
2017-02-17,34.0,35.36,31.89,32.41,3.241,10486170
2017-02-21,33.36,35.71,32.45,35.0,3.5,4890790
2017-02-22,34.8,35.49,33.94,34.3,3.43,2015000
2017-02-23,36.0,36.87,34.855,36.39,3.639,4643260
2017-02-24,37.43,38.14,36.6226,37.32,3.732,4878630
2017-02-27,37.48,37.48,35.2,36.83,3.683,6252090
2017-02-28,38.11,42.27,37.76,42.21,4.221,44082120
2017-03-01,41.55,44.0,41.01,43.05,4.305,8175520
2017-03-02,42.33,43.25,41.71,42.44,4.244,4530620
2017-03-03,42.69,45.15,41.95,44.6,4.46,6569130
2017-03-06,44.5,44.5,40.92,42.34,4.234,7248450
2017-03-07,42.12,44.4,41.37,44.08,4.408,4239840
2017-03-08,44.21,44.5,43.16,43.31,4.331,2636980
2017-03-09,43.33,44.38,42.79,44.38,4.438,2616090
2017-03-10,44.47,46.025,44.0,45.79,4.579,5096800
2017-03-13,45.79,46.21,43.02,43.35,4.335,3668340
2017-03-14,43.23,43.99,41.08,41.22,4.122,4795450
2017-03-15,41.02,42.2,40.41,41.55,4.155,7894680
2017-03-16,41.84,42.2,39.7,40.18,4.018,4598820
2017-03-17,40.06,40.2,38.67,39.51,3.951,6283680
2017-03-20,38.8,39.819,38.0,38.1,3.81,6820430
2017-03-21,37.68,38.75,36.551,37.55,3.755,13644220
2017-03-22,37.23,38.8074,37.05,38.64,3.864,7839510
2017-03-23,38.41,38.78,36.8,37.02,3.702,4724780
2017-03-24,37.0,37.39,35.88,36.02,3.602,8435030
2017-03-27,35.63,37.93,34.79,37.22,3.722,9821000
2017-03-28,37.26,37.3,35.75,36.49,3.649,5385500
2017-03-29,36.25,38.33,36.25,37.98,3.798,9089600
2017-03-30,37.78,38.68,36.42,36.73,3.673,7198670
2017-03-31,36.85,37.8,36.11,37.25,3.725,8255720
2017-04-03,37.19,37.67,36.83,37.02,3.702,6110860
2017-04-04,37.01,37.38,35.39,36.33,3.633,6289530
2017-04-05,36.5,37.5,35.97,37.05,3.705,6410790
2017-04-06,37.45,38.3,37.32,37.71,3.771,4695540
2017-04-07,37.66,37.96,36.9,36.99,3.699,3379150
2017-04-10,37.11,37.72,36.68,36.9,3.69,2336070
2017-04-11,36.8,38.14,36.68,37.55,3.755,6295730
2017-04-12,37.69,37.705,36.95,37.21,3.721,4840500
2017-04-13,36.98,37.5793,35.67,36.85,3.685,3788320
2017-04-17,36.65,37.44,35.931,36.44,3.644,4417070
2017-04-18,36.32,36.4,35.04,35.19,3.519,6662080
2017-04-19,35.32,36.05,35.3,35.86,3.586,4162580
2017-04-20,35.99,36.715,35.83,36.23,3.623,2552710
2017-04-21,36.29,36.49,35.65,35.98,3.598,2474010
2017-04-24,36.37,37.22,36.16,36.47,3.647,4538340
2017-04-25,36.56,36.9,35.97,36.2,3.62,4192470
2017-04-26,36.2,37.09,36.2,36.33,3.633,2612210
2017-04-27,36.4,38.07,35.56,37.69,3.769,5708560
2017-04-28,38.1,38.44,36.61,37.35,3.735,5308950
2017-05-01,37.61,37.938,36.87,37.59,3.759,2846820
2017-05-02,37.76,39.0,37.5,38.28,3.828,6404020
2017-05-03,38.33,38.77,37.55,38.06,3.806,2389260
2017-05-04,38.06,40.05,37.71,39.85,3.985,12118750
2017-05-05,39.86,40.28,38.79,40.07,4.007,6736190
2017-05-08,40.23,40.67,39.5,40.39,4.039,4350210
2017-05-09,40.3,41.635,40.2,40.86,4.086,6591610
2017-05-10,40.86,41.0768,39.82,40.05,4.005,3580460
2017-05-11,40.09,40.22,39.2501,39.89,3.989,12561980
2017-05-12,47.58,53.68,46.6,51.9,5.19,124613599
2017-05-15,52.02,54.5,51.68,53.57,5.357,32904700
2017-05-16,54.23,54.26,51.91,52.2,5.22,9825090
2017-05-17,51.09,52.53,47.69,47.75,4.775,19591690
2017-05-18,47.9,51.88,47.7,51.38,5.138,17027950
2017-05-19,52.0,52.465,49.63,50.07,5.007,15223170
2017-05-22,49.0,53.147,48.77,52.51,5.251,13189150
2017-05-23,52.75,54.38,50.9,53.48,5.348,12436760
2017-05-24,52.77,53.47,51.5,51.5,5.15,44321390
2017-05-25,52.04,53.05,51.37,51.99,5.199,16976530
2017-05-26,52.19,53.28,51.52,52.24,5.224,8964140
2017-05-30,52.72,55.17,51.3153,53.49,5.349,18299990
2017-05-31,53.99,55.39,52.25,55.0,5.5,18685330
2017-06-01,55.93,56.48,53.45,54.96,5.496,14302720
2017-06-02,55.04,57.395,54.31,56.96,5.696,13782050
2017-06-05,57.29,57.57,55.44,55.69,5.569,8343240
2017-06-06,55.39,56.81,54.71,55.84,5.584,8110020
2017-06-07,55.61,56.55,53.62,54.38,5.438,8478430
2017-06-08,55.23,55.86,53.88,55.44,5.544,8004260
2017-06-09,55.55,56.459,50.69,51.36,5.136,20554910
2017-06-12,51.01,51.24,49.06,50.05,5.005,13170650
2017-06-13,51.38,52.0,49.28,50.15,5.015,9602940
2017-06-14,50.4,51.0,48.82,49.24,4.924,8394860
2017-06-15,49.12,49.76,47.34,48.65,4.865,14370830
2017-06-16,48.7,50.39,48.405,49.93,4.993,16127310
2017-06-19,51.22,52.25,50.2,52.07,5.207,12542120
2017-06-20,52.29,52.29,50.0,50.89,5.089,9163650
2017-06-21,50.92,52.5,50.89,52.35,5.235,7674250
2017-06-22,52.51,52.719,51.3,51.85,5.185,9535540
2017-06-23,52.0,54.3,51.81,54.21,5.421,21433940
2017-06-26,54.6,55.0824,51.99,53.08,5.308,7458240
2017-06-27,52.75,53.1,50.08,50.51,5.051,7344220
2017-06-28,50.51,52.74,50.12,52.54,5.254,8284180
2017-06-29,52.28,52.28,50.07,50.84,5.084,6362100
2017-06-30,50.9,51.252,50.07,50.11,5.011,3994200
2017-07-03,50.63,50.63,48.09,49.72,4.972,5468710
2017-07-05,50.09,50.66,48.874,49.88,4.988,4518890
2017-07-06,49.14,50.3391,48.35,48.64,4.864,8161920
2017-07-07,48.81,50.5,48.22,49.9,4.99,6094940
2017-07-10,50.07,50.64,49.61,50.15,5.015,4075690
2017-07-11,50.15,52.605,49.92,51.17,5.117,8952280
2017-07-12,51.94,52.8,51.45,51.51,5.151,8039660
