date,open,high,low,close,adjusted_close,volume
2010-01-04,16.56,16.71,16.14,16.21,9.8512,1835136
2010-01-05,16.2,16.3,16.01,16.19,9.839,1665576
2010-01-06,16.22,16.42,15.96,16.08,9.7722,1888968
2010-01-07,16.04,16.42,15.82,16.2,9.8451,1791980
2010-01-08,16.04,16.18,15.77,15.88,9.6506,1099768
2010-01-11,16.09,16.25,15.96,15.99,9.7175,1531315
2010-01-12,16.17,16.24,15.52,15.6,9.4805,2410801
2010-01-13,15.43,15.96,15.35,15.87,9.7571,1949440
2010-01-14,15.73,15.84,15.61,15.74,9.6772,1233942
2010-01-15,15.62,15.74,15.44,15.55,9.5604,1531590
2010-01-19,15.61,15.965,15.51,15.93,9.794,1855839
2010-01-20,15.8,15.82,15.46,15.77,9.6957,1500034
2010-01-21,15.76,15.915,15.34,15.36,9.4436,2653469
2010-01-22,15.44,15.55,14.93,14.97,9.2038,1828469
2010-01-25,15.28,15.47,14.85,15.29,9.4006,1979479
2010-01-26,15.15,15.35,14.94,15.19,9.3391,2069397
2010-01-27,15.16,15.4,14.92,15.4,9.4682,1789558
2010-01-28,15.4,15.64,15.22,15.44,9.4928,2003155
2010-01-29,15.52,15.7,15.37,15.56,9.5666,2573350
2010-02-01,15.67,15.87,15.57,15.75,9.6834,1845360
2010-02-02,15.44,16.09,15.44,16.05,9.8678,1547431
2010-02-03,15.93,15.94,15.43,15.71,9.6588,1881443
2010-02-04,15.54,15.73,15.31,15.33,9.4251,3858183
2010-02-05,15.36,15.81,15.21,15.81,9.7203,4798511
2010-02-08,15.72,15.96,15.48,15.52,9.542,2499532
2010-02-09,15.8,15.8,14.99,15.09,9.2776,4455250
2010-02-10,14.98,15.15,14.48,14.7,9.0378,2427205
2010-02-11,14.65,15.06,14.4725,15.05,9.253,2589086
2010-02-12,14.9,15.25,14.76,15.15,9.3145,3174879
2010-02-16,15.34,15.78,15.12,15.76,9.6895,2689041
2010-02-17,15.77,16.05,15.71,15.98,9.8248,1880233
2010-02-18,15.96,16.35,15.78,16.25,9.9908,1486298
2010-02-19,16.19,16.4,16.08,16.31,10.0277,2532853
2010-02-22,16.4,16.57,16.19,16.48,10.1322,2141609
2010-02-23,16.46,16.56,16.29,16.5,10.1445,1853250
2010-02-24,16.52,16.73,16.46,16.71,10.2736,1598669
2010-02-25,16.49,16.7,16.38,16.67,10.249,1633489
2010-02-26,16.625,16.95,16.48,16.8,10.3289,2227647
2010-03-01,16.84,16.98,16.68,16.78,10.3166,1512299
2010-03-02,16.81,16.84,16.65,16.74,10.292,1114249
2010-03-03,16.75,16.77,16.56,16.56,10.1814,1133785
2010-03-04,16.59,16.71,16.48,16.52,10.1568,1751417
2010-03-05,16.63,16.98,16.52,16.94,10.415,2811476
2010-03-08,16.86,17.24,16.75,17.12,10.5257,1515428
2010-03-09,17.05,17.37,16.94,17.06,10.4888,3724295
2010-03-10,17.14,17.26,16.9,17.0,10.4519,3167223
2010-03-11,16.88,17.29,16.85,17.26,10.6117,1495016
2010-03-12,17.34,17.44,17.14,17.31,10.6425,1327130
2010-03-15,17.29,17.41,16.9,17.22,10.5872,1231761
2010-03-16,17.29,17.84,17.22,17.8,10.9437,1674373
2010-03-17,17.72,18.03,17.09,17.84,10.9683,1793693
2010-03-18,17.76,18.0,17.66,17.77,10.9253,1482707
2010-03-19,17.81,17.83,17.57,17.77,10.9253,2503556
2010-03-22,17.6,17.86,17.56,17.78,10.9314,1855022
2010-03-23,17.74,17.81,17.47,17.73,10.9007,1585726
2010-03-24,17.64,17.84,17.58,17.79,10.9376,1600707
2010-03-25,17.87,18.26,17.87,17.97,11.0483,2193954
2010-03-26,18.05,18.25,17.93,18.05,11.0974,2124747
2010-03-29,18.12,18.13,17.87,17.93,11.0237,986523
2010-03-30,17.91,18.04,17.78,17.93,11.0237,2156883
2010-03-31,17.83,17.98,17.63,17.64,10.8454,1847049
2010-04-01,17.78,17.79,17.57,17.74,10.9069,1323159
2010-04-05,17.95,18.25,17.74,18.23,11.2081,1608896
2010-04-06,18.47,19.005,18.33,18.79,11.5524,3235256
2010-04-07,18.8,18.83,18.19,18.35,11.2819,2058858
2010-04-08,18.14,18.38,17.95,18.34,11.3874,1732614
2010-04-09,18.4,18.96,18.37,18.96,11.7724,2289936
2010-04-12,18.93,19.15,18.79,18.95,11.7662,2954066
2010-04-13,18.92,19.7,18.88,19.66,12.207,3174674
2010-04-14,19.79,19.81,19.59,19.8,12.294,3230855
2010-04-15,19.68,19.75,19.26,19.3,11.9835,2798627
2010-04-16,19.23,19.56,19.03,19.08,11.8469,3658161
2010-04-19,18.97,19.37,18.89,19.35,12.0146,3055030
2010-04-20,19.43,19.73,19.25,19.73,12.2505,1899352
2010-04-21,19.69,20.605,19.69,20.34,12.6293,2948559
2010-04-22,20.09,20.82,20.01,20.77,12.8963,2002701
2010-04-23,20.83,21.2,20.53,21.06,13.0763,4019268
2010-04-26,20.947,21.25,20.81,20.89,12.9708,3317488
2010-04-27,20.73,21.05,20.41,20.42,12.6789,2775265
2010-04-28,20.48,20.75,20.3,20.36,12.6417,2712209
2010-04-29,20.63,21.34,20.565,21.25,13.1943,4995493
2010-04-30,21.23,21.5,20.3,20.31,12.6106,2990950
2010-05-03,20.51,21.4,20.51,21.12,13.1136,2873520
2010-05-04,20.75,21.62,20.5227,21.41,13.2936,3314274
2010-05-05,21.27,21.69,20.92,21.09,13.0949,4284808
2010-05-06,20.84,21.15,18.85,20.18,12.5299,4497029
2010-05-07,20.16,20.77,19.5,19.8,12.294,3499330
2010-05-10,20.74,21.08,20.58,21.08,13.0887,3200596
2010-05-11,20.72,21.54,20.61,21.21,13.1695,3016942
2010-05-12,21.35,21.82,21.26,21.66,13.4489,2893945
2010-05-13,21.64,21.77,21.21,21.3,13.2253,1917773
2010-05-14,21.09,21.24,20.61,20.84,12.9397,2548031
2010-05-17,20.92,21.23,20.1,20.88,12.9646,1731441
2010-05-18,21.2,21.27,20.34,20.41,12.6727,2585821
2010-05-19,20.39,20.69,19.79,20.28,12.592,3032896
2010-05-20,19.72,20.0,19.16,19.2,11.9214,3189992
2010-05-21,18.88,19.8199,18.76,19.76,12.2691,3482337
2010-05-24,19.69,19.76,19.07,19.09,11.8531,1908047
2010-05-25,18.57,19.32,18.29,19.23,11.9401,3890530
2010-05-26,19.34,19.91,19.15,19.36,12.0208,2796031
2010-05-27,19.8,20.56,19.58,20.52,12.741,3245515
2010-05-28,20.52,20.74,20.24,20.33,12.6231,3009818
2010-06-01,20.11,20.32,19.78,19.82,12.3064,2930465
2010-06-02,19.92,20.28,19.64,20.28,12.592,2197598
2010-06-03,20.23,20.33,19.74,19.79,12.2878,2733895
2010-06-04,19.35,19.57,18.09,18.3,11.3626,6164344
2010-06-07,18.41,18.675,18.1,18.27,11.344,5322714
2010-06-08,18.28,18.61,17.78,18.52,11.4992,3973557
2010-06-09,18.72,19.47,18.705,18.91,11.7414,3814339
2010-06-10,19.32,19.765,19.12,19.68,12.2195,3255359
2010-06-11,19.53,20.0,19.42,19.92,12.3685,2250025
2010-06-14,20.11,20.47,20.0,20.23,12.561,2475089
2010-06-15,20.31,20.72,20.21,20.64,12.8155,1334731
2010-06-16,20.53,20.77,20.31,20.62,12.8031,1778683
2010-06-17,20.62,20.86,20.44,20.74,12.8776,2033445
2010-06-18,20.82,20.91,20.57,20.82,12.9273,2787448
2010-06-21,21.01,21.16,20.33,20.43,12.6851,1985359
2010-06-22,20.42,20.65,19.42,19.45,12.0767,3322883
2010-06-23,19.42,19.83,19.05,19.52,12.1201,2179592
2010-06-24,19.35,19.57,18.9,18.99,11.791,3025804
2010-06-25,19.11,19.7,18.93,19.66,12.207,3485011
2010-06-28,19.85,19.99,19.59,19.75,12.2629,2674520
2010-06-29,19.39,19.515,18.99,19.13,11.878,3636554
2010-06-30,19.13,19.71,19.02,19.13,11.878,3527579
2010-07-01,19.1,19.27,18.56,19.16,11.8966,3051452
2010-07-02,18.8,19.09,18.315,18.47,11.4682,3270252
2010-07-06,18.69,19.0,17.93,18.15,11.2695,4214607
2010-07-07,18.15,19.28,18.15,19.26,11.9587,3970006
2010-07-08,19.64,19.89,19.21,19.6,12.2846,3146096
2010-07-09,19.48,20.02,19.48,20.0,12.5353,2273673
2010-07-12,19.92,20.07,19.61,19.93,12.4914,1486993
2010-07-13,20.19,20.48,20.14,20.39,12.7797,1867555
2010-07-14,20.24,20.42,19.79,20.13,12.6168,1999512
2010-07-15,20.13,20.29,19.62,20.19,12.6544,1732418
2010-07-16,19.98,20.18,19.05,19.19,12.0276,2283741
2010-07-19,19.31,19.66,18.8,19.54,12.247,1493653
2010-07-20,19.18,20.0,19.045,19.98,12.5228,1743251
2010-07-21,20.2,20.2,19.36,19.46,12.1969,1930017
2010-07-22,19.82,20.5,19.72,20.38,12.7735,1940672
2010-07-23,20.31,20.62,19.95,20.62,12.9239,2110695
2010-07-26,20.64,21.39,20.43,21.35,13.3814,1623599
2010-07-27,21.51,21.71,21.11,21.24,13.3125,2875092
2010-07-28,21.14,21.59,21.13,21.39,13.4065,1436266
2010-07-29,21.55,21.63,20.85,21.07,13.2059,2323096
2010-07-30,20.79,21.25,20.58,21.11,13.231,1532429
2010-08-02,21.52,21.99,21.48,21.65,13.5695,2204516
2010-08-03,21.48,21.67,21.15,21.32,13.3626,2267444
2010-08-04,21.46,21.48,21.04,21.16,13.2624,2465953
2010-08-05,21.0,21.37,20.96,20.98,13.1495,1890944
2010-08-06,20.82,21.04,20.51,20.85,13.0681,2011194
2010-08-09,21.0,21.25,20.805,21.17,13.2686,1002819
2010-08-10,20.84,21.23,20.73,20.97,13.1433,1168055
2010-08-11,20.51,20.75,20.25,20.4,12.786,1719897
2010-08-12,20.13,20.37,20.0,20.12,12.6105,1409628
2010-08-13,19.58,20.34,19.5,20.15,12.6293,1639847
2010-08-16,20.19,20.37,19.87,20.05,12.5666,1686957
2010-08-17,20.26,20.48,20.12,20.4,12.786,2562548
2010-08-18,20.4,20.74,20.2,20.51,12.855,1218545
2010-08-19,20.4,20.41,19.725,19.9,12.4726,1685724
2010-08-20,19.77,19.9,19.63,19.9,12.4726,1086214
2010-08-23,20.03,20.29,19.96,20.07,12.5792,1141741
2010-08-24,19.74,20.24,19.64,20.0,12.5353,1499046
2010-08-25,19.74,20.47,19.74,20.38,12.7735,1159940
2010-08-26,20.48,20.67,20.08,20.11,12.6043,1220458
2010-08-27,20.31,20.6,19.9,20.45,12.8174,1878932
