date,open,high,low,close,adjusted_close,volume
2010-01-04,30.66,31.15,30.66,31.15,29.0996,1553602
2010-01-05,31.14,31.42,30.71,30.9,28.8661,1210887
2010-01-06,30.93,31.23,30.65,30.75,28.726,1039658
2010-01-07,30.85,31.3,30.64,31.21,29.1557,1186298
2010-01-08,31.25,32.68,31.21,32.62,30.4729,1905909
2010-01-11,32.87,33.12,32.24,32.28,30.1553,803464
2010-01-12,32.07,32.19,31.18,31.31,29.2491,882144
2010-01-13,31.51,32.79,31.51,32.76,30.6037,1360170
2010-01-14,32.53,33.42,32.42,33.36,31.1642,1185586
2010-01-15,33.34,33.36,32.22,32.36,30.23,933963
2010-01-19,31.99,32.18,30.78,32.17,30.0525,1775896
2010-01-20,31.935,31.935,29.6,30.32,28.3243,4784287
2010-01-21,30.29,30.55,29.06,29.23,27.306,1791912
2010-01-22,29.21,29.9,28.67,28.75,26.8576,1566571
2010-01-25,29.0,29.77,28.72,29.54,27.5956,1578924
2010-01-26,29.42,30.96,29.3,30.85,28.8194,1844036
2010-01-27,30.86,30.86,29.71,30.23,28.2402,1858261
2010-01-28,30.28,30.39,29.13,29.39,27.4555,1066870
2010-01-29,29.43,29.87,29.015,29.16,27.2406,937583
2010-02-01,29.22,29.36,28.8,29.36,27.4275,1137122
2010-02-02,29.41,30.42,29.18,30.34,28.343,1098618
2010-02-03,30.3,30.3,29.73,29.88,27.9132,431190
2010-02-04,29.75,29.75,29.02,29.17,27.25,945293
2010-02-05,29.2,29.25,28.4,28.83,26.9324,902748
2010-02-08,28.77,29.13,28.4,28.94,27.0351,1374948
2010-02-09,29.27,30.35,29.05,30.24,28.2495,1585418
2010-02-10,30.05,31.21,30.05,30.87,28.8381,2193430
2010-02-11,30.73,31.45,30.445,31.38,29.3145,942332
2010-02-12,31.05,32.02,30.88,32.02,29.9124,1023953
2010-02-16,32.21,32.29,31.7,32.01,29.903,1031089
2010-02-17,32.0,32.3,31.73,31.84,29.7442,1578076
2010-02-18,31.74,31.95,31.16,31.91,29.8096,1804456
