date,open,high,low,close,adjusted_close,volume
2010-01-04,58.18,58.82,57.98,58.18,37.636,3897349
2010-01-05,58.25,59.0,58.12,58.28,37.7007,5966326
2010-01-06,58.21,58.27,57.81,57.85,37.4226,5770318
2010-01-07,57.96,57.96,57.19,57.41,37.1379,5746997
2010-01-08,59.77,61.13,59.52,60.17,38.9234,13779640
2010-01-11,60.55,63.38,60.5,62.82,40.6376,13746840
2010-01-12,62.52,62.94,62.1,62.4,40.3659,5662614
2010-01-13,63.13,63.22,61.9333,62.07,40.1524,5822598
2010-01-14,61.86,62.36,61.83,62.2,40.2365,4698357
2010-01-15,62.2,62.4,61.72,61.93,40.0619,6066296
2010-01-19,62.01,62.78,62.0,62.25,40.2689,3524976
2010-01-20,62.16,62.21,60.67,61.16,39.5638,5261167
2010-01-21,61.07,61.32,59.53,59.7,38.6193,6344194
2010-01-22,59.49,59.55,58.6,58.75,38.0048,5623223
2010-01-25,59.11,59.52,58.262,58.75,38.0048,3520470
2010-01-26,58.49,59.2,57.89,58.64,37.9336,3285801
2010-01-27,58.65,59.5,58.12,59.34,38.3864,5247215
2010-01-28,59.51,59.65,58.06,58.96,38.1406,5711515
2010-01-29,59.13,59.79,57.71,57.77,37.3708,6567438
2010-02-01,57.95,58.53,57.45,58.39,37.7719,6331008
2010-02-02,59.74,59.95,58.3,58.62,37.9207,7844080
2010-02-03,58.73,59.3,58.25,58.87,38.0824,4745360
2010-02-04,58.43,58.63,57.24,57.29,37.0603,7259901
2010-02-05,57.18,57.73,56.23,57.2,37.0021,5799338
2010-02-08,57.17,57.4,56.49,56.62,36.6269,3485068
2010-02-09,57.35,58.18,56.9,57.41,37.1379,5262768
2010-02-10,57.45,57.45,56.57,57.07,36.918,4705172
2010-02-11,56.81,57.15,56.36,56.72,36.9963,6647263
2010-02-12,56.26,56.42,55.77,56.15,36.6245,6149060
2010-02-16,56.94,57.49,56.4695,57.33,37.3941,5065287
2010-02-17,57.51,57.6,57.1421,57.51,37.5116,4489001
2010-02-18,57.31,57.61,56.93,57.17,37.2898,4332558
2010-02-19,56.95,58.16,56.78,57.81,37.7072,4886016
2010-02-22,58.07,58.22,57.67,57.95,37.7985,2916240
2010-02-23,57.95,58.52,57.5,58.4,38.0921,5622333
2010-02-24,58.43,58.95,58.26,58.76,38.3269,4748230
2010-02-25,57.98,58.42,57.45,58.42,38.1051,4441355
2010-02-26,58.42,58.95,57.9,58.74,38.3138,3895076
2010-03-01,58.8,59.535,58.73,58.85,38.3856,3944597
2010-03-02,59.18,59.59,59.01,59.16,38.5878,6304985
2010-03-03,59.94,60.0,59.125,59.18,38.6008,6077179
2010-03-04,59.33,59.68,58.91,59.2,38.6139,4370481
2010-03-05,59.56,59.71,59.22,59.49,38.803,5400399
2010-03-08,59.67,59.89,59.46,59.8,39.0052,4076642
2010-03-09,59.68,60.43,59.43,60.29,39.3248,5470963
2010-03-10,60.23,61.03,60.08,60.73,39.6118,6309446
2010-03-11,60.59,62.49,60.45,62.47,40.7468,10354190
2010-03-12,62.5,62.53,62.0,62.32,40.6489,5878731
2010-03-15,62.23,62.8,62.02,62.7,40.8968,4937835
2010-03-16,62.76,62.95,62.3,62.48,40.7533,5827045
2010-03-17,62.5,63.22,62.5,62.88,41.0142,5771510
2010-03-18,62.96,64.49,62.5,64.42,42.0187,7749948
